FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,3315M,4080M,424B,448C,418C,558C,404T,462C,536C,456T,522C,412T,416H,440C,610C,532C,422T,530C,434T,622B,408H,526B,628B,612B,620B,428T,502H,624B,614B,636B,502B,704B,738B,506A,542B,600Y,610B,706B,650C,726C,602A,606C,766C,632Y,686Y,600C,618B,688A,610Y,648C,600B,618C,758Y,662A,608B,628C,740B,690Y,608C,608A,758C,730Y,740Y,744C,756C,734Y,744Y,746C,734C,726Y,760A,764C,716C,742C,712Y,764Y,712C,718A,752C,704Y,762C,738C,736Y,710C,724C,702C,736C,714C,796Y,804C,722C,846Y,826B,854C,814Y,828B,840C,820C,816Y,820B,832C,860C,830B,830C,802Y,802B,822B,834B,824Y,838B,812B,816B,820Y,940B,814B,818B,854Y,906C,904B,982A,966C,942B,948Y,990A,964C,906B,940Y,926C,950A,918C,956C,952Y,934C,962Y,902C,942C,906Y,1004C,952C,1094Y,1036C,1008C,1044C,1012C,1066Y,1022C,1028B,1038Y,1060C,1054C,1126B,1016Y,1140C,1162C,1130B,1132Y,1122B,1114C,1110Y,1138B,1132C,1140B,1184Y,1156C,1142B,1202C,1140Y,1266C,1206B,1264C,1262Y,1226C,1218B,1246Y,1244C,1204C,1222C,1260Y,1252C,1234C,1308C,1202Y,1326B,1342C,1338Y,1362C,1328B,1360C,1316Y,1354C,1312C,1340C,1332Y,1340B,1322B,1442B,1310Y,1414C,1438B,1484Y,1432C,1430B,1456C,1440Y,1418B,1466C,1404C,1462Y,1406B,1464C,1446Y,1526C,1508C,1502C,1560Y,1542C,1524C,1552C,1528B,1502Y,1534C,1544C,1526B,1538Y,1540C,1522C,1516Y,1622B,1610B,1554C,1632Y,1614C,1638C,1604Y,1632C,1662C,1610Y,1610C,1634Y,1660C,1694A,1636C,1624B,1612C,1686Y,1640B,1608A,1640Y,1704C,1646C,1682A,1642B,1714Y,1764C,1714B,1730A,1716C,1738B,1774Y,1718B,1718C,1712A,1732B,1730B,1750Y,1704B,1758C,1706Y,1728B,1742A,1756C,1708B,1868A,1702C,1756Y,1736B,1724C,1724Y,1840C,1766C,1718A,1842C,1706B,1804A,1828Y,1828C,1826C,1834B,1810A,1834C,1846Y,1808C,1844Y,1830C,1860A,1826B,1802B,1832A,1852C,1848Y,1822B,1854C,1826A,1844C,1880Y,1910B,1854A,1962C,1860C,1916Y,1922C,1970Y,1916C,1912C,1938C,1908Y,1942B,1914C,1994A,1916B,1974Y,1940B,1932C,2040C,1930B,1906Y,1936C,2024B,2086Y,2056C,2004C,2004B,2046C,2068Y,2008B,2064C,2036B,2032B,2034B,2028B,2038Y,2102B,2102C,2124C,2110B,2184Y,2126B,2128C,2144Y,2122B,2134C,2130C,2262C,2152C,2212C,2216C,2214C,2222C,2162T,2302B,2146T,2346C,2272T,2364C,2250T,2336B,2228T,2334B,2268T,2302C,2226T,2324C,2380T,2410B,2278T,2462C,2322H,2428C,2434C,2354T,2414C,2430C,2330T,2452C,2316T,2302T,2464T
列車種別,,ﾗｲﾅｰ,特急,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,ホームライナー千葉,あずさ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,号,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  <三        鷹>,発,||,||,,,,,,,,432,,440,453,456,,,503,,512,,518,522,,,,527,536,,,,546,,,551,557,602,,,609,,612,616,,||,623,,628,631,634,,638,,||,643,,647,,649,652,655,,||,700,,704,||,708,,712,||,715,,719,722,||,725,728,730,733,735,738,741,744,,746,749,751,754,756,,759,801,,804,806,,809,811,814,,816,819,821,824,826,,828,833,836,,839,842,845,,850,852,857,,901,904,,910,912,915,,917,922,924,927,,932,934,938,944,,951,954,,959,1004,,1011,1016,,1022,,1030,1037,,1044,,1052,,1100,,1107,,1115,1122,,1128,,1137,,1144,,1152,,1200,,1207,,1215,1222,,1228,,1237,,1245,,1252,,1300,1307,,,1315,1322,,1329,,1337,,1345,,1352,,1400,1407,,1413,,1422,,1429,,1437,,1445,1452,,,1500,1507,,1512,1517,,1522,,1530,,1537,,1545,1551,,,1558,1604,,1608,1613,,1617,1622,,1625,1628,1631,,1635,1639,1642,1645,1648,1650,,1653,1656,1658,1701,,1704,1707,,1710,1714,,1716,1719,,1722,1725,,1728,1731,,||,1734,1737,||,1741,1743,,1746,1749,,1753,1756,,1759,||,1802,,1805,1809,||,,1813,1816,1820,,1826,,1829,1831,1834,1837,,1841,1844,1846,1849,,1854,,1859,1902,1905,1909,,1913,1918,1921,1924,1929,1932,1935,1940,,1944,,1950,1954,1957,2001,2004,2007,2011,,2019,2025,,2030,,2039,2044,2051,2054,,2100,2106,,2114,,2122,2129,,2135,2141,,2154,2202,,2214,2221,2231,,2240,,2247,,2253,,2300,,2310,,2318,,2326,,2333,,2340,,,2349,,,2358,,015,036,047
(特)||  吉    祥    寺,発,||,||,,,,,,,,434,,443,455,458,,,506,,514,,520,524,,,,530,538,,,,548,,,553,559,605,,,611,,614,618,,||,626,,631,633,637,,640,,||,645,,649,,652,654,657,,||,702,,706,||,710,,714,||,717,,721,724,||,727,730,733,735,738,740,743,746,,749,751,754,756,759,,801,804,,806,809,,811,814,816,,819,821,824,826,829,,831,836,839,,842,844,848,,852,855,859,,904,907,,912,915,917,,920,925,927,930,,935,937,941,947,,953,957,,1001,1006,,1013,1019,,1025,,1033,1040,,1046,,1055,,1102,,1110,,1117,1125,,1130,,1139,,1147,,1155,,1202,,1210,,1218,1225,,1231,,1239,,1247,,1255,,1302,1310,,,1318,1325,,1331,,1340,,1347,,1355,,1402,1410,,1415,,1424,,1432,,1440,,1447,1455,,,1502,1510,,1515,1519,,1525,,1532,,1540,,1547,1554,,,1601,1607,,1611,1615,,1620,1624,,1628,1631,1633,,1637,1641,1645,1647,1650,1653,,1656,1658,1701,1704,,1707,1710,,1713,1716,,1719,1721,,1725,1728,,1731,1734,,||,1737,1740,||,1743,1746,,1749,1752,,1756,1759,,1801,||,1804,,1807,1812,||,,1816,1819,1822,,1828,,1831,1834,1837,1840,,1843,1846,1849,1851,,1857,,1901,1905,1908,1912,,1916,1921,1924,1927,1932,1935,1938,1942,,1947,,1953,1957,2000,2004,2007,2009,2014,,2021,2027,,2032,,2041,2047,2053,2057,,2103,2108,,2116,,2124,2131,,2138,2144,,2157,2205,,2216,2223,2233,,2243,,2250,,2256,,2303,,2312,,2321,,2329,,2336,,2343,,,2352,,,001,,017,039,050
[区]||  西    荻    窪,発,||,||,,,,,,,,436,,445,457,500,,,508,,517,,523,526,,,,532,541,,,,551,,,555,601,607,,,614,,617,621,,||,628,,633,636,639,,643,,||,647,,651,,654,657,700,,||,705,,709,||,713,,717,||,720,,724,727,||,730,733,735,738,740,743,746,749,,751,754,756,759,801,,804,806,,809,811,,814,816,819,,821,824,826,829,831,,834,838,841,,844,847,850,,855,857,902,,906,910,,915,918,920,,922,927,930,932,,937,940,943,949,,955,959,,1004,1009,,1016,1021,,1027,,1035,1042,,1048,,1057,,1105,,1112,,1120,1127,,1133,,1142,,1149,,1157,,1205,,1212,,1220,1227,,1233,,1242,,1249,,1257,,1305,1312,,,1320,1327,,1333,,1342,,1350,,1357,,1405,1412,,1418,,1427,,1434,,1442,,1450,1457,,,1505,1512,,1517,1521,,1527,,1535,,1542,,1549,1557,,,1603,1609,,1613,1618,,1622,1627,,1630,1633,1636,,1640,1644,1647,1650,1653,1655,,1658,1701,1703,1706,,1709,1712,,1715,1719,,1721,1724,,1727,1730,,1733,1736,,||,1739,1742,||,1746,1748,,1751,1754,,1758,1801,,1804,||,1807,,1810,1814,||,,1818,1821,1825,,1831,,1834,1836,1839,1842,,1846,1849,1851,1854,,1859,,1904,1907,1911,1914,,1919,1923,1926,1929,1934,1937,1940,1945,,1949,,1955,1959,2002,2006,2009,2012,2016,,2024,2030,,2035,,2044,2049,2056,2059,,2105,2111,,2119,,2127,2134,,2140,2146,,2159,2207,,2219,2226,2235,,2245,,2252,,2258,,2305,,2315,,2323,,2331,,2338,,2345,,,2354,,,003,,020,041,052
[区]||  荻          窪,発,||,||,,,,,,,,439,,447,500,503,,,510,,519,,525,529,,,,534,543,,,,553,,,558,604,609,,,616,,619,623,,||,630,,635,638,641,,645,,||,650,,654,,657,659,702,,||,707,,711,||,715,,719,||,722,,726,729,||,732,735,738,740,743,745,748,751,,754,756,759,801,804,,806,809,,811,814,,816,819,821,,824,826,829,831,834,,836,841,844,,847,849,853,,857,900,904,,909,912,,917,920,922,,925,930,932,935,,940,942,946,951,,958,1001,,1006,1011,,1018,1023,,1030,,1038,1045,,1051,,1100,,1107,,1115,,1122,1130,,1135,,1144,,1151,,1200,,1207,,1215,,1222,1230,,1235,,1244,,1252,,1300,,1307,1315,,,1322,1330,,1336,,1345,,1352,,1400,,1407,1415,,1420,,1429,,1437,,1445,,1452,1500,,,1507,1515,,1520,1524,,1530,,1537,,1545,,1552,1559,,,1606,1612,,1616,1620,,1625,1629,,1633,1636,1638,,1642,1646,1650,1652,1655,1658,,1701,1703,1706,1709,,1712,1715,,1718,1721,,1724,1726,,1730,1733,,1736,1739,,||,1742,1745,||,1748,1751,,1754,1757,,1801,1804,,1806,||,1809,,1812,1817,||,,1821,1824,1827,,1833,,1836,1839,1842,1845,,1848,1851,1854,1856,,1902,,1906,1910,1913,1917,,1921,1926,1929,1932,1937,1940,1943,1947,,1952,,1958,2002,2005,2009,2012,2014,2019,,2026,2032,,2037,,2046,2052,2058,2102,,2108,2113,,2121,,2129,2136,,2143,2149,,2202,2210,,2221,2228,2238,,2247,,2254,,2300,,2307,,2317,,2326,,2333,,2340,,2347,,,2356,,,006,,022,044,054
[区]||  阿  佐  ヶ  谷,発,||,||,,,,,,,,441,,449,502,505,,,512,,521,,527,531,,,,536,545,,,,555,,,600,606,611,,,618,,621,625,,||,632,,637,640,643,,647,,||,652,,656,,659,701,705,,||,709,,713,||,717,,721,||,724,,728,731,||,734,737,740,742,745,747,750,753,,756,758,801,803,806,,808,811,,813,816,,819,821,823,,826,829,831,834,836,,838,843,846,,849,851,855,,900,902,907,,911,914,,919,922,925,,927,932,934,937,,942,944,948,954,,1000,1003,,1008,1013,,1020,1025,,1032,,1040,1047,,1053,,1102,,1109,,1117,,1124,1132,,1137,,1146,,1153,,1202,,1209,,1217,,1224,1232,,1237,,1246,,1254,,1302,,1309,1317,,,1324,1332,,1338,,1347,,1354,,1402,,1409,1417,,1422,,1431,,1439,,1447,,1454,1502,,,1509,1517,,1522,1526,,1532,,1539,,1547,,1554,1601,,,1608,1614,,1618,1622,,1627,1631,,1635,1638,1640,,1644,1648,1652,1654,1657,1700,,1703,1705,1708,1711,,1714,1717,,1720,1723,,1726,1728,,1732,1735,,1738,1741,,||,1744,1747,||,1750,1753,,1756,1759,,1803,1806,,1808,||,1811,,1815,1819,||,,1823,1826,1829,,1835,,1838,1841,1844,1847,,1850,1853,1856,1858,,1904,,1908,1912,1915,1919,,1923,1928,1931,1934,1939,1942,1945,1949,,1954,,2000,2004,2007,2011,2014,2016,2021,,2028,2034,,2039,,2048,2054,2100,2104,,2110,2115,,2124,,2131,2138,,2145,2151,,2204,2212,,2223,2230,2240,,2249,,2256,,2302,,2310,,2319,,2328,,2336,,2342,,2349,,,2359,,,008,,024,046,057
[区]||  高    円    寺,発,||,||,,,,,,,,443,,451,504,507,,,514,,523,,529,533,,,,538,547,,,,557,,,602,608,613,,,620,,623,627,,||,634,,639,642,645,,649,,||,654,,658,,701,703,707,,||,711,,715,||,719,,723,||,726,,730,733,||,736,739,742,744,747,749,752,755,,758,800,803,805,808,,810,813,,815,818,,821,823,825,,828,831,833,836,838,,841,845,848,,851,853,857,,902,904,909,,913,916,,921,924,927,,929,934,936,939,,944,946,950,955,,1002,1005,,1010,1015,,1022,1027,,1034,,1042,1049,,1055,,1104,,1111,,1119,,1126,1134,,1139,,1148,,1155,,1204,,1211,,1219,,1226,1234,,1239,,1248,,1256,,1304,,1311,1319,,,1326,1334,,1340,,1349,,1356,,1404,,1411,1419,,1424,,1433,,1441,,1449,,1456,1504,,,1511,1519,,1524,1528,,1534,,1541,,1549,,1556,1603,,,1610,1616,,1620,1624,,1629,1633,,1637,1640,1642,,1646,1650,1654,1656,1659,1702,,1705,1707,1710,1713,,1716,1719,,1722,1725,,1728,1730,,1734,1737,,1740,1743,,||,1746,1749,||,1752,1755,,1758,1801,,1805,1808,,1810,||,1813,,1817,1821,||,,1825,1828,1831,,1837,,1840,1843,1846,1849,,1852,1855,1858,1900,,1906,,1910,1914,1917,1921,,1925,1930,1933,1936,1941,1944,1947,1951,,1956,,2002,2006,2009,2013,2016,2018,2023,,2030,2036,,2041,,2050,2056,2102,2106,,2112,2117,,2126,,2133,2140,,2147,2153,,2206,2214,,2225,2232,2242,,2251,,2258,,2304,,2311,,2321,,2330,,2337,,2344,,2351,,,000,,,010,,026,048,058
