FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,4053M,467T,427B,419T,423C,433T,505T,433C,557T,513T,487Y,431C,517H,589Y,525B,523T,563Y,591Y,509C,641Y,549C,657C,645Y,519C,661Y,617C,559C,665Y,645C,519Y,753C,663C,665C,637Y,625C,637C,615C,697A,623C,647Y,655C,615Y,641C,621C,611C,617A,633C,661C,631C,731B,705C,703Y,623B,627B,701Y,735B,629B,725Y,713B,717B,721B,725B,721A,715B,733B,719B,737B,703B,755Y,705B,733A,701B,739B,743B,787A,709B,783Y,711B,749A,711Y,841B,891Y,707B,751C,759A,859C,841Y,727C,707C,751Y,809A,857C,767C,831A,835C,753Y,801C,865C,863A,849C,835Y,843C,819C,807Y,827A,853C,829C,895Y,839C,805Y,809C,813Y,903C,845C,905C,867A,847C,929B,937C,817C,939Y,955C,913C,917Y,923C,963C,961C,933Y,925C,915C,927B,1011Y,941C,933C,1031B,1085Y,1023B,1043B,1039B,1041Y,1007B,1041B,1063Y,1057C,1019B,1103C,1147Y,1067C,1105C,1165C,1161Y,1127C,1135C,1145C,1103Y,1143C,1123C,1139Y,1153C,1161C,1109C,1217Y,1227B,1113C,1263C,1233Y,1229B,1223B,1211Y,1255C,1239B,1241C,1285Y,1241B,1231B,1343B,1341Y,1215C,1367C,1333C,1363Y,1365C,1357C,1347Y,1319B,1303C,1305C,1361Y,1307B,1353C,1327C,1403Y,1409C,1345C,1443C,1439Y,1423C,1429B,1417Y,1435C,1455C,1427B,1433Y,1441C,1463C,1523B,1511Y,1461C,1515C,1595Y,1513C,1533C,1587A,1541B,1541Y,1511C,1583A,1543B,1537C,1615Y,1515B,1539B,1631Y,1505C,1675Y,1619C,1513Y,1531B,1651A,1665C,1607Y,1557C,1603C,1619B,1657Y,1625C,1667C,1625Y,1605B,1619A,1607B,1629B,1729Y,1627C,1635B,1647Y,1609C,1745Y,1741C,1643C,1661Y,1703B,1733Y,1653C,1735C,1749Y,1755C,1727Y,1745C,1731C,1781A,1727B,1855Y,1761C,1763C,1717A,1723C,1723B,1871Y,1735Y,1813C,1739C,1711B,1809A,1843B,1715C,1883Y,1817B,1895A,1833C,1817C,1875Y,1831Y,1811C,1813A,1831B,1837C,1807Y,1825B,1841B,1887Y,1857C,1805C,1843Y,1941C,1847C,1969Y,1907B,1865C,1839B,1933B,1905A,1935B,1905B,1929B,1909B,1911A,1939Y,1903C,1937B,1933Y,1925C,1967C,1985A,1929C,2003B,1945A,1927C,1935C,2011B,2031C,2061C,2009Y,2027B,2053C,2055C,2003Y,2023B,2013C,2045C,2015C,2107Y,2063C,2023C,2133C,2017C,2139C,2143B,2117B,2141B,2141C,2109B,2137C,2125B,2105C,2203B,2207T,2247C,2323T,2265C,2325H,2237B,2311H,2235B,2347T,2229B,2203C,2373T,2225C,2351T,2211B,2339T,2363C,2329C,2333T,2335C,2421T,2315C,2481T,2331C,2479T,2353C,2423H,2317C,2455T,2423C,2403B,2447C,2465C,2435B,2403C,2411B
列車種別,,特急,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,あずさ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  千          葉,発,||,,,||,,||,||,431,||,||,||,446,||,||,506,||,||,||,,||,528,,||,538,||,,551,||,,||,,601,,||,,610,,||,618,||,,||,626,,633,||,637,,643,,,||,648,652,||,,656,||,700,,703,707,||,711,,,715,719,||,723,,,726,730,,,||,734,||,,,||,738,742,,,||,746,749,||,,,754,,,||,800,,||,806,,,814,||,,,822,||,,||,829,,,837,,||,844,,,856,||,,907,||,,918,,||,928,934,943,||,950,955,1002,||,1008,,1018,||,,1030,||,,1041,,||,1051,,1100,||,1108,1114,,||,1124,,||,1135,,1146,||,,1157,,||,1208,,||,1219,,1230,||,,1241,,||,1252,,1303,||,,1314,||,,1325,,||,1336,,1347,||,,1358,,||,1409,,||,1420,,1431,||,,1442,,||,1453,,||,1504,,||,1515,||,,||,1525,,||,,1537,||,,||,,||,1549,||,,||,1557,,1608,||,,1616,||,,||,1624,,||,1633,,||,1642,||,,1650,||,,||,1658,1703,||,,||,1711,,||,1719,||,,,||,1727,1734,||,,,,1745,,,1753,,,||,1803,,||,,1810,,,1818,||,1823,1828,||,,1834,,,1844,,,1853,1857,1902,,,1909,1912,1917,,||,1922,1926,,1932,1937,||,1943,,||,1951,1956,,2003,,||,2011,2016,,||,2025,,2035,,||,2043,2048,,2059,2106,2113,2120,2128,2134,,2145,2152,2158,,||,2210,||,2219,||,2225,||,2233,||,2237,2241,||,2248,||,2254,||,,2306,||,2315,||,,||,2326,||,2335,||,2348,||,000,008,017,025,036,045,059
(特)||  西    千    葉,発,||,,,||,,||,||,433,||,||,||,448,||,||,508,||,||,||,,||,530,,||,540,||,,553,||,,||,,603,,||,,613,,||,620,||,,||,628,,635,||,639,,645,,,||,651,655,||,,658,||,702,,705,709,||,713,,,717,721,||,725,,,729,733,,,||,736,||,,,||,740,744,,,||,748,751,||,,,756,,,||,802,,||,808,,,817,||,,,824,||,,||,831,,,839,,||,847,,,858,||,,910,||,,920,,||,930,936,945,||,952,957,1004,||,1010,,1020,||,,1032,||,,1043,,||,1053,,1102,||,1110,1116,,||,1126,,||,1137,,1148,||,,1159,,||,1210,,||,1221,,1232,||,,1243,,||,1254,,1305,||,,1316,||,,1327,,||,1338,,1349,||,,1400,,||,1411,,||,1422,,1433,||,,1444,,||,1455,,||,1506,,||,1517,||,,||,1527,,||,,1539,||,,||,,||,1551,||,,||,1559,,1610,||,,1618,||,,||,1626,,||,1635,,||,1644,||,,1652,||,,||,1700,1705,||,,||,1713,,||,1721,||,,,||,1729,1736,||,,,,1747,,,1755,,,||,1805,,||,,1812,,,1820,||,1825,1830,||,,1836,,,1846,,,1855,1859,1904,,,1911,1915,1919,,||,1924,1928,,1934,1939,||,1945,,||,1953,1958,,2005,,||,2013,2018,,||,2027,,2037,,||,2045,2050,,2101,2108,2115,2122,2130,2136,,2147,2154,2200,,||,2212,||,2221,||,2227,||,2235,||,2239,2243,||,2250,||,2256,||,,2308,||,2317,||,,||,2329,||,2337,||,2350,||,002,010,019,027,038,047,101
(特)||  稲          毛,発,||,,,||,,||,||,435,||,||,||,451,||,||,510,||,||,||,,||,533,,||,542,||,,555,||,,||,,606,,||,,615,,||,623,||,,||,631,,637,||,641,,648,,,||,653,657,||,,701,||,704,,708,711,||,716,,,719,724,||,728,,,731,735,,,||,738,||,,,||,743,747,,,||,750,753,||,,,759,,,||,805,,||,811,,,819,||,,,827,||,,||,834,,,842,,||,849,,,901,||,,912,||,,923,,||,933,939,947,||,954,959,1006,||,1012,,1022,||,,1034,||,,1045,,||,1055,,1105,||,1113,1118,,||,1129,,||,1140,,1151,||,,1201,,||,1213,,||,1224,,1235,||,,1246,,||,1257,,1308,||,,1319,||,,1330,,||,1341,,1352,||,,1403,,||,1414,,||,1425,,1436,||,,1447,,||,1458,,||,1509,,||,1520,||,,||,1529,,||,,1541,||,,||,,||,1554,||,,||,1602,,1612,||,,1620,||,,||,1628,,||,1637,,||,1646,||,,1655,||,,||,1703,1708,||,,||,1716,,||,1723,||,,,||,1732,1739,||,,,,1749,,,1758,,,||,1808,,||,,1814,,,1822,||,1828,1832,||,,1839,,,1848,,,1857,1901,1906,,,1913,1917,1922,,||,1926,1930,,1937,1942,||,1948,,||,1956,2000,,2008,,||,2016,2021,,||,2030,,2040,,||,2048,2053,,2103,2111,2117,2125,2132,2139,,2150,2156,2202,,||,2215,||,2223,||,2229,||,2237,||,2241,2245,||,2252,||,2259,||,,2311,||,2319,||,,||,2331,||,2340,||,2352,||,004,012,021,029,040,050,104
(特)||  新  検  見  川,発,||,,,||,,||,||,438,||,||,||,453,||,||,513,||,||,||,,||,536,,||,545,||,,558,||,,||,,608,,||,,618,,||,626,||,,||,634,,640,||,644,,651,,,||,656,700,||,,704,||,707,,711,714,||,719,,,722,727,||,731,,,734,738,,,||,741,||,,,||,746,750,,,||,753,756,||,,,802,,,||,808,,||,814,,,822,||,,,830,||,,||,837,,,845,,||,852,,,904,||,,915,||,,926,,||,936,942,950,||,957,1002,1009,||,1015,,1025,||,,1037,||,,1048,,||,1058,,1107,||,1116,1121,,||,1132,,||,1143,,1154,||,,1204,,||,1216,,||,1227,,1238,||,,1249,,||,1300,,1311,||,,1322,||,,1333,,||,1344,,1355,||,,1406,,||,1417,,||,1428,,1439,||,,1450,,||,1501,,||,1512,,||,1523,||,,||,1532,,||,,1544,||,,||,,||,1557,||,,||,1605,,1615,||,,1623,||,,||,1631,,||,1640,,||,1649,||,,1658,||,,||,1706,1711,||,,||,1719,,||,1726,||,,,||,1735,1742,||,,,,1752,,,1801,,,||,1811,,||,,1817,,,1825,||,1831,1835,||,,1842,,,1851,,,1900,1904,1909,,,1916,1920,1925,,||,1929,1933,,1940,1945,||,1951,,||,1959,2003,,2011,,||,2019,2024,,||,2033,,2043,,||,2051,2056,,2106,2114,2120,2128,2135,2142,,2153,2159,2205,,||,2218,||,2226,||,2232,||,2240,||,2244,2248,||,2255,||,2302,||,,2314,||,2322,||,,||,2334,||,2342,||,2355,||,007,015,024,032,043,053,107
(特)||◆<幕        張>,発,||,,,||,,||,||,440,||,||,||,456,||,||,515,||,||,||,,||,538,,||,547,||,,600,||,,||,,611,,||,,621,,||,628,||,632,||,636,,643,||,647,,653,,,||,700,703,||,,707,||,710,,714,718,||,721,,,725,729,||,733,,,737,741,,,||,744,||,,,||,748,752,,,||,756,759,||,,,804,,,||,810,,||,816,,,825,||,,,832,||,,||,839,,,847,,||,855,,,906,||,,918,||,,929,,||,938,945,952,||,959,1004,1011,||,1017,,1027,||,,1039,||,,1050,,||,1100,,1112,||,1118,1123,,||,1134,,||,1145,,1156,||,,1206,,||,1218,,||,1229,,1240,||,,1251,,||,1302,,1313,||,,1324,||,,1335,,||,1346,,1357,||,,1408,,||,1419,,||,1430,,1441,||,,1452,,||,1503,,||,1514,,||,1525,||,,||,1534,,||,,1546,||,,||,,||,1559,||,,||,1607,,1617,||,,1625,||,,||,1633,,||,1642,,||,1651,||,,1700,||,,||,1708,1713,||,,||,1721,,||,1728,||,,,||,1737,1744,||,,,,1754,,,1803,,,||,1813,,||,,1819,,,1828,||,1833,1837,||,,1844,,,1853,,,1902,1906,1911,,,1918,1922,1927,,||,1932,1935,,1942,1947,||,1953,,||,2001,2005,,2013,,||,2021,2026,,||,2035,,2045,,||,2053,2058,,2108,2116,2122,2130,2137,2144,,2155,2201,2207,,||,2220,||,2228,||,2234,||,2242,||,2246,2250,||,2257,||,2304,||,,2316,||,2324,||,,||,2336,||,2345,||,2357,||,009,017,026,034,045,055,109
(特)||  幕  張  本  郷,発,||,,,||,,||,||,443,||,||,||,458,||,||,518,||,||,||,,||,540,,||,550,||,,603,||,,||,,613,,||,,623,,||,631,||,635,||,639,,646,||,650,,656,,,||,702,705,||,,710,||,713,,717,720,||,724,,,728,732,||,736,,,739,743,,,||,747,||,,,||,751,755,,,||,759,802,||,,,807,,,||,813,,||,819,,,827,||,,,835,||,,||,842,,,850,,||,857,,,909,||,,921,||,,931,,||,941,947,955,||,1002,1007,1014,||,1020,,1030,||,,1042,||,,1053,,||,1103,,1114,||,1120,1126,,||,1136,,||,1147,,1158,||,,1209,,||,1220,,||,1231,,1242,||,,1253,,||,1304,,1315,||,,1326,||,,1337,,||,1348,,1359,||,,1410,,||,1421,,||,1432,,1443,||,,1454,,||,1505,,||,1516,,||,1527,||,,||,1537,,||,,1549,||,,||,,||,1601,||,,||,1609,,1620,||,,1628,||,,||,1636,,||,1645,,||,1654,||,,1702,||,,||,1710,1715,||,,||,1723,,||,1731,||,,,||,1739,1746,||,,,,1757,,,1805,,,||,1816,,||,,1822,,,1830,||,1835,1840,||,,1846,,,1856,,,1905,1909,1914,,,1921,1925,1929,,||,1935,1938,,1944,1949,||,1955,,||,2003,2008,,2015,,||,2023,2028,,||,2037,,2047,,||,2055,2100,,2111,2118,2125,2132,2140,2146,,2157,2204,2210,,||,2222,||,2231,||,2237,||,2245,||,2249,2253,||,2300,||,2306,||,,2318,||,2327,||,,||,2339,||,2347,||,000,||,012,020,029,037,048,057,111
