FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,404T,456T,412T,416H,440C,422T,434T,408H,526B,428T,502H,574T,572T,542B,566T,568T,606C,2203M,540T,584T,618B,616T,570T,3572M,682T,678T,2207M,552T,614T,618T,638T,612H,3562M,662T,632T,3574M,680T,734C,604T,514H,630T,658T,600H,650T,656T,648T,736T,606H,606H,700T,610H,612T,660T,708T,716H,720H,624T,776T,642T,708H,746T,710T,734T,722H,722H,764T,728T,878T,704H,772T,722T,702T,706T,754T,818T,724H,816T,702H,720T,774T,744T,880T,3002M,818H,868T,814H,5052M,726T,840T,852T,884T,4M,866T,870T,882T,814T,958T,812H,904T,862T,5004M,906H,950T,930T,838T,946T,910H,936T,920H,956T,910T,5006M,908T,1022H,978T,976T,1084T,1028T,3006M,1072T,1024H,1002H,1042T,1018T,1082T,1006T,1020T,5058M,1058T,1152T,1026T,1080T,1014H,1170T,60M,1032T,1114T,1112H,1162T,1104T,1166T,1122T,62M,1110T,1110H,1246T,1222H,1130T,1138T,1236T,3008M,1150T,1256T,1278T,1208T,1218H,1220H,1228T,14M,1202H,1218T,1372T,1352T,1242T,1224H,1320T,3010M,1276T,1358T,1370T,1314H,1326T,1306T,1314T,1312H,1332T,66M,1310H,1310T,1362T,1380T,1404T,3012M,1422T,1446T,1436T,1424T,1422H,1466T,1438T,18M,1478T,1402H,1528T,1572T,1408T,1450T,1518H,3014M,1430T,1516H,1520T,1518T,1552T,1524H,1520H,1570T,70M,1516T,1576T,1608H,1632T,1656T,1514T,1634T,1612H,1514H,3016M,1626T,1664T,1680T,1654T,1610T,1604T,1602T,22M,1610H,1768T,1622H,1646T,1624T,1704H,2625M,1658T,1622T,3018M,1702H,1662T,1738T,1640T,1708T,1766T,74M,1748T,1728T,1752T,1772T,1778T,1736T,9522M,1730T,1776T,76M,1718T,1812H,1742T,1718H,1860T,1716H,1820H,1750T,1834T,1822H,3020M,1880T,1820T,1870T,1856T,1808H,1832T,1814T,2627M,28M,1816T,1854T,1962T,1864T,1902T,1804T,1814H,1958T,1946T,1940T,4080M,1952T,1924H,1906T,1922T,1924T,1910H,1908T,1928T,3022M,1966T,1972T,2078T,2006H,1938T,2050T,2076T,32M,2012H,2020T,2026T,2034T,2018H,2068T,2022H,2030T,3024M,2042T,2114T,2080T,2116T,2056T,2060T,2154T,84M,2102T,2118T,2114H,2164T,2148T,2104T,36M,2106T,2140T,2122T,2208T,2124H,2162T,2210H,2146T,2270T,2272T,2276T,2250T,2228T,2206H,2238T,2268T,2232T,2226T,2220T,2380T,2278T,2322H,2314T,2354T,2330T,2316T,2302T,2464T,2408T,3315M
列車種別,,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,快速,快速,各停,快速,快速,各停,特急,特快,快速,各停,特快,快速,ﾗｲﾅｰ,快速,特快,特急,快速,快速,快速,快速,快速,ﾗｲﾅｰ,快速,快速,ﾗｲﾅｰ,快速,各停,快速,快速,通特,快速,快速,快速,快速,快速,通特,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,通特,快速,快速,快速,快速,快速,快速,通特,快速,快速,快速,特急,快速,快速,快速,特急,快速,快速,通特,快速,特急,快速,快速,快速,快速,快速,快速,特快,快速,特急,快速,特快,快速,快速,快速,特快,快速,快速,特快,快速,特急,快速,特快,快速,快速,快速,特快,特急,快速,快速,特快,快速,快速,快速,特快,快速,特急,快速,特快,快速,特快,快速,特快,特急,快速,快速,特快,快速,快速,快速,特快,特急,快速,快速,特快,快速,特快,快速,特快,特急,快速,快速,特快,快速,快速,快速,特快,特急,快速,快速,特快,快速,特快,快速,特快,特急,快速,快速,特快,快速,快速,快速,特快,快速,特快,特急,快速,快速,特快,快速,特快,特急,快速,快速,特快,快速,快速,快速,特快,特急,快速,快速,特快,快速,特快,快速,特快,特急,快速,快速,特快,快速,快速,特快,快速,快速,特急,快速,快速,快速,快速,特快,快速,快速,快速,快速,特急,快速,快速,快速,快速,快速,特快,快速,特急,快速,快速,快速,快速,快速,快速,,特快,快速,特急,快速,快速,快速,快速,快速,快速,特急,快速,快速,快速,特快,快速,快速,快速,快速,快速,特急,快速,快速,快速,快速,特快,快速,快速,快速,快速,快速,特急,快速,特快,快速,快速,快速,快速,快速,,特急,快速,快速,快速,快速,特快,快速,快速,快速,快速,快速,特急,快速,快速,快速,特快,快速,快速,快速,快速,特急,快速,快速,特快,快速,快速,快速,快速,特急,快速,快速,快速,快速,快速,特快,快速,快速,特急,快速,快速,快速,特快,快速,快速,快速,特急,快速,特快,快速,快速,快速,快速,特急,快速,快速,快速,特快,快速,各停,快速,各停,快速,各停,特快,各停,各停,快速,快速,各停,快速,各停,快速,各停,各停,各停,快速,各停,各停,各停,各停,各停,快速,ﾗｲﾅｰ
列車名,,,,,,,,,,,,,,,,,,,成田エクスプレス,青梅特快,,,,,中央ライナー,,,成田エクスプレス,,,,,,青梅ライナー,,,中央ライナー,,,,,通勤特快,,,,,,通勤特快,,,,,,,,,,,,,,,,,,,,,,,,,通勤特快,,,,,,,通勤特快,,,,かいじ,,,,あずさ,,,通勤特快,,スーパーあずさ,,,,,,,,,かいじ,,,,,,,,,青梅特快,,スーパーあずさ,,,,,,,かいじ,,,,,,,青梅特快,,あずさ,,,,青梅特快,,,あずさ,,,,,,,,あずさ,,,,,青梅特快,,,かいじ,,,,,,,,スーパーあずさ,,,,,青梅特快,,,かいじ,,,,,,,,,,あずさ,,,青梅特快,,,かいじ,,,,,,,,スーパーあずさ,,,,,青梅特快,,,かいじ,,,,,,,,,あずさ,,,,,,,,,,かいじ,,,,,,,,スーパーあずさ,,,,,,,むさしの,,,かいじ,,,,,,,あずさ,,,,,,,富士山,,,あずさ,,,,,,,,,,,かいじ,,青梅特快,,,,,,むさしの,スーパーあずさ,,,,,,,,,,,あずさ,,,,,,,,,かいじ,,,,,,,,スーパーあずさ,,,,,,,,,かいじ,,,,,,,,あずさ,,,,,,,スーパーあずさ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ホームライナー千葉
号数,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,7,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,2,,,,,4,,,,,,,,,104,,,,,,,,,,,6,,,,,,,106,,,,,,,,,8,,,,,,,10,,,,,,,,12,,,,,,,,108,,,,,,,,14,,,,,,,,110,,,,,,,,,,16,,,,,,112,,,,,,,,18,,,,,,,,114,,,,,,,,,20,,,,,,,,,,116,,,,,,,,22,,,,,,,,,,118,,,,,,,24,,,,,,,,,,26,,,,,,,,,,,120,,,,,,,,,28,,,,,,,,,,,30,,,,,,,,,122,,,,,,,,32,,,,,,,,,124,,,,,,,,34,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,号,,,,,,号,,,号,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,号,,,,,号,,,,,,,,,号,,,,,,,,,,,号,,,,,,,号,,,,,,,,,号,,,,,,,号,,,,,,,,号,,,,,,,,号,,,,,,,,号,,,,,,,,号,,,,,,,,,,号,,,,,,号,,,,,,,,号,,,,,,,,号,,,,,,,,,号,,,,,,,,,,号,,,,,,,,号,,,,,,,,,,号,,,,,,,号,,,,,,,,,,号,,,,,,,,,,,号,,,,,,,,,号,,,,,,,,,,,号,,,,,,,,,号,,,,,,,,号,,,,,,,,,号,,,,,,,,号,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号
(特)||▼高          尾,発,||,||,,,,428,,,,453,,505,,,526,,,550,||,,,600,542,,,615,622,||,,605,,,||,||,624,640,628,,632,||,||,636,,||,644,650,703,||,||,,||,658,||,,707,,||,713,||,718,,||,725,||,||,,730,,733,738,||,752,741,||,,,,748,||,755,||,, ﾚ,800,805,, ﾚ,||,810,836,818, ﾚ,||,829,832,840,,850,903,855, ﾚ,,916,908,||,,934,927,,||,, ﾚ,943,1003,,953,,1015, ﾚ,,,1032,||,1023,,||,1038, ﾚ,,1101,1044,||,1051,1113, ﾚ,||,,1131,,1122,||,1143, ﾚ,,,1201,,||,1153,1216, ﾚ,||,1207,1231,,,||,1246, ﾚ,,,1302,,||,1253,1315, ﾚ,||,,1330,,1321,||,1344,,1353, ﾚ,,,||,||,1413, ﾚ,1400,,1431,,1422,||,1444, ﾚ,,,1501,,||,1452,1515, ﾚ,||,,1531,,1522,1542,||,, ﾚ,,1549,,,1605,1558,,,||, ﾚ,1611,,,,1617,1634,, ﾚ,1628,,,1638,1641,,,1657,1652, ﾚ,,||,1703,||,,1711, ﾚ,,1716,,1731,1723,||, ﾚ,1736,, ﾚ,,,||,1745,1805,1751,1800,||,,, ﾚ,,||,1813,1820,,1830,1835,, ﾚ,||,1844,,1847,1904,1853,||,,1909,, ﾚ,,1916,||,1934,1923,||,,, ﾚ,1944,1951,2006,,||,,2012, ﾚ,2018,,||,,2027,2042,2034,||, ﾚ,||,,2050,2106,2055,||,2112, ﾚ,2117,2131,,2124,||,2138, ﾚ,,2146,2150,2206,2154,,,,2213,,2230,,2220,2225,2238,,2248,2244,2255,,,2305,2310,,2324,2338,2359,013,031,
(特)||  西  八  王  子,発,||,||,,,,432,,,,456,,508,,,529,,, ﾚ,||,,,603,545,,,618, ﾚ,||,,608,,,||,||,627, ﾚ,631,,636,||,||,640,,||,648,653, ﾚ,||,||,,||,701,||,,710,,||,716,||,721,,||,728,||,||,,733,,736,741,||, ﾚ,744,||,,,,752,||,759,||,, ﾚ,803,808,, ﾚ,||,814, ﾚ,822, ﾚ,||,833,835,843,,853,907,858, ﾚ,,920,911,||,,937,930,,||,, ﾚ,946,1007,,956,,1019, ﾚ,,,1035,||,1026,,||,1042, ﾚ,,1104,1048,||,1054,1117, ﾚ,||,,1134,,1126,||,1146, ﾚ,,,1204,,||,1156,1220, ﾚ,||,1211,1234,,,||,1249, ﾚ,,,1305,,||,1256,1318, ﾚ,||,,1333,,1324,||,1348,,1356, ﾚ,,,||,||,1417, ﾚ,1404,,1434,,1425,||,1447, ﾚ,,,1505,,||,1456,1518, ﾚ,||,,1534,,1525,1545,||,, ﾚ,,1553,,,1608,1602,,,||, ﾚ,1614,,,,1620,1638,, ﾚ,1631,,,1641,1644,,,1700,1655, ﾚ,,||,1706,||,,1715, ﾚ,,1719,,1734,1726,||, ﾚ,1740,, ﾚ,,,||,1748,1809,1754,1803,||,,, ﾚ,,||,1817,1823,,1833,1838,, ﾚ,||,1847,,1850,1907,1856,||,,1912,, ﾚ,,1919,||,1937,1927,||,,, ﾚ,1947,1954,2010,,||,,2016, ﾚ,2022,,||,,2030,2045,2038,||, ﾚ,||,,2054,2109,2058,||,2115, ﾚ,2120,2134,,2128,||,2141, ﾚ,,2149,2153,2209,2158,,,,2216,,2233,,2223,2228,2241,,2251,2247,2258,,,2308,2313,,2328,2341,003,016,034,
(特)||◆八    王    子,発,||,||,,,,435,,,,459,,513,,,532,,,555,||,,,607,551,616,,621,628,||,,612,,,||,||,632,648,634,,640,||,||,643,,||,654,657,709,||,||,702,||,705,||,,715,718,||,721,||,725,,||,732,||,||,734,737,,741,745,||,759,748,||,,753,,756,||,802,||,,822,808,812,,831,||,817,842,826,851,||,836,839,846,,858,910,902,919,,925,914,||,,940,933,936,||,,1005,949,1010,,959,,1023,1033,1007,1018,1039,||,1029,,||,1045,1104,,1107,1051,||,1059,1121,1133,||,1113,1137,1125,1129,||,1151,1204,,1146,1207,,||,1200,1223,1233,||,1214,1237,1225,,||,1252,1305,,1247,1308,,||,1301,1323,1333,||,1313,1337,,1328,||,1352,,1359,1410,,,||,||,1421,1433,1407,1413,1437,,1428,||,1451,1504,1444,,1508,,||,1459,1522,1533,||,,1537,1518,1528,1549,||,1543,1601,,1556,,,1613,1605,,1607,||,1630,1619,,,,1626,1641,,1650,1636,,,1645,1647,,1654,1703,1658,1714,,||,1709,||,,1718,1732,,1722,,1739,1729,||,1754,1743,,1801,1747,,||,1751,1812,1757,1807,||,,,1832,,||,1821,1827,1833,1838,1843,1856,1902,||,1850,,1853,1910,1859,||,,1915,,1934,,1924,||,1940,1930,||,1943,,2003,1952,1957,2013,,||,,2019,2036,2025,,||,,2033,2049,2042,||,2106,||,,2058,2113,2101,||,2118,2135,2123,2138,,2131,||,2144,2206,2148,2152,2158,2212,2202,,2215,,2220,,2236,,2227,2231,2244,,2254,2250,2301,,,2311,2316,,2331,2344,006,019,037,
(特)||■<豊        田>,発,||,||,,428,,439,448,454,,504,510,517,528,,536,544,, ﾚ,||,553,,611,555, ﾚ,601,625, ﾚ,||,,616,622,627,||,||,636, ﾚ,639,,645,||,||,648,653,||,659,704, ﾚ,||,||,707,||,710,||,717,720,722,||,725,||,730,733,||,736,||,||,740,743,,747,749,||, ﾚ,753,||,,757,,800,||,807,||,, ﾚ,813,817,, ﾚ,||,827, ﾚ,831, ﾚ,||,840,843,851,900,902,914,906, ﾚ,,929,919,||,,945,938,941,||,948, ﾚ,953,1014,957,1004,,1027, ﾚ,1011,1022,1043,||,1038,,||,1049, ﾚ,,1111,1055,||,1103,1126, ﾚ,||,1117,1141,1130,1133,||,1155, ﾚ,,1150,1212,,||,1204,1227, ﾚ,||,1218,1241,1229,1232,||,1256, ﾚ,1246,1252,1312,,||,1305,1327, ﾚ,||,1318,1341,1329,1333,||,1356,1346,1404, ﾚ,,1358,||,||,1425, ﾚ,1411,1418,1441,1428,1432,||,1455, ﾚ,1449,,1512,,||,1503,1526, ﾚ,||,1517,1541,1523,1532,1553,||,1547, ﾚ,1550,1600,,,1617,1609,,1612,||, ﾚ,1623,1626,,,1630,1645,, ﾚ,1641,,1647,1650,1655,,1659,1708,1703, ﾚ,,||,1713,||,1719,1722, ﾚ,,1727,,1743,1737,||, ﾚ,1747,, ﾚ,1751,,||,1759,1816,1807,1811,||,1821,, ﾚ,,||,1826,1831,1838,1842,1848,1901, ﾚ,||,1855,,1858,1914,1903,||,1911,1920,1922, ﾚ,,1928,||,1945,1934,||,1948,1953, ﾚ,1957,2001,2017,2008,||,,2023, ﾚ,2029,,||,2035,2042,2053,2046,||, ﾚ,||,2101,2103,2117,2106,||,2123, ﾚ,2128,2143,2133,2135,||,2149, ﾚ,2153,2157,2203,2217,2206,,2219,,2225,2222,2240,,2231,2235,2249,,2259,2254,2306,,,2315,2321,,2335,2349,010,023,042,
(特)||  日          野,発,||,||,,431,,442,451,457,,506,513,520,530,,539,546,, ﾚ,||,555,,614,558, ﾚ,604,628, ﾚ,||,,619,625,630,||,||,639, ﾚ,642,,648,||,||,651,656,||,702,706, ﾚ,||,||,709,||,712,||,720,723,725,||,728,||,733,736,||,739,||,||,743,745,,749,752,||, ﾚ,755,||,,800,,803,||,809,||,, ﾚ,816,820,, ﾚ,||,830, ﾚ,834, ﾚ,||,843,846,853,903,905,917,909, ﾚ,,932,921,||,,947,940,944,||,951, ﾚ,956,1016,1000,1007,,1030, ﾚ,1014,1025,1046,||,1041,,||,1052, ﾚ,,1114,1057,||,1106,1128, ﾚ,||,1120,1144,1132,1136,||,1157, ﾚ,,1153,1214,,||,1207,1229, ﾚ,||,1221,1244,1232,1235,||,1259, ﾚ,1248,1255,1315,,||,1308,1330, ﾚ,||,1320,1344,1332,1335,||,1359,1348,1406, ﾚ,,1401,||,||,1428, ﾚ,1413,1420,1444,1431,1435,||,1458, ﾚ,1451,,1514,,||,1506,1529, ﾚ,||,1520,1544,1526,1535,1556,||,1550, ﾚ,1552,1603,,,1620,1612,,1615,||, ﾚ,1626,1629,,,1633,1648,, ﾚ,1643,,1650,1652,1658,,1702,1710,1705, ﾚ,,||,1716,||,1722,1725, ﾚ,,1729,,1746,1740,||, ﾚ,1750,, ﾚ,1754,,||,1802,1819,1810,1814,||,1824,, ﾚ,,||,1829,1834,1840,1845,1851,1904, ﾚ,||,1858,,1900,1917,1906,||,1914,1922,1925, ﾚ,,1931,||,1947,1937,||,1951,1956, ﾚ,1959,2004,2020,2011,||,,2026, ﾚ,2032,,||,2038,2045,2056,2049,||, ﾚ,||,2104,2106,2120,2109,||,2125, ﾚ,2130,2145,2136,2138,||,2151, ﾚ,2155,2159,2206,2219,2209,,2222,,2227,2225,2243,,2234,2238,2251,,2301,2257,2308,,,2318,2323,,2338,2351,013,026,044,
(特)||■立          川,発,||,||,,435,,446,454,500,,510,518,525,535,,542,551,,604,609,559,,618,605,626,610,632,636,621,,627,629,637,650,641,643,659,646,,652,654,706,656,700,703,708,710,719,712,712,714,716,721,723,725,727,729,731,733,735,737,739,742,744,746,746,748,750,,754,756,758,808,800,802,,804,806,811,822,814,816,,830,819,825,,841,832,835,851,842,859,845,847,853,901,906,909,920,913,927,916,935,925,930,938,951,944,947,1005,954,1013,959,1020,1006,1015,,1033,1041,1023,1028,1049,1037,1045,1050,1102,1055,1112,1058,1118,1106,1125,1114,1132,1142,1120,1127,1147,1135,1143,1149,1202,1212,1154,1158,1218,1206,1225,1214,1233,1241,1220,1227,1248,1236,1243,1249,1302, ﾚ,1253,1258,1318,1306,1326,1314,1333,1341,1321,1327,1347,1337,1343,1349,1402,1352,1409,1419,1357,1405,1425,1413,1432,1441,1420,1427,1447,1435,1443,1449,1502,1512,1454,1458,1518,1506,1525,1514,1532,1541,1521,1527,1547,1535,1543,1559,1550,1554,1610,1601,1606,,1613,1623,1615,,1618,1627,1638,1630,1633,1634,,1641,1651,,1658,1647,,1653,1700,1703,,1705,1715,1709,1723,1711,1717,1719,1725,1727,1730,1740,,1733,1736,1749,1743,1746,1802,1753,1755,1809,1758,,1804,1811,1822,1814,1818,1824,1827,,1840,1831,1845,1835,1841,1847,1850,1854,1908,1911,1857,1901,,1905,1920,1913,1917,1922,1926,1929,1942,1933,1936,1938,1951,1944,1948,1955,2000,2012,2003,2007,2023,2015,2020,2025,2029,2044,2035,2037,2040,2045,2049,2100,2052,2056,2115,2104,2107,2110,2123,2116,2119,2129,2144,2134,2149,2139,2145,2153,2156,2214,2159,2204,2209,2223,2216,2207,2225,2220,2231,2228,2246,2235,2238,2241,2256,2251,2305,2300,2312,2307,2315,2322,2327,2331,2341,2356,019,030,048,
