FileType,OuDia.JikokuhyouCsv.1
[全日]1968.10/ 1改正
上り

列車番号,,822M,202,824M,40,38,826M,8114,102,34,828M,12,1830M,832M,1823M,1823M,1823M,,838M,840M,842M,1844M,846M,848M,850M,324M,852M,1854M,856M,858M,860M,326M,1862M,848M,1868M,104,870M,328M,36,8117,330M,722M,722M,872M,724M,,10,8,6,874M,726M,332M,704M,1876M,6876M,728M,730M,1878M,732M,734M,334M,4,736M,302M,2,884M,848M,704M,422M,512M,424M,738M,888M,740M,336M,338M,890M,426M,,428M,724M,602M,807M,806M,526M,430M,896M,430M,312M,6032,894M,6808,32,898M,340M,434M,536M,726M,340M,6810M,1922M,924M,538M,1742M,926M,658M,744M,514M,930M,542M,812M,,932M,436M,934M,746M,544M,304M,6813M,936M,8106,716M,938M,748M,940M,438M,942M,750M,658M,1944M,752M,342M,8108M,6514M,344M,314M,440M,730M,818M,946M,732M,346M,348M,754M,442M,444M,,346M,446M,948M,548M,348M,606M,448M,756M,954M,550M,552M,758M,450M,452M,554M,556M,760M,144M,560M,562M,,6102,6104,6302M,6106M,6108M,6102M,6031M,6104M
列車種別,,普通,☆彡,普通,☆彡,☆彡,普通,☆彡,☆彡,☆彡,普通,★彡,普通,普通,普通,普通,普通,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,☆彡,,普通,☆彡,急行,普通,普通,普通,普通,,,★彡,★彡,★彡,普通,普通,普通,急行,普通,普通,,,普通,,普通,普通,★彡,,急行,★彡,普通,普通,急行,,急行,,,普通,,普通,,普通,,,,普通,急行,急行,普通,,,普通,,急行,☆彡,普通,急行,急行,普通,,,,普通,普通,急行,普通,普通,,,普通,普通,,急行,普通,,急行,,普通,,普通,,,急行,急行,普通,急行,急行,普通,,普通,,普通,,普通,普通,,普通,急行,急行,普通,急行,,普通,急行,普通,普通,普通,普通,,,,,普通,,普通,,普通,急行,,,普通,,,,,,,,,普通,,,,急行,急行,急行,急行,急行,急行,急行,急行
列車名,,,紀伊,,瀬戸,安芸,,銀河,銀河,出雲,,あさかぜ,,,,,,,,,,,,,,,,,,,,,,,,銀河,,,瀬戸,銀河,,,,,,,あさかぜ,富士,はやぶさ,,,,伊豆,,,,,,,,,みずほ,,東海,さくら,,,伊豆,,富士川,,,,,,,,,,,,伊那,伊豆,,,,,,東海,ながさき,,おくいず,霧島,,,,,,,おくいず,,,,,,,,富士川,,,伊豆,,,,,,,東海,伊豆,,桜島,伊豆,,,,,,,,,,,東海,伊豆,,東海,,,伊豆,,,,,,,,,,,,,,伊那,,,,,,,,,,,,,,,,季節列車,季節列車,こまどり,きぼう,わかば,ひので,わこうど,わかくさ
号数,,,,,1,,,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,52,,,,,,,2,,,,,,1,,,,,,,,,,,1,,,,2,,1,,,,,,,,,,,,1,3,,,,,,2,,,1,,,,,,,,2,,,,,,,,2,,,4,,,,,,,3,5,,,6,,,,,,,,,,,51,7,,4,,,8,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,号,,,号,号,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,号,号,,,,,,,号,,,,,,号,,,,,,,,,,,号,,,,号,,号,,,,,,,,,,,,号,号,,,,,,号,,,号,,,,,,,,号,,,,,,,,号,,,号,,,,,,,号,号,,,号,,,,,,,,,,,号,号,,号,,,号,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,
[名]●■名    古    屋,発,,001,,018,028,,042,049,104,,234,,,,||,,,,,,,,||,,,,,,,,,,||,,207,,,250,315,,,,,,,438,500,519,,,,||,,,,,,,,434,550,,605,638,,||,||,,,537,,,,,632,,700,,731,||,740,||,,805,830,,859,,1010,,||,1042,,,940,1003,||,,||,,,1100,,,||,,,,1201,||,,,1138,,,1313,1320,||,,1347,||,,,,1230,,,||,,,,1501,||,1341,,1415,||,||,,||,,,,1500,1540,,,1622,,1644,,1657,1718,,,1740,1805,,1825,1853,1928,1958,,2118,2200,2230,,2312,2353,724,1251,1441,2300,2319,2334
[名]||■熱          田,発,, ﾚ,, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ,, ﾚ,,,,||,,,,,,,,||,,,,,,,,,,||,, ﾚ,,, ﾚ, ﾚ,,,,,,, ﾚ, ﾚ, ﾚ,,,,||,,,,,,,,445, ﾚ,,610, ﾚ,,||,||,,,543,,,,,638,,705,,737,||,746,||,,810,835,,905,, ﾚ,,||, ﾚ,,,947,1008,||,,||,,,1106,,,||,,,,1206,||,,,1143,,,1318,1325,||,, ﾚ,||,,,,1235,,,||,,,, ﾚ,||,1347,,1420,||,||,,||,,,,1506,1545,,,1627,,1649,,1703,1725,,,1746,1811,,1830,1859,1933,2003,,2123,2206,2236,, ﾚ, ﾚ,729, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
[名]||■笠          寺,発,, ﾚ,, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ,, ﾚ,,,,||,,,,,,,,||,,,,,,,,,,||,, ﾚ,,, ﾚ, ﾚ,,,,,,, ﾚ, ﾚ, ﾚ,,,,||,,,,,,,,450, ﾚ,, ﾚ, ﾚ,,||,||,,,548,,,,,647,,710,,741,||, ﾚ,||,,815,840,,915,, ﾚ,,||, ﾚ,,,952,1013,||,,||,,,1110,,,||,,,,1211,||,,,1148,,,1323, ﾚ,||,, ﾚ,||,,,,1239,,,||,,,, ﾚ,||,1351,,1425,||,||,,||,,,,1511,1550,,,1632,,1654,, ﾚ,1730,,,1750,1815,,1835,1903,1938,2008,,2127,2211,2241,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
[名]||  大          高,発,, ﾚ,, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ,, ﾚ,,,,||,,,,,,,,||,,,,,,,,,,||,, ﾚ,,, ﾚ, ﾚ,,,,,,, ﾚ, ﾚ, ﾚ,,,,||,,,,,,,,454, ﾚ,, ﾚ, ﾚ,,||,||,,,552,,,,,651,,713,,745,||, ﾚ,||,,819,843,,919,, ﾚ,,||, ﾚ,,,955,1017,||,,||,,,1115,,,||,,,,1215,||,,,1152,,,1327, ﾚ,||,, ﾚ,||,,,,1243,,,||,,,, ﾚ,||,1355,,1429,||,||,,||,,,,1515,1554,,,1636,,1658,, ﾚ,1734,,,1754,1819,,1838,1907,1942,2012,,2131,2215,2245,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
    ||◆共          和,発,, ﾚ,, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ,, ﾚ,,,,||,,,,,,,,||,,,,,,,,,,||,, ﾚ,,, ﾚ, ﾚ,,,,,,, ﾚ, ﾚ, ﾚ,,,,||,,,,,,,,458, ﾚ,, ﾚ, ﾚ,,||,||,,,556,,,,,656,,718,,750,||, ﾚ,||,,824,848,,923,, ﾚ,,||, ﾚ,,,1000,1026,||,,||,,,1119,,,||,,,,1225,||,,,1156,,,1337, ﾚ,||,, ﾚ,||,,,,1247,,,||,,,, ﾚ,||,1404,,1433,||,||,,||,,,,1523,1558,,,1640,,1702,, ﾚ,1738,,,1759,1824,,1843,1912,1946,2016,,2135,2219,2249,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
    ||■大          府,発,, ﾚ,, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ,, ﾚ,,,,||,,,,,,,,||,,,,,,,,,,||,, ﾚ,,, ﾚ, ﾚ,,,,,,, ﾚ, ﾚ, ﾚ,,,,||,,,,,,,,502, ﾚ,,622, ﾚ,,||,||,,,600,,,,,659,,722,,754,||,801,||,,827,852,,927,, ﾚ,,||, ﾚ,,,1004,1030,||,,||,,,1123,,,||,,,,1229,||,,,1200,,,1341,1337,||,, ﾚ,||,,,,1252,,,||,,,,1521,||,1409,,1437,||,||,,||,,,,1527,1602,,,1644,,1706,,1716,1742,,,1803,1828,,1847,1917,1950,2020,,2139,2223,2253,, ﾚ, ﾚ,741, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
