FileType,OuDia.JikokuhyouCsv.1
[全日]1968.10/ 1改正
下り

列車番号,,525M,527M,529M,531M,533M,535M,421M,423M,425M,427M,8537M,721M,601M,537M,1723M,725M,539M,821M,429M,823M,1823M,431M,321M,433M,1825M,827M,1829M,323M,435M,831M,727M,833M,325M,835M,301M,6031,437M,837M,837M,327M,729M,2631M,329M,541M,1839M,511M,841M,801M,543M,843M,6311M,439M,6803M,,441M,723M,331M,545M,845M,443M,8105,445M,847M,849M,301,725M,333M,851M,549M,705M,447M,449M,853M,513M,855M,857M,807M,451M,733M,859M,809M,6811M,,335M,313M,735M,861M,6813M,453M,737M,863M,739M,605M,6715M,1741M,555M,1865M,6717M,819M,337M,867M,723M,557M,6513M,869M,1743M,871M,873M,303M,875M,1,455M,339M,3,,729M,1877M,879M,341M,1881M,883M,343M,5,885M,887M,1889M,345M,7,731M,891M,9,1893M,895M,11,897M,899M,33,347M,35,37,921M,747M,923M,925M,201,39,8115,927M,929M,101,931M,8117,933M,8303M,103,935M,143M,937M,,6101,6101,6101M,6103M,6301M,6105M,6031M,6107M
列車種別,,,,,,,,普通,,,,,,急行,,普通,,,普通,,普通,普通,,普通,,普通,普通,普通,普通,,普通,,普通,普通,普通,急行,☆彡,,普通,普通,普通,,,普通,,普通,急行,普通,急行,,普通,急行,,急行,,,普通,普通,,普通,,急行,,普通,普通,急行,普通,,普通,,急行,,,普通,急行,普通,普通,急行,,,普通,急行,急行,,普通,急行,,普通,急行,,,普通,,急行,急行,,,普通,急行,急行,普通,普通,普通,,急行,普通,,普通,普通,急行,普通,★彡,,普通,★彡,,普通,普通,普通,普通,普通,普通,普通,★彡,普通,普通,普通,普通,★彡,普通,普通,★彡,普通,普通,★彡,普通,普通,☆彡,普通,☆彡,☆彡,普通,,普通,普通,☆彡,☆彡,急行,普通,普通,☆彡,普通,急行,普通,急行,☆彡,普通,普通,普通,,急行,急行,急行,急行,急行,急行,急行,急行
列車名,,,,,,,,,,,,,,伊那,,,,,,,,,,,,,,,,,,,,,,東海,ながさき,,,,,,,,,,富士川,,伊豆,,,東海,,おくいず,,,,,,,,桜島,,,,霧島,,,,,伊豆,,,,富士川,,,伊豆,,,,伊豆,おくいず,,,東海,,,伊豆,,,,,伊那,伊豆,,,,伊豆,伊豆,,,,,湘南日光,,,,,東海,,さくら,,,みずほ,,,,,,,,,はやぶさ,,,,,富士,,,あさかぜ,,,あさかぜ,,,出雲,,瀬戸,安芸,,,,,紀伊,瀬戸,銀河,,,銀河,,銀河,,東海,銀河,,赤,,,季節列車,季節列車,ひので,わかくさ,こまどり,きぼう,わこうど,わかば
号数,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,2,,1,,,,,,,,,,,,,,,,,2,,,,2,,,3,,,,4,2,,,3,,,5,,,,,3,6,,,,7,8,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,1,,,,,,,2,51,,,1,,52,,51,2,,,,,,,,,,,,
,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,号,,号,,,号,,号,,,,,,,,,,,,,,,,,号,,,,号,,,号,,,,号,号,,,号,,,号,,,,,号,号,,,,号,号,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,号,,,号,,,,,号,,,,,,,号,号,,,号,,号,,号,号,,,,,,,,,,,,
[山]||  東          京,発,,,,,,,,,,,,,||,,,,,,,450,,,519,,,550,605,624,,636,,,701,,715,725,,,739,757,,||,812,,821,||,839,850,,857,900,,915,,,921,942,,1016,,1030,,1045,1057,1110,1116,1130,1155,,1210,,,1213,||,1228,1240,1250,,,1308,1315,1330,,1333,1350,,1353,1400,,,1418,,||,1424,,,1442,1445,1505,1508,1526,1538,,1555,1604,,1615,1625,1630,1636,1640,,1650,1700,,1707,1715,1724,1727,1733,1742,1751,1800,1803,1812,1822,1826,1830,1838,1841,1850,1855,1858,1910,1914,1923,1930,1942,1955,2005,1958,,2009,2023,2030,2045,2110,2117,2129,2145,2150,2200,2218,2225,2240,2255,2330,2355,,2020,2135,,,,,2055,2120
[山]||  新          橋,発,,,,,,,,,,,,,||,,,,,,,453,,,522,,,553,608,627,,639,,,704,, ﾚ, ﾚ,,,742,800,,||,815,,824,||,842, ﾚ,,900, ﾚ,, ﾚ,,,924,945,,1019,, ﾚ,,1048,1100, ﾚ,1119,1133,1158,, ﾚ,,,1216,||,1231,1243, ﾚ,,,1311, ﾚ, ﾚ,,1336, ﾚ,,1356, ﾚ,,,1421,,||, ﾚ,,,1445, ﾚ, ﾚ,1511,1529,1541,, ﾚ,1607,,1618,1628, ﾚ,1639, ﾚ,,1653, ﾚ,,1710,1718,1727,1730,1736,1745,1754, ﾚ,1806,1815,1825,1829, ﾚ,1841,1844, ﾚ,1858,1901, ﾚ,1917,1926, ﾚ,1945, ﾚ, ﾚ,2001,,2012,2026, ﾚ, ﾚ, ﾚ,2120,2132, ﾚ,2153, ﾚ,2222, ﾚ, ﾚ,2258,2333,2358,, ﾚ, ﾚ,,,,, ﾚ, ﾚ
[山]||■品          川,発,,,,,,,,,,,,,||,,,,,,,459,,,528,,,559,613,634,,647,,,711,718,723, ﾚ,,738,748,806,,||,821,,830,||,848, ﾚ,,905,908,,924,,,930,951,,1025,, ﾚ,,1055,1106, ﾚ,1125,1142,1203,, ﾚ,,,1222,||,1236,1250, ﾚ,,,1316, ﾚ,1338,,1342,1358,,1402, ﾚ,,,1427,,||, ﾚ,,,1451, ﾚ, ﾚ,1516,1534,1549,, ﾚ,1613,,1624,1634,1638,1645, ﾚ,,1659, ﾚ,,1716,1724,1733,1736,1742,1751,1800, ﾚ,1812,1821,1831,1835, ﾚ,1847,1850, ﾚ,1905,1908, ﾚ,1923,1934,1939,1953,2004,2014,2009,,2018,2033,2039,2054,2119,2126,2139, ﾚ,2159, ﾚ,2228, ﾚ,2250,2304,2339,005,,2029,2144,808,1007,1441,1950,2104,2130
[浜]||  川          崎,発,,,,,,,,,,,,,||,,,,,,, ﾚ,,, ﾚ,,, ﾚ, ﾚ, ﾚ,, ﾚ,,, ﾚ, ﾚ,733, ﾚ,, ﾚ, ﾚ, ﾚ,,||, ﾚ,, ﾚ,||, ﾚ, ﾚ,,915,918,, ﾚ,,,940,1001,,1035,, ﾚ,,1106,1116, ﾚ,1135,1152,1213,, ﾚ,,,1232,||,1246,1300, ﾚ,,,1326, ﾚ, ﾚ,,1352, ﾚ,,1412, ﾚ,,,1437,,||, ﾚ,,,1501, ﾚ, ﾚ,1526,1544,1559,, ﾚ,1623,,1634,1644,1648,1655, ﾚ,,1709, ﾚ,,1726,1734,1743,1746,1752,1801,1810, ﾚ,1822,1831,1842,1845, ﾚ,1857,1900, ﾚ,1917,1920, ﾚ,1933,1945, ﾚ,2003, ﾚ, ﾚ,2019,,2028,2043, ﾚ, ﾚ, ﾚ,2137,2149, ﾚ,2210, ﾚ,2239, ﾚ, ﾚ,2314,2350,015,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
[浜]||■横          浜,発,,,,,,,,,,,,,||,,,,,,,519,,,549,,,619,632,654,,709,,,731,739,744,755,,759,807,825,,||,843,,851,||,910,917,,925,929,,944,,,950,1011,,1047,,1057,,1116,1125,1138,1144,1203,1223,,1237,,,1242,||,1256,1309,1314,,,1341,1339,1357,,1402,1418,,1424,1428,,,1448,,||,1451,,,1511,1514,1531,1544,1554,1609,,1622,1633,,1644,1654,1658,1705,1708,,1720,1728,,1737,1745,1753,1757,1803,1812,1821,1828,1832,1841,1852,1900,1858,1908,1912,1918,1927,1930,1938,1943,1958,2001,2014,2025,2035,2030,,2038,2053,2100,2115,2140,2147,2200,2215,2222,2230,2249,2255,2310,2324,002,025,,2049,2205,830,1029,1502,2010,2124,2150
(近)||■大          船,発,,,,,,,,,,,,,||,,,,,510,,535,550,,605,,632,638,650,712,,726,,736,750,804,802, ﾚ,,817,826,843,,||,902,,911,||,933, ﾚ,,949,947,,1004,,,1011,1032,,1105,,1114,,1133,1143, ﾚ,1201,1220,1240,, ﾚ,,,1300,||,1312,1330, ﾚ,,,1359, ﾚ,1413,,1418,1435,,1446, ﾚ,,,1508,,||, ﾚ,,,1533, ﾚ, ﾚ,1602,1611,1627,, ﾚ,1651,,1701,1716,1714,1727, ﾚ,,1747, ﾚ,,1754,1803,1812,1816,1822,1829,1847, ﾚ,1853,1900,1915,1919, ﾚ,1925,1937, ﾚ,1944,1957, ﾚ,2001,2017,2021,2033,2045,2055,2048,,2058,2113,2120,2135,2159,2212,2219, ﾚ,2240,2250,2307,2315,2328,2342,018,043,,2109,2225, ﾚ,1050,1520,2030,2144,2210
