FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,432H,450H,530H,580H,570H,532H,682H,650H,634H,656H,630H,686H,658H,780H,736H,752H,770H,788H,732H,738H,782H,754H,750H,884H,856H,886H,830H,880H,836H,940H,988H,934H,982H,1084H,1086H,1030H,1140H,1188H,1180H,1284H,1286H,1282H,1340H,1388H,1330H,1484H,1486H,1480H,1540H,1588H,1562H,1684H,1686H,1680H,1642H,1740H,1744H,1788H,1756H,1762H,1784H,1882H,1890H,1880H,1860H,1844H,1840H,1988H,1930H,1956H,1942H,1962H,1982H,1990H,2080H,2084H,2040H,2130H,2156H,2188H,2162H,2290H,2282H,2294H,2284H,2266H,2356H,2340H,2388H,2362H,2390H,2482H,2494H,2484H,2456H
列車種別,,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取手,発,,435,505,||,534,553,||,620,629,633,648,||,656,702,717,||,724,||,735,738,746,||,757,||,817,828,838,846,856,909,917,||,948,1004,1027,1045,1103,1127,||,1203,1227,||,1303,1327,||,1403,1427,||,1503,1527,1544,1600,1612,1626,1644,1701,,1722,||,1731,1758,||,1810,1815,||,1832,1850,1903,||,1911,1920,1928,1947,1954,2011,2028,2049,2103,2112,2132,2154,2201,2217,||,2254,||,2311,2322,2333,2346,2355,008,023,036,047
天王台,発,,439,509,||,538,557,||,624,633,637,652,||,700,706,721,||,729,||,739,742,750,||,801,||,821,833,842,850,900,913,921,||,952,1008,1031,1050,1107,1131,||,1207,1231,||,1307,1331,||,1407,1431,||,1507,1531,1548,1604,1616,1630,1648,1705,,1726,||,1735,1802,||,1814,1819,||,1836,1855,1907,||,1915,1925,1932,1951,1958,2015,2032,2054,2107,2116,2136,2158,2205,2222,||,2258,||,2315,2326,2338,2350,2359,012,027,040,051
我孫子,発,,443,512,531,542,601,612,628,637,641,656,651,704,710,725,719,733,730,743,746,755,752,805,814,825,836,846,855,903,917,924,941,956,1015,1035,1058,1115,1135,1157,1215,1235,1257,1316,1335,1357,1415,1435,1457,1515,1535,1551,1608,1620,1638,1653,1708,,1729,1724,1745,1805,1801,1818,1822,1831,1846,1858,1914,1906,1918,1928,1937,1955,2002,2020,2037,2058,2116,2122,2145,2201,2209,2225,2232,2301,2257,2318,2329,2341,2353,003,015,030,044,055
柏,発,,447,517,535,546,605,617,632,641,645,700,656,709,715,729,724,738,735,748,751,759,757,809,819,830,841,850,859,908,922,929,946,1000,1020,1039,1102,1120,1139,1202,1220,1239,1302,1320,1339,1402,1420,1439,1502,1520,1539,1556,1612,1624,1642,1657,1713,,1734,1729,1749,1810,1806,1822,1827,1836,1850,1903,1919,1910,1923,1933,1941,1959,2006,2024,2042,2102,2121,2127,2149,2206,2213,2230,2237,2306,2302,2323,2334,2346,2358,007,020,035,048,059
松戸,発,435,456,527,544,556,615,625,642,650,654,710,705,718,724,738,733,747,744,757,800,809,806,818,828,839,850,859,909,917,931,939,955,1011,1029,1048,1111,1129,1148,1210,1229,1248,1310,1329,1348,1410,1429,1449,1511,1529,1548,1604,1626,1633,1654,1707,1725,1711,1744,1738,1759,1823,1815,1831,1836,1845,1900,1911,1928,1923,1931,1941,1954,2008,2016,2034,2055,2112,2130,2136,2158,2215,2225,2239,2246,2315,2310,2332,2343,2355,007,017,029,044,057,108
北千住,発,444,505,535,553,604,623,634,650,659,703,718,714,727,733,748,742,756,753,806,809,818,815,828,837,848,858,907,917,926,940,947,1004,1019,1037,1100,1119,1137,1201,1219,1237,1301,1319,1338,1401,1419,1437,1502,1519,1537,1601,1613,1635,1642,1703,1716,1734,1720,1752,1746,1808,1832,1823,1840,1844,1853,1908,1920,1936,1932,1940,1950,2003,2017,2029,2043,2103,2120,2139,2145,2207,2223,2234,2247,2259,2323,2319,2341,2352,003,015,025,038,,,
