FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,431H,471H,533H,551H,531H,635H,681H,671H,637H,633H,683H,751H,735H,757H,787H,731H,781H,837H,889H,833H,841H,883H,851H,985H,957H,987H,931H,981H,937H,1041H,1089H,1035H,1083H,1185H,1187H,1131H,1241H,1289H,1281H,1385H,1387H,1383H,1441H,1489H,1431H,1585H,1587H,1581H,1643H,1641H,1661H,1689H,1663H,1685H,1765H,1791H,1781H,1745H,1787H,1841H,1889H,1857H,1843H,1863H,1883H,1893H,1991H,1961H,1981H,1985H,1945H,1941H,1995H,2031H,2057H,2089H,2063H,2043H,2191H,2183H,2185H,2181H,2257H,2241H,2289H,2231H,2263H,2391H,2383H,2395H,2367H,2385H,2457H,2441H,2489H,2463H,2491H
列車種別,,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上野,発,,430,502,530,555,,612,624,,641,654,710,715,724,733,743,754,808,814,827,,839,852,902,907,919,925,937,954,1004,1022,1037,1043,1102,1122,1142,1202,1222,1242,1302,1322,1342,1402,1422,1442,1502,1522,1541,,1604,1614,1623,1639,1654,1702,1718,1724,1740,1753,1802,1812,1817,1825,1833,1845,1850,1902,1911,1917,1925,1933,1943,1949,2002,2017,2025,2033,2048,2102,2119,2133,2148,2203,2218,2233,2239,2255,2306,2320,2327,2335,2349,000,011,023,034,051
日暮里,発,,433,505,533,558,,615,627,,644,657,713,718,727,736,746,757,811,817,830,,842,855,905,910,922,928,940,957,1007,1025,1040,1046,1105,1125,1145,1205,1225,1245,1305,1325,1345,1405,1425,1445,1505,1525,1544,,1607,1617,1626,1642,1657,1705,1722,1727,1743,1756,1805,1815,1821,1829,1836,1848,1853,1905,1914,1920,1929,1936,1946,1952,2005,2020,2029,2036,2051,2105,2123,2136,2151,2206,2221,2236,2242,2258,2309,2323,2330,2338,2352,003,014,026,037,054
三河島,発,,436,507,535,600,,617,629,,646,659,715,720,729,738,748,759,814,819,832,,844,858,907,912,924,931,943,959,1009,1027,1042,1048,1108,1127,1147,1208,1227,1247,1308,1327,1347,1408,1427,1447,1508,1527,1546,,1609,1619,1628,1645,1659,1708,1724,1729,1745,1759,1808,1817,1823,1831,1839,1850,1856,1908,1917,1923,1931,1938,1949,1955,2008,2022,2031,2038,2053,2108,2125,2138,2153,2208,2223,2238,2244,2300,2311,2325,2332,2341,2354,005,016,028,039,056
南千住,発,,439,510,538,603,,620,632,,649,702,718,723,732,741,751,802,817,822,835,,847,901,910,915,927,934,946,1002,1012,1030,1045,1051,1111,1130,1150,1211,1230,1250,1311,1330,1350,1411,1430,1450,1511,1530,1549,,1612,1622,1631,1648,1702,1711,1727,1732,1748,1802,1811,1820,1826,1834,1842,1853,1859,1911,1920,1926,1934,1941,1952,1958,2011,2025,2034,2041,2056,2111,2128,2141,2156,2211,2226,2241,2247,2303,2314,2328,2335,2344,2357,008,019,031,042,059
北千住,発,,441,513,540,606,,622,634,,652,708,720,725,735,743,754,805,819,825,841,,849,903,913,918,930,940,948,1008,1015,1033,1047,1053,1113,1133,1153,1213,1233,1253,1313,1333,1353,1413,1433,1453,1513,1533,1552,,1614,1624,1638,1650,1708,1713,1729,1738,1751,1809,1814,1826,1829,1840,1845,1856,1902,1914,1926,1929,1940,1944,1955,2001,2013,2027,2040,2045,2059,2113,2130,2144,2159,2213,2229,2243,2251,2309,2317,2331,2338,2346,2359,011,021,035,044,102
松戸,発,426,450,522,550,616,600,632,644,638,701,717,730,735,747,753,803,815,828,833,850,837,858,915,922,927,938,949,958,1018,1029,1044,1056,1102,1129,1145,1202,1229,1245,1302,1329,1345,1402,1429,1445,1502,1529,1544,1601,1604,1623,1633,1647,1659,1718,1723,1739,1747,1800,1818,1823,1835,1838,1850,1854,1906,1914,1923,1935,1937,1950,1954,2004,2013,2023,2036,2050,2054,2108,2122,2140,2154,2213,2223,2238,2253,2301,2318,2326,2340,2348,2355,008,020,031,044,054,110
