FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,1120M,330M,722M,1124M,334M,326M,340M,2054M,524M,728M,58M,2322M,2056M,2734M,2052M,526M,2M,1142M,528M,1128M,346M,1132M,1152M,1148M,664M,2060M,4M,1136M,62M,530M,1150M,2338M,736M,2344M,64M,362M,534M,354M,532M,6M,668M,740M,536M,370M,364M,1156M,1166M,8M,1158M,742M,540M,538M,68M,3160M,744M,372M,70M,10M,378M,544M,3168M,542M,380M,12M,1174M,386M,72M,548M,3176M,546M,14M,1182M,388M,394M,74M,554M,3184M,552M,550M,16M,1190M,422M,76M,558M,3192M,556M,2396M,18M,424M,1198M,428M,78M,3220M,756M,560M,564M,678M,20M,432M,1226M,562M,80M,680M,436M,566M,1230M,82M,22M,440M,1234M,762M,444M,764M,1238M,2768M,24M,8096M,448M,570M,1242M,84M,1250M,572M,568M,1246M,26M,1254M,1256M,574M,86M,2452M,576M,772M,28M,462M,2458M,88M,578M,1266M,776M,1260M,30M,90M,582M,2464M,468M,472M,778M,474M,92M,2470M,782M,584M,476M,580M
列車種別,,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,特急,普通,特急,普通,特急,普通,特急,普通,普通,普通,普通,普通,普通,普通,普通,特急,特急,普通,特急,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,特急,特快,普通,普通,特急,特急,普通,普通,特快,普通,普通,特急,普通,普通,特急,普通,特快,普通,特急,普通,普通,普通,特急,普通,特快,普通,普通,特急,普通,普通,特急,普通,特快,普通,普通,特急,普通,普通,普通,特急,特快,普通,普通,普通,普通,特急,普通,普通,普通,特急,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,普通,普通,特急,特急,普通,普通,普通,特急,普通,普通,普通,普通,特急,普通,普通,普通,特急,普通,普通,普通,特急,普通,普通,特急,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通
列車名,,,,,,,,,ときわ,,,ときわ,,ときわ,,ときわ,,ひたち,,,,,,,,,ときわ,ひたち,,ときわ,,,,,,ときわ,,,,,ひたち,,,,,,,,ひたち,,,,,ときわ,,,,ときわ,ひたち,,,,,,ひたち,,,ときわ,,,,ひたち,,,,ときわ,,,,,ひたち,,,ときわ,,,,,ひたち,,,,ときわ,,,,,,ひたち,,,,ときわ,,,,,ときわ,ひたち,,,,,,,,ひたち,ときわ,,,,ときわ,,,,,ひたち,,,,ときわ,,,,ひたち,,,ときわ,,,,,ひたち,ときわ,,,,,,,ときわ,,,,,
号数,,,,,,,,,54,,,58,,56,,52,,2,,,,,,,,,60,4,,62,,,,,,64,,,,,6,,,,,,,,8,,,,,68,,,,70,10,,,,,,12,,,72,,,,14,,,,74,,,,,16,,,76,,,,,18,,,,78,,,,,,20,,,,80,,,,,82,22,,,,,,,,24,96,,,,84,,,,,26,,,,86,,,,28,,,88,,,,,30,90,,,,,,,92,,,,,
,,,,,,,,,号,,,号,,号,,号,,号,,,,,,,,,号,号,,号,,,,,,号,,,,,号,,,,,,,,号,,,,,号,,,,号,号,,,,,,号,,,号,,,,号,,,,号,,,,,号,,,号,,,,,号,,,,号,,,,,,号,,,,号,,,,,号,号,,,,,,,,号,号,,,,号,,,,,号,,,,号,,,,号,,,号,,,,,号,号,,,,,,,号,,,,,
いわき,発,,,,,,,,,540,,,,,,,606,614,,633,,,,,,755,,703,,,713,,,,,739,,745,,,818,912,,842,,,,,920,,,942,,,,,,,1017,,1048,,,,1120,,,,1148,,,1218,,,,,1248,,,,1323,,,,1348,,,,1418,,,,,,,,1507,1546,1518,,,,,1654,,1608,,,1618,,,,,,,,1721,,,1737,,,,1755,,,1816,,,1840,,,1908,,1918,,,,1955,,,,2016,,2052,,,,,,,,,2203,,
内郷,発,,,,,,,,,545,,,,,,,610, ﾚ,,637,,,,,,800,, ﾚ,,,718,,,,, ﾚ,,750,,, ﾚ,917,,847,,,,, ﾚ,,,947,,,,,,, ﾚ,,1053,,,, ﾚ,,,,1153,,, ﾚ,,,,,1253,,,, ﾚ,,,,1353,,,, ﾚ,,,,,,,,1512,1550, ﾚ,,,,,1659,,1613,,, ﾚ,,,,,,,, ﾚ,,,1741,,,,1800,,, ﾚ,,,1845,,,1912,, ﾚ,,,,2000,,,, ﾚ,,2058,,,,,,,,,2208,,
湯本,発,,,,,,,,,549,,,,,,,623,620,,641,,,,,,804,,709,,,722,,,,,745,,754,,,824,929,,850,,,,,926,,,951,,,,,,,1023,,1057,,,,1126,,,,1157,,,1224,,,,,1257,,,,1329,,,,1357,,,,1424,,,,,,,,1515,1554,1524,,,,,1703,,1616,,,1624,,,,,,,,1727,,,1745,,,,1804,,,1822,,,1848,,,1916,,1924,,,,2004,,,,2022,,2101,,,,,,,,,2212,,
泉,発,,,,,,,,,554,,,,,,,628,625,,647,,,,,,809,,714,,,728,,,,,750,,759,,,829,935,,856,,,,,931,,,956,,,,,,,1028,,1102,,,,1131,,,,1202,,,1229,,,,,1302,,,,1334,,,,1402,,,,1429,,,,,,,,1521,1600,1529,,,,,1708,,1622,,,1629,,,,,,,,1732,,,1750,,,,1809,,,1827,,,1854,,,1921,,1929,,,,2010,,,,2027,,2107,,,,,,,,,2217,,
植田,発,,,,,,,,,600,,,,,,,635, ﾚ,,653,,,,,,816,, ﾚ,,,734,,,,, ﾚ,,805,,, ﾚ,941,,902,,,,, ﾚ,,,1003,,,,,,, ﾚ,,1109,,,, ﾚ,,,,1209,,, ﾚ,,,,,1309,,,, ﾚ,,,,1409,,,, ﾚ,,,,,,,,1527,1606, ﾚ,,,,,1715,,1628,,, ﾚ,,,,,,,, ﾚ,,,1757,,,,1816,,, ﾚ,,,1900,,,1928,, ﾚ,,,,2016,,,, ﾚ,,2113,,,,,,,,,2223,,
勿来,発,,,,,,,,,605,,,,,,,639,633,,658,,,,,,821,, ﾚ,,,739,,,,, ﾚ,,809,,,837,945,,906,,,,, ﾚ,,,1007,,,,,,,1037,,1113,,,, ﾚ,,,,1213,,,1238,,,,,1313,,,, ﾚ,,,,1413,,,,1437,,,,,,,,1532,1610, ﾚ,,,,,1719,,1632,,,1637,,,,,,,, ﾚ,,,1801,,,,1820,,,1835,,,1904,,,1932,, ﾚ,,,,2021,,,,2035,,2117,,,,,,,,,2228,,
