FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,521M,321M,527M,523M,325M,669M,323M,525M,327M,531M,1129M,1M,529M,331M,2723M,671M,2333M,51M,725M,1135M,2337M,2003M,339M,729M,533M,341M,2053M,2343M,535M,731M,345M,2005M,537M,347M,735M,2055M,2349M,539M,1151M,737M,7M,541M,3153M,355M,57M,1157M,543M,1159M,9M,3161M,545M,363M,741M,59M,1165M,547M,743M,367M,11M,3169M,549M,371M,61M,1173M,551M,375M,13M,3177M,553M,2379M,63M,555M,1181M,383M,15M,3185M,557M,387M,65M,1189M,559M,563M,391M,17M,3193M,561M,395M,67M,1197M,685M,2399M,19M,1221M,565M,567M,69M,1223M,425M,569M,21M,1227M,571M,71M,1229M,573M,757M,431M,23M,1233M,575M,2073M,2435M,75M,1237M,691M,761M,439M,25M,1241M,2077M,2443M,577M,79M,1245M,765M,2447M,27M,1249M,2081M,451M,83M,579M,1253M,585M,769M,2455M,29M,1257M,581M,771M,459M,85M,1261M,463M,87M,1265M,583M,467M,89M,1269M,91M,1271M,2473M
列車種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,特急,普通,普通,普通,特急,普通,普通,普通,普通,特急,普通,普通,普通,普通,特急,普通,普通,普通,特急,普通,普通,普通,普通,特急,普通,特快,普通,特急,普通,普通,普通,特急,特快,普通,普通,普通,特急,普通,普通,普通,普通,特急,特快,普通,普通,特急,普通,普通,普通,特急,特快,普通,普通,特急,普通,普通,普通,特急,特快,普通,普通,特急,普通,普通,普通,普通,特急,特快,普通,普通,特急,普通,普通,普通,特急,普通,普通,普通,特急,普通,普通,普通,特急,普通,普通,特急,普通,普通,普通,普通,特急,普通,普通,特急,普通,特急,普通,普通,普通,普通,特急,普通,特急,普通,普通,特急,普通,普通,普通,特急,普通,特急,普通,特急,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,特急,普通,普通,特急,普通,普通,普通,特急,普通,特急,普通,普通
列車名,,,,,,,,,,,,,ひたち,,,,,,ときわ,,,,ひたち,,,,,ときわ,,,,,ひたち,,,,ときわ,,,,,ひたち,,,,ときわ,,,,ひたち,,,,,ときわ,,,,,ひたち,,,,ときわ,,,,ひたち,,,,ときわ,,,,ひたち,,,,ときわ,,,,,ひたち,,,,ときわ,,,,ひたち,,,,ときわ,,,,ひたち,,,ときわ,,,,,ひたち,,,ときわ,,ときわ,,,,,ひたち,,ときわ,,,ときわ,,,,ひたち,,ときわ,,ときわ,,,,,,ひたち,,,,,ときわ,,,ときわ,,,,ときわ,,ときわ,,
号数,,,,,,,,,,,,,1,,,,,,51,,,,3,,,,,53,,,,,5,,,,55,,,,,7,,,,57,,,,9,,,,,59,,,,,11,,,,61,,,,13,,,,63,,,,15,,,,65,,,,,17,,,,67,,,,19,,,,69,,,,21,,,71,,,,,23,,,73,,75,,,,,25,,77,,,79,,,,27,,81,,83,,,,,,29,,,,,85,,,87,,,,89,,91,,
,,,,,,,,,,,,,号,,,,,,号,,,,号,,,,,号,,,,,号,,,,号,,,,,号,,,,号,,,,号,,,,,号,,,,,号,,,,号,,,,号,,,,号,,,,号,,,,号,,,,,号,,,,号,,,,号,,,,号,,,,号,,,号,,,,,号,,,号,,号,,,,,号,,号,,,号,,,,号,,号,,号,,,,,,号,,,,,号,,,号,,,,号,,号,,
上野,発,,510,,,604,,,,631,,649,700,,703,||,,719,730,||,739,748,800,803,||,,821,830,834,,||,845,900,,913,||,930,933,,947,||,1000,,1009,1016,1030,1032,,1052,1100,1109,,1112,||,1130,1132,,||,1152,1200,1209,,1212,1230,1232,,1252,1300,1309,,1312,1330,,1332,1352,1400,1409,,1412,1430,1432,,,1452,1500,1509,,1513,1530,1532,,1552,1600,1608,,,1630,1633,1646,,1700,1710,,1730,1733,,||,1747,1800,1808,,1815,1822,1830,1839,,||,1855,1900,1908,1915,1922,,1930,1939,||,1954,2000,2010,2015,2021,2030,,2041,,||,2052,2100,2110,,||,2124,2130,2140,2154,2200,2210,,2224,2230,2249,2300,2312,2342
日暮里,発,,513,,,607,,,,634,,654, ﾚ,,706,||,,722, ﾚ,||,742,751, ﾚ,806,||,,824, ﾚ,837,,||,848, ﾚ,,916,||, ﾚ,936,,952,||, ﾚ,,1013,1019, ﾚ,1036,,1056, ﾚ,1113,,1116,||, ﾚ,1136,,||,1155, ﾚ,1213,,1216, ﾚ,1236,,1255, ﾚ,1313,,1316, ﾚ,,1336,1355, ﾚ,1413,,1416, ﾚ,1436,,,1455, ﾚ,1513,,1516, ﾚ,1536,,1555, ﾚ,1611,,, ﾚ,1636,1649,, ﾚ,1715,, ﾚ,1737,,||,1750, ﾚ,1811,, ﾚ,1826, ﾚ,1843,,||,1858, ﾚ,1912, ﾚ,1926,, ﾚ,1943,||,1958, ﾚ,2013, ﾚ,2024, ﾚ,,2045,,||,2056, ﾚ,2113,,||,2127, ﾚ,2144,2158, ﾚ,2213,,2228, ﾚ,2252, ﾚ,2315,2346
三河島,発,,516,,,609,,,,636,,656, ﾚ,,708,||,,724, ﾚ,||,744,754, ﾚ,809,||,,827, ﾚ,840,,||,851, ﾚ,,919,||, ﾚ,939,,954,||, ﾚ,, ﾚ,1021, ﾚ,1039,,1058, ﾚ, ﾚ,,1118,||, ﾚ,1139,,||,1158, ﾚ, ﾚ,,1218, ﾚ,1239,,1258, ﾚ, ﾚ,,1318, ﾚ,,1339,1358, ﾚ, ﾚ,,1418, ﾚ,1439,,,1458, ﾚ, ﾚ,,1518, ﾚ,1539,,1557, ﾚ,1614,,, ﾚ,1639,1651,, ﾚ,1717,, ﾚ,1739,,||,1752, ﾚ,1814,, ﾚ,1829, ﾚ,1846,,||,1900, ﾚ,1914, ﾚ,1929,, ﾚ,1945,||,2000, ﾚ,2016, ﾚ,2026, ﾚ,,2047,,||,2059, ﾚ,2116,,||,2130, ﾚ,2146,2200, ﾚ,2216,,2230, ﾚ,2255, ﾚ,2318,2348
南千住,発,,519,,,612,,,,640,,700, ﾚ,,711,||,,727, ﾚ,||,747,757, ﾚ,812,||,,830, ﾚ,843,,||,854, ﾚ,,922,||, ﾚ,942,,958,||, ﾚ,, ﾚ,1024, ﾚ,1042,,1101, ﾚ, ﾚ,,1121,||, ﾚ,1142,,||,1201, ﾚ, ﾚ,,1221, ﾚ,1242,,1301, ﾚ, ﾚ,,1321, ﾚ,,1342,1401, ﾚ, ﾚ,,1421, ﾚ,1442,,,1501, ﾚ, ﾚ,,1521, ﾚ,1542,,1600, ﾚ,1617,,, ﾚ,1642,1654,, ﾚ,1720,, ﾚ,1742,,||,1755, ﾚ,1817,, ﾚ,1832, ﾚ,1849,,||,1903, ﾚ,1917, ﾚ,1932,, ﾚ,1948,||,2003, ﾚ,2019, ﾚ,2030, ﾚ,,2050,,||,2102, ﾚ,2119,,||,2133, ﾚ,2149,2203, ﾚ,2219,,2233, ﾚ,2258, ﾚ,2321,2351
北千住,発,,521,,,615,,,,642,,703, ﾚ,,714,||,,730, ﾚ,||,750,800, ﾚ,814,||,,832, ﾚ,845,,||,857, ﾚ,,924,||, ﾚ,944,,1001,||, ﾚ,,1018,1027, ﾚ,1045,,1103, ﾚ,1118,,1124,||, ﾚ,1144,,||,1203, ﾚ,1218,,1224, ﾚ,1244,,1303, ﾚ,1318,,1324, ﾚ,,1344,1403, ﾚ,1418,,1424, ﾚ,1444,,,1503, ﾚ,1518,,1524, ﾚ,1544,,1603, ﾚ,1620,,, ﾚ,1644,1657,, ﾚ,1723,, ﾚ,1745,,||,1758, ﾚ,1819,, ﾚ,1834, ﾚ,1851,,||,1909, ﾚ,1920, ﾚ,1934,, ﾚ,1951,||,2008, ﾚ,2021, ﾚ,2033, ﾚ,,2053,,||,2108, ﾚ,2121,,||,2140, ﾚ,2152,2209, ﾚ,2221,,2240, ﾚ,2300, ﾚ,2324,2354
松戸,発,,530,,,623,,,,651,,713, ﾚ,,723,||,,738, ﾚ,||,758,809, ﾚ,823,||,,841, ﾚ,854,,||,906, ﾚ,,933,||, ﾚ,953,,1014,||, ﾚ,,1026,1036, ﾚ,1054,,1114, ﾚ,1126,,1133,||, ﾚ,1153,,||,1214, ﾚ,1226,,1233, ﾚ,1253,,1314, ﾚ,1326,,1333, ﾚ,,1353,1414, ﾚ,1426,,1433, ﾚ,1453,,,1514, ﾚ,1527,,1533, ﾚ,1553,,1614, ﾚ,1629,,, ﾚ,1653,1706,, ﾚ,1732,, ﾚ,1753,,||,1807, ﾚ,1832,, ﾚ,1845, ﾚ,1900,,||,1917, ﾚ,1931, ﾚ,1946,, ﾚ,2000,||,2017, ﾚ,2033, ﾚ,2046, ﾚ,,2102,,||,2117, ﾚ,2130,,||,2148, ﾚ,2201,2218, ﾚ,2230,,2249, ﾚ,2309, ﾚ,2332,002
