FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,1820E,1822E,1826E,3620E,1528E,2820Y,5032M,5032M,1524E,1526E,1534E,2822Y,1538E,3722M,3622E,1532E,3452M,1830E,1542E,1832E,1828E,3724M,1129M,1834E,2824Y,2826Y,1550E,1M,1536E,3920E,1554E,3726M,3454M,1836E,2828Y,1540E,1838E,1560E,51M,3728M,1548E,1135M,1544E,1552E,1564E,3730M,1842E,1840E,1556E,3456M,1546E,3922E,1566E,1562E,3732M,3732M,1558E,1846E,2830Y,3734M,1568E,1844E,1848E,1850E,1576E,1574E,4820Y,1854E,1572E,1578E,1151M,1852E,1580E,2832Y,7M,3153M,4822Y,1856E,3522E,57M,1157M,1858E,2834Y,1584E,1159M,1862E,9M,1864E,1860E,3161M,1582E,4824Y,3524E,59M,1165M,3002M,1586E,1866E,2836Y,11M,1868E,1870E,3169M,4826Y,1588E,3526E,61M,1173M,1590E,1872E,2838Y,13M,1876E,1874E,3177M,4828Y,1592E,3528E,63M,1181M,1878E,3026M,3026M,1596E,1880E,2840Y,15M,1882E,1594E,3185M,4830Y,3530E,65M,1189M,1884E,3028M,1598E,1886E,2842Y,17M,1888E,3193M,4832Y,1620E,3532E,67M,1197M,1622E,2844Y,3008M,1890E,19M,1894E,1221M,4834Y,1624E,1892E,3534E,69M,1223M,1628E,3034M,3034M,1626E,1896E,21M,2846Y,1920E,1227M,2848Y,1791H,3536E,1630E,1898E,71M,1229M,1924E,3060M,1632E,1922E,1787H,3538E,2850Y,23M,1233M,1928E,2852Y,2854Y,1843H,1634E,1638E,75M,1636E,1237M,1926E,1893H,1642E,1930E,25M,2856Y,1932E,1644E,1241M,2858Y,1985H,1936E,1934E,79M,1245M,1646E,1995H,2860Y,1648E,2862Y,27M,1249M,3540E,2089H,2864Y,83M,1942E,1938E,1940E,1253M,2043H,1650E,2866Y,29M,1257M,1652E,1944E,2183H,1946E,85M,2868Y,1261M,3750M,1948E,2181H,724M,87M,722M,1265M,1720M,2241H,728M,2870Y,89M,726M,520M,2231H,1269M,730M,91M,1271M,734M,732M
列車種別,,普通,普通,普通,快速,普通,快速,★彡,★彡,普通,普通,普通,快速,普通,ﾗｲﾅｰ,快速,普通,ﾗｲﾅｰ,普通,普通,普通,普通,ﾗｲﾅｰ,普通,普通,快速,快速,普通,特急,普通,快速,普通,ﾗｲﾅｰ,ﾗｲﾅｰ,普通,快速,普通,普通,普通,特急,ﾗｲﾅｰ,普通,普通,普通,普通,普通,ﾗｲﾅｰ,普通,普通,普通,ﾗｲﾅｰ,普通,快速,普通,普通,ﾗｲﾅｰ,ﾗｲﾅｰ,普通,普通,快速,ﾗｲﾅｰ,普通,普通,普通,普通,普通,普通,特快,普通,普通,普通,普通,普通,普通,快速,特急,特快,特快,普通,快速,特急,普通,普通,快速,普通,普通,普通,特急,普通,普通,特快,普通,特快,快速,特急,普通,特急,普通,普通,快速,特急,普通,普通,特快,特快,普通,快速,特急,普通,普通,普通,快速,特急,普通,普通,特快,特快,普通,快速,特急,普通,普通,特急,特急,普通,普通,快速,特急,普通,普通,特快,特快,快速,特急,普通,普通,特急,普通,普通,快速,特急,普通,特快,特快,普通,快速,特急,普通,普通,快速,特急,普通,特急,普通,普通,特快,普通,普通,快速,特急,普通,普通,特急,特急,普通,普通,特急,快速,普通,普通,快速,快速,快速,普通,普通,特急,普通,普通,特急,普通,普通,快速,快速,快速,特急,普通,普通,快速,快速,快速,普通,普通,特急,普通,普通,普通,快速,普通,普通,特急,快速,普通,普通,普通,快速,快速,普通,普通,特急,普通,普通,快速,快速,普通,快速,特急,普通,快速,快速,快速,特急,普通,普通,普通,普通,快速,普通,快速,特急,普通,普通,普通,快速,普通,特急,快速,普通,快速,普通,快速,普通,特急,普通,普通,普通,快速,普通,快速,特急,普通,普通,快速,普通,普通,特急,普通,普通,普通
列車名,,,,,ラビット,,,サンライズ出雲,サンライズ瀬戸,,,,,,湘南ライナー,ラビット,,おはようライナー新宿,,,,,湘南ライナー,,,,,,ひたち,,アーバン,,湘南ライナー,おはようライナー新宿,,,,,,ときわ,湘南ライナー,,,,,,湘南ライナー,,,,おはようライナー新宿,,アーバン,,,湘南ライナー,湘南ライナー,,,,湘南ライナー,,,,,,,,,,,,,,,ひたち,,,,アクティー,ときわ,,,,,,,ひたち,,,,,,アクティー,ときわ,,スーパービュー踊り子,,,,ひたち,,,,,,アクティー,ときわ,,,,,ひたち,,,,,,アクティー,ときわ,,,踊り子,踊り子,,,,ひたち,,,,,アクティー,ときわ,,,踊り子,,,,ひたち,,,,,アクティー,ときわ,,,,スーパービュー踊り子,,ひたち,,,,,,アクティー,ときわ,,,踊り子,踊り子,,,ひたち,,,,,,アクティー,,,ときわ,,,スーパービュー踊り子,,,,アクティー,,ひたち,,,,,,,,ときわ,,,,,,,ひたち,,,,,,,,,ときわ,,,,,,,ひたち,,アクティー,,,ときわ,,,,,,,,ひたち,,,,,,ときわ,,,アクティー,,,,ときわ,,,,,,,ときわ,,,,,,ときわ,,,
号数,,,,,,,,,,,,,,,2,,,22,,,,,4,,,,,,1,,,,6,24,,,,,,51,8,,,,,,10,,,,26,,,,,12,12,,,,14,,,,,,,,,,,,,,,7,,,,,57,,,,,,,9,,,,,,,59,,2,,,,11,,,,,,,61,,,,,13,,,,,,,63,,,106,106,,,,15,,,,,,65,,,108,,,,17,,,,,,67,,,,8,,19,,,,,,,69,,,114,114,,,21,,,,,,,,,71,,,10,,,,,,23,,,,,,,,75,,,,,,,25,,,,,,,,,79,,,,,,,27,,,,,83,,,,,,,,29,,,,,,85,,,,,,,87,,,,,,,89,,,,,,91,,,
,,,,,,,,,,,,,,,号,,,号,,,,,号,,,,,,号,,,,号,号,,,,,,号,号,,,,,,号,,,,号,,,,,号,号,,,,号,,,,,,,,,,,,,,,号,,,,,号,,,,,,,号,,,,,,,号,,号,,,,号,,,,,,,号,,,,,号,,,,,,,号,,,号,号,,,,号,,,,,,号,,,号,,,,号,,,,,,号,,,,号,,号,,,,,,,号,,,号,号,,,号,,,,,,,,,号,,,号,,,,,,号,,,,,,,,号,,,,,,,号,,,,,,,,,号,,,,,,,号,,,,,号,,,,,,,,号,,,,,,号,,,,,,,号,,,,,,,号,,,,,,号,,,
熱海,発,,434,518,,539,,545,545,,,603,,616,,,,,,630,,,,,,,,645,,,,657,,,,,,,713,,,,,,,727,,,,,,,,753,,,||,,,,,810,,,823,849,,,908,,926,,,940,,,,,,1010,,,,,1037,,,,1053,,,,,1110,,,1128,1132,,,,,1153,,,,1210,,,1231,,,,1249,,,,,1313,,,,1333,1333,1338,,,,1351,,,,1413,,,,1429,1433,,,,1450,,,,1512,,,1527,,1533,,,1549,,,,,1606,,,1621,1629,1629,,,,,1646,,,,1704,,,,,1718,1726,,,,1737,,,,1751,,,,,1812,,,,,,1835,,,,,1853,,,,1909,,,,1927,,,1942,,,,2003,,,,2017,,,,,2035,,,,2056,,,,,,,2128,,,2140,,,,,,2209,,,,2220,,,2235,,,2307,
湯河原,発,,440,524,,545,, ﾚ, ﾚ,,,609,,622,,,,,,636,,,,,,,,652,,,,702,,,,,,,719,,,,,,,733,,,,,,,,758,,,||,,,,,816,,,828,855,,,914,,931,,,946,,,,,,1015,,,,,1043,,,,1058,,,,,1115,,,1134,1137,,,,,1159,,,,1215,,,1236,,,,1254,,,,,1318,,,,1338,1338,1343,,,,1356,,,,1418,,,,1435,1439,,,,1455,,,,1517,,,1532,, ﾚ,,,1554,,,,,1612,,,1627,1635,1635,,,,,1651,,,,1709,,,,,1724, ﾚ,,,,1742,,,,1757,,,,,1817,,,,,,1841,,,,,1858,,,,1914,,,,1932,,,1947,,,,2009,,,,2022,,,,,2041,,,,2102,,,,,,,2133,,,2145,,,,,,2214,,,,2225,,,2240,,,2313,
真鶴,発,,444,527,,548,, ﾚ, ﾚ,,,613,,625,,,,,,639,,,,,,,,656,,,,706,,,,,,,723,,,,,,,737,,,,,,,,802,,,||,,,,,819,,,832,858,,,917,,935,,,949,,,,,,1019,,,,,1047,,,,1102,,,,,1119,,, ﾚ,1141,,,,,1203,,,,1219,,,1240,,,,1258,,,,,1322,,,, ﾚ, ﾚ,1347,,,,1400,,,,1422,,,, ﾚ,1442,,,,1459,,,,1521,,,1536,, ﾚ,,,1558,,,,,1615,,,1631, ﾚ, ﾚ,,,,,1655,,,,1713,,,,,1727, ﾚ,,,,1746,,,,1800,,,,,1821,,,,,,1845,,,,,1902,,,,1918,,,,1936,,,1951,,,,2013,,,,2026,,,,,2044,,,,2105,,,,,,,2137,,,2149,,,,,,2218,,,,2229,,,2244,,,2316,
根府川,発,,449,533,,554,, ﾚ, ﾚ,,,619,,631,,,,,,645,,,,,,,,702,,,,711,,,,,,,728,,,,,,,742,,,,,,,,807,,,||,,,,,825,,,837,904,,,923,,940,,,955,,,,,,1025,,,,,1052,,,,1108,,,,,1124,,, ﾚ,1146,,,,,1208,,,,1224,,,1245,,,,1304,,,,,1327,,,, ﾚ, ﾚ,1352,,,,1405,,,,1427,,,, ﾚ,1448,,,,1504,,,,1526,,,1546,, ﾚ,,,1603,,,,,1621,,,1636, ﾚ, ﾚ,,,,,1701,,,,1718,,,,,1733, ﾚ,,,,1751,,,,1806,,,,,1826,,,,,,1850,,,,,1908,,,,1923,,,,1941,,,1956,,,,2019,,,,2031,,,,,2050,,,,2111,,,,,,,2142,,,2154,,,,,,2223,,,,2234,,,2249,,,2322,
早川,発,,454,537,,558,, ﾚ, ﾚ,,,623,,636,,,,,,649,,,,,,,,707,,,,716,,,,,,,733,,,,,,,747,,,,,,,,812,,,||,,,,,829,,,842,908,,,928,,945,,,959,,,,,,1029,,,,,1057,,,,1113,,,,,1128,,, ﾚ,1151,,,,,1213,,,,1228,,,1249,,,,1308,,,,,1332,,,, ﾚ, ﾚ,1357,,,,1410,,,,1432,,,, ﾚ,1452,,,,1509,,,,1531,,,1551,, ﾚ,,,1607,,,,,1625,,,1640, ﾚ, ﾚ,,,,,1706,,,,1723,,,,,1737, ﾚ,,,,1755,,,,1810,,,,,1831,,,,,,1855,,,,,1913,,,,1928,,,,1945,,,2001,,,,2024,,,,2036,,,,,2054,,,,2115,,,,,,,2147,,,2159,,,,,,2228,,,,2239,,,2254,,,2326,
小田原,着,,457,541,,602,, ﾚ, ﾚ,,,627,,639,,,,,,653,,,,,,,,711,,,,719,,,,,,,736,,,,,,,750,,,,,,,,814,,,||,,,,,832,,,844,912,,,930,,947,,,1003,,,,,,1032,,,,,1100,,,,1116,,,,,1131,,,1145,1154,,,,,1216,,,,1231,,,1252,,,,1312,,,,,1334,,,,1350,1350,1359,,,,1413,,,,1434,,,,1447,1455,,,,1511,,,,1533,,,1553,, ﾚ,,,1611,,,,,1628,,,1644,1647,1647,,,,,1708,,,,1725,,,,,1741, ﾚ,,,,1758,,,,1814,,,,,1835,,,,,,1859,,,,,1916,,,,1931,,,,1948,,,2003,,,,2027,,,,2039,,,,,2057,,,,2118,,,,,,,2149,,,2201,,,,,,2230,,,,2241,,,2256,,,2330,
