FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,721M,725M,321M,323M,723M,727M,729M,1821E,1521E,1120M,1523E,1823E,1825E,1525E,1827E,1124M,2821Y,1527E,1829E,1529E,1831E,731M,658H,1531E,1128M,1833E,752H,58M,1533E,1132M,1835E,770H,3521E,1136M,1837E,738H,1535E,2823Y,754H,1839E,1537E,1142M,2825Y,1841E,1539E,3025M,3025M,1843E,2827Y,2M,3523E,1845E,1148M,1541E,2829Y,62M,1847E,1543E,2831Y,1150M,4M,1849E,1545E,1152M,2833Y,1851E,3063M,3027M,1547E,1853E,64M,1855E,2835Y,1549E,1156M,3525E,6M,2837Y,1857E,1158M,1551E,3005M,3160M,1859E,68M,1861E,2839Y,1553E,3527E,8M,4821Y,1863E,1166M,1555E,3035M,3035M,3168M,1865E,70M,1867E,2841Y,1557E,3529E,10M,4823Y,1869E,1174M,1559E,3007M,3176M,1871E,72M,1873E,2843Y,1561E,3531E,12M,4825Y,1875E,1182M,1563E,3184M,1877E,74M,1879E,2845Y,1565E,3533E,14M,4827Y,1881E,1190M,1567E,3192M,1883E,76M,1885E,2847Y,1569E,3535E,16M,4829Y,1887E,1198M,1571E,3220M,1889E,78M,1891E,2849Y,1573E,3537E,4831Y,18M,1893E,1226M,1575E,1686H,1895E,80M,1897E,2851Y,1577E,1230M,1579E,1642H,1899E,20M,1581E,4833Y,1921E,1583E,1234M,1585E,1923E,82M,1587E,2853Y,1925E,3721M,1589E,1238M,1927E,22M,1591E,2855Y,1784H,1929E,3723M,1593E,1242M,1595E,84M,1931E,2857Y,1597E,3725M,1599E,1246M,1933E,24M,3869M,1621E,1988H,2859Y,3727M,1935E,1250M,1942H,1623E,86M,3451M,1937E,1254M,3729M,1625E,2861Y,1982H,1939E,26M,3871M,1627E,1256M,3731M,2863Y,1941E,2080H,1629E,88M,2865Y,1943E,3733M,1631E,1260M,2040H,1945E,28M,3873M,1633E,2867Y,2130H,5031M,5031M,5031M,1947E,1949E,90M,3453M,1635E,3735M,1951E,1266M,1637E,30M,2869Y,1953E,1639E,733M,92M,735M,3737M,2871Y,737M,739M,1741M,2873Y,743M
列車種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,特急,普通,普通,普通,快速,快速,普通,普通,快速,普通,快速,快速,普通,普通,普通,快速,普通,普通,特急,特急,普通,快速,特急,快速,普通,普通,普通,快速,特急,普通,普通,快速,普通,特急,普通,普通,普通,快速,普通,特急,特急,普通,普通,特急,普通,快速,普通,普通,快速,特急,快速,普通,普通,普通,特急,特快,普通,特急,普通,快速,普通,快速,特急,特快,普通,普通,普通,特急,特急,特快,普通,特急,普通,快速,普通,快速,特急,特快,普通,普通,普通,特急,特快,普通,特急,普通,快速,普通,快速,特急,特快,普通,普通,普通,特快,普通,特急,普通,快速,普通,快速,特急,特快,普通,普通,普通,特快,普通,特急,普通,快速,普通,快速,特急,特快,普通,普通,普通,特快,普通,特急,普通,快速,普通,快速,特快,特急,普通,普通,普通,快速,普通,特急,普通,快速,普通,普通,普通,快速,普通,特急,普通,特快,普通,普通,普通,普通,普通,特急,普通,快速,普通,ﾗｲﾅｰ,普通,普通,普通,特急,普通,快速,快速,普通,ﾗｲﾅｰ,普通,普通,普通,特急,普通,快速,普通,ﾗｲﾅｰ,普通,普通,普通,特急,通快,普通,快速,快速,ﾗｲﾅｰ,普通,普通,快速,普通,特急,ﾗｲﾅｰ,普通,普通,ﾗｲﾅｰ,普通,快速,快速,普通,特急,通快,普通,普通,ﾗｲﾅｰ,快速,普通,快速,普通,特急,快速,普通,ﾗｲﾅｰ,普通,普通,快速,普通,特急,通快,普通,快速,快速,★彡,★彡,★彡,普通,普通,特急,ﾗｲﾅｰ,普通,ﾗｲﾅｰ,普通,普通,普通,特急,快速,普通,普通,普通,特急,普通,ﾗｲﾅｰ,快速,普通,普通,普通,快速,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ときわ,,,,,アクティー,,,,,,,,,,,,,踊り子,踊り子,,,ひたち,アクティー,,,,,ときわ,,,,,ひたち,,,,,,スーパービュー踊り子,踊り子,,,ときわ,,,,,アクティー,ひたち,,,,,スーパービュー踊り子,,,ときわ,,,,アクティー,ひたち,,,,,踊り子,踊り子,,,ときわ,,,,アクティー,ひたち,,,,,スーパービュー踊り子,,,ときわ,,,,アクティー,ひたち,,,,,,,ときわ,,,,アクティー,ひたち,,,,,,,ときわ,,,,アクティー,ひたち,,,,,,,ときわ,,,,アクティー,,ひたち,,,,,,ときわ,,,,,,,,ひたち,,,,,,,,ときわ,,,,湘南ライナー,,,,ひたち,,,,,湘南ライナー,,,,ときわ,,,,湘南ライナー,,,,ひたち,,,,,湘南ライナー,,,,,ときわ,ホームライナー小田原,,,湘南ライナー,,,,,ひたち,,,,湘南ライナー,,,,,ときわ,,,湘南ライナー,,,,,ひたち,,,,,サンライズ出雲,サンライズ瀬戸,サンライズ瀬戸,,,ときわ,ホームライナー小田原,,湘南ライナー,,,,ひたち,,,,,ときわ,,湘南ライナー,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,105,105,,,2,,,,,,62,,,,,4,,,,,,3,107,,,64,,,,,,6,,,,,5,,,68,,,,,8,,,,,115,115,,,70,,,,,10,,,,,7,,,72,,,,,12,,,,,,,74,,,,,14,,,,,,,76,,,,,16,,,,,,,78,,,,,,18,,,,,,80,,,,,,,,20,,,,,,,,82,,,,1,,,,22,,,,,3,,,,84,,,,5,,,,24,,,,,7,,,,,86,21,,,9,,,,,26,,,,11,,,,,88,,,13,,,,,28,,,,,,,,,,90,23,,15,,,,30,,,,,92,,17,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,号,号,,,号,,,,,,号,,,,,号,,,,,,号,号,,,号,,,,,,号,,,,,号,,,号,,,,,号,,,,,号,号,,,号,,,,,号,,,,,号,,,号,,,,,号,,,,,,,号,,,,,号,,,,,,,号,,,,,号,,,,,,,号,,,,,,号,,,,,,号,,,,,,,,号,,,,,,,,号,,,,号,,,,号,,,,,号,,,,号,,,,号,,,,号,,,,,号,,,,,号,号,,,号,,,,,号,,,,号,,,,,号,,,号,,,,,号,,,,,,,,,,号,号,,号,,,,号,,,,,号,,号,,,,,,
東京,発,,,520,546,,607,618,623,630,635,645,653,701,709,719,725,||,728,735,741,745,,747,753,756,759,802,805,807,810,813,816,818,821,824,828,830,||,834,838,842,846,||,850,857,900,900,902,||,905,907,910,913,916,||,921,924,930,||,935,940,943,946,952,||,956,||,1000,1007,1009,1012,1017,||,1027,1032,1037,1043,||,1047,1050,1057,1100,1105,1107,1114,1117,||,1127,1137,1143,||,1147,1150,1157,1200,1200,1205,1207,1214,1217,||,1227,1237,1243,||,1247,1250,1257,1300,1305,1307,1314,1317,||,1327,1337,1343,||,1347,1350,1357,1405,1407,1414,1417,||,1427,1437,1443,||,1447,1450,1457,1505,1507,1515,1518,||,1527,1537,1543,||,1547,1550,1557,1605,1607,1615,1618,||,1627,1637,||,1645,1647,1651,1657,1700,1707,1714,1717,||,1724,1726,1732,1735,1740,1744,1747,||,1753,1759,1802,1806,1813,1815,1820,||,1826,1830,1833,1835,1840,1845,1847,||,1851,1855,1900,1902,1905,1910,1914,1917,||,1925,1930,1933,1936,1942,1945,1950,1953,1955,||,2000,2002,2005,2010,2012,2016,||,2022,2026,2030,2032,||,2035,2040,2044,2050,2052,2055,2100,||,2102,2105,2113,2115,||,2124,2130,2132,2135,2139,2142,2146,2150,2153,||,2157,2200,2200,2200,2202,2212,2215,||,2222,2230,2232,2235,2242,2245,||,2252,2302,2312,2315,2322,2330,||,2333,2339,2347,||,2354
新橋,発,,,523,549,,610,621,626,634,638,648,656,704,712,722,728,||,731,739,745,748,,751,757,800,802,805, ﾚ,811,814,816,819,822,825,828,831,834,||,838,841,845,849,||,853,900, ﾚ, ﾚ,905,||, ﾚ,911,913,917,920,||, ﾚ,928,933,||,938, ﾚ,946,949,955,||,959,||, ﾚ,1010,1012, ﾚ,1020,||,1030,1035,1040, ﾚ,||,1050,1053,1100, ﾚ,1108,1110, ﾚ,1120,||,1130,1140, ﾚ,||,1150,1153,1200, ﾚ, ﾚ,1208,1210, ﾚ,1220,||,1230,1240, ﾚ,||,1250,1253,1300, ﾚ,1308,1310, ﾚ,1320,||,1330,1340, ﾚ,||,1350,1353,1400,1408,1410, ﾚ,1420,||,1430,1440, ﾚ,||,1450,1453,1500,1508,1510, ﾚ,1521,||,1530,1540, ﾚ,||,1550,1553,1600,1608,1610, ﾚ,1621,||,1630,1640,||, ﾚ,1651,1654,1700,1703,1710, ﾚ,1720,||,1727,1729,1735,1738,1743, ﾚ,1750,||,1756,1802,1805,1809,1816, ﾚ,1823,||,1829, ﾚ,1836,1838,1843, ﾚ,1850,||,1854,1858, ﾚ,1906,1908,1913, ﾚ,1921,||,1928, ﾚ,1936,1939,1945, ﾚ,1953,1956,1958,||, ﾚ,2005,2008,2013,2016, ﾚ,||,2026,2029, ﾚ,2035,||,2038,2044, ﾚ,2053,2055,2058, ﾚ,||,2106,2108,2116, ﾚ,||,2127, ﾚ,2136,2138,2142,2146, ﾚ,2153,2156,||,2200, ﾚ, ﾚ, ﾚ,2206,2215, ﾚ,||,2225, ﾚ,2236,2238,2245, ﾚ,||,2255,2305,2315, ﾚ,2325, ﾚ,||,2336,2342,2350,||,2357
品川,着,,,528,554,,615,626,632,640,643,654,701,709,718,727,733,||,736,744,750,754,,756,802,805,808,811,813,816,819,822,825,827,830,832,837,839,||,843,847,851,855,||,859,906,907,907,910,||,913,917,919,922,925,||,931,933,939,||,944,949,951,955,1001,||,1004,||,1007,1015,1018,1021,1026,||,1034,1041,1044,1051,||,1055,1059,1104,1107,1113,1115,1122,1126,||,1134,1144,1151,||,1155,1159,1204,1207,1207,1213,1215,1222,1226,||,1234,1244,1251,||,1255,1259,1304, ﾚ,1313,1315,1322,1326,||,1334,1344,1351,||,1355,1359,1405,1413,1415,1422,1426,||,1434,1444,1451,||,1455,1459,1505,1513,1515,1522,1526,||,1534,1544,1551,||,1555,1559,1605,1613,1615,1623,1626,||,1635,1644,||,1653,1655,1659,1705,1708,1715,1723,1725,||,1732,1735,1741,1743,1748,1752,1756,||,1801,1807,1811,1814,1821,1823,1828,||,1834,1837,1841,1844,1848,1852,1855,||,1859,1903,1907,1911,1914,1918,1922,1925,||,1933,1937,1942,1944,1950,1952,1958,2001,2004,||,2007,2011,2014,2018,2021,2023,||,2031,2035,2037,2041,||,2044,2050,2052,2058,2101,2103,2107,||,2111,2113,2121,2123,||,2132,2137,2142,2144,2147,2151,2154,2158,2201,||,2205, ﾚ, ﾚ, ﾚ,2211,2220,2223,||,2230,2237,2242,2244,2250,2253,||,2300,2310,2321,2323,2330,2337,||,2341,2347,2356,||,002
品川,発,435,510,529,555,,616,627,633,643,,655,702,710,719,728,,||,737,745,751,,,,803,,809,,,817,,823,,827,,833,,840,||,,849,,,||,900,,908,908,911,||,,918,,,927,||,,934,943,||,,,952,,,||,1005,||,1008,1016,,,1027,||,1035,,1045,,||,1056,,1105,1108,,1116,,1127,||,1135,1145,,||,1156,,1205,1208,1208,,1216,,1227,||,1235,1245,,||,1256,,1305, ﾚ,,1316,,1327,||,1335,1345,,||,1356,,1406,,1416,,1427,||,1435,1445,,||,1456,,1506,,1516,,1527,||,1535,1545,,||,1556,,1606,,1616,,1627,||,1636,1645,||,,1656,,1706,,1716,,1726,||,1733,,1742,,1749,,1757,||,1802,1809,,1816,1822,,1829,||,1836,1839,1842,,1849,,1856,||,,1904,1910,1912,,1919,,1926,||,1934,1940,1943,,1952,,1959,2003,,||,2010,2013,,,2022,,||,2032,,2040,2042,||,,2052,,2059,2102,,2110,||,2112,,2122,,||,2133,2140,2143,,,2152,,2159,2203,||,, ﾚ, ﾚ, ﾚ,2212,2221,,||,2231,2240,2243,,2252,,||,2302,2311,2322,,2331,2340,||,2342,2348,2358,||,004
川崎,発,445,519,539,605,,626,636,643,652,,704,711,719,728,737,,||,745,754,800,,,,812,,819,,,827,,831,,836,,842,,849,||,,858,,,||,909,,916,916,920,||,,926,,,936,||,,943,952,||,,,1001,,,||,1013,||,1016,1025,,,1036,||,1044,,1053,,||,1105,,1114, ﾚ,,1125,,1136,||,1144,1153,,||,1205,,1214,1216,1216,,1225,,1236,||,1244,1253,,||,1305,,1314, ﾚ,,1325,,1336,||,1344,1353,,||,1405,,1415,,1425,,1436,||,1444,1453,,||,1505,,1515,,1525,,1536,||,1544,1553,,||,1605,,1615,,1625,,1636,||,1645,1653,||,,1705,,1715,,1725,,1735,||,1742,,1751,,1759,,1806,||,1812,1818,,1825,1832,,1839,||,1845,||,1852,,1859,,1906,||,,1913, ﾚ,1922,,1928,,1936,||,1944, ﾚ,1952,,2001,, ﾚ,2012,,||, ﾚ,2022,,,2031,,||,2041,, ﾚ,2052,||,,2101,, ﾚ,2111,, ﾚ,||,2122,,2132,,||,2142, ﾚ,2152,,,2201,, ﾚ,2212,||,, ﾚ, ﾚ, ﾚ,2221,2231,,||,2240, ﾚ,2252,,2301,,||,2311,2321,2331,,2340, ﾚ,||,2351,2358,008,||,013
横浜,着,453,527,547,613,,635,644,651,659,,713,719,727,736,745,,||,754,801,808,,,,820,,827,,,835,,839,,844,,850,,857,||,,906,,,||,917,,924,924,928,||,,934,,,944,||,,951,1001,||,,,1009,,,||,1022,958,1023,1033,,,1043,||,1052,,1101,,||,1112,,1122,1123,,1132,,1143,||,1152,1201,,||,1212,,1222,1223,1223,,1232,,1243,||,1252,1301,,||,1312,,1322,1323,,1332,,1343,||,1352,1401,,||,1412,,1423,,1432,,1443,||,1452,1501,,||,1512,,1523,,1532,,1543,||,1552,1601,,||,1612,,1623,,1632,,1643,||,1653,1701,||,,1713,,1722,,1733,,1743,||,1750,,1759,,1807,,1814,||,1820,1827,,1834,1841,,1848,||,1854,||,1900,,1908,,1915,||,,1922, ﾚ,1931,,1936,,1944,||,1952, ﾚ,2000,,2009,, ﾚ,2020,,||, ﾚ,2030,,,2040,,||,2049,, ﾚ,2059,||,,2109,, ﾚ,2119,, ﾚ,||,2130,,2140,,||,2150, ﾚ,2201,,,2209,, ﾚ,2220,||,,2223,2223,2223,2229,2239,,||,2248, ﾚ,2300,,2309,,||,2319,2329,2339,,2348, ﾚ,||,2359,006,016,||,021
