FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,400C,404B,414B,416B,418B,420B,450B,502C,504C,506A,506B,506C,508A,512A,514A,522B,524B,526B,540B,562A,600A,600B,602A,602B,608C,610C,614C,618A,618C,620C,622A,622C,626A,626C,628A,628B,630B,630C,632A,632B,634B,636A,636B,642B,660A,664A,700C,704A,704B,706A,708A,708B,710A,712C,716C,724A,724C,728C,732C,734C,736C,738A,738B,738C,742A,744B,746B,748B,766A,768A,774A,804C,806B,812A,814A,814B,816A,816B,818A,818B,820A,820B,826A,830A,832A,834A,844A,846A,848A,850B,870A,872A,900A,922A,924B,928A,936A,940A,942A,976A,1426C,1432B,1432C,1436C,1468A,1500B,1516C,1518A,1518B,1522A,1530C,1534B,1536A,1536B,1538C,1540B,1544B,1548B,1600A,1600C,1602A,1608B,1612A,1614A,1616A,1616B,1620A,1624A,1624B,1634A,1638A,1650B,1666A,1702C,1706C,1710A,1712C,1714C,1720C,1722C,1724C,1726B,1728A,1730B,1734C,1740A,1742A,1742B,1746B,1750A,1760A,1764A,1802B,1804B,1804C,1806B,1814B,1818B,1826A,1826C,1830C,1832A,1832C,1836C,1844B,1848A,1862A,1868A,1872A,1874A,1876A,1900B,1906A,1916C,1918A,1922A,1932B,1934B,1936A,1938A,1938B,1938C,1946A,1948B,2000C,2002A,2002C,2008B,2014A,2020C,2024A,2024B,2034C,2066A,2104B,2106C,2114C,2116A,2116B,2122C,2124C,2126A,2126B,2128A,2132A,2142B,2204C,2206B,2214B,2218B,2222A,2226C,2232B,2240A,2244B,2248A,2262A,2306A,2330C,2338A,2338C,2346A,2438B,906C,922B,926B,938A,940B,950A,974A,1000B,1024A,1026C,1030B,1032B,1032C,1034C,1036C,1050B,1062A,1064A,1100C,1106B,1114A,1114B,1116C,1118B,1136B,1138C,1144B,1148B,1168A,1212A,1216A,1216B,1218A,1220A,1224B,1234A,1236A,1240B,1242A,1266A,1300A,1300C,1306C,1322A,1324A,1326B,1328A,1334C,1338A,1350A,1350B,1406B,1414B,1430B,1442A,1462A,1474A,601K,733K,745K,811K,823K,827K,831K,847K,939K,945K,951K,1011K,1023K,1103K,1121K,1131K,1223K,1249K,1251K,1303K,1311K,1331K,1421K,1449K,1451K,1511K,1523K,1531K,1545K,1603K,1607K,1609K,1633K,1635K,1717K,1721K,1723K,1727K,1845K,1907K,1921K,1949K,2001K,2141K,2315K,4009K,4013K,4035K,4137K,4143K,4145K,4207K,4215K,4233K,4317K,4327K,4339K,4409K,4413K,4435K,4537K,4543K
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  <大        船>,発,,,,,,,443,534,,,514,,,,,,,,546,559,623,633,643,655,651,,,,,,,,,,,,,,,,,,,647,611,,743,705,,738,,756,728,708,716,,,,,,,,731,,,701,712,723,751,,,,,816,,806,801,826,848,842,,,,,,854,,,,,820,835,,902,,910,,906,,,1440,1450,1432,1457,,1507,1550,1559,,,,,,1522,1532,,1542,,,,,,1649,1608,1640,1656,1619,,,,,,1630,,1728,,,,,,,1734,1717,,,1756,1747,,,,,1707,,,,1826,1833,1858,,,1842,,1820,,,,1803,1850,,,1810,1927,1920,,,1914,1906,,1957,,1941,1947,1935,,,2036,,,2006,,2025,2015,,2047,,,2141,2101,2119,2127,,,2149,,,2112,2258,2247,2237,,,2201,,2213,,2225,,,2312,2330,2348,,009,926,920,,937,,947,957,1056,,1026,1033,1042,1015,,1050,,1007,,,,1157,,1142,,1107,1117,1128,1150,,1240,1228,1250,,1207,1257,,,,,1218,1307,,1340,,,1317,1328,,1350,1357,,,,,,1418,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2053,2133,,,,,,,,,,,,,,,,,,
[浜]||  本    郷    台,発,,,,,,,447,538,,,518,,,,,,,,550,603,627,637,647,659,655,,,,,,,,,,,,,,,,,,,651,615,,747,709,,742,,800,732,712,720,,,,,,,,735,,,705,716,727,755,,,,,820,,810,805,830,853,846,,,,,,859,,,,,825,840,,906,,914,,910,,,1445,1455,1436,1501,,1511,1554,1603,,,,,,1526,1536,,1547,,,,,,1653,1612,1644,1700,1623,,,,,,1634,,1732,,,,,,,1738,1721,,,1800,1751,,,,,1711,,,,1830,1837,1902,,,1846,,1824,,,,1807,1854,,,1814,1931,1924,,,1918,1910,,2001,,1945,1951,1939,,,2040,,,2010,,2029,2019,,2051,,,2145,2105,2123,2131,,,2153,,,2116,2302,2251,2241,,,2205,,2217,,2229,,,2316,2334,2352,,013,930,924,,941,,951,1001,1100,,1030,1038,1047,1020,,1055,,1011,,,,1201,,1146,,1111,1122,1132,1155,,1245,1232,1255,,1211,1301,,,,,1222,1311,,1345,,,1321,1332,,1355,1401,,,,,,1422,1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057,2138,,,,,,,,,,,,,,,,,,
[浜]||  港    南    台,発,,,,,,,450,541,,,521,,,,,,,,553,606,630,640,650,702,658,,,,,,,,,,,,,,,,,,,654,618,,750,712,,745,,803,735,715,723,,,,,,,,738,,,708,719,730,758,,,,,823,,813,808,833,855,849,,,,,,901,,,,,827,842,,909,,917,,913,,,1447,1457,1439,1504,,1514,1557,1606,,,,,,1529,1539,,1549,,,,,,1656,1615,1647,1703,1626,,,,,,1637,,1735,,,,,,,1741,1724,,,1803,1754,,,,,1714,,,,1833,1840,1905,,,1849,,1827,,,,1810,1857,,,1817,1934,1927,,,1921,1913,,2004,,1948,1954,1942,,,2043,,,2013,,2032,2022,,2054,,,2148,2108,2126,2134,,,2156,,,2119,2305,2254,2244,,,2208,,2220,,2232,,,2319,2337,2355,,016,933,927,,944,,954,1004,1103,,1033,1040,1049,1022,,1057,,1014,,,,1204,,1149,,1114,1124,1135,1157,,1247,1235,1257,,1214,1304,,,,,1225,1314,,1347,,,1324,1335,,1357,1404,,,,,,1425,1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2141,,,,,,,,,,,,,,,,,,
[浜]||  洋    光    台,発,,,,,,,453,544,,,524,,,,,,,,556,608,633,643,653,704,700,,,,,,,,,,,,,,,,,,,656,621,,753,714,,748,,806,737,718,725,,,,,,,,741,,,710,722,733,801,,,,,826,,816,810,836,858,852,,,,,,904,,,,,830,845,,912,,919,,916,,,1450,1500,1442,1507,,1517,1600,1608,,,,,,1532,1542,,1552,,,,,,1658,1617,1650,1706,1628,,,,,,1639,,1738,,,,,,,1744,1726,,,1805,1756,,,,,1717,,,,1836,1843,1908,,,1852,,1830,,,,1812,1900,,,1820,1936,1930,,,1924,1915,,2006,,1951,1956,1944,,,2046,,,2016,,2035,2025,,2056,,,2150,2111,2128,2136,,,2158,,,2121,2307,2257,2246,,,2210,,2222,,2234,,,2322,2340,2358,,019,936,930,,946,,957,1007,1106,,1036,1043,1052,1025,,1100,,1017,,,,1207,,1152,,1117,1127,1138,1200,,1250,1238,1300,,1217,1307,,,,,1228,1317,,1350,,,1327,1338,,1400,1407,,,,,,1428,1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103,2143,,,,,,,,,,,,,,,,,,
[浜]||  新    杉    田,発,,,,,,,456,547,,,527,,,,,,,,559,612,636,646,656,708,704,,,,,,,,,,,,,,,,,,,700,624,,756,718,,751,,809,741,721,729,,,,,,,,744,,,714,725,736,804,,,,,829,,819,814,839,901,855,,,,,,907,,,,,833,848,,915,,923,,919,,,1453,1503,1445,1510,,1520,1603,1612,,,,,,1535,1545,,1555,,,,,,1701,1620,1653,1709,1631,,,,,,1642,,1741,,,,,,,1747,1729,,,1808,1759,,,,,1720,,,,1839,1846,1911,,,1855,,1833,,,,1815,1903,,,1823,1939,1933,,,1927,1919,,2009,,1954,1959,1947,,,2049,,,2019,,2038,2028,,2059,,,2153,2114,2131,2139,,,2201,,,2124,2310,2300,2249,,,2213,,2225,,2237,,,2325,2343,001,,022,939,933,,949,,1000,1010,1109,,1039,1046,1055,1028,,1103,,1020,,,,1210,,1155,,1120,1130,1141,1203,,1253,1241,1303,,1220,1310,,,,,1231,1320,,1353,,,1330,1341,,1403,1410,,,,,,1431,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106,2146,,,,,,,,,,,,,,,,,,
[浜]||∨<磯        子>,発,,,,421,433,445,459,550,,,530,,,,,516,540,558,602,615,639,649,659,711,707,,,,,,,,,,,609,622,,,636,646,,656,703,628,,759,721,714,754,,812,744,725,732,,,735,,,,,747,,,718,728,739,807,751,,,,832,,822,817,842,904,858,803,,,,,911,,,,,836,851,,918,,926,,922,,,1458,1508,1448,1513,1453,1523,1606,1614,1503,,,,1553,1538,1548,1528,1559,1543,,1628,1652,,1705,1623,1656,1712,1635,,,1609,,1641,1645,,1744,,1757,1741,,,,1750,1732,1747,,1811,1802,,,,1720,1723,,,1854,1842,1849,1915,,,1858,,1837,,,,1818,1906,1815,1805,1826,1942,1936,,,1930,1921,,2012,1946,1957,2002,1950,,2017,2054,2027,2007,2022,2037,2041,2032,2047,2102,,,2157,2117,2135,2142,2112,2146,2204,2122,,2127,2313,2303,2252,,,2216,,2228,,2240,2209,,2328,2346,004,,025,942,936,947,952,958,1003,1013,1112,1039,1043,1051,1058,1033,1028,1107,,1023,1008,1103,,1213,1128,1158,1153,1123,1133,1144,1208,1139,1258,1244,1308,1228,1223,1313,1253,1239,,1203,1234,1323,,1358,1303,1353,1333,1344,1339,1408,1413,1328,1428,1439,1403,,1434,1423,,,,826,,855,846,,914,,,,,,,,,,,,,,,,,,,,,,,,,,1729,1701,,,1830,1911,1954,1933,2108,2149,,,,,,,,,,,,,,,,,,
