FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,407B,403C,405C,463A,461A,401A,401B,403A,500K,509C,403B,505A,613C,565A,617C,505B,621C,511A,739B,625C,507A,644K,501C,629C,667A,509A,709B,617A,669A,615B,621A,613A,632K,671A,617B,625A,615A,710K,673A,619B,722K,631A,619A,730K,621B,635A,746K,623A,651B,741A,726K,627A,605C,729A,700K,745A,723B,738K,733A,707C,747A,737A,707B,739A,749A,711C,725B,840K,743A,751A,715C,703C,777A,775A,719C,727B,863A,844K,723C,741B,833C,829B,827C,850K,865A,831C,831B,812K,801A,861A,835B,818K,803B,835C,833B,837C,934K,821C,825A,947B,801B,3922K,825C,837B,803A,908K,943B,939C,901C,3910K,905B,945B,913C,1036K,909B,917C,4030K,951B,915B,949B,1042K,911A,969A,915A,4002K,1021A,1019B,1044K,1067A,1043A,4020K,1017A,1132K,1007B,1013A,4150K,1019A,1017B,1106K,1037A,1025B,4148K,1101A,1135A,1114K,1127B,1123A,4122K,1129A,1216K,1141B,1107C,4210K,1151B,1139A,1226K,1235C,1151A,4230K,1275A,1225A,1238K,1263A,1231B,4202K,1233C,1312K,1201C,1227C,4320K,1207B,1233B,1334K,1315B,1237C,4350K,1301B,1369A,1308K,1337B,1319B,4348K,1339C,1436K,1343A,1345B,4422K,1341B,1317C,1442K,1419A,1349B,4410K,1415A,1437A,1444K,1421A,1435A,4430K,1467A,1532K,1423A,1417A,4502K,1401C,1413A,1551B,1506K,1417B,1534K,1565A,1520K,1525B,1529A,1508K,1501A,1507C,1527B,1616K,1539A,1535C,1543A,1626K,1525A,1541A,1531B,1663A,1551A,1677A,1622K,1675A,1633C,1607B,1673A,1615B,1627C,1644K,1631C,1633A,1669A,1649A,1619B,1705C,1633B,1727A,1737C,1723A,1707A,1706K,1745B,1701B,1741B,1747A,1735B,1737B,1739B,1848K,1749B,1739C,1731A,1737A,1739A,1701A,1815A,1717C,1820K,1835A,1825B,1819A,1809B,1851B,1825A,1801C,1821A,1803A,1803C,1847B,1867A,1821C,1811A,1817A,1835C,1961A,1843B,1913A,1951A,1917B,1925C,1965A,1923C,1905B,1929A,1915C,1907C,1927B,1927A,1927C,1943A,2033A,2041A,2063A,2049A,2045B,2015B,2037C,2007B,2049B,2005C,2119B,2031C,2169A,2123A,2119A,2133B,2139A,2117C,2107A,2139C,2214K,2101B,2147A,2139B,2209B,2237A,2215A,2203C,2225B,2225A,2207C,2235C,2203A,2329A,2367A,2325C,2317A,2343B,2333A,2323C,2327A,2315C,2327B,2419B,2449A
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快速,,,,,,,,快速,,,,,,,快速,,,,,快速,快速,快速,快速,快速,快速,,快速,快速,快速,快速,,快速,快速,快速,快速,快速,,快速,快速,快速,快速,快速,,快速,快速,快速,快速,,快速,快速,快速,快速,快速,,快速,快速,快速,快速,快速,,快速,快速,快速,快速,,快速,快速,快速,快速,快速,,快速,快速,快速,快速,快速,,快速,快速,快速,快速,,快速,快速,快速,快速,快速,,快速,快速,快速,快速,快速,,快速,快速,快速,快速,,快速,快速,快速,快速,快速,快速,,快速,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  大          宮,発,,,,,,,429,,||,,448,,,,,515,,,,,531,||,539,,,548,,,,600,,607,||,,612,,620,||,,628,||,,635,||,640,,||,646,650,,||,653,657,700,||,,704,||,707,711,,714,718,721,,724,728,||,731,,734,738,,742,745,748,,||,752,756,,800,803,||,,809,812,||,,818,,||,,824,830,,||,837,,,843,||,848,852,857,||,900,904,,||,910,915,918,||,,925,||,930,,937,||,943,950,955,||,1000,,||,1011,,||,1019,||,1025,1032,||,,1042,||,1048,1054,||,,1105,||,,1115,||,1121,||,,1131,||,,1142,||,,1152,||,1200,,||,1210,,||,1220,||,,1231,||,,1242,||,,1252,||,1300,,||,1310,,||,1320,||,,1332,||,,1342,||,,1352,||,1400,,||,1410,,||,1420,||,,1431,||,,1442,,||,1452,||,,||,1501,,||,1510,,1520,||,,1530,,||,1540,,1549,,1559,,||,1608,,1616,,1625,,||,1633,,1641,,1651,,1658,,1704,1708,,||,,1715,1720,,1725,1729,,||,1734,1738,,1744,,1749,,1755,||,1800,,1805,1808,,1815,1820,1823,,1829,1833,1837,1840,,1848,1851,,1857,1902,,1907,1912,1916,1919,1923,1928,1932,1937,1942,1947,1952,1957,2002,2007,2012,2017,2022,,2030,2037,2042,2047,,2056,2102,,2111,2117,,2125,2132,,||,2142,2149,2155,2202,2208,2214,2220,2226,2232,,2243,2250,,2300,2306,2314,2323,2328,2336,2343,2351,2358,014,030
(特)||  さいたま新都心,発,,,,,,,431,,||,,451,,,,,518,,,,,533,||,541,,,551,,,,603,,609,||,,615,,623,||,,630,||,,637,||,643,,||,648,652,,||,656,659,703,||,,706,||,710,713,,717,720,723,,727,731,||,733,,737,740,,744,748,751,,||,755,758,,803,806,||,,812,815,||,,821,,||,,827,832,,||,839,,,846,||,850,855,859,||,903,907,,||,913,917,921,||,,928,||,933,,939,||,946,952,957,||,1002,,||,1013,,||,1022,||,1028,1035,||,,1044,||,1050,1057,||,,1107,||,,1117,||,1124,||,,1133,||,,1144,||,,1154,||,1202,,||,1212,,||,1222,||,,1233,||,,1244,||,,1254,||,1302,,||,1312,,||,1322,||,,1334,||,,1344,||,,1354,||,1402,,||,1412,,||,1422,||,,1433,||,,1444,,||,1454,||,,||,1503,,||,1512,,1523,||,,1533,,||,1543,,1552,,1602,,||,1610,,1619,,1627,,||,1635,,1644,,1654,,1701,,1707,1711,,||,,1717,1723,,1727,1732,,||,1737,1741,,1746,,1752,,1758,||,1802,,1807,1811,,1818,1822,1826,,1832,1836,1840,1843,,1850,1854,,1900,1904,,1910,1914,1918,1922,1926,1930,1935,1940,1945,1950,1955,2000,2005,2010,2015,2020,2025,,2033,2040,2045,2050,,2059,2105,,2114,2120,,2128,2135,,||,2145,2152,2158,2205,2211,2217,2223,2229,2235,,2246,2253,,2303,2309,2317,2325,2331,2338,2346,2354,001,016,033
(特)||  与          野,発,,,,,,,433,,||,,453,,,,,520,,,,,535,||,543,,,553,,,,605,,612,||,,617,,625,||,,632,||,,639,||,645,,||,650,654,,||,658,702,705,||,,709,||,712,716,,719,723,726,,729,733,||,736,,739,743,,747,750,753,,||,757,801,,805,808,||,,814,817,||,,823,,||,,829,835,,||,842,,,848,||,852,857,901,||,905,909,,||,915,919,923,||,,930,||,935,,941,||,948,954,959,||,1004,,||,1015,,||,1024,||,1030,1037,||,,1046,||,1052,1059,||,,1109,||,,1119,||,1126,||,,1135,||,,1146,||,,1156,||,1204,,||,1214,,||,1224,||,,1235,||,,1246,||,,1256,||,1304,,||,1314,,||,1324,||,,1336,||,,1346,||,,1356,||,1404,,||,1414,,||,1424,||,,1435,||,,1446,,||,1456,||,,||,1505,,||,1514,,1525,||,,1535,,||,1545,,1554,,1604,,||,1612,,1621,,1629,,||,1637,,1646,,1656,,1703,,1709,1713,,||,,1719,1725,,1729,1734,,||,1739,1743,,1748,,1754,,1800,||,1804,,1809,1813,,1820,1824,1828,,1834,1838,1842,1845,,1852,1856,,1902,1906,,1912,1916,1920,1924,1928,1932,1937,1942,1947,1952,1957,2002,2007,2012,2017,2022,2027,,2035,2042,2047,2052,,2101,2107,,2116,2122,,2130,2137,,||,2147,2154,2200,2207,2213,2219,2225,2231,2237,,2248,2255,,2305,2311,2319,2327,2333,2340,2348,2356,003,018,035
(特)||  北    浦    和,発,,,,,,,436,,||,,455,,,,,522,,,,,538,||,546,,,555,,,,607,,614,||,,619,,627,||,,635,||,,642,||,647,,||,653,657,,||,700,704,707,||,,711,||,714,718,,721,725,728,,732,735,||,738,,741,745,,749,752,755,,||,759,803,,807,810,||,,816,819,||,,825,,||,,831,837,,||,844,,,851,||,855,859,904,||,907,911,,||,917,922,925,||,,932,||,937,,944,||,950,957,1002,||,1007,,||,1018,,||,1026,||,1032,1039,||,,1049,||,1055,1101,||,,1112,||,,1122,||,1128,||,,1138,||,,1149,||,,1159,||,1207,,||,1217,,||,1227,||,,1238,||,,1249,||,,1259,||,1307,,||,1317,,||,1327,||,,1339,||,,1349,||,,1359,||,1407,,||,1417,,||,1427,||,,1438,||,,1449,,||,1459,||,,||,1508,,||,1517,,1527,||,,1537,,||,1547,,1556,,1606,,||,1615,,1623,,1632,,||,1640,,1648,,1658,,1705,,1711,1715,,||,,1722,1727,,1732,1736,,||,1741,1745,,1751,,1756,,1802,||,1807,,1812,1815,,1822,1827,1830,,1836,1840,1844,1847,,1855,1858,,1904,1909,,1914,1919,1923,1926,1930,1935,1939,1944,1949,1954,1959,2004,2009,2014,2019,2024,2029,,2037,2044,2049,2054,,2103,2109,,2118,2124,,2132,2139,,||,2149,2156,2202,2209,2215,2221,2227,2233,2239,,2250,2257,,2307,2313,2321,2330,2335,2343,2350,2358,005,021,037
(特)||  浦          和,発,,,,,,,438,,||,,458,,,,,525,,,,,540,||,548,,,558,,,,610,,617,||,,622,,630,||,,638,||,,645,||,650,,||,656,700,,||,704,708,711,||,,715,||,718,721,,725,728,731,,735,738,||,741,,745,748,,753,756,758,,||,803,806,,810,813,||,,819,822,||,,828,,||,,834,840,,||,847,,,853,||,858,902,906,||,910,914,,||,920,924,928,||,,935,||,940,,946,||,953,959,1004,||,1009,,||,1020,,||,1029,||,1035,1042,||,,1051,||,1057,1104,||,,1114,||,,1124,||,1131,||,,1140,||,,1151,||,,1201,||,1209,,||,1219,,||,1229,||,,1240,||,,1251,||,,1301,||,1309,,||,1319,,||,1329,||,,1341,||,,1351,||,,1401,||,1409,,||,1419,,||,1429,||,,1440,||,,1451,,||,1501,||,,||,1510,,||,1519,,1530,||,,1540,,||,1550,,1559,,1609,,||,1617,,1626,,1634,,||,1642,,1651,,1701,,1708,,1714,1718,,||,,1724,1730,,1734,1739,,||,1744,1748,,1753,,1759,,1805,||,1809,,1814,1818,,1825,1829,1833,,1839,1843,1847,1850,,1857,1901,,1907,1911,,1917,1921,1925,1929,1933,1937,1942,1947,1952,1957,2002,2007,2012,2017,2022,2027,2032,,2040,2047,2052,2057,,2106,2112,,2121,2127,,2135,2142,,||,2152,2159,2205,2212,2218,2224,2230,2236,2242,,2253,2300,,2310,2316,2324,2332,2338,2345,2353,001,008,023,040
(特)||■<南   浦   和>,発,,,,,,430,441,450,||,,501,512,,,,527,,535,,,543,||,551,,,601,,605,,613,616,619,||,,625,629,634,||,,640,||,645,649,||,653,656,||,659,702,705,||,708,711,713,||,716,718,||,721,723,726,728,731,733,736,738,741,||,743,746,748,751,753,756,758,801,803,||,806,808,811,813,816,||,819,822,825,||,827,831,833,||,,839,842,846,||,849,852,,858,||,901,905,909,||,913,917,,||,922,927,930,||,,937,||,942,,950,||,956,1002,1007,||,1012,,||,1023,1028,||,1033,||,1039,1045,||,1049,1055,||,1101,1107,||,1111,1117,||,1122,1128,||,1134,||,1139,1144,||,1149,1155,||,1201,1205,||,1212,1216,||,1223,1227,||,1233,||,1239,1244,||,1249,1255,||,1301,1305,||,1312,1316,||,1323,1327,||,1333,||,1338,1344,||,1349,1355,||,1401,1405,||,1412,1416,||,1423,1427,||,1433,||,1439,1444,||,1449,1455,1500,||,1505,||,1508,||,1513,1518,||,1523,1528,1534,||,1538,1544,1548,||,1553,1558,1603,1607,1612,1615,||,1620,1625,1630,1633,1637,1640,||,1645,1648,1654,1657,1704,1706,1711,1714,1718,1721,1723,||,,1729,1733,1735,1738,1742,1744,||,1748,1751,1753,1757,1759,1803,1805,1809,||,1812,1814,1818,1822,1825,1829,1832,1836,1839,1843,1846,1850,1853,1856,1900,1904,1907,1911,1914,1917,1921,1925,1928,1932,1936,1940,1945,1950,1955,2000,2005,2010,2015,2019,2025,2030,2035,2039,2044,2050,2055,2100,2104,2110,2115,2119,2124,2129,2134,2139,2145,2150,||,2156,2203,2209,2215,2221,2227,2233,2239,2245,2250,2256,2303,2308,2314,2319,2327,2335,2340,2351,2355,003,011,026,048
