FileType,OuDia.JikokuhyouCsv.1
[平日]2018.2/22改正
上り

列車番号,,5600,5500,5602,5800,5802,5804,5806,1800,5808,4800,5810,4802,5812,5610,4804,5814,5006,5100,5816,5818,4806,5820,4808,5822,5824,1802,5826,5828,4810,5830,5832,1804,5834,5836,4812,5838,5718,5840,4814,5842,5844,4816,5846,4818,5848,4820,5850,5852,2800,4822,1900,2802,4824,1902,5854,2804,4826,1904,2806,4828,1906,2808,4830,1908,2810,4832,1910,2812,4834,1912,2814,4836,1914,2816,4838,1916,2818,4840,1918,2820,4842,1920,2822,4844,1922,2824,4846,1924,2826,4848,1926,2828,4850,1928,2830,4852,1930,2832,4854,1932,2834,4856,1934,2836,4858,1936,2838,4860,1938,2840,4862,5856,5858,2842,4864,5860,5862,2844,4866,5864,2846,5866,4868,5868,2848,5870,1806,5872,2850,5874,1808,5876,2852,1810,5878,5880,2854,1812,5882,5884,2856,1814,5886,5888,2858,1816,5616,2860,5890,5892,1818,1820,1822,2200,1824,5894,5618,5896,1826,5898,1828,5154,2202,1830,5156,2104,5800A,5802A,1832,5804A,1834,5806A,5506,5808A,5810A,5160,5162,5164,5812A,5814A,5166,5168,5816A,5818A,5174,5176
列車種別,,各停,各停,各停,各停,各停,各停,各停,急行,各停,区急,各停,区急,各停,各停,区急,各停,各停,各停,各停,各停,区急,各停,区急,各停,各停,急行,各停,各停,区急,各停,各停,急行,各停,各停,区急,各停,各停,各停,区急,各停,各停,区急,各停,区急,各停,区急,各停,各停,快速,区急,急行,快速,区急,急行,各停,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,急行,快速,区急,各停,各停,快速,区急,各停,各停,快速,区急,各停,快速,各停,区急,各停,快速,各停,急行,各停,快速,各停,急行,各停,快速,急行,各停,各停,快速,急行,各停,各停,快速,急行,各停,各停,快速,急行,各停,快速,各停,各停,急行,急行,急行,快速,急行,各停,各停,各停,急行,各停,急行,各停,快速,急行,各停,快速,各停,各停,急行,各停,急行,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
笹塚,発,445,509,530,547,559,609,621,632,642,649,655,700,705,713,721,724,729,735,740,746,752,756,759,803,808,811,815,818,822,826,829,833,836,840,843,846,850,854,859,902,907,912,916,920,924,928,933,936,941,946,954,1002,1007,1014,1016,1022,1027,1034,1041,1047,1054,1101,1107,1114,1121,1127,1134,1141,1147,1154,1201,1207,1214,1221,1227,1234,1241,1247,1254,1301,1307,1314,1321,1327,1334,1341,1347,1354,1402,1407,1414,1422,1427,1434,1441,1447,1454,1501,1507,1514,1521,1527,1534,1541,1547,1554,1601,1607,1614,1620,1626,1631,1636,1641,1646,1652,1656,1701,1706,1713,1718,1723,1727,1733,1738,1742,1747,1753,1758,1804,1809,1815,1819,1825,1830,1835,1840,1845,1851,1855,1859,1905,1910,1915,1919,1926,1933,1939,1946,1953,2000,2006,2014,2019,2026,2032,2037,2045,2053,2100,2106,2113,2118,2124,2132,2138,2144,2150,2155,2202,2208,2217,2224,2233,2241,2253,2305,2313,2321,2331,2341,2352,004,016,030,043
幡ヶ谷,発,446,510,531,548,600,610,622,633,644,650,656,701,707,714,722,726,730,737,742,748,753,757,801,805,809,812,816,820,823,828,831,835,837,841,845,847,851,856,900,904,909,913,918,922,926,929,934,937,942,948,955,1003,1008,1015,1017,1023,1028,1035,1042,1048,1055,1102,1108,1115,1122,1128,1135,1142,1148,1155,1202,1208,1215,1222,1228,1235,1242,1248,1255,1302,1308,1315,1322,1328,1335,1342,1348,1355,1404,1408,1415,1423,1428,1435,1442,1448,1455,1502,1508,1515,1522,1528,1536,1542,1548,1556,1602,1608,1615,1621,1627,1632,1637,1642,1647,1654,1657,1702,1708,1714,1720,1724,1728,1734,1739,1744,1749,1754,1759,1805,1810,1816,1820,1827,1832,1836,1841,1847,1852,1857,1901,1907,1911,1917,1921,1927,1934,1940,1947,1955,2001,2007,2015,2021,2028,2033,2038,2047,2055,2101,2108,2115,2119,2126,2133,2140,2145,2151,2157,2204,2210,2218,2225,2235,2243,2254,2307,2314,2323,2332,2342,2353,005,018,031,045
初台,発,448,512,533,550,602,612,624,635,645,652,658,703,708,716,724,727,732,738,744,750,755,759,803,807,811,814,818,822,825,830,833,837,839,843,847,849,853,858,902,905,910,915,919,923,927,931,936,939,944,949,957,1005,1010,1017,1019,1025,1030,1037,1044,1050,1057,1104,1110,1117,1124,1130,1137,1144,1150,1157,1204,1210,1217,1224,1230,1237,1244,1250,1257,1304,1310,1317,1324,1330,1337,1344,1350,1357,1405,1410,1417,1425,1430,1437,1444,1450,1457,1504,1510,1517,1524,1530,1537,1544,1550,1557,1604,1610,1617,1623,1629,1634,1639,1644,1649,1655,1659,1704,1709,1716,1721,1726,1730,1736,1741,1745,1750,1756,1801,1807,1812,1818,1822,1828,1833,1838,1843,1848,1854,1858,1902,1908,1913,1918,1922,1929,1936,1942,1949,1956,2003,2009,2017,2022,2029,2035,2040,2048,2056,2103,2109,2116,2121,2127,2135,2141,2147,2153,2158,2205,2211,2220,2227,2236,2244,2256,2308,2316,2324,2334,2344,2355,007,019,033,046
新宿,着,450,514,535,552,604,614,626,637,648,654,700,705,711,719,727,731,735,742,747,753,758,802,805,810,814,817,821,825,828,832,836,839,842,846,849,852,856,900,905,908,913,918,922,926,930,934,938,941,946,952,959,1007,1012,1019,1022,1027,1032,1039,1046,1052,1059,1106,1112,1119,1126,1132,1139,1146,1152,1159,1206,1212,1219,1226,1232,1239,1246,1252,1259,1306,1312,1319,1326,1332,1339,1346,1352,1359,1408,1412,1419,1427,1432,1439,1446,1452,1459,1506,1512,1519,1526,1532,1540,1546,1552,1600,1606,1612,1619,1625,1631,1636,1641,1646,1651,1658,1701,1706,1712,1718,1724,1728,1732,1738,1743,1748,1753,1758,1803,1809,1814,1820,1824,1831,1836,1840,1845,1851,1856,1901,1905,1911,1915,1921,1925,1931,1938,1944,1951,1959,2005,2011,2019,2025,2032,2037,2042,2051,2059,2105,2112,2119,2123,2130,2137,2144,2149,2155,2201,2208,2214,2222,2229,2239,2247,2258,2311,2318,2327,2336,2346,2357,009,022,035,049
備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
