FileType,OuDia.JikokuhyouCsv.1
[平日]2018.2/22改正
下り

列車番号,,5101,5103,5801,5803,5805,5807,5809,4801,5811,5813,5815,2801,5817,4803,5819,5821,5823,5825,4805,1801,5827,5007,5829,4807,5831,5833,4809,5835,5837,4811,5839,4813,5841,4815,5843,5845,5847,4817,5849,4819,5851,4821,5853,2803,5855,5857,4823,2805,5859,5861,4825,5863,2807,5865,4827,2809,1901,4829,2811,1903,4831,2813,1905,4833,2815,1907,4835,2817,1909,4837,2819,1911,4839,2821,1913,4841,2823,1915,4843,2825,1917,4845,2827,1919,4847,2829,1921,4849,2831,1923,4851,2833,1925,4853,2835,1927,4855,2837,1929,4857,2839,1931,4859,2841,1933,4861,2843,1935,4863,5867,2845,1937,4865,5869,5871,2847,5873,5875,4867,5877,5879,1803,5881,4501,5883,1805,5885,4503,5887,5889,1807,4505,5891,1809,5893,4507,5895,1811,5897,4509,5899,1813,4511,5801A,1815,4513,5803A,1817,4515,5805A,1819,2103,5807A,4517,1821,2105,5809A,4519,5811A,1823,2107,5813A,4521,1825,2109,5815A,4523,1827,5817A,1829,5819A,5821A,5823A,5825A,5827A,5829A,4869,5831A,2849,5833A,4871,5835A,5763,4601,5603,5605
列車種別,,各停,各停,各停,各停,各停,各停,各停,区急,各停,各停,各停,快速,各停,区急,各停,各停,各停,各停,区急,急行,各停,各停,各停,区急,各停,各停,区急,各停,各停,区急,各停,区急,各停,区急,各停,各停,各停,区急,各停,区急,各停,区急,各停,快速,各停,各停,区急,快速,各停,各停,区急,各停,快速,各停,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,快速,急行,区急,各停,快速,急行,区急,各停,各停,快速,各停,各停,区急,各停,各停,急行,各停,区急,各停,急行,各停,区急,各停,各停,急行,区急,各停,急行,各停,区急,各停,急行,各停,区急,各停,急行,区急,各停,急行,区急,各停,急行,区急,各停,急行,快速,各停,区急,急行,快速,各停,区急,各停,急行,快速,各停,区急,急行,快速,各停,区急,急行,各停,急行,各停,各停,各停,各停,各停,各停,区急,各停,快速,各停,区急,各停,各停,区急,各停,各停
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿,発,455,519,529,540,552,604,618,630,642,653,703,712,721,729,734,740,745,748,752,756,800,803,806,810,813,816,819,823,826,829,833,837,840,844,848,852,856,900,904,909,913,916,921,926,930,935,939,944,951,955,958,1002,1006,1011,1018,1024,1030,1037,1044,1050,1057,1104,1110,1117,1124,1130,1137,1144,1150,1156,1204,1210,1217,1224,1230,1237,1244,1250,1257,1304,1310,1317,1324,1330,1337,1344,1350,1357,1401,1410,1417,1424,1430,1436,1444,1450,1457,1504,1510,1517,1524,1530,1537,1544,1550,1557,1604,1610,1617,1622,1627,1631,1635,1639,1642,1647,1651,1654,1658,1701,1705,1709,1715,1720,1724,1730,1735,1739,1743,1747,1752,1758,1803,1809,1814,1818,1823,1828,1833,1838,1844,1851,1858,1903,1910,1918,1923,1930,1937,1942,1949,1957,2003,2010,2017,2024,2031,2037,2044,2049,2057,2104,2110,2117,2124,2131,2138,2144,2150,2157,2205,2212,2221,2229,2238,2249,2300,2313,2327,2339,2351,002,016,028,041,055
初台,発,457,521,531,542,554,606,620,632,644,655,705,714,723,731,736,742,747,750,754,758,802,805,808,812,815,818,821,825,828,831,835,839,842,846,850,854,858,902,906,911,915,918,923,928,932,937,941,946,953,957,1000,1004,1008,1013,1020,1026,1032,1039,1046,1052,1059,1106,1112,1119,1126,1132,1139,1146,1152,1158,1206,1212,1219,1226,1232,1239,1246,1252,1259,1306,1312,1319,1326,1332,1339,1346,1352,1359,1403,1412,1419,1426,1432,1438,1446,1452,1459,1506,1512,1519,1526,1532,1539,1546,1552,1559,1606,1612,1619,1624,1629,1633,1637,1641,1644,1649,1653,1656,1700,1703,1707,1711,1717,1722,1726,1732,1737,1741,1745,1749,1754,1800,1805,1811,1816,1820,1825,1830,1835,1840,1846,1853,1900,1905,1912,1920,1925,1932,1939,1944,1951,1959,2005,2012,2019,2026,2033,2039,2046,2051,2059,2106,2112,2119,2126,2133,2140,2146,2152,2159,2207,2214,2223,2231,2240,2251,2302,2315,2329,2341,2353,004,018,030,043,057
幡ヶ谷,発,459,523,532,544,556,608,621,634,646,656,707,715,725,733,738,744,748,752,755,759,803,806,810,813,817,820,823,826,830,833,836,840,843,847,851,856,900,904,908,912,916,920,924,929,933,939,942,948,954,958,1001,1005,1009,1015,1021,1027,1033,1041,1047,1053,1100,1107,1113,1120,1127,1133,1140,1147,1153,1200,1207,1213,1220,1227,1233,1240,1247,1253,1300,1307,1313,1320,1327,1333,1340,1347,1353,1400,1405,1413,1420,1427,1433,1440,1447,1453,1500,1507,1513,1520,1527,1533,1540,1547,1553,1600,1607,1613,1620,1625,1630,1634,1639,1642,1645,1650,1654,1658,1701,1705,1709,1712,1718,1723,1727,1733,1738,1742,1747,1751,1755,1801,1807,1812,1817,1822,1826,1831,1836,1842,1847,1854,1901,1906,1914,1921,1927,1933,1940,1945,1952,2001,2007,2013,2021,2028,2034,2040,2047,2052,2101,2107,2113,2121,2128,2134,2141,2148,2154,2201,2209,2216,2224,2232,2242,2253,2304,2316,2330,2343,2355,006,020,032,044,058
笹塚,着,501,525,534,546,558,610,623,635,648,658,709,717,727,735,740,746,750,754,757,801,805,808,812,815,819,822,825,828,832,835,838,842,845,849,853,858,902,906,910,914,918,922,926,932,935,941,944,950,956,1000,1003,1007,1011,1017,1023,1029,1035,1043,1049,1055,1102,1109,1115,1122,1129,1135,1142,1149,1155,1202,1209,1215,1222,1229,1235,1242,1249,1255,1302,1309,1315,1322,1329,1335,1342,1349,1355,1402,1407,1415,1422,1429,1435,1442,1449,1455,1502,1509,1515,1522,1529,1535,1542,1549,1555,1602,1609,1615,1622,1627,1632,1636,1641,1644,1647,1652,1656,1700,1703,1707,1711,1714,1720,1725,1729,1735,1740,1744,1749,1753,1757,1803,1809,1814,1819,1824,1828,1833,1838,1844,1849,1856,1903,1908,1916,1923,1929,1935,1942,1947,1954,2003,2009,2015,2023,2030,2036,2042,2049,2054,2103,2109,2115,2123,2130,2136,2143,2150,2156,2203,2211,2218,2226,2234,2244,2255,2306,2318,2332,2345,2357,008,021,033,046,100
備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
