FileType,OuDia.JikokuhyouCsv.1
[平日]2018.2/22改正
上り

列車番号,,4700,4702,5700,4704,5702,4706,5704,5706,4800,1800,4802,0700,4708,5708,0702,4804,4710,0704,3700,6700,4806,5712,5710,3702,4808,4712,5714,1802,4810,5716,5718,1700,1804,4812,5720,3704,4814,6702,4816,3706,4818,6704,2800,4820,4822,6706,3708,4824,3710,2802,2804,4826,3712,2806,4828,3714,2808,4830,3716,2810,4832,3718,6708,4834,3720,2812,2814,4836,3722,2816,4838,3724,2818,4840,3726,2820,4842,3728,2822,4844,3730,2824,4846,3732,2826,4848,3734,2828,4850,3736,2830,4852,3738,2832,4854,3740,2834,4856,3742,2836,4858,3744,2838,6710,3746,2840,4860,4862,3748,6712,4864,3750,2842,2844,4866,3752,2846,4868,3754,2848,0706,2700,1806,2850,0708,5722,1808,2852,0710,5724,1810,2854,0712,5726,1812,2856,0714,5728,1814,6714,0716,5730,2858,1816,6716,0718,5732,2860,1702,2702,1818,5734,1820,5736,1822,5738,1824,5740,0720,5742,1704,2704,1826,5744,1828,6718,0722,6720,1830,6722,5748,1706,5746,5750,1708,5752,5754,1832,1834,6724,1710,2706,1712,2708,6726,1714,2710,1716,2712,1718,2714,1720,4714,4716,6730,4720,4718,4722,4724,6732,6734,6736,6738,6740,6742
列車種別,,区急,区急,各停,区急,各停,区急,各停,各停,区急,急行,区急,特急,区急,各停,特急,区急,区急,特急,準特,各停,区急,各停,各停,準特,区急,区急,各停,急行,区急,各停,各停,急行,急行,区急,各停,準特,区急,各停,区急,準特,区急,各停,快速,区急,区急,各停,準特,区急,準特,快速,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,各停,区急,準特,快速,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,区急,準特,快速,各停,準特,快速,区急,区急,準特,各停,区急,準特,快速,快速,区急,準特,快速,区急,準特,快速,特急,快速,急行,快速,特急,各停,急行,快速,特急,各停,急行,快速,特急,各停,急行,快速,特急,各停,急行,各停,特急,各停,快速,急行,各停,特急,各停,快速,急行,快速,急行,各停,急行,各停,急行,各停,急行,各停,特急,各停,急行,快速,急行,各停,急行,各停,特急,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,急行,各停,急行,快速,急行,快速,各停,急行,快速,急行,快速,急行,快速,急行,区急,区急,各停,区急,区急,区急,区急,各停,各停,各停,各停,各停,各停
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
橋本,発,438,458,,518,,538,,544,557,,607,611,617,,621,627,636,,641,644,650,657,,,702,710,714,719,722,727,736,,742,748,756,800,806,813,819,,828,836,846,,856,905,,914,919,,926,934,939,946,955,959,1007,1015,1019,1026,1034,1039,1046,1054,1059,,1106,1114,1119,1126,1134,1139,1146,1154,1159,1206,1214,1219,1226,1234,1239,1246,1254,1259,1306,1314,1319,1326,1334,1339,1346,1354,1359,1406,1414,1419,1426,1434,1439,1446,1454,1459,1506,1514,1518,1526,,1534,1539,1546,1554,1559,,1606,1614,1619,1626,1634,1639,1646,1653,1658,1704,1708,1713,1718,1724,1728,1733,1738,1744,1748,1753,1758,1804,1808,1813,1818,1823,1827,1833,1838,,1844,1847,1853,1857,,1903,1907,1914,1917,1924,1927,1934,1938,1944,1948,1953,1958,2003,2008,2013,2018,2023,2027,2032,2037,2042,,2048,2053,,2058,2103,2106,2117,,2122,2128,2134,2140,2145,2150,,2157,2202,2206,2215,2222,2227,2232,2239,2251,2303,2316,,2329,2341,2355,000,012,023,035,049
多摩境,発,440,501,,520,,540,,546,559,,609, ﾚ,619,, ﾚ,629,639,, ﾚ,646,652,659,,,704,712,716, ﾚ,724,730,739,, ﾚ,750,759, ﾚ,808,815,821,,830,838,848,,858,907,,916, ﾚ,,928,936, ﾚ,948,957, ﾚ,1009,1017, ﾚ,1028,1036, ﾚ,1048,1056, ﾚ,,1108,1116, ﾚ,1128,1136, ﾚ,1148,1156, ﾚ,1208,1216, ﾚ,1228,1236, ﾚ,1248,1256, ﾚ,1308,1316, ﾚ,1328,1336, ﾚ,1348,1356, ﾚ,1408,1416, ﾚ,1428,1436, ﾚ,1448,1456, ﾚ,1508,1516, ﾚ,1528,,1536, ﾚ,1548,1556, ﾚ,,1608,1616, ﾚ,1628,1636, ﾚ,1648, ﾚ,1700, ﾚ,1710, ﾚ,1720, ﾚ,1730, ﾚ,1740, ﾚ,1750, ﾚ,1800, ﾚ,1810, ﾚ,1820, ﾚ,1830, ﾚ,1840,, ﾚ,1850, ﾚ,1859,, ﾚ,1910, ﾚ,1919, ﾚ,1929, ﾚ,1940, ﾚ,1950, ﾚ,2000, ﾚ,2010, ﾚ,2020, ﾚ,2029, ﾚ,2039, ﾚ,,2050, ﾚ,,2100, ﾚ,2109,2119,, ﾚ,2131, ﾚ,2142, ﾚ,2152,, ﾚ,2204,2208,2217, ﾚ,2229, ﾚ,2241,2253,2305,2319,,2331,2343,2357,002,014,026,038,051
南大沢,発,442,503,,522,,542,,548,602,,612,615,622,,625,632,641,,645,649,655,702,,,706,714,719,723,726,732,741,,746,753,801,804,811,818,824,,833,840,851,,901,909,,918,923,,931,938,943,951,959,1003,1012,1019,1023,1031,1038,1043,1051,1058,1103,,1111,1118,1123,1131,1138,1143,1151,1158,1203,1211,1218,1223,1231,1238,1243,1251,1258,1303,1311,1318,1323,1331,1339,1343,1351,1358,1403,1411,1418,1423,1431,1438,1443,1451,1458,1503,1511,1518,1522,1531,,1538,1543,1551,1558,1603,,1611,1618,1623,1631,1638,1643,1650,1657,1702,1708,1712,1717,1722,1728,1732,1737,1742,1748,1752,1757,1802,1808,1812,1817,1822,1827,1832,1837,1842,,1848,1852,1857,1901,,1907,1912,1918,1921,1928,1931,1938,1942,1948,1952,1957,2002,2007,2012,2017,2022,2027,2031,2036,2041,2046,,2052,2057,,2102,2107,2111,2121,,2126,2133,2138,2144,2149,2154,,2201,2206,2210,2219,2226,2231,2236,2244,2256,2308,2321,,2334,2346,2359,004,016,028,040,053
京王堀之内,発,445,505,,525,,545,,551,604,,614, ﾚ,624,, ﾚ,634,644,, ﾚ,651,657,704,,,709,717,721, ﾚ,729,735,744,, ﾚ,755,803, ﾚ,813,820,826,,835,843,853,,903,912,,921, ﾚ,,933,941, ﾚ,953,1002, ﾚ,1014,1022, ﾚ,1033,1041, ﾚ,1053,1101, ﾚ,,1113,1121, ﾚ,1133,1141, ﾚ,1153,1201, ﾚ,1213,1221, ﾚ,1233,1241, ﾚ,1253,1301, ﾚ,1313,1321, ﾚ,1333,1341, ﾚ,1353,1401, ﾚ,1413,1421, ﾚ,1433,1441, ﾚ,1453,1501, ﾚ,1513,1521, ﾚ,1533,,1541, ﾚ,1553,1601, ﾚ,,1613,1621, ﾚ,1633,1641, ﾚ,1653, ﾚ,1705, ﾚ,1715, ﾚ,1725, ﾚ,1735, ﾚ,1745, ﾚ,1755, ﾚ,1805, ﾚ,1815, ﾚ,1825, ﾚ,1834, ﾚ,1845,, ﾚ,1854, ﾚ,1904,, ﾚ,1914, ﾚ,1924, ﾚ,1934, ﾚ,1945, ﾚ,1955, ﾚ,2005, ﾚ,2015, ﾚ,2025, ﾚ,2034, ﾚ,2044, ﾚ,,2055, ﾚ,,2105, ﾚ,2113,2124,, ﾚ,2135, ﾚ,2147, ﾚ,2157,, ﾚ,2209,2213,2222, ﾚ,2234, ﾚ,2246,2258,2310,2323,,2336,2348,002,007,019,030,042,056
京王多摩センター,着,447,507,,527,,547,,553,606,,617,618,627,,628,637,646,,648,654,700,707,,,712,720,724,727,732,737,746,,750,758,806,808,816,823,829,,838,846,855,,905,915,,923,926,,935,943,946,955,1004,1006,1016,1024,1026,1035,1043,1046,1055,1103,1106,,1115,1123,1126,1135,1143,1146,1155,1203,1206,1215,1223,1226,1235,1243,1246,1255,1303,1306,1315,1323,1326,1335,1343,1346,1355,1403,1406,1415,1423,1426,1435,1443,1446,1455,1503,1506,1515,1523,1525,1535,,1543,1546,1555,1603,1606,,1615,1623,1626,1635,1643,1646,1656,1700,1708,1711,1718,1720,1728,1731,1738,1740,1748,1751,1758,1800,1808,1811,1818,1820,1828,1830,1837,1840,1848,,1851,1857,1900,1907,,1910,1917,1921,1927,1931,1937,1941,1948,1951,1958,2000,2008,2010,2018,2020,2028,2030,2037,2039,2047,2049,,2058,2100,,2108,2110,2116,2127,,2129,2138,2141,2150,2153,2200,,2204,2212,2216,2225,2229,2237,2239,2248,2300,2312,2326,,2338,2350,004,009,021,032,044,058
