FileType,OuDia.JikokuhyouCsv.1
[全日]2018.3/17改正
上り

列車番号,,920D,922D,924D,926D,928D,930D,932D,934D,936D,938D,940D,942D,2944D,944D,2946D,946D,948D,950D,2952D,952D
列車種別,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(近)｜  上  総  亀  山,発,,601,656,752,848,,,,,1423,,,1715,,1814,,1921,,2114,
(近)｜  上  総  松  丘,発,,607,703,759,855,,,,,1430,,,1721,,1821,,1928,,2121,
(近)｜  平          山,発,,613,708,804,900,,,,,1435,,,1727,,1826,,1933,,2126,
(近)◇  久    留    里,着,,618,714,810,906,,,,,1441,,,1733,,1832,,1939,,2132,
(近)◇  久    留    里,発,525,619,717,812,909,1006,1105,1255,1349,1443,1543,1644,,1744,,1845,1944,2040,,2140
(近)｜  俵          田,発,530,624,722,817,914,1011,1110,1300,1354,1448,1548,1649,,1749,,1850,1949,2045,,2145
(近)｜  小          櫃,発,533,627,725,821,917,1014,1113,1304,1357,1452,1551,1652,,1752,,1854,1952,2049,,2148
(近)｜  下          郡,発,538,632,730,825,922,1019,1118,1308,1402,1456,1556,1657,,1757,,1858,1957,2053,,2153
(近)｜  馬    来    田,発,542,636,734,830,926,1023,1122,1311,1406,1459,1559,1700,,1801,,1903,2001,2058,,2157
(近)｜  東    横    田,発,547,641,739,834,931,1028,1127,1316,1411,1504,1603,1704,,1806,,1907,2006,2102,,2202
(近)◇  横          田,発,550,646,744,840,936,1033,1132,1321,1416,1514,1608,1709,,1811,,1913,2011,2107,,2207
(近)｜  東    清    川,発,555,651,749,845,941,1038,1137,1326,1421,1520,1613,1714,,1816,,1918,2016,2112,,2212
(近)｜  上  総  清  川,発,559,654,753,848,944,1041,1140,1329,1424,1523,1617,1718,,1819,,1921,2019,2116,,2215
(近)｜  祇          園,発,602,658,757,852,948,1045,1144,1333,1428,1527,1620,1721,,1823,,1925,2023,2119,,2219
(近)｜  木    更    津,着,606,702,801,856,952,1049,1148,1337,1432,1532,1625,1726,,1828,,1930,2028,2124,,2223
備考,,,,,,,,,,,,,,,,,,,,,
