FileType,OuDia.JikokuhyouCsv.1
[全日]2018.3/17改正
下り

列車番号,,921D,923D,925D,927D,929D,931D,933D,935D,937D,939D,941D,2941D,943D,2943D,945D,947D,949D,2949D,951D,953D
列車種別,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(近)｜  木    更    津,発,626,724,820,916,1112,1206,1301,1356,1455,1549,1650,,1749,,1853,1951,2048,,2147,2235
(近)｜  祇          園,発,631,729,824,921,1117,1210,1306,1401,1459,1553,1654,,1755,,1857,1956,2052,,2152,2239
(近)｜  上  総  清  川,発,634,732,828,924,1120,1214,1309,1404,1503,1557,1658,,1759,,1901,1959,2056,,2155,2243
(近)｜  東    清    川,発,638,736,831,928,1124,1217,1313,1408,1506,1600,1701,,1803,,1904,2003,2059,,2159,2246
(近)◇  横          田,発,648,744,840,937,1132,1226,1322,1416,1515,1609,1710,,1811,,1913,2011,2108,,2207,2255
(近)｜  東    横    田,発,651,747,843,940,1135,1229,1325,1419,1518,1612,1713,,1814,,1916,2014,2111,,2210,2258
(近)｜  馬    来    田,発,658,754,850,947,1140,1236,1330,1424,1523,1617,1719,,1821,,1923,2021,2116,,2217,2305
(近)｜  下          郡,発,701,757,853,950,1143,1239,1333,1427,1526,1620,1722,,1824,,1926,2024,2119,,2220,2308
(近)｜  小          櫃,発,705,801,857,954,1148,1243,1338,1432,1530,1625,1727,,1828,,1930,2028,2123,,2224,2312
(近)｜  俵          田,発,709,805,901,958,1151,1247,1341,1435,1534,1628,1730,,1832,,1934,2032,2127,,2228,2316
(近)◇  久    留    里,着,714,810,906,1003,1157,1252,1346,1441,1539,1634,1736,,1837,,1939,2037,2132,,2233,2323
(近)◇  久    留    里,発,718,814,,,,,1350,,,1637,,1741,,1842,,2042,,2141,,
(近)｜  平          山,発,724,820,,,,,1356,,,1643,,1747,,1848,,2048,,2147,,
(近)｜  上  総  松  丘,発,729,825,,,,,1401,,,1648,,1752,,1854,,2053,,2152,,
(近)｜  上  総  亀  山,着,736,832,,,,,1408,,,1655,,1759,,1900,,2100,,2159,,
備考,,,,,,,,,,,,,,,,,,,,,
