FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,432F,434F,404F,400F,506F,460F,510F,536F,556F,514F,554F,638F,508F,640F,502F,620F,612F,532F,650F,658F,662F,652F,742F,634F,628F,604F,610F,644F,600F,622F,606F,746F,616F,660F,748F,708F,618F,764F,730F,736F,726F,756F,762F,714F,754F,738F,728F,732F,724F,740F,810F,702F,766F,800F,720F,842F,806F,712F,750F,860F,858F,864F,852F,816F,834F,856F,804F,844F,822F,930F,846F,948F,918F,936F,914F,928F,1042F,940F,1000F,1012F,4058F,1052F,1034F,1056F,4044F,1022F,1130F,1146F,4118F,1148F,1136F,1114F,4142F,1128F,1240F,1200F,4212F,1258F,1252F,1234F,4256F,1244F,1322F,1330F,4346F,1318F,1348F,1336F,4314F,1342F,1428F,1440F,4400F,1412F,1458F,1452F,4434F,1456F,1544F,1522F,4530F,1546F,1518F,1548F,4536F,1608F,1514F,1642F,1628F,1610F,1640F,1630F,1600F,1612F,1732F,1716F,1658F,1750F,1652F,1748F,1734F,1718F,1756F,1824F,1728F,1744F,1740F,1722F,1714F,1746F,1832F,1736F,1808F,1800F,1842F,1810F,1858F,1830F,1812F,1934F,1816F,1950F,1948F,1940F,1918F,1924F,1944F,1908F,1922F,1946F,2010F,2032F,2034F,2036F,2000F,2042F,2058F,2140F,2012F,2016F,2150F,2108F,2148F,2118F,2124F,2134F,2144F,2122F,2210F,2236F,2200F,2258F,2318F,2240F,2212F,2350F,2334F,2324F,2344F,2422F
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  立          川,発,,,,,,447,,,,,514,,,,532,,,550,,,605,,,611,,620,,,631,,641,,647,652,,,658,,,706,,711,,715,719,722,,,727,732,,736,,,745,,,752,758,,806,,814,,824,,834,843,850,,858,907,915,924,933,942,,954,1003,1013,1022,1025,1035,1044,1053,1056,1105,1114,1123,1126,1135,1144,1153,1156,1205,1214,1223,1226,1235,1244,1253,1256,1305,1314,1323,1326,1335,1344,1353,1356,1405,1414,1423,1426,1435,1444,1453,1456,1505,1514,1523,1526,1535,1544,1553,,1556,1605,1611,,1618,,1627,1633,,,1643,,1653,,1704,,1714,,,1724,,1734,,1744,,1754,1804,,1814,1823,,1833,1842,,1851,1900,1908,,1918,1927,1935,,1944,1953,,2003,,2013,2022,2029,2036,,2048,2059,2107,,2116,2126,2135,,2146,2156,2206,2216,2225,2238,,2246,2257,2312,,2333,2356,012
(特)||  西    国    立,発,,,,,,449,,,,,516,,,,534,,,552,,,607,,,613,,622,,,633,,643,,649,655,,,701,705,,708,,713,,717,721,725,,,730,735,,738,742,,747,,,754,800,,808,,816,,826,,836,845,852,,900,909,917,926,935,944,,956,1005,1015, ﾚ,1027,1037,1046, ﾚ,1058,1107,1116, ﾚ,1128,1137,1146, ﾚ,1158,1207,1216, ﾚ,1228,1237,1246, ﾚ,1258,1307,1316, ﾚ,1328,1337,1346, ﾚ,1358,1407,1416, ﾚ,1428,1437,1446, ﾚ,1458,1507,1516, ﾚ,1528,1537,1546, ﾚ,,1558,1607,1613,,1620,,1629,1635,,,1645,,1655,,1706,,1716,,,1726,,1736,,1746,,1756,1806,,1816,1825,,1835,1844,,1853,1902,1910,,1920,1929,1937,,1946,1955,,2005,,2015,2024,2031,2038,,2050,2101,2109,,2118,2128,2137,,2148,2158,2208,2218,2227,2240,,2248,2259,2314,,2335,2358,014
(特)||  矢          川,発,,,,,,451,,,,,518,,,,536,,,553,,,609,,,615,,624,,,635,,645,,651,657,,,703,707,,710,,715,,719,723,727,,,732,737,,740,744,,749,,,756,802,,810,,818,,827,,838,847,853,,901,911,918,928,937,946,,957,1007,1017, ﾚ,1029,1039,1047, ﾚ,1100,1109,1117, ﾚ,1130,1139,1147, ﾚ,1200,1209,1217, ﾚ,1230,1239,1247, ﾚ,1300,1309,1317, ﾚ,1330,1339,1347, ﾚ,1400,1409,1417, ﾚ,1430,1439,1447, ﾚ,1500,1509,1517, ﾚ,1530,1539,1547, ﾚ,,1600,1608,1614,,1622,,1630,1636,,,1647,,1657,,1708,,1717,,,1728,,1737,,1747,,1758,1807,,1817,1826,,1837,1845,,1855,1903,1912,,1922,1930,1939,,1948,1956,,2007,,2017,2025,2033,2039,,2051,2103,2111,,2119,2130,2139,,2149,2159,2210,2219,2229,2241,,2250,2300,2315,,2337,2359,016
(特)||  谷          保,発,,,,,,453,,,,,520,,,,538,,,556,,,611,,,617,,626,,,637,,647,,653,659,,,705,709,,712,,717,,721,725,729,,,734,739,,743,746,,751,,,758,804,,812,,820,,830,,840,849,856,,904,913,921,930,939,948,,1000,1009,1019, ﾚ,1031,1041,1050, ﾚ,1102,1111,1120, ﾚ,1132,1141,1150, ﾚ,1202,1211,1220, ﾚ,1232,1241,1250, ﾚ,1302,1311,1320, ﾚ,1332,1341,1350, ﾚ,1402,1411,1420, ﾚ,1432,1441,1450, ﾚ,1502,1511,1520, ﾚ,1532,1541,1550, ﾚ,,1602,1611,1617,,1624,,1633,1639,,,1649,,1659,,1710,,1720,,,1730,,1740,,1750,,1800,1810,,1820,1829,,1839,1848,,1857,1906,1914,,1924,1933,1941,,1950,1959,,2009,,2019,2028,2035,2042,,2054,2105,2113,,2122,2132,2141,,2152,2202,2212,2222,2231,2244,,2252,2303,2318,,2339,002,018
(特)||  西          府,発,,,,,,455,,,,,523,,,,541,,,558,,,614,,,620,,629,,,640,,650,,656,701,,,707,711,,715,,720,,724,728,731,,,736,741,,745,749,,754,,,801,807,,815,,822,,832,,842,851,858,,906,916,923,932,942,951,,1002,1011,1021, ﾚ,1034,1044,1052, ﾚ,1105,1114,1122, ﾚ,1135,1144,1152, ﾚ,1205,1214,1222, ﾚ,1235,1244,1252, ﾚ,1305,1314,1322, ﾚ,1335,1344,1352, ﾚ,1405,1414,1422, ﾚ,1435,1444,1452, ﾚ,1505,1514,1522, ﾚ,1535,1544,1552, ﾚ,,1605,1613,1619,,1627,,1635,1641,,,1652,,1702,,1713,,1722,,,1733,,1742,,1752,,1803,1812,,1822,1831,,1842,1850,,1900,1908,1917,,1927,1935,1944,,1953,2001,,2012,,2021,2030,2038,2044,,2056,2108,2116,,2124,2134,2143,,2154,2204,2215,2224,2234,2246,,2255,2305,2320,,2341,004,020
(特)||  分  倍  河  原,発,,,,,,457,,,,,525,,,,543,,,600,,,616,,,622,,631,,,642,,652,,658,704,,,710,714,,717,,722,,726,730,734,,,739,744,,748,751,,756,,,803,809,,817,,825,,834,,845,853,900,,908,918,925,935,944,953,,1004,1014,1024,1028,1036,1046,1054,1059,1107,1116,1124,1129,1137,1146,1154,1159,1207,1216,1224,1229,1237,1246,1254,1259,1307,1316,1324,1329,1337,1346,1354,1359,1407,1416,1424,1429,1437,1446,1454,1459,1507,1516,1524,1529,1537,1546,1554,1559,,1607,1615,1621,,1629,,1637,1643,,,1654,,1704,,1715,,1724,,,1735,,1744,,1754,,1805,1814,,1824,1833,,1844,1852,,1902,1910,1919,,1929,1937,1946,,1955,2003,,2014,,2024,2032,2040,2046,,2058,2110,2118,,2126,2136,2145,,2156,2206,2217,2226,2236,2248,,2257,2307,2322,,2343,006,022
