FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,455F,401F,403F,433F,535F,509F,505F,513F,501F,507F,517F,561F,511F,619F,637F,657F,623F,615F,655F,639F,625F,609F,641F,603F,621F,627F,613F,649F,633F,651F,731F,759F,763F,753F,743F,735F,729F,705F,711F,745F,701F,723F,707F,747F,717F,761F,749F,709F,819F,865F,831F,837F,827F,857F,863F,815F,855F,839F,829F,833F,825F,841F,811F,803F,867F,801F,821F,843F,807F,813F,951F,959F,953F,935F,957F,945F,923F,1031F,1047F,1049F,4019F,1037F,1015F,1029F,4043F,1041F,1101F,1159F,4113F,1153F,1135F,1145F,4157F,1123F,1231F,1219F,4247F,1249F,1237F,1243F,4215F,1229F,1341F,1313F,4301F,1359F,1353F,1357F,4335F,1345F,1423F,1447F,4431F,1419F,1449F,1415F,4437F,1443F,1529F,1501F,4541F,1513F,1559F,1535F,4553F,1557F,1645F,1631F,1623F,1647F,1619F,1637F,1649F,1609F,1715F,1743F,1729F,1711F,1741F,1731F,1701F,1713F,1733F,1717F,1759F,1751F,1753F,1849F,1835F,1819F,1857F,1825F,1829F,1845F,1841F,1823F,1815F,1847F,1833F,1937F,1909F,1901F,1943F,1911F,1959F,1931F,1913F,1935F,1917F,2051F,2049F,2041F,2019F,2025F,2045F,2009F,2023F,2047F,2111F,2135F,2137F,2101F,2143F,2159F,2141F,2113F,2217F,2251F,2249F,2219F,2225F,2235F,2245F,2323F,2311F,2337F,2301F,2359F,2341F,2313F,2451F,2435F,2425F
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,快速,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[浜]||  川          崎,発,,,,449,507,,520,,530,540,,547,553,,600,606,,612,616,621,,625,628,632,638,,644,,650,654,,701,704,708,711,714,717,723,727,730,735,740,745,748,751,754,756,759,801,804,806,809,811,814,816,819,821,824,826,829,831,834,836,839,842,844,847,851,854,859,902,910,918,927,934,944,953,1000,1009,1018,1027,1029,1039,1048,1057,1059,1109,1118,1127,1129,1139,1148,1157,1159,1209,1218,1227,1229,1239,1248,1257,1259,1309,1318,1327,1329,1339,1348,1357,1359,1409,1418,1427,1429,1439,1448,1457,1459,1509,1518,1527,1529,1539,1548,1557,1559,1609,1617,1623,1631,1639,1645,1650,1655,1702,1708,1714,1719,1723,1728,1733,1737,1741,1745,1750,1755,1759,1804,1809,1814,1818,1822,1827,1831,1835,1840,1844,1849,1855,1901,1908,1914,1922,1927,1932,1938,1943,1950,1955,2002,2009,2015,2021,2027,2034,2041,2047,2053,2100,2107,2113,2121,2128,2135,2143,2152,2201,2210,2219,2227,2233,2242,2253,2305,2313,2322,2332,2342,2354,2359,013,021,039
[浜]||  尻          手,発,,,,451,509,,522,,532,542,,550,556,,602,608,,614,619,624,,627,631,635,640,,646,,652,657,,704,707,711,714,717,720,725,729,733,738,743,747,751,754,756,759,801,804,806,809,811,814,816,819,821,824,826,829,831,834,836,839,841,844,847,850,853,857,901,905,912,921,930,937,947,955,1003,1011,1020, ﾚ,1032,1042,1050, ﾚ,1102,1112,1120, ﾚ,1132,1142,1150, ﾚ,1202,1212,1220, ﾚ,1232,1242,1250, ﾚ,1302,1312,1320, ﾚ,1332,1342,1350, ﾚ,1402,1412,1420, ﾚ,1432,1442,1450, ﾚ,1502,1512,1520, ﾚ,1532,1542,1550, ﾚ,1602,1611,1620,1625,1634,1641,1648,1653,1657,1704,1711,1716,1722,1726,1730,1735,1740,1744,1748,1752,1758,1802,1807,1812,1816,1821,1824,1829,1833,1838,1842,1847,1852,1858,1904,1910,1917,1924,1930,1935,1941,1946,1953,1958,2005,2012,2018,2024,2029,2037,2043,2049,2056,2103,2110,2115,2124,2131,2137,2146,2155,2203,2212,2221,2229,2236,2244,2255,2308,2316,2324,2334,2344,2356,002,016,023,042
[浜]||▲矢          向,発,,,,453,511,,524,,534,544,,552,558,,604,610,,616,621,626,,629,633,637,642,,648,,654,659,,706,709,713,716,719,722,727,731,735,740,745,749,753,756,758,801,803,806,808,811,813,816,818,821,823,826,828,831,833,836,838,841,843,846,849,852,855,859,903,907,914,923,932,939,949,957,1005,1013,1022, ﾚ,1034,1044,1052, ﾚ,1104,1114,1122, ﾚ,1134,1144,1152, ﾚ,1204,1214,1222, ﾚ,1234,1244,1252, ﾚ,1304,1314,1322, ﾚ,1334,1344,1352, ﾚ,1404,1414,1422, ﾚ,1434,1444,1452, ﾚ,1504,1514,1522, ﾚ,1534,1544,1552, ﾚ,1604,1613,1622,1627,1636,1643,1650,1655,1659,1706,1713,1718,1724,1728,1732,1737,1742,1746,1750,1754,1800,1804,1809,1814,1818,1823,1826,1831,1835,1840,1844,1849,1854,1900,1906,1912,1919,1926,1932,1937,1943,1948,1955,2000,2007,2014,2020,2026,2031,2039,2045,2051,2058,2105,2112,2117,2126,2133,2139,2148,2157,2205,2214,2223,2231,2238,2246,2257,2310,2318,2326,2336,2346,2358,004,018,025,044
(特)||  鹿    島    田,発,,,,455,513,,526,,536,546,,554,600,,606,612,,618,623,628,,632,635,639,645,,651,,657,701,,708,712,716,718,721,725,730,734,738,742,747,752,756,758,801,803,806,808,811,813,816,818,821,823,826,828,831,833,836,838,841,843,846,849,851,854,858,901,905,909,916,925,934,941,951,959,1007,1015,1024,1032,1036,1046,1054,1102,1106,1116,1124,1132,1136,1146,1154,1202,1206,1216,1224,1232,1236,1246,1254,1302,1306,1316,1324,1332,1336,1346,1354,1402,1406,1416,1424,1432,1436,1446,1454,1502,1506,1516,1524,1532,1536,1546,1554,1602,1606,1615,1624,1629,1638,1645,1652,1657,1702,1709,1715,1721,1726,1730,1735,1740,1744,1748,1752,1757,1802,1806,1811,1816,1821,1825,1829,1834,1838,1842,1847,1851,1856,1902,1908,1915,1921,1929,1934,1939,1945,1950,1957,2002,2009,2016,2022,2028,2034,2041,2048,2054,2100,2107,2114,2120,2128,2135,2142,2150,2159,2207,2216,2225,2233,2240,2248,2259,2312,2320,2328,2338,2348,000,006,020,027,046
(特)||  平          間,発,,,,457,515,,528,,538,548,,555,601,,608,614,,620,625,629,,634,637,641,647,,653,,659,703,,710,714,718,720,723,727,732,736,740,744,749,754,758,800,803,805,808,810,813,815,818,820,823,825,828,830,833,835,838,840,843,845,848,851,853,856,900,903,907,910,918,927,936,943,952,1001,1008,1017,1026, ﾚ,1038,1047,1056, ﾚ,1108,1117,1126, ﾚ,1138,1147,1156, ﾚ,1208,1217,1226, ﾚ,1238,1247,1256, ﾚ,1308,1317,1326, ﾚ,1338,1347,1356, ﾚ,1408,1417,1426, ﾚ,1438,1447,1456, ﾚ,1508,1517,1526, ﾚ,1538,1547,1556, ﾚ,1608,1617,1625,1631,1639,1647,1653,1658,1704,1711,1717,1723,1728,1732,1737,1742,1746,1750,1754,1759,1804,1808,1813,1818,1823,1827,1831,1836,1840,1844,1849,1853,1858,1904,1910,1917,1923,1931,1936,1941,1947,1952,1959,2004,2011,2018,2024,2030,2036,2043,2050,2056,2102,2109,2116,2122,2130,2137,2144,2152,2201,2209,2218,2227,2235,2241,2250,2301,2313,2321,2330,2340,2350,002,007,021,029,048
(特)||  向    河    原,発,,,,459,517,,530,,540,550,,557,603,,610,616,,622,627,631,,636,639,643,649,,655,,701,705,,712,716,720,723,726,729,734,738,742,746,751,756,800,803,805,808,810,813,815,818,820,823,825,828,830,833,835,838,840,843,845,848,850,853,856,858,902,905,909,912,920,929,938,945,954,1003,1010,1019,1028, ﾚ,1040,1049,1058, ﾚ,1110,1119,1128, ﾚ,1140,1149,1158, ﾚ,1210,1219,1228, ﾚ,1240,1249,1258, ﾚ,1310,1319,1328, ﾚ,1340,1349,1358, ﾚ,1410,1419,1428, ﾚ,1440,1449,1458, ﾚ,1510,1519,1528, ﾚ,1540,1549,1558, ﾚ,1610,1619,1627,1633,1641,1649,1655,1700,1706,1713,1719,1725,1730,1734,1739,1744,1748,1752,1756,1801,1806,1810,1815,1820,1825,1829,1833,1838,1842,1846,1851,1855,1900,1906,1912,1919,1925,1933,1938,1943,1949,1954,2001,2006,2013,2020,2026,2032,2038,2045,2052,2058,2104,2111,2118,2124,2132,2139,2146,2154,2203,2211,2220,2229,2237,2243,2252,2303,2315,2323,2332,2342,2352,004,009,023,031,050
