FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,602M,604M,606M,608M,610M,3652M,1610M,3654M,1612M,612M,614M,3602M,616M,3604M,3656M,1614M,618M,620M,622M,3658M,1616M,1618M,624M,2606M,1620M,626M,2608M,1622M,628M,2610M,1624M,630M,2612M,1626M,632M,2614M,1628M,634M,2616M,1630M,636M,2618M,1632M,638M,2620M,1634M,640M,2622M,1636M,642M,2624M,1638M,644M,2626M,1640M,646M,2628M,1642M,648M,2630M,1644M,650M,2632M,1646M,652M,2634M,1648M,654M,2636M,1650M,656M,658M,1652M,660M,3608M,1654M,662M,1656M,664M,3610M,1658M,666M,668M,3660M,1660M,670M,1662M,672M,3662M,1664M,1666M,674M,3664M,1668M,676M,678M,686M
列車種別,,,,,,,区快,,区快,,,,快速,,快速,区快,,,,,区快,,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,,,,快速,,,,,快速,,,,区快,,,,,区快,,,,区快,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  奈          良,発,448,522,546,604,622,629,,646,,654,702,710,721,732,738,,747,809,826,846,,,906,927,,939,953,,1010,1023,,1040,1053,,1110,1123,,1140,1153,,1210,1223,,1240,1253,,1310,1323,,1340,1353,,1410,1423,,1440,1453,,1510,1523,,1540,1553,,1608,1623,,1638,1653,,1708,1723,,1746,1757,,1812,,1840,1855,,1911,1924,1950,,2004,,2028,2047,,,2113,2134,,2205,2235,2309
(近)||  平    城    山,発,453,527,551,609,627,634,,650,,658,706, ﾚ,726, ﾚ,743,,752,813,830,850,,,911, ﾚ,,943, ﾚ,,1014, ﾚ,,1044, ﾚ,,1114, ﾚ,,1144, ﾚ,,1214, ﾚ,,1244, ﾚ,,1314, ﾚ,,1344, ﾚ,,1414, ﾚ,,1444, ﾚ,,1514, ﾚ,,1544, ﾚ,,1613, ﾚ,,1643, ﾚ,,1713,1727,,1750, ﾚ,,1817,,1845, ﾚ,,1916,1929,1954,,2008,,2033,2051,,,2117,2139,,2209,2240,2314
(近)∧  木          津,発,456,533,555,613,630,638,,654,,703,710,717,730,740,747,,756,817,834,855,,,917,934,,947,1001,,1018,1031,,1048,1101,,1118,1131,,1148,1201,,1218,1231,,1248,1301,,1318,1331,,1348,1401,,1418,1431,,1448,1501,,1518,1531,,1548,1601,,1617,1631,,1647,1701,,1717,1731,,1754,1805,,1821,,1850,1904,,1920,1933,2000,,2012,,2038,2055,,,2121,2143,,2213,2244,2317
(近)◇  上          狛,発,459,536,558,616,633,641,,657,,706,713, ﾚ,732, ﾚ,749,,758,820,837,859,,,920, ﾚ,,951, ﾚ,,1021, ﾚ,,1051, ﾚ,,1121, ﾚ,,1151, ﾚ,,1221, ﾚ,,1251, ﾚ,,1321, ﾚ,,1351, ﾚ,,1421, ﾚ,,1451, ﾚ,,1521, ﾚ,,1551, ﾚ,,1620, ﾚ,,1650, ﾚ,,1721,1733,,1757, ﾚ,,1823,,1852, ﾚ,,1923,1935,2002,,2015,,2040,2059,,,2125,2146,,2216,2246,2321
(近)◇  棚          倉,発,503,539,601,619,637,644,,702,,710,716, ﾚ,737, ﾚ,753,,802,824,842,902,,,923, ﾚ,,955, ﾚ,,1025, ﾚ,,1055, ﾚ,,1125, ﾚ,,1155, ﾚ,,1225, ﾚ,,1255, ﾚ,,1325, ﾚ,,1355, ﾚ,,1425, ﾚ,,1455, ﾚ,,1525, ﾚ,,1555, ﾚ,,1624, ﾚ,,1654, ﾚ,,1724,1739,,1800, ﾚ,,1827,,1856, ﾚ,,1927,1945,2006,,2019,,2044,2103,,,2128,2150,,2220,2250,2324
(近)◇  玉          水,発,506,543,605,623,641,648,,705,,713,720,727,740,747,756,,807,827,846,905,,,928,942,,958,1012,,1028,1042,,1058,1112,,1128,1142,,1158,1212,,1228,1242,,1258,1312,,1328,1342,,1358,1412,,1428,1442,,1458,1512,,1528,1542,,1558,1612,,1627,1642,,1657,1712,,1728,1743,,1804,1814,,1830,,1859,1914,,1930,1950,2009,,2022,,2048,2106,,,2132,2153,,2223,2254,2328
(近)◇  山  城  多  賀,発,509,545,607,626,643,650,,707,,716,722, ﾚ,743, ﾚ,758,,811,831,849,909,,,931, ﾚ,,1004, ﾚ,,1034, ﾚ,,1104, ﾚ,,1134, ﾚ,,1204, ﾚ,,1234, ﾚ,,1304, ﾚ,,1334, ﾚ,,1404, ﾚ,,1434, ﾚ,,1504, ﾚ,,1534, ﾚ,,1604, ﾚ,,1634, ﾚ,,1704, ﾚ,,1734,1747,,1810, ﾚ,,1834,,1903, ﾚ,,1933,1953,2012,,2025,,2051,2110,,,2135,2156,,2227,2257,2331
(近)◇  山  城  青  谷,発,511,547,610,628,646,654,,709,,718,725, ﾚ,745, ﾚ,802,,815,834,851,911,,,934, ﾚ,,1008, ﾚ,,1038, ﾚ,,1108, ﾚ,,1138, ﾚ,,1208, ﾚ,,1238, ﾚ,,1308, ﾚ,,1338, ﾚ,,1408, ﾚ,,1438, ﾚ,,1508, ﾚ,,1538, ﾚ,,1608, ﾚ,,1638, ﾚ,,1708, ﾚ,,1738,1749,,1812, ﾚ,,1839,,1909, ﾚ,,1938,1955,2014,,2028,,2054,2113,,,2141,2159,,2229,2300,2333
(近)◇  長          池,発,514,550,613,631,649,657,,712,,721,728, ﾚ,748, ﾚ,805,,817,836,854,913,,,937, ﾚ,,1011, ﾚ,,1041, ﾚ,,1111, ﾚ,,1141, ﾚ,,1211, ﾚ,,1241, ﾚ,,1311, ﾚ,,1341, ﾚ,,1411, ﾚ,,1441, ﾚ,,1511, ﾚ,,1541, ﾚ,,1611, ﾚ,,1641, ﾚ,,1711, ﾚ,,1741,1752,,1815, ﾚ,,1844,,1912, ﾚ,,1942,1958,2018,,2031,,2057,2116,,,2144,2201,,2232,2305,2336
(近)◇  城          陽,着,516,553,616,634,651,700,,715,,724,730,734,750,754,807,,820,839,857,916,,,940,949,,1013,1019,,1043,1049,,1113,1119,,1143,1149,,1213,1219,,1243,1249,,1313,1319,,1343,1349,,1413,1419,,1443,1449,,1513,1519,,1543,1549,,1613,1619,,1643,1649,,1713,1719,,1744,1754,,1818,1822,,1847,,1915,1921,,1944,2001,2020,,2033,,2100,2118,,,2147,2204,,2235,2308,2339
