FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,601M,603M,605M,1611M,607M,1613M,609M,611M,1615M,613M,3651M,1617M,615M,1619M,3653M,617M,1621M,619M,2603M,1623M,621M,2605M,1625M,623M,2607M,1627M,625M,2609M,1629M,627M,2611M,1631M,629M,2613M,1633M,631M,2615M,1635M,633M,2617M,1637M,635M,2619M,1639M,637M,2621M,1641M,639M,2623M,1643M,641M,2625M,1645M,643M,2627M,1647M,645M,2629M,1649M,647M,2631M,1651M,649M,2633M,1653M,651M,3601M,1655M,653M,3603M,1657M,655M,3605M,1659M,657M,3607M,1661M,1663M,3655M,659M,1665M,3657M,661M,1667M,3659M,663M,1669M,3661M,665M,1671M,3663M,1673M,3665M,667M,1675M,3667M,669M,681M,683M,685M
列車種別,,,,,,,,,,,,区快,,,,区快,,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,みやこ,,,快速,,,快速,,,快速,,,快速,,,区快,,,区快,,,区快,,,区快,,,区快,,区快,,,区快,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[京]||  京          都,発,532,551,613,630,643,653,712,732,739,751,809,813,823,837,849,852,908,918,932,937,949,1003,1007,1019,1033,1037,1049,1103,1107,1119,1133,1137,1149,1203,1207,1219,1233,1237,1249,1303,1307,1319,1333,1337,1349,1403,1407,1419,1433,1437,1449,1503,1507,1519,1533,1537,1549,1603,1607,1619,1633,1637,1649,1703,1707,1720,1736,1739,1754,1806,1811,1824,1836,1840,1852,1906,1910,1924,1936,1940,1954,2006,2010,2024,2036,2040,2054,2106,2110,2124,2136,2148,2206,2209,2224,2236,2249,2309,2334,2358
[京]||  東    福    寺,発,535,553,615,633,645,655,715,735,742,754,813,817,826,841,852,855,911,921,935,940,952,1005,1010,1022,1035,1040,1052,1105,1110,1122,1135,1140,1152,1205,1210,1222,1235,1240,1252,1305,1310,1322,1335,1340,1352,1405,1410,1422,1435,1440,1452,1505,1510,1522,1535,1540,1552,1605,1610,1622,1635,1640,1652,1705,1710,1723,1739,1742,1757,1809,1814,1827,1839,1843,1855,1909,1913,1927,1939,1943,1957,2009,2013,2027,2039,2043,2057,2109,2113,2127,2139,2151,2209,2212,2227,2239,2252,2312,2337,001
[京]||  稲          荷,発,538,556,618,636,648,658,718,738,745,757, ﾚ,820,829,843, ﾚ,858,913,924, ﾚ,942,955, ﾚ,1012,1025, ﾚ,1042,1055, ﾚ,1112,1125, ﾚ,1142,1155, ﾚ,1212,1225, ﾚ,1242,1255, ﾚ,1312,1325, ﾚ,1342,1355, ﾚ,1412,1425, ﾚ,1442,1455, ﾚ,1512,1525, ﾚ,1542,1555, ﾚ,1612,1625, ﾚ,1642,1655, ﾚ,1713,1726, ﾚ,1744,1759, ﾚ,1817,1830, ﾚ,1846,1857, ﾚ,1916,1930, ﾚ,1945,2000, ﾚ,2016,2030, ﾚ,2046,2100, ﾚ,2116,2130, ﾚ,2154, ﾚ,2215,2229, ﾚ,2255,2314,2340,004
[京]∨  Ｊ  Ｒ  藤  森,発,541,559,621,639,651,701,722,742,749,800, ﾚ,823,832,847, ﾚ,901,917,927, ﾚ,947,958, ﾚ,1017,1028, ﾚ,1047,1058, ﾚ,1117,1128, ﾚ,1147,1158, ﾚ,1217,1228, ﾚ,1247,1258, ﾚ,1317,1328, ﾚ,1347,1358, ﾚ,1417,1428, ﾚ,1447,1458, ﾚ,1517,1528, ﾚ,1547,1558, ﾚ,1617,1628, ﾚ,1647,1658, ﾚ,1717,1729, ﾚ,1749,1803, ﾚ,1820,1834, ﾚ,1849,1901, ﾚ,1919,1933, ﾚ,1949,2004, ﾚ,2020,2034, ﾚ,2049,2104, ﾚ,2119,2134, ﾚ,2157, ﾚ,2219,2232, ﾚ,2258,2317,2343,007
[京]◇◆桃          山,発,544,602,624,642,654,704,726,746,755,804, ﾚ,829,836,850, ﾚ,905,921,934, ﾚ,952,1004, ﾚ,1022,1034, ﾚ,1052,1104, ﾚ,1122,1134, ﾚ,1152,1204, ﾚ,1222,1234, ﾚ,1252,1304, ﾚ,1322,1334, ﾚ,1352,1404, ﾚ,1422,1434, ﾚ,1452,1504, ﾚ,1522,1534, ﾚ,1552,1604, ﾚ,1622,1634, ﾚ,1652,1704, ﾚ,1723,1735, ﾚ,1752,1806, ﾚ,1824,1840, ﾚ,1853,1904, ﾚ,1923,1939, ﾚ,1952,2007, ﾚ,2023,2039, ﾚ,2053,2108, ﾚ,2123,2139, ﾚ,2201, ﾚ,2225,2235, ﾚ,2301,2320,2346,010
(近)◇  六    地    蔵,発,548,606,628,646,658,708,730,750,759,810,825,833,840,854,901,908,924,937,945,956,1008,1015,1026,1038,1045,1056,1108,1115,1126,1138,1145,1156,1208,1215,1226,1238,1245,1256,1308,1315,1326,1338,1345,1356,1408,1415,1426,1438,1445,1456,1508,1515,1526,1538,1545,1556,1608,1615,1626,1638,1645,1656,1708,1715,1727,1739,1748,1756,1811,1819,1827,1844,1849,1858,1908,1918,1926,1943,1949,1957,2011,2019,2027,2043,2049,2058,2111,2118,2126,2143,2149,2204,2220,2230,2240,2248,2305,2324,2350,013
(近)◇  木          幡,発,550,608,631,649,700,714,733,753,801,812, ﾚ,835,842,857, ﾚ,910,929,940, ﾚ,1000,1010, ﾚ,1030,1040, ﾚ,1100,1110, ﾚ,1130,1140, ﾚ,1200,1210, ﾚ,1230,1240, ﾚ,1300,1310, ﾚ,1330,1340, ﾚ,1400,1410, ﾚ,1430,1440, ﾚ,1500,1510, ﾚ,1530,1540, ﾚ,1600,1610, ﾚ,1630,1640, ﾚ,1700,1710, ﾚ,1731,1741, ﾚ,1800,1813, ﾚ,1829,1846, ﾚ,1900,1910, ﾚ,1928,1945, ﾚ,1959,2013, ﾚ,2029,2045, ﾚ,2102,2113, ﾚ,2129,2145, ﾚ,2207, ﾚ,2232,2242, ﾚ,2307,2326,2355,016
