FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,452T,562T,540,546,510,540T,544,506,552T,508,604,648,662T,3562M,642,514H,650T,630T,606H,610H,640,660T,624T,646,642T,614,710T,722H,708,744,606,722T,754T,748,712,744T,742,720T,702,726T,814,840,866T,710,808,846,806,844,848,804,838T,942,912,802,932T,940,956T,908,906,910,1042T,1012,1006T,1032T,1002,1080T,1140T,1166T,1108,1110,1150T,1130T,1212,1220H,1102,1240T,1276T,1242T,1210,1308,1306T,1312,1380T,1302,1362T,1440T,1466T,1408,1410,1430T,1408T,1512,1520H,1402,1540T,1542T,1514H,1510,1608,1606T,1612,1602,1662T,1640T,1744,1736T,1708,1742,1610,1742T,1706T,1748,1750T,1704,1812,1846,1820T,1806,1816T,1844,1702,1808,1814H,1842,1826T,1810,1906T,1910H,1912,1804,1906,1938T,1908,2048T,1902,2026T,2036T,2030T,2042T,2012,2010,2060T,2044,2006,2108,2004,2148T,2104H,2162T,2102,2146T,2212,2242,2224T,2110,2208,2278T,2204,2312H,2306,2312,2310,2342,2302,2348,2308
列車種別,,,,,,,特快,,,快速,,,,快速,ﾗｲﾅｰ,,快速,快速,通特,快速,快速,,快速,快速,,快速,,快速,快速,,,,快速,快速,,,快速,,通特,,快速,,,快速,,,,,,,,快速,,,,,,特快,,,,快速,,特快,快速,,特快,,快速,,,快速,特快,,快速,,,快速,特快,,,快速,,快速,,特快,,快速,,,快速,特快,,快速,,,,快速,,,,,,快速,快速,,快速,,,,快速,,,快速,,,,特快,,快速,,,,快速,,,,快速,快速,,,,快速,,,,快速,,快速,快速,,,快速,,,,,快速,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,青梅特快,,,,,,,,青梅ライナー,,,,通勤特快,,,,,,,,,,,,,,,,,,,,通勤特快,,,,,,,,,,,,,,,,,,,青梅特快,,,,,,青梅特快,,,青梅特快,,,,,,青梅特快,,,,,,青梅特快,,,,,,,青梅特快,,,,,,青梅特快,,,,,,,,,,,,,,,,,,,,,,,,,,青梅特快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)∧  奥    多    摩,発,,,,||,,,||,507,,,,,,,||,547,,,||,606,||,,,||,,,,||,,||,632,,,||,,,||,,710,,,||,,744,,||,,||,,817,,||,,849,,||,,,,932,,,,,1017,,,,,1102,,,,,1147,,,,1232,,,,,1317,,,,,1402,,,,,1447,,,,1532,,,,1611,,,||,,,||,1652,,,||,,1723,,||,,,,||,1753,,,||,,1826,,,,1858,,,,,1931,,,,,,2007,,||,,,2042,,||,,2112,,,,,2152,,,2219,,,,,,2300,||,
(特)｜  白          丸,発,,,,||,,,||,510,,,,,,,||,550,,,||,608,||,,,||,,,,||,,||,635,,,||,,,||,,712,,,||,,746,,||,,||,,819,,||,,851,,||,,,,935,,,,,1020,,,,,1105,,,,,1150,,,,1235,,,,,1320,,,,,1405,,,,,1449,,,,1534,,,,1613,,,||,,,||,1655,,,||,,1726,,||,,,,||,1756,,,||,,1829,,,,1901,,,,,1934,,,,,,2009,,||,,,2044,,||,,2114,,,,,2154,,,2221,,,,,,2303,||,
(特)◇  鳩    ノ    巣,発,,,,||,,,||,512,,,,,,,||,553,,,||,611,||,,,||,,,,||,,||,637,,,||,,,||,,715,,,||,,749,,||,,||,,822,,||,,854,,||,,,,937,,,,,1023,,,,,1108,,,,,1152,,,,1237,,,,,1322,,,,,1408,,,,,1452,,,,1537,,,,1616,,,||,,,||,1657,,,||,,1728,,||,,,,||,1758,,,||,,1832,,,,1903,,,,,1936,,,,,,2012,,||,,,2047,,||,,2117,,,,,2200,,,2224,,,,,,2305,||,
(特)◇  古          里,発,,,,||,,,||,516,,,,,,,||,556,,,||,615,||,,,||,,,,||,,||,644,,,||,,,||,,721,,,||,,754,,||,,||,,829,,||,,857,,||,,,,941,,,,,1026,,,,,1111,,,,,1156,,,,1241,,,,,1326,,,,,1411,,,,,1455,,,,1540,,,,1619,,,||,,,||,1706,,,||,,1736,,||,,,,||,1806,,,||,,1836,,,,1907,,,,,1940,,,,,,2016,,||,,,2052,,||,,2123,,,,,2203,,,2227,,,,,,2309,||,
(特)｜  川          井,発,,,,||,,,||,519,,,,,,,||,559,,,||,618,||,,,||,,,,||,,||,647,,,||,,,||,,724,,,||,,757,,||,,||,,832,,||,,900,,||,,,,944,,,,,1029,,,,,1114,,,,,1159,,,,1244,,,,,1329,,,,,1414,,,,,1458,,,,1543,,,,1622,,,||,,,||,1709,,,||,,1739,,||,,,,||,1809,,,||,,1839,,,,1910,,,,,1943,,,,,,2019,,||,,,2055,,||,,2126,,,,,2206,,,2230,,,,,,2312,||,
(特)◇  御          嶽,発,,,,||,,,||,523,,,,,,,||,603,,,||,622,||,,,||,,643,,||,,||,651,,,||,716,,||,,728,,,||,,801,,||,,||,,836,,||,,904,,||,,,,949,,,,,1034,,,,,1119,,,,,1204,,,,1249,,,,,1334,,,,,1419,,,,,1502,,,,1547,,,,1627,,,||,,,||,1713,,,||,,1743,,||,,,,||,1813,,,||,,1843,,,,1915,,,,,1947,,,,,,2023,,||,,,2059,,||,,2130,,,,,2210,,,2239,,,,2300,,2316,||,
