FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,411,541T,553T,503,563T,543,551T,541,531T,647,611,625T,643T,661T,645,609,611T,649,655T,605,523T,743,721T,727T,741,667T,747,715,709,807,845,849,739T,843,813,733T,841,857T,909,947,907,945,843T,949,913,943,907T,1033T,981T,941T,967T,1009,1051T,1031T,1113,1021H,1141T,1177T,1143T,1209,1107T,1213,1281T,1263T,1341T,1267T,1309,1331T,1309T,1413,1321H,1441T,1443T,1415H,1509,1407T,1513,1563T,1641T,1537T,1643T,1609,1707T,1651T,1713,1621T,1745,1707,1617T,1709,1843,1715H,1727T,1849,1807T,1711H,1847,3561M,1813,1705H,1907,1945,1839T,1909,1849T,1927T,1943,1837T,1831T,1943T,2013,1961T,1921H,2007,2009,1909H,3563M,2049T,2063T,2047T,2113,2107,2025T,2145,2109,2179T,3565M,2205H,2113H,2213,2243,2143T,2261T,2309,2313H,2307,2313,2443,2403,2449,2351T,505,511H,507,803,811,903,1011,1103,1111,1203,1311,1403,1411,1503,1611,1605,1703,1711,1805,1803,1911,1905,2003,2011,2105,2203,2211,2305
列車種別,,,,,,,,,,,,,快速,,,,,快速,,快速,,,,,快速,,快速,,,,,,,快速,,,快速,,快速,,,,,快速,,,,快速,,快速,快速,快速,,特快,快速,,快速,,快速,特快,,快速,,快速,特快,,快速,,快速,特快,,快速,,快速,特快,,快速,,快速,,快速,,,,快速,,快速,,,快速,,,通快,快速,,,快速,,特快,,快速,,,快速,,快速,,,快速,快速,快速,,快速,快速,,,快速,特快,,快速,通快,,,快速,,,快速,特快,,快速,,,快速,快速,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青梅特快,,,,,,青梅特快,,,,,青梅特快,,,,,青梅特快,,,,,青梅特快,,,,,,,,,,,,,,,,,,,,,,,,青梅ライナー,,,,,,,,,,,,,,,,,,,青梅ライナー,,,,,,,,,,青梅ライナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||■立          川,発,447,504,514,526,530,536,548,554,557,602,610,612,618,623,628,633,637,641,644,650,656,702,708,716,726,731,738,741,751,801,804,811,821,825,833,839,849,856,903,908,916,924,927,931,944,950,955,1005,1013,1029,1040,1054,1103,1116,1130,1140,1154,1205,1216,1230,1243,1254,1305,1316,1330,1339,1354,1405,1416,1430,1439,1454,1505,1516,1530,1539,1554,1606,1622,1634,1646,1655,1703,1713,1721,1728,1738,1741,1746,1755,1800,1806,1816,1825,1830,1838,1842,1846,1849,1853,1901,1906,1909,1917,1922,1931,1934,1939,1945,1954,2003,2005,2010,2020,2030,2035,2043,2048,2057,2105,2122,2131,2138,2144,2155,2206,2212,2216,2223,2238,2251,2259,2310,2322,2336,2343,2359,005,016,022,043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  西    立    川,発,450,507,517,529,533,539,552,557,601,605,613,616,622,628,632,636,641,644,650,655,702,705,712,720,729,735,741,745,754,804,808,816,825,828,836,844,852,900,906,911,920,928,931,934,947,953,1000,1008,1019,1032,1043,1057,1106,1119,1133,1143,1157,1209,1220,1233,1246,1257,1309,1320,1333,1343,1357,1409,1420,1433,1443,1457,1509,1520,1533,1543,1557,1610,1625,1638,1649,1658,1706,1717,1724,1733,1742,1745,1750,1759,1804,1810,1820,1828,1834,1842,1846, ﾚ,1853,1857,1905,1909,1916,1921,1927,1935,1938,1943,1949,1958,2006,2010,2015,2024,2033,2041, ﾚ,2051,2100,2110,2125,2134,2141,2147,2158,2209, ﾚ,2219,2227,2241,2254,2302,2313,2325,2339,2346,002,008,019,025,047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  東    中    神,発,452,509,519,530,535,540,554,558,603,607,615,618,623,630,633,637,643,646,651,656,703,707,713,722,730,736,743,746,756,806,809,817,826,829,837,846,854,902,908,913,921,929,932,935,949,954,1001,1010,1020,1034,1045,1058,1108,1121,1135,1145,1158,1210,1222,1234,1248,1258,1310,1322,1334,1344,1358,1410,1422,1434,1444,1458,1510,1522,1534,1544,1558,1611,1627,1639,1651,1659,1708,1719,1726,1735,1744,1747,1752,1801,1806,1812,1822,1830,1836,1844,1848, ﾚ,1855,1859,1907,1911,1918,1923,1929,1937,1940,1945,1951,2000,2008,2012,2017,2026,2035,2043, ﾚ,2053,2102,2111,2127,2136,2143,2148,2200,2211, ﾚ,2220,2229,2242,2256,2304,2315,2327,2341,2347,004,009,020,026,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  中          神,発,454,510,521,532,536,542,555,600,605,608,616,619,625,631,635,639,644,648,653,658,705,709,715,723,732,738,744,748,757,808,811,819,828,831,839,848,856,903,909,914,923,931,934,937,951,956,1003,1011,1022,1035,1046,1100,1110,1123,1136,1146,1200,1212,1223,1236,1249,1300,1312,1323,1336,1346,1400,1412,1423,1436,1446,1500,1512,1523,1536,1546,1600,1613,1629,1641,1652,1701,1710,1720,1728,1737,1746,1749,1754,1803,1808,1814,1823,1832,1838,1846,1850, ﾚ,1857,1900,1909,1913,1920,1924,1931,1938,1941,1947,1953,2002,2010,2014,2019,2027,2037,2045, ﾚ,2055,2104,2113,2128,2138,2145,2150,2202,2213, ﾚ,2222,2230,2244,2257,2306,2317,2329,2343,2349,005,011,022,028,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)||  昭          島,発,456,512,523,534,538,544,557,602,607,610,619,622,627,634,637,641,646,650,655,700,707,711,717,725,734,740,746,750,800,810,813,821,830,833,841,850,858,906,912,917,925,933,936,939,953,958,1005,1013,1024,1037,1048,1102,1112,1125,1138,1148,1202,1214,1225,1238,1251,1302,1314,1325,1338,1348,1402,1414,1425,1438,1448,1502,1514,1525,1538,1548,1602,1615,1631,1643,1654,1703,1712,1723,1731,1739,1748,1751,1756,1805,1810,1816,1826,1835,1840,1849,1852, ﾚ,1859,1903,1911,1916,1923,1927,1933,1941,1944,1950,1955,2005,2013,2016,2022,2030,2040,2047, ﾚ,2057,2106,2115,2130,2140,2147,2152,2204,2215, ﾚ,2224,2232,2246,2259,2308,2319,2331,2345,2351,008,013,024,030,053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(特)∨  拝          島,着,459,516,526,537,542,547,601,605,610,614,622,625,630,637,640,644,650,653,658,703,710,714,720,729,737,743,750,753,803,813,816,824,833,836,844,853,901,909,915,920,928,936,939,942,956,1001,1008,1016,1027,1040,1051,1105,1115,1128,1141,1151,1205,1217,1228,1241,1254,1305,1317,1328,1341,1351,1405,1417,1428,1441,1451,1505,1517,1528,1541,1551,1605,1618,1634,1646,1657,1706,1716,1726,1734,1743,1752,1755,1800,1808,1813,1819,1829,1838,1844,1852,1856,1858,1903,1906,1914,1919,1926,1930,1937,1944,1947,1953,1959,2008,2016,2020,2025,2033,2043,2050,2053,2100,2109,2118,2134,2143,2150,2155,2207,2218,2223,2227,2236,2249,2303,2311,2322,2334,2348,2354,011,016,027,033,056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
