FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,440K,442K,544K,450K,402K,400K,504K,506K,564K,510K,508K,552K,512K,590S,642K,514K,654K,648K,618K,640K,606K,602K,616S,620K,604K,710K,622K,650S,744K,626K,624S,712K,746K,628K,700S,714K,752K,718K,730K,756S,790K,816K,732K,708S,886K,854K,742S,846K,734K,806K,822K,802K,848S,810K,858S,916K,840K,884K,804S,928K,836S,986K,944K,980K,938S,920K,924K,988S,954K,1022K,982F,1014K,1018K,1048F,1030K,1028K,1016F,1084K,1144K,1008F,1120K,1124K,1146F,1104K,1122K,1158F,1114K,1218K,1154F,1230K,1228K,1286F,1284K,1244K,1202F,1220K,1324K,1242F,1304K,1322K,1382F,1314K,1318K,1356F,1330K,1428K,1336F,1484K,1444K,1408F,1420K,1424K,1448F,1404K,1522K,1416F,1514K,1518K,1554F,1530K,1528K,1546F,1584K,1632K,1644K,1588F,1620K,1624K,1652K,1642F,1610K,1622K,1656K,1680F,1614K,1618K,1626K,1604S,1724K,1730K,1738K,1728K,1736S,1744K,1784K,1708S,1832K,1788K,1700K,1748S,1886K,1852K,1822K,1816S,1856K,1804K,1846K,1882S,1824K,1836K,1818S,1928K,1908K,1902K,1990S,1986K,1948K,1958K,1942S,2056K,1916K,1914S,2010K,2038K,2082K,2026S,2080K,2058K,2018K,2044K,2000K,2020S,2152K,2104K,2024K,2110K,2108K,2218K,2148S,2188K,2128K,2102K,2222K,8232K,2282K,8262K,2248K,2280S,2200K,2204K,2316K,2308K,8332K,2326K,8362K,2236K,2310K,2416K,2410K,2408K,116K
列車種別,,,,,,,,,,,,,,,通快,,,,,,,,,通快,,,,,通快,,,通快,,,,通快,,,,,通快,,,,通快,,,通快,,,,,,通快,,通快,,,,通快,,通快,,,,通快,,,通快,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,,快速,,,,快速,,,,快速,,,,通快,,,,,通快,,,通快,,,,通快,,,,通快,,,,通快,,,通快,,,,通快,,,,通快,,,通快,,,,通快,,,,,,通快,,,,,,,通快,,,,,,,,,通快,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(近)∧  川          越,発,,,,,,451,,,,,524,,,549,,,,,,604,,,618,,,,,636,,,650,,,,704,,,,,720,,,,735,,,751,,,,,,805,,820,,,,835,,852,,,,911,,,931,,,950,,,1011,,,1030,,,1050,,,1110,,,1130,,,1150,,,1210,,,1230,,,1250,,,1310,,,1330,,,1350,,,1410,,,1430,,,1450,,,1510,,,1530,,,,1550,,,,1610,,,,1630,,,,1650,,,,,1709,,,1729,,,,1748,,,,1806,,,,1826,,,1846,,,,1905,,,,1923,,,1944,,,,2007,,,,2023,,2046,,,2056,,2106,,2126,,,2137,,,2202,,,2223,,,,,,,,,,,,,
(近)◇  <南   古   谷>,発,,,,,,455,,,,,529,,537,555,,,,,,608,,,625,,,,,642,,,654,,,,709,,,,,725,,,,740,,,756,,,,,,810,,825,,,,839,,857,,,,916,,,936,,,955,,,1016,,,1035,,,1055,,,1115,,,1135,,,1155,,,1215,,,1235,,,1255,,,1315,,,1335,,,1355,,,1415,,,1435,,,1455,,,1515,,,1535,,,,1555,,,,1615,,,,1635,,,,1655,,,,,1714,,,1734,,,,1753,,,,1811,,,,1831,,,1851,,,,1910,,,,1928,,,1949,,,,2012,,,,2028,,2051,,,2100,,2111,,2131,,,2142,,,2207,,,2228,,,,,,,,,,,,,
(近)◇  <指        扇>,発,,,,,449,500,508,516,,525,533,,547,559,,555,,,605,614,,,629,621,,,637,646,,651,700,,,705,714,,,,724,730,,,739,745,,,801,,754,,,,816,,830,,,,844,,902,,,,920,,,940,,,1002,,,1021,,,1040,,,1100,,,1120,,,1140,,,1201,,,1220,,,1240,,,1300,,,1320,,,1340,,,1400,,,1420,,,1440,,,1500,,,1520,,,1539,,,,1559,,,,1619,1611,,,1640,,,1651,1659,,,1710,,1719,,,1738,,,1748,1757,,,,1817,,,,1836,,,1856,,,,1914,,,,1934,,,1954,,,,2017,,,,2033,,2056,,,2106,,2116,,2136,,,2147,,,2213,,,2233,,,,,,,,,,,,,
(近)◇  西    大    宮,発,,,,,451,502,511,519,,528,536,,549,602,,558,,,612,616,,,633,624,,,640,649,,657,703,,,712,717,,,,727,733,,,742,748,,,804,,758,,,,819,,833,,,,847,,907,,,,925,,,945,,,1005,,,1025,,,1045,,,1105,,,1125,,,1145,,,1205,,,1225,,,1245,,,1305,,,1325,,,1345,,,1405,,,1425,,,1445,,,1506,,,1525,,,1545,,,,1605,,,,1625,1615,,,1643,,,1653,1704,,,1712,,1723,,,1742,,,1750,1800,,,,1822,,,,1842,,,1902,,,,1920,,,,1941,,,1956,,,,2020,,,,2036,,2059,,,2110,,2121,,2141,,,2150,,,2216,,,2238,,,,,,,,,,,,,
(近)∨  日          進,発,,,,,454,505,514,522,,531,539,,552,605,,601,,,615,621,,,637,629,,,644,653,,701,706,,,716,721,,,,731,737,,,746,752,,,808,,802,,,,822,,837,,,,851,,911,,,,929,,,949,,,1009,,,1028,,,1048,,,1108,,,1128,,,1148,,,1208,,,1228,,,1248,,,1309,,,1328,,,1348,,,1408,,,1428,,,1448,,,1509,,,1528,,,1548,,,,1608,,,,1628,1619,,,1646,,,1656,1707,,,1715,,1727,,,1745,,,1755,1804,,,,1825,,,,1845,,,1905,,,,1924,,,,1944,,,1959,,,,2023,,,,2039,,2103,,,2113,,2124,,2144,,,2153,,,2220,,,2241,,,,,,,,,,,,,
(特)||■大          宮,発,,,,451,500,512,519,528,,537,545,551,557,612,602,606,617,,622,627,,632,642,637,643,,652,659,701,707,711,,715,721,726,,729,,736,743,744,,751,758,,801,812,,807,814,,821,828,834,842,,,848,856,901,916,,,920,935,929,941,956,949,1002,1016,1010,1021,1033,1028,1039,1053,1046,1101,1113,1107,1118,1133,1127,1141,1153,1148,1201,1213,1207,1218,1233,1227,1241,1253,1248,1302,1313,1307,1318,1333,1327,1341,1353,1348,1401,1413,1407,1418,1433,1427,1441,1453,1448,1501,1514,1507,1518,1533,1527,1541,1553,1548,,1601,1613,1607,1618,,1633,1627,1636,1642,1652,1646,1656,1703,1712,,1714,1721,1725,1732,1734,1742,1751,,1754,1802,1810,1811,,1819,1830,1824,1834,1840,1850,1845,1855,1911,1905,1914,1922,1931,,1934,1943,1952,,1954,2005,2006,,2014,2028,2022,,2035,2044,2053,2108,2101,2111,2118,,2131,,2149,2142,2153,2201,2211,,2224,,,2246,2237,2250,2324,2346,,2300,,2311,,,,,
