FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,441K,443K,445K,541K,543K,545K,551K,503K,501K,505K,607K,645K,657S,647K,611K,609S,653K,613K,691K,643S,615K,749S,755K,719K,759S,707K,717K,703K,705S,787K,711K,723K,737S,713K,785K,847K,739S,829K,741K,781K,789S,821K,817K,851K,883S,887K,825K,855K,845K,935K,949S,801K,923K,815K,853K,917S,819K,931K,941K,909F,985K,933K,929K,927K,947F,907K,1045K,1039K,1021K,959F,1025K,1011K,1005K,1055F,1023K,1015K,1087F,1119K,1131K,1003F,1129K,1185K,1143F,1145K,1121K,1183F,1225K,1205K,1157F,1223K,1215K,1237F,1219K,1231K,1209F,1329K,1385K,1249F,1345K,1321K,1317F,1325K,1305K,1355F,1423K,1415K,1347F,1419K,1431K,1489F,1429K,1485K,1443F,1545K,1521K,1481F,1525K,1557K,1505F,1523K,1515K,1537F,1619K,1631K,1509F,1629K,1685K,1649F,1645K,1689K,1617S,1687K,1725K,1655K,1683S,1723K,1757K,1747K,1719S,1705K,1733K,1765K,1791S,1837K,1753K,1829K,1743S,1809K,1703K,1833K,1815S,1849K,1859K,1887K,1827S,1917K,1811K,1957K,1845S,1983K,1881K,1925K,1921S,1919K,1901K,2009S,1953K,1939K,2003K,2049S,1905K,2059K,2047K,2057S,2015K,2089K,2011K,2183S,2029K,2031K,2181S,2023K,2119K,2143K,2137S,2101K,2117K,2105K,2139K,2127K,2209S,2159K,2249K,2245K,2229S,2221K,2253K,8233K,2225K,8363K,2349K,2211K,2301K,2319K,8307K,2389S,8333K,2337K,2417K,2411K,2409K,2467K
列車種別,,,,,,,,,,,,,,通快,,,通快,,,,通快,,通快,,,通快,,,,通快,,,,通快,,,,通快,,,,通快,,,,通快,,,,,,通快,,,,,通快,,,,快速,,,,,快速,,,,,快速,,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,快速,,,通快,,,,通快,,,,通快,,,,通快,,,,通快,,,,通快,,,,通快,,,,通快,,,,通快,,,通快,,,,通快,,,,通快,,,,通快,,,通快,,,,通快,,,,,,通快,,,,通快,,,,,,,,,,,通快,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[山]||■大          崎,発,,,,,,,,,,,,,,,,,,,,,,,,,707,,,,,725,,,738,,750,,759,,807,810,818,821,,828,834,,840,,847,,,859,,905,910,,918,923,,931,,936,,947,950,956,,,,1013,,1020,1027,,,,1053,,,1113,,,1133,,,1152,,,1213,,,1232,,,1251,,,1313,,,1333,,,1352,,,1413,,,1433,,,1452,,,1513,,1521,,,,1549,,,1613,,,1632,,,1649,1654,,1703,1707,,,1722,,,1736,,1747,,1801,,1807,,1815,,1827,,1837,,1848,,1858,,1908,,1917,,1927,,1938,,1952,1959,,,2013,,2021,,,2038,,,2052,2101,,2115,,2122,2128,,2137,,2149,2154,,2210,,2223,,2236,2243,,2254,,,2310,,2326,,2335,,,,,,
[山]||  恵    比    寿,発,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,729,,,742,,754,,803,,811,814,822,825,,832,839,,844,,851,,,903,,909,914,,922,927,,935,,940,,951,955,1000,,,,1017,,1024,1032,,,,1057,,,1117,,,1137,,,1156,,,1217,,,1236,,,1255,,,1317,,,1337,,,1356,,,1417,,,1437,,,1456,,,1517,,1525,,,,1553,,,1617,,,1636,,,1653,1658,,1707,1712,,,1726,,,1740,,1751,,1805,,1811,,1819,,1831,,1841,,1852,,1902,,1913,,1921,,1931,,1943,,1956,2003,,,2018,,2026,,,2042,,,2056,2105,,2119,,2126,2132,,2141,,2153,2158,,2214,,2227,,2240,2247,,2258,,,2314,,2330,,2339,,,,,,
[山]||  渋          谷,発,,,,,,,,,,,,,,,,,,,,,,,,,713,,,,,731,,,744,,756,,805,,813,816,825,827,,834,841,,847,,854,,,905,,911,916,,924,929,,937,,942,,953,957,1002,,,,1019,,1026,1034,,,,1059,,,1119,,,1139,,,1158,,,1219,,,1238,,,1257,,,1319,,,1339,,,1358,,,1419,,,1439,,,1458,,,1519,,1527,,,,1555,,,1619,,,1638,,,1655,1700,,1709,1714,,,1728,,,1743,,1753,,1807,,1813,,1821,,1834,,1844,,1855,,1904,,1915,,1923,,1933,,1945,,1958,2005,,,2020,,2028,,,2044,,,2058,2107,,2121,,2128,2134,,2143,,2155,2200,,2216,,2229,,2242,2249,,2300,,,2316,,2332,,2341,,,,,,
[山]||■新          宿,発,,,,,,,,,,,,,620,,625,632,636,642,646,650,656,704,700,708,719,715,724,727,733,737,742,745,751,756,801,805,811,814,819,823,830,833,838,841,846,849,852,855,859,902,905,911,914,919,921,927,929,935,938,943,946,948,951,959,1003,1010,1007,1015,1018,1025,1028,1033,1039,1043,1053,1059,1105,1111,1117,1125,1131,1135,1145,1151,1157,1205,1211,1217,1225,1231,1237,1244,1251,1257,1305,1311,1317,1325,1331,1337,1345,1351,1357,1404,1411,1417,1425,1431,1435,1445,1451,1457,1505,1511,1517,1525,1531,1535,1544,1552,1557,1602,1605,1616,1625,1627,1636,1644,1647,1656,1701,1706,1712,1715,1720,1725,1730,1735,1741,1746,1749,1757,1800,1808,1813,1817,1820,1825,1828,1836,1841,1845,1851,1856,1902,1905,1910,1915,1921,1926,1929,1935,1941,1946,1951,2001,2005,2011,2015,2020,2026,2031,2034,2040,2045,2050,2057,2101,2106,2114,2120,2127,2131,2135,2140,2145,2150,2155,2202,2208,2219,2222,2229,2235,2241,2248,2256,2301,2307,2310,2316,2322,2329,2339,2343,2347,2351,2355,,,,
[山]||  池          袋,発,430,440,449,502,512,521,530,540,551,559,608,613,626,621,630,638,641,647,651,656,701,709,706,714,725,720,729,733,738,742,747,751,756,801,807,811,816,820,825,830,835,840,844,847,852,855,858,901,904,908,911,917,920,924,926,932,936,941,943,949,952,953,957,1004,1010,1015,1013,1020,1024,1030,1033,1039,1045,1049,1059,1104,1110,1117,1123,1130,1137,1143,1150,1157,1203,1210,1217,1223,1231,1237,1243,1250,1257,1303,1310,1317,1323,1330,1337,1343,1350,1357,1403,1410,1417,1423,1430,1437,1443,1450,1457,1503,1510,1517,1523,1530,1537,1543,1550,1557,1603,1608,1612,1622,1630,1634,1642,1650,1653,1702,1707,1712,1717,1721,1725,1730,1736,1741,1746,1752,1755,1803,1807,1814,1818,1822,1826,1831,1835,1842,1846,1851,1858,1903,1908,1910,1916,1921,1927,1931,1936,1941,1946,1952,1958,2006,2011,2017,2021,2026,2031,2036,2041,2046,2050,2056,2102,2107,2111,2120,2126,2132,2137,2141,2145,2150,2156,2202,2208,2215,2224,2228,2235,2241,2247,2254,2302,2307,2312,2315,2321,2328,2334,2345,2349,2352,2357,000,006,012,026,041
(大)||  板          橋,発,432,443,452,504,515,524,533,543,554,602,611,616,628,624,633,641,644,650,654,658,704,712,708,717,727,723,732,736,741,745,750,754,759,804,810,814,819,823,828,833,838,843,847,850,855,858,900,903,907,911,914,920,923,927,,935,938,944,,951,954,,1000,1007,1012,,1015,1023,1027,1033,1036,1042,1047,1051,1101,1107,1113,1119,1126,1133,1139,1145,1153,1159,1206,1213,1219,1226,1234,1239,1245,1253,1259,1306,1313,1319,1326,1333,1339,1345,1353,1359,1406,1413,1419,1426,1433,1439,1445,1453,1459,1506,1513,1519,1526,1533,1539,1545,1553,1600,1605,1610,1614,1625,1633,1636,1645,1652,1656,1704,1710,1715,1720,1724,1728,1733,1739,1744,1749,1755,1759,1806,1810,1817,1821,1825,1829,1834,1838,1845,1849,1854,1901,1906,1911,1914,1919,1924,1930,1934,1939,1944,1949,1955,2001,2009,2014,2020,2024,2029,2034,2039,2044,2049,2053,2059,2105,2109,2114,2122,2129,2135,2140,2144,2148,2153,2158,2204,2211,2218,2227,2231,2237,2244,2250,2257,2305,2310,2315,2318,2324,2330,2337,2347,2352,2355,000,003,010,015,029,044
