FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,2820Y,2520Y,1091M,2822Y,3452M,2522Y,2824Y,2524Y,2826Y,3454M,2526Y,2828Y,2528Y,3456M,4520Y,2830Y,2202M,2530Y,2532Y,2204M,4820Y,2206M,1083M,4522Y,2534Y,2208M,2832Y,4524Y,2210M,4822Y,2536Y,2212M,2834Y,4526Y,2214M,4824Y,2538Y,2216M,2836Y,1085M,4528Y,2218M,4826Y,2540Y,2220M,2838Y,4530Y,2222M,4828Y,2542Y,2224M,2840Y,4532Y,2226M,4830Y,2544Y,2228M,2842Y,4534Y,2230M,4832Y,2546Y,2232M,2844Y,4536Y,2234M,4834Y,1087M,2548Y,2236M,2846Y,2550Y,2238M,2848Y,2552Y,2240M,2850Y,3060M,2554Y,2852Y,2854Y,2556Y,2244M,2856Y,2558Y,2246M,2858Y,2560Y,2860Y,2862Y,2250M,2562Y,2864Y,2866Y,2252M,2564Y,2868Y,2566Y,2254M,2870Y
列車種別,,快速,普通,特急,快速,ﾗｲﾅｰ,普通,快速,普通,快速,ﾗｲﾅｰ,普通,快速,普通,ﾗｲﾅｰ,快速,快速,特急,普通,普通,特急,特快,特急,特急,快速,普通,特急,快速,快速,特急,特快,普通,特急,快速,快速,特急,特快,普通,特急,快速,特急,快速,特急,特快,普通,特急,快速,快速,特急,特快,普通,特急,快速,快速,特急,特快,普通,特急,快速,快速,特急,特快,普通,特急,快速,快速,特急,特快,特急,普通,特急,快速,普通,特急,快速,普通,特急,快速,特急,普通,快速,快速,普通,特急,快速,普通,特急,快速,普通,快速,快速,特急,普通,快速,快速,特急,普通,快速,普通,特急,快速
列車名,,,,日光,,おはようライナー新宿,,,,,おはようライナー新宿,,,,おはようライナー新宿,,,成田エクスプレス,,,成田エクスプレス,,成田エクスプレス,スペーシアきぬがわ,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,きぬがわ,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,スペーシアきぬがわ,,成田エクスプレス,,,成田エクスプレス,,,成田エクスプレス,,スーパービュー踊り子,,,,,成田エクスプレス,,,成田エクスプレス,,,,,成田エクスプレス,,,,成田エクスプレス,,,,成田エクスプレス,
号数,,,,1,,22,,,,,24,,,,26,,,2,,,4,,6,3,,,8,,,10,,,12,,,14,,,16,,5,,18,,,20,,,22,,,24,,,26,,,28,,,30,,,32,,,34,,7,,36,,,38,,,40,,10,,,,,44,,,46,,,,,50,,,,52,,,,54,
,,,,号,,号,,,,,号,,,,号,,,号,,,号,,号,号,,,号,,,号,,,号,,,号,,,号,,号,,号,,,号,,,号,,,号,,,号,,,号,,,号,,,号,,,号,,号,,号,,,号,,,号,,号,,,,,号,,,号,,,,,号,,,,号,,,,号,
大船,発,610,630,,646, ﾚ,706,715,722,730, ﾚ,743,750,805, ﾚ,815,829,||,846,902,||,927,||,,943,952,||,1002,1015,||,1033,1044,||,1101,1115,||,1133,1145,||,1201,,1215,||,1233,1245,||,1301,1315,||,1333,1345,||,1401,1415,||,1433,1445,||,1501,1515,||,1533,1545,||,1601,1615,||,1633,,1646,||,1703,1712,||,1734,1744,||,1801, ﾚ,1815,1825,1836,1844,||,1903,1915,||,1935,1944,2006,2021,||,2030,2053,2111,||,2124,2141,2208,||,2245
戸塚,着,615,635,,652, ﾚ,711,721,727,736, ﾚ,748,756,809, ﾚ,820,835,||,851,907,||,932,||,,948,956,||,1007,1020,||,1038,1049,||,1106,1120,||,1138,1150,||,1206,,1220,||,1238,1250,||,1306,1320,||,1338,1350,||,1406,1420,||,1438,1450,||,1506,1519,||,1538,1549,||,1606,1620,||,1638,,1651,||,1708,1717,||,1739,1749,||,1806, ﾚ,1820,1830,1841,1849,||,1909,1920,||,1940,1948,2012,2026,||,2035,2058,2116,||,2128,2146,2213,||,2250
戸塚,発,616,636,,652, ﾚ,711,721,727,737, ﾚ,748,756,810, ﾚ,820,835,||,851,907,||,932,||,,948,957,||,1007,1020,||,1039,1050,||,1106,1120,||,1139,1150,||,1207,,1220,||,1239,1250,||,1307,1320,||,1339,1350,||,1407,1420,||,1439,1450,||,1507,1520,||,1539,1550,||,1607,1620,||,1639,,1651,||,1708,1717,||,1739,1749,||,1807, ﾚ,1820,1831,1841,1849,||,1909,1920,||,1940,1949,2013,2026,||,2036,2058,2116,||,2129,2147,2214,||,2250
東戸塚,発, ﾚ,640,, ﾚ,||,715, ﾚ,731, ﾚ,||,752, ﾚ,814,||,824, ﾚ,||,855,911,||, ﾚ,||,,952,1001,||, ﾚ,1024,||, ﾚ,1054,||, ﾚ,1124,||, ﾚ,1154,||, ﾚ,,1224,||, ﾚ,1254,||, ﾚ,1324,||, ﾚ,1354,||, ﾚ,1424,||, ﾚ,1454,||, ﾚ,1524,||, ﾚ,1554,||, ﾚ,1624,||, ﾚ,,1655,||, ﾚ,1721,||, ﾚ,1753,||, ﾚ, ﾚ,1824, ﾚ, ﾚ,1853,||, ﾚ,1925,||, ﾚ,1953, ﾚ, ﾚ,||,2040, ﾚ, ﾚ,||,2133, ﾚ,2218,||, ﾚ
保土ヶ谷,発, ﾚ,645,, ﾚ,||,720, ﾚ,736, ﾚ,||,758, ﾚ,819,||,829, ﾚ,||,900,916,||, ﾚ,||,,957,1006,||, ﾚ,1029,||, ﾚ,1059,||, ﾚ,1129,||, ﾚ,1159,||, ﾚ,,1229,||, ﾚ,1259,||, ﾚ,1329,||, ﾚ,1359,||, ﾚ,1429,||, ﾚ,1459,||, ﾚ,1529,||, ﾚ,1558,||, ﾚ,1629,||, ﾚ,,1700,||, ﾚ,1726,||, ﾚ,1758,||, ﾚ, ﾚ,1829, ﾚ, ﾚ,1858,||, ﾚ,1930,||, ﾚ,1958, ﾚ, ﾚ,||,2045, ﾚ, ﾚ,||,2138, ﾚ,2222,||, ﾚ
横浜,着,625,647,,704,||,723,733,739,749,||,801,808,822,||,832,847,||,903,919,||,941,||,,1000,1008,||,1017,1032,||,1048,1101,||,1115,1132,||,1148,1202,||,1215,,1232,||,1248,1302,||,1316,1332,||,1348,1402,||,1416,1432,||,1448,1502,||,1516,1531,||,1548,1601,||,1616,1632,||,1649,,1703,||,1718,1729,||,1749,1801,||,1816,1823,1832,1840,1850,1901,||,1919,1932,||,1950,2001,2022,2036,||,2048,2109,2125,||,2141,2156,2225,||,2259
