FileType,OuDia.JikokuhyouCsv.1
[全日]2018.3/17改正
上り

列車番号,,320D,322D,1362D,3320D,1322D,4324D,62D,3322D,1364D,324D,1324D,3324D,4326D,3326D,1366D,64D,326D,1326D,328D,1368D,330D,52D,332D,4330D,334D,4332D
列車種別,,,,,快速,,,特急,快速,,,,快速,,快速,,特急,,,,,,特急,,,,
列車名,,,,,なよろ,,,サロベツ,なよろ,,,,なよろ,,なよろ,,サロベツ,,,,,,宗谷,,,,
号数,,,,,2,,,2,4,,,,6,,8,,4,,,,,,,,,,
,,,,,号,,,号,号,,,,号,,号,,号,,,,,,,,,,
    ｜  稚          内,発,,,,,,520,636,,,,,,1027,,,1301,,,,,,1746,,1804,,2011
    ◇  南    稚    内,発,,,,,,524,640,,,,,,1031,,,1305,,,,,,1750,,1808,,2015
    ◇  抜          海,発,,,,,,536, ﾚ,,,,,,1044,,, ﾚ,,,,,, ﾚ,,1821,,2028
    ｜  勇          知,発,,,,,,544, ﾚ,,,,,,1054,,, ﾚ,,,,,, ﾚ,,1831,,2038
    ◇  兜          沼,発,,,,,,550, ﾚ,,,,,,1100,,, ﾚ,,,,,, ﾚ,,1837,,2044
    ｜  徳          満,発,,,,,,600, ﾚ,,,,,,1110,,, ﾚ,,,,,, ﾚ,,1847,,2054
    ◇  豊          富,発,,,,,,605,718,,,,,,1117,,,1341,,,,,,1826,,1858,,2101
    ｜  下          沼,発,,,,,,613, ﾚ,,,,,,1126,,, ﾚ,,,,,, ﾚ,,1907,,2110
    ◇  幌          延,着,,,,,,620,732,,,,,,1134,,,1355,,,,,,1840,,1915,,2117
    ◇  幌          延,発,,,,,,621,732,,,,,,1147,,,1356,,,,,,1840,,1916,,
    ｜  上    幌    延,発,,,,,,626, ﾚ,,,,,,1152,,, ﾚ,,,,,, ﾚ,,1921,,
    ｜  南    幌    延,発,,,,,,631, ﾚ,,,,,,1157,,, ﾚ,,,,,, ﾚ,,1926,,
    ｜  安          牛,発,,,,,,634, ﾚ,,,,,,1200,,, ﾚ,,,,,, ﾚ,,1929,,
    ◇  雄    信    内,発,,,,,,640, ﾚ,,,,,,1207,,, ﾚ,,,,,, ﾚ,,1936,,
    ｜  糠          南,発,,,,,,647, ﾚ,,,,,,1215,,, ﾚ,,,,,, ﾚ,,1944,,
    ｜  問    寒    別,発,,,,,,651, ﾚ,,,,,,1218,,, ﾚ,,,,,, ﾚ,,1947,,
    ｜  歌          内,発,,,,,,657, ﾚ,,,,,,1225,,, ﾚ,,,,,, ﾚ,,1954,,
    ◇  天  塩  中  川,発,,,,,,706,806,,,,,,1234,,,1429,,,,,,1913,,2003,,
    ◇  佐          久,発,,,,,,714, ﾚ,,,,,,1242,,, ﾚ,,,,,, ﾚ,,2011,,
    ｜  筬          島,発,,,,,,733, ﾚ,,,,,,1302,,, ﾚ,,,,,, ﾚ,,2031,,
    ◇◆音  威  子  府,着,,,,,,741,837,,,,,,1310,,,1500,,,,,,1945,,2039,,
    ◇◆音  威  子  府,発,,,,636,,744,838,,,,,,1313,,,1501,,,,,1754,1945,,2051,,
    ｜  咲          来,発,,,,642,,749, ﾚ,,,,,,1319,,, ﾚ,,,,,1800, ﾚ,,2056,,
