FileType,OuDia.JikokuhyouCsv.1
[全日]2018.3/17改正
下り

列車番号,,4321D,321D,1361D,323D,1321D,51D,1323D,1363D,3321D,325D,1325D,61D,4327D,327D,3323D,1365D,329D,3325D,331D,1367D,63D,3327D,333D,335D
列車種別,,,,,,,特急,,,快速,,,特急,,,快速,,,快速,,,特急,快速,,
列車名,,,,,,,宗谷,,,なよろ,,,サロベツ,,,なよろ,,,なよろ,,,サロベツ,なよろ,,
号数,,,,,,,,,,1,,,1,,,3,,,5,,,3,7,,
,,,,,,,,,,号,,,号,,,号,,,号,,,号,号,,
    ||■旭          川,発,,603,752,808,819,900,928,1033,1130,1231,1300,1335,,1359,1459,1530,1638,1735,1843,1916,2006,2011,2116,2232
    ||  旭  川  四  条,発,,607,757,812,822, ﾚ,931,1037, ﾚ,1235,1304, ﾚ,,1403,1502,1533,1641, ﾚ,1846,1919, ﾚ, ﾚ,2120,2236
    ||  <新   旭   川>,発,,610,801,815,826, ﾚ,935,1040, ﾚ,1238,1307, ﾚ,,1406, ﾚ,1537,1645, ﾚ,1850,1923, ﾚ, ﾚ,2123,2239
    ∨  <永        山>,発,,617,808,822,832, ﾚ,941,1047,1141,1245,1315, ﾚ,,1414,1511,1544,1654,1748,1859,1930, ﾚ,2023,2130,2246
    ｜  北    永    山,発,, ﾚ,812, ﾚ,, ﾚ,, ﾚ, ﾚ, ﾚ,, ﾚ,,1417, ﾚ,1548,1658, ﾚ,1903,1934, ﾚ, ﾚ,2134,2250
    ｜  南    比    布,発,, ﾚ,817, ﾚ,, ﾚ,, ﾚ, ﾚ, ﾚ,, ﾚ,,1422, ﾚ,1553,1703, ﾚ, ﾚ,1939, ﾚ, ﾚ, ﾚ,2255
    ◇  比          布,発,,626,821,832,, ﾚ,,1056,1150,1254,, ﾚ,,1427,1520,1558,1707,1757,1911,1943, ﾚ,2032,2142,2300
    ｜  北    比    布,発,,630,,837,, ﾚ,,, ﾚ, ﾚ,, ﾚ,,1431, ﾚ,,1712, ﾚ, ﾚ,, ﾚ, ﾚ,2146,2305
    ◇  蘭          留,発,,635,,850,, ﾚ,,, ﾚ,1301,, ﾚ,,1436, ﾚ,,1717,1804,1919,, ﾚ, ﾚ,2153,2310
    ◇  塩          狩,発,,644,,859,, ﾚ,,, ﾚ,1311,, ﾚ,,1445, ﾚ,,1726,1814,1929,, ﾚ, ﾚ,2203,2319
    ◇◆和          寒,発,,653,,908,,928,,,1214,1321,,1403,,1453,1548,,1735,1822,1937,,2035,2059,2211,2327
    ｜  東    六    線,発,,659,,914,, ﾚ,,, ﾚ, ﾚ,, ﾚ,,1459, ﾚ,,1740, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ
    ◇  剣          淵,発,,705,,946,, ﾚ,,,1222,1330,, ﾚ,,1504,1556,,1746,1831,1947,, ﾚ,2108,2219,2336
    ｜  北    剣    淵,発,,711,,952,, ﾚ,,, ﾚ, ﾚ,, ﾚ,,1509, ﾚ,,1752, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ
    ◇  士          別,発,,716,,957,,940,,,1231,1346,,1415,,1515,1611,,1758,1839,1955,,2047,2116,2228,2345
    ｜  下    士    別,発,,722,,1003,, ﾚ,,, ﾚ, ﾚ,, ﾚ,,1520, ﾚ,,1803, ﾚ, ﾚ,, ﾚ, ﾚ,2234, ﾚ
    ｜  多          寄,発,,726,,1007,, ﾚ,,, ﾚ,1354,, ﾚ,,1525, ﾚ,,1808, ﾚ,2003,, ﾚ, ﾚ,2239,2353
