FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,821M,961M,823M,1820E,825M,1822E,827M,1824E,829M,1826E,2820Y,831M,1828E,1830E,2822Y,1834E,3920E,2824Y,1838E,2826Y,1840E,1844E,2828Y,3922E,1846E,1848E,2830Y,3001M,1850E,833M,4820Y,1852E,1854E,1856E,2832Y,835M,1858E,4822Y,1860E,3003M,1862E,2834Y,837M,1864E,4824Y,1866E,1868E,2836Y,839M,1870E,4826Y,1872E,1874E,2838Y,841M,1876E,4828Y,1878E,1880E,2840Y,843M,1882E,4830Y,1884E,1886E,2842Y,845M,1888E,4832Y,1890E,1892E,2844Y,847M,849M,1894E,4834Y,4001M,851M,1896E,2846Y,1898E,4003M,1920E,3931M,1922E,2848Y,4005M,853M,1924E,2850Y,4007M,1926E,3933M,2852Y,1928E,2854Y,4009M,1930E,855M,1932E,2856Y,3935M,1934E,857M,2858Y,4011M,1936E,2860Y,1938E,3937M,2862Y,1940E,4013M,1942E,1944E,2864Y,3939M,2866Y,1946E,4015M,1948E,2868Y,859M,861M,863M,2870Y
列車種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,快速,快速,普通,快速,普通,普通,快速,快速,普通,普通,快速,特急,普通,普通,特快,普通,普通,普通,快速,普通,普通,特快,普通,特急,普通,快速,普通,普通,特快,普通,普通,快速,普通,普通,特快,普通,普通,快速,普通,普通,特快,普通,普通,快速,普通,普通,特快,普通,普通,快速,普通,普通,特快,普通,普通,快速,普通,普通,普通,特快,特急,普通,普通,快速,普通,特急,普通,通快,普通,快速,特急,普通,普通,快速,特急,普通,通快,快速,普通,快速,特急,普通,普通,普通,快速,通快,普通,普通,快速,特急,普通,快速,普通,通快,快速,普通,特急,普通,普通,快速,通快,快速,普通,特急,普通,快速,普通,普通,普通,快速
列車名,,,,,,,,,,,,,,,,,,アーバン,,,,,,,アーバン,,,,草津,,,,,,,,,,,,草津,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スワローあかぎ,,,,,スワローあかぎ,,,,,スワローあかぎ,,,,スワローあかぎ,,,,,,スワローあかぎ,,,,,,,,,スワローあかぎ,,,,,,,スワローあかぎ,,,,,,,スワローあかぎ,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,5,,,,7,,,,,,9,,,,,,,,,11,,,,,,,13,,,,,,,15,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,号,,,,,号,,,,号,,,,,,号,,,,,,,,,号,,,,,,,号,,,,,,,号,,,,,,
上野,発,513,,543,600,612,626,640,655,711,724,||,732,751,804,||,818,832,||,845,||,902,915,||,928,942,956,||,1000,1015,1030,||,1045,1105,1115,||,1130,1145,||,1205,1212,1215,||,1230,1245,||,1305,1315,||,1330,1345,||,1405,1415,||,1430,1445,||,1505,1515,||,1530,1545,||,1605,1615,||,1632,1645,||,1705,1714,||,1721,1731,1744,||,1800,1803,1809,||,1822,1830,1838,1842,1852,||,1900,1909,1914,||,1930,1933,1943,||,1952,||,2000,2003,2014,2024,||,2033,2044,2050,||,2100,2105,||,2126,2130,||,2145,2200,2208,2215,||,2224,||,2236,2250,2254,||,2307,2323,2346,||
尾久,発,519,,549,605,618,632,645,700,717,729,||,737,756,809,||,824, ﾚ,||,851,||,907,921,||, ﾚ,948,1001,||, ﾚ,1021,1035,||,1050,1110,1120,||,1135,1150,||,1210, ﾚ,1221,||,1235,1250,||,1310,1320,||,1335,1350,||,1410,1420,||,1435,1450,||,1510,1520,||,1535,1550,||,1611,1621,||,1637,1651,||,1711,1720,||,1726,1737,1749,||, ﾚ,1809,1815,||,1828, ﾚ,1844,1848,1857,||, ﾚ,1915,1920,||, ﾚ,1939,1948,||,1958,||, ﾚ,2009,2020,2029,||,2039,2050,2055,||, ﾚ,2111,||,2132,2136,||,2150, ﾚ,2214,2220,||,2229,||,2241, ﾚ,2259,||,2312,2329,2351,||
赤羽,発,523,,554,610,623,636,650,705,722,734,||,742,801,814,||,828,842,||,855,||,912,926,||,938,953,1006,||,1010,1025,1040,||,1055,1115,1125,||,1140,1155,||,1215,1221,1225,||,1240,1255,||,1315,1325,||,1340,1355,||,1415,1425,||,1440,1455,||,1515,1525,||,1540,1555,||,1615,1625,||,1642,1655,||,1715,1725,||,1731,1743,1754,||,1811,1814,1820,||,1833,1840,1849,1853,1902,||,1909,1920,1925,||,1939,1944,1953,||,2003,||,2009,2014,2025,2034,||,2044,2054,2100,||,2108,2115,||,2137,2141,||,2155,2209,2218,2225,||,2234,||,2246,2259,2304,||,2317,2334,2356,||
浦和,発,532,,602,618,631,645,659,713,730,742,||,750,809,822,||,837,850,||,904,||,920,934,||,947,1001,1015,||,1019,1034,1049,||,1103,1123,1133,||,1148,1203,||,1223,1230,1234,||,1248,1303,||,1323,1333,||,1349,1403,||,1423,1433,||,1449,1503,||,1523,1533,||,1548,1603,||,1624,1634,||,1651,1704,||,1724,1734,||,1740,1752,1803,||,1820,1823,1828,||,1842,1849,1858,1902,1911,||,1918,1928,1934,||,1948,1953,2002,||,2012,||,2018,2023,2033,2042,||,2053,2103,2109,||,2117,2124,||,2145,2149,||,2204,2218,2227,2234,||,2243,||,2254,2307,2312,||,2326,2342,005,||
さいたま新都心,発,536,,606,623,635,649,703,718,735,746,||,755,814,827,||,841, ﾚ,||,908,||,925,938,||, ﾚ,1005,1019,||, ﾚ,1038,1053,||,1108,1128,1138,||,1153,1208,||,1228, ﾚ,1238,||,1253,1308,||,1328,1338,||,1353,1408,||,1428,1438,||,1453,1508,||,1527,1538,||,1553,1608,||,1628,1638,||,1655,1708,||,1728,1738,||,1745,1756,1808,||, ﾚ,1828,1833,||,1846, ﾚ,1902, ﾚ,1916,||, ﾚ,1933,1938,||, ﾚ,1957, ﾚ,||,2016,||, ﾚ,2027,2038,2047,||, ﾚ,2107,2113,||, ﾚ,2128,||,2149, ﾚ,||,2208, ﾚ,2231,2238,||, ﾚ,||,2259, ﾚ,2317,||,2330,2347,009,||
大宮,着,539,,609,625,638,651,706,720,737,749,729,757,816,829,810,844,858,838,911,856,927,940,916,952,1008,1021,956,1025,1040,1056,1044,1110,1131,1141,1120,1156,1210,1150,1230,1236,1241,1220,1256,1310,1250,1330,1341,1318,1356,1410,1350,1430,1441,1420,1456,1510,1450,1530,1541,1520,1556,1610,1550,1631,1640,1620,1657,1710,1650,1730,1741,1720,1747,1759,1810,1753,1827,1830,1836,1820,1848,1855,1905,1908,1918,1857,1924,1936,1941,1926,1954,2000,2008,1945,2018,1957,2025,2030,2040,2049,2025,2059,2110,2116,2055,2123,2131,2125,2152,2155,2142,2211,2224,2234,2241,2215,2249,2230,2301,2314,2319,2303,2333,2349,012,005
