FileType,OuDia.JikokuhyouCsv.1
[平日]2018.2/22改正
上り

列車番号,,505T,501T,507T,503T,509T,513T,511T,615T,607T,691K,617T,605T,681K,601T,619T,703T,721T,709T,723T,731T,757K,725T,727T,735T,713T,729T,755K,733T,715T,737T,767K,739T,807T,883K,851T,855T,841T,891K,851K,893K,805T,801T,853T,819T,863K,803T,931T,965K,909T,975K,957K,913T,933T,911T,955K,995K,969K,939T,997K,1083K,1051T,1081K,1017T,1091K,1093K,1001T,1071K,1063K,1065K,1021T,1025T,1109T,1199K,1157K,1129T,1111T,1115T,1169K,1107T,1183K,1179K,1151T,1141T,1291K,1251K,1293K,1205T,1263K,1265K,1253T,1219T,1209T,1231T,1299K,1275K,1311T,1313T,1315T,1355K,1383K,1395K,1379K,1339T,1391K,1397K,1351K,1363K,1481K,1417T,1465K,1401T,1409T,1471K,1431T,1421T,1411T,1425T,1413T,1457K,1583K,1529T,1595K,1569K,1591K,1507T,1597K,1551T,1581K,1541T,1517T,1593K,1609T,1605T,1671K,1657T,1611T,1653T,1619T,1625T,1659T,1683K,1699K,1675K,1629T,1691K,1615T,1767K,1707T,1779K,1761T,1739T,1781K,1751T,1703T,1709T,1763K,1765K,1757T,1801T,1871K,1853T,1821T,1883K,1875K,1895K,1891K,1869K,1967K,1997K,1961T,1951T,1939T,1925T,1909T,1965K,1911T,2029T,2021T,2073K,2007T,2093K,2033T,2067K,2095K,2077K,2163K,2123T,2161K,2171K,2119T,2165K,2183K,2191K,2215T,2297K,2257T,2295K,2223T,2371K,2353T,2383K,2369K,2461T,2415T
列車種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本八幡,発,,500,,512,524,537,550,602,612,623,631,641,647,653,658,704,710,715,719,,722,726,729,,732,735,739,742,746,749,753,756,800,804,808,812,816,820,825,831,835,840,844,849,853,858,902,906,910,916,921,925,,930,936,941,947,951,955,1000,1004,1010,1015,1020,1026,1030,1036,1040,1046,1050,1056,1100,1106,1110,1116,1120,1126,1130,1136,1140,1146,1150,1156,1200,1206,1210,1216,1220,1226,1230,1236,1240,1246,1250,1256,1300,1306,1310,1316,1320,1326,1330,1336,1340,1346,1350,1356,1400,1406,1410,1416,1420,1426,1430,1436,1440,1446,1450,1456,1500,1506,1510,1516,1520,1526,1530,1536,1540,1546,1550,1556,1600,1604,1610,,1616,1620,1624,1627,,1633,1638,1643,1647,1653,1657,1702,1709,1715,,1721,1727,1732,1737,1742,1747,1752,1757,1802,1808,1814,1822,1828,1836,1842,1848,1854,1900,1906,1914,1920,1928,1936,1943,1949,1955,2000,2008,2016,2023,2029,2037,2043,2050,2056,2102,2110,2117,2124,2131,2139,2148,2158,2209,2220,2232,2245,2258,2310,2322,2336,2348,000,017
篠崎,発,,503,,515,527,540,553,605,615,626,635,644,650,656,702,707,714,719,722,,726,729,732,,736,739,742,746,749,753,756,800,803,807,811,816,820,824,829,834,839,843,848,852,857,901,905,910,914,920,924,929,,934,939,945,950,954,959, ﾚ,1008,1013,1019, ﾚ,1029,1034,1040, ﾚ,1049,1054,1100, ﾚ,1109,1114,1120, ﾚ,1129,1134,1140, ﾚ,1149,1154,1200, ﾚ,1209,1214,1220, ﾚ,1229,1234,1240, ﾚ,1249,1254,1300, ﾚ,1309,1314,1320, ﾚ,1329,1334,1340, ﾚ,1349,1354,1400, ﾚ,1409,1414,1420, ﾚ,1429,1434,1440, ﾚ,1449,1454,1500, ﾚ,1509,1514,1520, ﾚ,1529,1534,1540, ﾚ,1549,1554,1600, ﾚ,1608,1613,,1620,1623,1627,1631,,1636,1641,1647,1651,1656,1701,1705,1713,1719,,1725,1730,1735,1740,1745,1750,1755,1800,1806,1812,1817,1825,1832,1839,1845,1851,1858,1903,1909,1918,1924,1932,1939,1947,1953,1959,2004,2012,2019,2026,2033,2040,2047,2053,2100,2106,2113,2120,2127,2134,2143,2152,2201,2212,2223,2236,2249,2302,2314,2325,2339,2351,003,020
瑞江,発,,506,,518,530,543,556,608,618,629,637,647,653,659,704,710,716,721,725,,728,732,735,,738,741,745,748,752,755,759,802,806,810,814,818,822,826,831,837,841,846,850,855,859,904,908,912,916,922,927,931,,936,942,947,953,957,1006, ﾚ,1011,1016,1026, ﾚ,1032,1036,1046, ﾚ,1052,1056,1106, ﾚ,1112,1116,1126, ﾚ,1132,1136,1146, ﾚ,1152,1156,1206, ﾚ,1212,1216,1226, ﾚ,1232,1236,1246, ﾚ,1252,1256,1306, ﾚ,1312,1316,1326, ﾚ,1332,1336,1346, ﾚ,1352,1356,1406, ﾚ,1412,1416,1426, ﾚ,1432,1436,1446, ﾚ,1452,1456,1506, ﾚ,1512,1516,1526, ﾚ,1532,1536,1546, ﾚ,1552,1556,1606, ﾚ,1611,1616,,1622,1626,1630,1633,,1639,1644,1649,1654,1659,1703,1708,1716,1722,,1727,1733,1738,1743,1748,1753,1758,1803,1808,1814,1820,1828,1834,1842,1848,1854,1900,1906,1912,1920,1927,1934,1942,1949,1955,2001,2007,2014,2022,2029,2035,2043,2049,2056,2102,2108,2116,2123,2130,2137,2145,2154,2204,2215,2226,2238,2251,2304,2316,2328,2342,2354,006,023
一之江,発,,508,,520,532,545,558,610,620,631,640,649,655,701,707,712,719,724,727,,731,734,737,,741,744,747,751,754,758,801,805,808,812,816,821,825,829,834,839,844,848,853,857,902,906,910,915,919,925,929,934,,939,944,950,955,959,1008, ﾚ,1013,1019,1028, ﾚ,1034,1039,1049, ﾚ,1054,1059,1109, ﾚ,1114,1119,1129, ﾚ,1134,1139,1149, ﾚ,1154,1159,1209, ﾚ,1214,1219,1229, ﾚ,1234,1239,1249, ﾚ,1254,1259,1309, ﾚ,1314,1319,1328, ﾚ,1334,1339,1349, ﾚ,1354,1359,1409, ﾚ,1414,1419,1429, ﾚ,1434,1439,1449, ﾚ,1454,1459,1509, ﾚ,1514,1519,1529, ﾚ,1534,1539,1549, ﾚ,1554,1559,1609, ﾚ,1613,1618,,1625,1628,1632,1636,,1641,1646,1652,1656,1701,1706,1711,1718,1724,,1730,1735,1740,1745,1750,1755,1800,1805,1811,1817,1823,1830,1837,1844,1850,1856,1903,1909,1915,1923,1929,1937,1944,1952,1958,2004,2009,2017,2024,2031,2038,2045,2052,2058,2105,2111,2118,2125,2132,2140,2148,2157,2206,2217,2228,2241,2254,2307,2319,2330,2344,2356,008,025
船堀,発,,510,,522,534,547,600,612,622,633,642,651,657,703,709,714,721,726,730,,733,737,740,,743,746,750,753,757,800,804,807,811,815,819,823,827,831,836,841,846,850,855,859,904,908,912,917,921,927,931,936,,941,946,952,957,1001,1010,1008,1015,1021,1030,1028,1036,1041,1051,1048,1056,1101,1111,1108,1116,1121,1131,1128,1136,1141,1151,1148,1156,1201,1211,1208,1216,1221,1231,1228,1236,1241,1251,1248,1256,1301,1311,1308,1316,1321,1331,1328,1336,1341,1351,1348,1356,1401,1411,1408,1416,1421,1431,1428,1436,1441,1451,1448,1456,1501,1511,1508,1516,1521,1531,1528,1536,1541,1551,1548,1556,1601,1611,1608,1616,1620,,1627,1630,1634,1638,,1643,1648,1654,1658,1703,1708,1713,1720,1726,,1732,1737,1742,1747,1752,1757,1802,1807,1813,1819,1825,1832,1839,1846,1852,1858,1905,1911,1917,1925,1931,1939,1946,1954,2000,2006,2011,2019,2026,2033,2040,2047,2054,2100,2107,2113,2120,2127,2134,2142,2150,2159,2208,2219,2230,2243,2256,2309,2321,2332,2346,2358,010,027
東大島,発,,513,,525,537,550,603,615,625,636,644,654,700,706,711,717,723,729,732,,736,739,742,,746,749,752,756,759,803,806,810,813,817,821,826,830,834,839,844,848,853,857,902,906,911,915,919,923,930,934,938,,943,949,954,1000,1004,1013, ﾚ,1018,1023,1033, ﾚ,1039,1043,1054, ﾚ,1059,1103,1114, ﾚ,1119,1123,1134, ﾚ,1139,1143,1154, ﾚ,1159,1203,1214, ﾚ,1219,1223,1234, ﾚ,1239,1243,1254, ﾚ,1259,1303,1314, ﾚ,1319,1323,1333, ﾚ,1339,1343,1354, ﾚ,1359,1403,1414, ﾚ,1419,1423,1434, ﾚ,1439,1443,1454, ﾚ,1459,1503,1514, ﾚ,1519,1523,1534, ﾚ,1539,1543,1554, ﾚ,1559,1603,1614, ﾚ,1619,1623,,1629,1633,1637,1641,,1646,1651,1656,1701,1706,1711,1715,1724,1729,,1734,1740,1745,1750,1755,1800,1805,1810,1815,1821,1828,1835,1842,1849,1855,1902,1908,1913,1920,1928,1935,1941,1949,1956,2002,2008,2014,2021,2029,2036,2042,2050,2056,2103,2109,2115,2123,2130,2137,2144,2152,2201,2211,2222,2233,2245,2258,2311,2323,2335,2349,001,013,030
