FileType,OuDia.JikokuhyouCsv.1
[平日]2018.2/22改正
下り

列車番号,,508T,510T,506T,590K,504T,500T,602T,608T,656K,620T,612T,554K,622T,614T,724T,666K,706T,728T,650T,732T,654T,736T,790K,738T,550K,782K,592K,704T,700T,740T,652T,718T,762K,802T,830T,764K,808T,856K,774K,826T,812T,710T,854K,832T,794K,836T,768K,838T,896K,982K,950T,816T,954T,880K,990K,834T,992K,900T,870K,820T,962K,1064K,924TB,998K,1008T,1056K,928T,914T,1010T,1068K,906T,978K,1082K,1150T,1040T,1050K,1190K,1192K,1004T,1052T,1162K,1164K,1118T,1030T,1108T,1298K,1174K,1112T,1210T,1214T,1154K,1194K,1282K,1278K,1138T,1196K,1290K,1350K,1280K,1216T,1362K,1364K,1200T,1270K,1308T,1330T,1220T,1224T,1310T,1412T,1356K,1328T,1482K,1494K,1368K,1306T,1490K,1496K,1350T,1340T,1480K,1516T,1492K,1404T,1508T,1570K,1452T,1418T,1510T,1524T,1498K,1474K,1582K,1628T,1514T,1566K,1690K,1606T,1578K,1538T,1680K,1650T,1602T,1562K,1608T,1656T,1664K,1600T,1770K,1630T,1752T,1620T,1782K,1612T,1774K,1794K,1790K,1768K,1866K,1796K,1860T,1740T,1716T,1850T,1838T,1704T,1824T,1808T,1864K,1810T,1828T,1900T,1920T,1872K,1806T,1992K,1832T,1994K,1966K,1976K,1962K,1960K,1922T,1970K,2050T,2018T,2064K,2082K,2128T,2090K,1978K,2014T,2096K,1902T,2056T,2106T,2194K,2158T,2222T,2124T,2270K,2052T,2264K,2282K,2168K,2160T,2138T,2314T,2356T,2208T,2210T,2422T,2452T
列車種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,急行,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿,発,,502,522,537,553,605,616,627,638,,648,655,,701,,708,714,,722,,728,,733,,739,,744,749,754,,759,803,807,811,815,818,822,826,830,833,837,840,844,847,850,854,857,901,905,910,914,918,922,927,931,935,939,944,949,954,1000,1003,1009,1014,1020,1023,1029,1034,1040,1043,1049,1054,1100,1103,1109,1114,1120,1123,1129,1134,1140,1143,1149,1154,1200,1203,1209,1214,1220,1223,1229,1234,1240,1243,1249,1254,1300,1303,1309,1314,1320,1323,1329,1334,1340,1343,1349,1354,1400,1403,1409,1414,1420,1423,1429,1434,1440,1443,1449,1454,1500,1503,1509,1514,1520,1523,1529,1534,1540,1543,1549,1554,1600,1603,1609,1614,1620,1623,1627,1632,1637,1642,1648,1653,1658,1703,1708,1713,1719,1724,1729,1734,1739,1744,1749,1754,1759,1804,1810,1815,1821,1826,1831,1836,1841,1846,1851,1856,1901,1906,1911,1916,1921,1926,1932,1939,1945,1952,1959,2006,2013,2020,2026,2032,2038,2044,2052,2059,2106,2113,2119,2125,2131,2138,2144,2150,2156,2202,2208,2215,2223,2230,2239,2247,2259,2311,2320,2328,2337,2347,2359,010,022
新宿三丁目,発,,503,524,538,554,607,617,628,640,,650,656,,703,,709,716,,723,,730,,735,,740,,746,751,756,,801,805,809,813,817,820,824,827,831,835,838,842,845,848,852,855,859,903,907,911,915,920,924,929,933,936,940,945,950,955, ﾚ,1004,1010,1015, ﾚ,1024,1031,1035, ﾚ,1044,1050,1055, ﾚ,1104,1110,1115, ﾚ,1124,1130,1135, ﾚ,1144,1150,1155, ﾚ,1204,1210,1215, ﾚ,1224,1230,1235, ﾚ,1244,1250,1255, ﾚ,1304,1310,1315, ﾚ,1324,1330,1335, ﾚ,1344,1350,1355, ﾚ,1404,1410,1415, ﾚ,1424,1430,1435, ﾚ,1444,1450,1455, ﾚ,1504,1510,1515, ﾚ,1524,1530,1535, ﾚ,1544,1550,1555, ﾚ,1604,1610,1615, ﾚ,1624,1629,1634,1639,1644,1649,1654,1700,1705,1710,1715,1720,1726,1731,1736,1741,1746,1751,1755,1800,1806,1811,1817,1822,1827,1833,1838,1842,1848,1853,1858,1903,1908,1913,1918,1923,1928,1934,1940,1947,1954,2001,2008,2014,2021,2027,2034,2040,2046,2053,2101,2107,2114,2121,2126,2133,2139,2146,2152,2158,2204,2210,2217,2224,2232,2241,2249,2301,2313,2321,2330,2339,2348,000,012,024
曙橋,発,,505,526,540,556,609,619,630,642,,652,658,,705,,711,718,,725,,732,,737,,743,,748,753,758,,803,807,811,815,819,822,826,830,834,837,841,844,848,851,854,858,901,905,909,914,918,922,926,931,935,938,942,947,952,957, ﾚ,1006,1012,1017, ﾚ,1026,1033,1037, ﾚ,1046,1052,1057, ﾚ,1106,1112,1117, ﾚ,1126,1132,1137, ﾚ,1146,1152,1157, ﾚ,1206,1212,1217, ﾚ,1226,1232,1237, ﾚ,1246,1252,1257, ﾚ,1306,1312,1317, ﾚ,1326,1332,1337, ﾚ,1346,1352,1357, ﾚ,1406,1412,1417, ﾚ,1426,1432,1437, ﾚ,1446,1452,1457, ﾚ,1506,1512,1517, ﾚ,1526,1532,1537, ﾚ,1546,1552,1557, ﾚ,1606,1612,1617, ﾚ,1626,1631,1636,1641,1646,1651,1656,1702,1707,1712,1717,1722,1728,1733,1738,1743,1748,1753,1757,1802,1808,1813,1819,1824,1829,1835,1840,1844,1850,1855,1900,1905,1910,1915,1920,1925,1930,1936,1942,1949,1956,2003,2010,2016,2023,2029,2036,2042,2048,2055,2103,2109,2116,2123,2128,2135,2141,2148,2154,2200,2206,2212,2219,2226,2234,2243,2251,2303,2315,2323,2332,2341,2350,002,014,026
市ヶ谷,発,,508,528,543,559,611,622,633,644,,654,701,,707,,714,720,,728,,734,,740,,746,,751,756,801,,806,810,814,818,822,825,829,833,837,840,844,847,851,854,857,901,904,908,912,917,921,925,929,933,937,941,945,950,955,1000,1005,1009,1015,1020,1025,1029,1035,1040,1045,1049,1055,1100,1105,1109,1115,1120,1125,1129,1135,1140,1145,1149,1155,1200,1205,1209,1215,1220,1225,1229,1235,1240,1245,1249,1255,1300,1305,1309,1315,1320,1325,1329,1335,1340,1345,1349,1355,1400,1405,1409,1415,1420,1425,1429,1435,1440,1445,1449,1455,1500,1505,1509,1515,1520,1525,1529,1535,1540,1545,1549,1555,1600,1605,1609,1615,1620,1625,1629,1633,1638,1643,1648,1654,1659,1704,1709,1714,1719,1725,1730,1735,1740,1745,1750,1755,1800,1805,1810,1816,1821,1827,1832,1837,1842,1847,1852,1857,1902,1907,1912,1917,1922,1927,1932,1938,1945,1951,1958,2005,2012,2019,2026,2032,2038,2044,2050,2058,2105,2112,2119,2125,2131,2137,2144,2150,2156,2202,2208,2214,2221,2229,2236,2245,2253,2305,2317,2326,2334,2343,2353,005,016,028
九段下,発,,510,530,545,601,613,624,635,646,,656,703,,709,,716,722,,730,,736,,743,,748,,754,759,804,,809,813,817,821,825,828,832,835,839,843,846,850,853,856,900,903,907,911,915,919,923,928,932,935,939,943,947,952,957,1002, ﾚ,1011,1017,1022, ﾚ,1031,1037,1042, ﾚ,1051,1057,1102, ﾚ,1111,1117,1122, ﾚ,1131,1137,1142, ﾚ,1151,1157,1202, ﾚ,1211,1217,1222, ﾚ,1231,1237,1242, ﾚ,1251,1257,1302, ﾚ,1311,1317,1322, ﾚ,1331,1337,1342, ﾚ,1351,1357,1402, ﾚ,1411,1417,1422, ﾚ,1431,1437,1442, ﾚ,1451,1457,1502, ﾚ,1511,1517,1522, ﾚ,1531,1537,1542, ﾚ,1551,1557,1602, ﾚ,1611,1617,1622, ﾚ,1631,1635,1640,1645,1650,1656,1701,1706,1711,1716,1721,1727,1732,1737,1742,1747,1752,1757,1802,1807,1812,1818,1823,1829,1834,1839,1844,1849,1854,1859,1904,1909,1914,1919,1924,1929,1934,1940,1947,1953,2000,2007,2014,2021,2028,2034,2040,2046,2052,2100,2107,2114,2121,2127,2133,2139,2146,2152,2158,2204,2210,2216,2223,2231,2238,2247,2255,2307,2319,2328,2336,2345,2355,007,018,030
神保町,発,,511,532,546,602,615,625,636,648,,658,704,,711,,717,724,,731,,738,,744,,750,,755,800,805,,810,814,818,822,826,829,833,837,841,844,848,851,855,858,901,905,908,912,916,921,925,929,933,937,941,944,948,953,958,1003,1008,1012,1018,1023,1028,1032,1039,1043,1048,1052,1058,1103,1108,1112,1118,1123,1128,1132,1138,1143,1148,1152,1158,1203,1208,1212,1218,1223,1228,1232,1238,1243,1248,1252,1258,1303,1308,1312,1318,1323,1328,1332,1338,1343,1348,1352,1358,1403,1408,1412,1418,1423,1428,1432,1438,1443,1448,1452,1458,1503,1508,1512,1518,1523,1528,1532,1538,1543,1548,1552,1558,1603,1608,1612,1618,1623,1628,1632,1637,1642,1647,1652,1657,1702,1708,1713,1718,1723,1728,1734,1739,1744,1749,1754,1759,1803,1808,1814,1819,1825,1830,1835,1841,1846,1850,1856,1901,1906,1911,1916,1921,1926,1931,1936,1942,1948,1955,2002,2009,2016,2022,2029,2035,2042,2048,2054,2101,2109,2115,2122,2129,2134,2141,2147,2154,2200,2206,2212,2218,2225,2232,2240,2249,2257,2309,2321,2329,2338,2347,2356,008,020,032
