FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,200A,202A,504A,204A,500A,702A,9290A,700A,100A,800A,506A,9090A,102A,502A,92A,206A,706A,630A,9292A,104A,802A,9294A,704A,208A,106A,9296A,804A,508A,210A,9298A,510A,632A,108A,708A,212A,9300A,806A,110A,638A,9302A,634A,808A,214A,112A,9304A,512A,216A,9306A,636A,114A,2A,460A,9308A,810A,116A,642A,9310A,4A,218A,9312A,514A,118A,118A,9314A,9314A,640A,120A,6A,462A,9316A,122A,122A,646A,9318A,8A,220A,516A,10A,644A,6152A,6152A,9324A,12A,464A,222A,650A,9328A,14A,518A,124A,648A,6156A,9336A,16A,466A,224A,654A,9340A,18A,9342A,520A,126A,652A,9348A,20A,468A,226A,658A,9352A,9352A,22A,9354A,522A,128A,656A,3228A,24A,470A,230A,662A,9362A,26A,9364A,524A,130A,660A,9370A,7168A,28A,472A,9372A,232A,666A,6170A,9374A,6170A,9374A,30A,234A,526A,132A,9378A,664A,7172A,3236A,32A,474A,9380A,238A,670A,6174A,9382A,34A,240A,528A,134A,9386A,668A,6176A,36A,476A,9388A,244A,674A,6178A,9390A,38A,246A,9392A,530A,40A,9394A,672A,136A,42A,478A,9396A,248A,678A,6180A,6180A,9398A,44A,250A,9400A,532A,46A,9402A,676A,138A,48A,480A,9404A,252A,682A,6182A,6182A,9406A,50A,9408A,9410A,534A,52A,9412A,680A,6184A,6184A,9414A,54A,482A,9416A,254A,690A,6186A,6186A,9418A,56A,9420A,9422A,58A,9424A,536A,684A,9426A,538A,60A,692A,9428A,6188A,9430A,62A,694A,6190A,6190A,9432A,64A,696A,96A,698A,98A
列車種別,,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線
列車名,,のぞみ,のぞみ,ひかり,のぞみ,ひかり,こだま,のぞみ,こだま,のぞみ,こだま,ひかり,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,こだま,のぞみ,のぞみ,こだま,のぞみ,こだま,のぞみ,のぞみ,のぞみ,こだま,ひかり,のぞみ,のぞみ,ひかり,こだま,のぞみ,こだま,のぞみ,のぞみ,こだま,のぞみ,こだま,のぞみ,こだま,こだま,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,こだま,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,こだま,のぞみ
号数,,200,202,504,204,500,702,290,700,100,800,506,90,102,502,92,206,706,630,292,104,802,294,704,208,106,296,804,508,210,298,510,632,108,708,212,300,806,110,638,302,634,808,214,112,304,512,216,306,636,114,2,460,308,810,116,642,310,4,218,312,514,118,118,314,314,640,120,6,462,316,122,122,646,318,8,220,516,10,644,152,152,324,12,464,222,650,328,14,518,124,648,156,336,16,466,224,654,340,18,342,520,126,652,348,20,468,226,658,352,352,22,354,522,128,656,228,24,470,230,662,362,26,364,524,130,660,370,168,28,472,372,232,666,170,374,170,374,30,234,526,132,378,664,172,236,32,474,380,238,670,174,382,34,240,528,134,386,668,176,36,476,388,244,674,178,390,38,246,392,530,40,394,672,136,42,478,396,248,678,180,180,398,44,250,400,532,46,402,676,138,48,480,404,252,682,182,182,406,50,408,410,534,52,412,680,184,184,414,54,482,416,254,690,186,186,418,56,420,422,58,424,536,684,426,538,60,692,428,188,430,62,694,190,190,432,64,696,96,698,98
,,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号
新大阪,発,600,603,608,616,,,620,,623,,627,,633,,,643,,,647,650,,657,,703,710,713,,717,720,723,726,,730,,740,746,,750,753,756,,,803,810,813,816,820,823,,830,840,843,846,,850,853,856,903,910,913,916,920,920,923,923,,930,940,943,946,950,950,953,956,1003,1010,1016,1020,,1030,1030,1030,1040,1043,1050,1053,1056,1103,1116,1120,,1130,1130,1140,1143,1150,1153,1156,1203,1210,1216,1220,,1230,1240,1243,1250,1253,1256,1256,1303,1310,1316,1320,,1330,1340,1343,1350,1353,1356,1403,1410,1416,1420,,1430,1430,1440,1443,1446,1450,1453,1456,1456,1456,1456,1503,1510,1516,1520,1523,,1530,1530,1540,1543,1546,1550,1553,1556,1556,1603,1610,1616,1620,1623,,1630,1640,1643,1646,1650,1653,1656,1656,1703,1710,1713,1716,1720,1723,,1730,1740,1743,1746,1750,1753,1756,1756,1756,1803,1810,1813,1816,1820,1823,,1830,1840,1843,1846,1850,1853,1856,1856,1856,1903,1910,1913,1916,1920,1923,,1930,1930,1930,1940,1943,1946,1950,1953,1956,1956,1956,2003,2010,2013,2020,2023,2026,,2030,2037,2040,2043,2046,2056,2056,2103,2106,2110,2110,2110,2123,2133,2200,2203,2230
京都,発,614,617,623,630,,,635,,638,,642,,648,,,657,,,702,705,,712,,718,726,729,,732,735,739,742,,745,,756,802,,805,808,812,,,819,826,829,832,835,839,,845,856,858,902,,905,908,912,919,926,929,932,935,935,939,939,,945,956,958,1002,1005,1005,1008,1012,1019,1026,1032,1035,,1045,1045,1045,1056,1058,1105,1108,1112,1119,1132,1135,,1145,1145,1156,1158,1205,1208,1212,1219,1226,1232,1235,,1245,1256,1258,1305,1308,1312,1312,1319,1326,1332,1335,,1345,1356,1358,1405,1408,1412,1419,1426,1432,1435,,1445,1445,1456,1458,1502,1505,1508,1512,1512,1512,1512,1519,1526,1532,1535,1539,,1545,1545,1556,1558,1602,1605,1608,1612,1612,1619,1626,1632,1635,1639,,1645,1656,1658,1702,1705,1708,1712,1712,1719,1726,1729,1732,1735,1739,,1745,1756,1758,1802,1805,1808,1812,1812,1812,1819,1826,1829,1832,1835,1839,,1845,1856,1858,1902,1905,1908,1912,1912,1912,1919,1926,1929,1932,1935,1939,,1945,1945,1945,1956,1958,2002,2005,2008,2012,2012,2012,2019,2025,2029,2035,2039,2042,,2045,2053,2056,2059,2101,2111,2111,2118,2121,2125,2125,2125,2137,2149,2215,2218,2246
米原,発, ﾚ, ﾚ,647, ﾚ,,, ﾚ,, ﾚ,,706,, ﾚ,,, ﾚ,,, ﾚ, ﾚ,, ﾚ,, ﾚ, ﾚ, ﾚ,,757, ﾚ, ﾚ,803,, ﾚ,, ﾚ, ﾚ,, ﾚ,830, ﾚ,,, ﾚ, ﾚ, ﾚ,857, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ,, ﾚ,930, ﾚ, ﾚ, ﾚ, ﾚ,957, ﾚ, ﾚ, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1030, ﾚ, ﾚ, ﾚ,1057, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1130, ﾚ, ﾚ,1157, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1230, ﾚ, ﾚ, ﾚ,1257, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ,1330, ﾚ, ﾚ, ﾚ, ﾚ,1357, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ,1430, ﾚ, ﾚ, ﾚ,1457, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1530, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1557, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1630, ﾚ, ﾚ, ﾚ, ﾚ,1657, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1730, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1757, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1830, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1857, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1930, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1957, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2030, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2104,, ﾚ, ﾚ, ﾚ,2121, ﾚ, ﾚ, ﾚ, ﾚ,2144, ﾚ, ﾚ, ﾚ, ﾚ,2211, ﾚ,2240, ﾚ
岐阜羽島,発, ﾚ, ﾚ,706, ﾚ,,, ﾚ,, ﾚ,,724,, ﾚ,,, ﾚ,,, ﾚ, ﾚ,, ﾚ,, ﾚ, ﾚ, ﾚ,,813, ﾚ, ﾚ,824,, ﾚ,, ﾚ, ﾚ,, ﾚ,846, ﾚ,,, ﾚ, ﾚ, ﾚ,913, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ,, ﾚ,946, ﾚ, ﾚ, ﾚ, ﾚ,1013, ﾚ, ﾚ, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1046, ﾚ, ﾚ, ﾚ,1113, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1146, ﾚ, ﾚ,1213, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1246, ﾚ, ﾚ, ﾚ,1313, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ,1346, ﾚ, ﾚ, ﾚ, ﾚ,1413, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ,1446, ﾚ, ﾚ, ﾚ,1513, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1546, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1613, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1646, ﾚ, ﾚ, ﾚ, ﾚ,1713, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1746, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1813, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1846, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1913, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1946, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2013, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2046, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ,2135, ﾚ, ﾚ, ﾚ, ﾚ,2158, ﾚ, ﾚ, ﾚ, ﾚ,2225, ﾚ,2254, ﾚ
名古屋,着,648,651,717,704,,,710,,713,,734,,722,,,731,,,738,740,,747,,752,800,804,,825,810,814,834,,820,,831,837,,840,857,847,,,853,900,904,925,910,914,,920,931,934,937,,940,957,947,953,1000,1004,1025,1010,1010,1014,1014,,1020,1031,1034,1037,1040,1040,1057,1047,1053,1100,1125,1110,,1120,1120,1120,1131,1134,1140,1157,1147,1153,1225,1210,,1220,1220,1231,1234,1240,1257,1247,1253,1301,1325,1310,,1320,1331,1334,1340,1357,1347,1347,1353,1401,1425,1410,,1420,1431,1434,1440,1457,1447,1453,1501,1525,1510,,1520,1520,1531,1534,1537,1540,1557,1547,1547,1547,1547,1553,1600,1625,1610,1614,,1620,1620,1631,1634,1637,1640,1657,1647,1647,1653,1700,1725,1710,1714,,1720,1731,1734,1737,1740,1757,1747,1747,1753,1800,1804,1825,1810,1814,,1820,1831,1834,1837,1840,1857,1847,1847,1847,1853,1900,1904,1925,1910,1914,,1920,1931,1934,1937,1940,1957,1947,1947,1947,1953,2001,2004,2025,2010,2014,,2020,2020,2020,2031,2034,2037,2040,2057,2047,2047,2047,2053,2101,2104,2110,2114,2123,,2120,2128,2130,2145,2137,2147,2147,2152,2208,2201,2201,2201,2211,2235,2250,2305,2320
名古屋,発,649,652,718,705,620,,712,,715,,735,628,724,637,641,733,,646,739,742,,748,,753,802,806,,826,812,816,835,729,822,,833,839,,842,859,849,759,,855,902,906,926,912,916,829,922,933,935,939,,942,959,949,955,1002,1006,1026,1012,1012,1016,1016,929,1022,1033,1035,1039,1042,1042,1059,1049,1055,1102,1126,1112,1029,1122,1122,1122,1133,1135,1142,1159,1149,1155,1226,1212,1129,1222,1222,1233,1235,1242,1259,1249,1255,1303,1326,1312,1229,1322,1333,1335,1342,1359,1349,1349,1355,1403,1426,1412,1329,1422,1433,1435,1442,1459,1449,1455,1503,1526,1512,1429,1522,1522,1533,1535,1539,1542,1559,1549,1549,1549,1549,1555,1602,1626,1612,1616,1529,1622,1622,1633,1635,1639,1642,1659,1649,1649,1655,1702,1726,1712,1716,1629,1722,1733,1735,1739,1742,1759,1749,1749,1755,1802,1806,1826,1812,1816,1729,1822,1833,1835,1839,1842,1859,1849,1849,1849,1855,1902,1906,1926,1912,1916,1829,1922,1933,1935,1939,1942,1959,1949,1949,1949,1955,2003,2006,2026,2012,2016,1929,2022,2022,2022,2033,2035,2039,2042,2059,2049,2049,2049,2055,2102,2106,2112,2116,2124,2029,2122,2129,2132,2150,2138,2148,2148,2154,2214,2202,2202,2202,2212,,,,
