FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,1A,99A,493A,9291A,693A,3A,95A,9293A,6153A,501A,5A,631A,491A,695A,201A,9295A,7A,697A,691A,633A,203A,461A,97A,9A,6155A,9297A,205A,9299A,635A,11A,503A,495A,101A,9301A,13A,637A,207A,463A,15A,9305A,3157A,209A,9307A,639A,17A,505A,6159A,6159A,9309A,103A,9311A,641A,213A,465A,19A,3215A,217A,9313A,643A,21A,507A,219A,9315A,105A,9317A,645A,221A,467A,23A,6165A,9319A,223A,647A,25A,509A,9323A,9325A,107A,649A,225A,469A,27A,9333A,9281A,9281A,651A,29A,511A,9335A,109A,653A,227A,471A,31A,9345A,9283A,9283A,655A,33A,513A,9347A,111A,657A,229A,473A,35A,6177A,9285A,659A,37A,515A,9359A,113A,661A,231A,475A,39A,9369A,9287A,9287A,663A,41A,517A,6183A,9371A,9373A,115A,665A,233A,477A,43A,9377A,6185A,9381A,9289A,9289A,667A,45A,519A,235A,7187A,9383A,9383A,117A,669A,237A,479A,47A,9387A,7189A,239A,9389A,671A,49A,521A,6191A,6191A,241A,9391A,9391A,51A,9393A,673A,243A,481A,53A,9395A,7193A,245A,9397A,675A,55A,523A,247A,7195A,9399A,119A,119A,9401A,677A,121A,525A,57A,6197A,6197A,9403A,249A,9405A,679A,123A,527A,803A,251A,9407A,59A,9409A,681A,253A,529A,125A,9411A,6199A,255A,9413A,683A,127A,127A,531A,805A,9415A,9417A,129A,9419A,685A,257A,533A,131A,9421A,259A,9423A,687A,133A,9425A,9427A,135A,9429A,807A,261A,263A,701A,9431A,265A,537A,703A,539A,705A,809A
列車種別,,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線,新幹線
列車名,,のぞみ,のぞみ,ひかり,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,ひかり,のぞみ,こだま,ひかり,こだま,のぞみ,のぞみ,のぞみ,こだま,こだま,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,ひかり,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,こだま,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,のぞみ,ひかり,こだま,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,ひかり,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,のぞみ,のぞみ,のぞみ,のぞみ,こだま,のぞみ,のぞみ,こだま,のぞみ,のぞみ,ひかり,こだま,ひかり,こだま,こだま
号数,,1,99,493,291,693,3,95,293,153,501,5,631,491,695,201,295,7,697,691,633,203,461,97,9,155,297,205,299,635,11,503,495,101,301,13,637,207,463,15,305,157,209,307,639,17,505,159,159,309,103,311,641,213,465,19,215,217,313,643,21,507,219,315,105,317,645,221,467,23,165,319,223,647,25,509,323,325,107,649,225,469,27,333,281,281,651,29,511,335,109,653,227,471,31,345,283,283,655,33,513,347,111,657,229,473,35,177,285,659,37,515,359,113,661,231,475,39,369,287,287,663,41,517,183,371,373,115,665,233,477,43,377,185,381,289,289,667,45,519,235,187,383,383,117,669,237,479,47,387,189,239,389,671,49,521,191,191,241,391,391,51,393,673,243,481,53,395,193,245,397,675,55,523,247,195,399,119,119,401,677,121,525,57,197,197,403,249,405,679,123,527,803,251,407,59,409,681,253,529,125,411,199,255,413,683,127,127,531,805,415,417,129,419,685,257,533,131,421,259,423,687,133,425,427,135,429,807,261,263,701,431,265,537,703,539,705,809
,,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号,号
東京,発,600,,,606,,616,,620,620,626,630,633,,,643,647,650,,,656,700,703,,710,713,713,720,723,726,730,733,,740,747,750,756,800,803,810,813,813,820,823,826,830,833,840,840,847,850,853,856,900,903,910,913,920,923,926,930,933,940,947,950,953,956,1000,1003,1010,1013,1013,1020,1026,1030,1033,1040,1047,1050,1056,1100,1103,1110,1123,1123,1123,1126,1130,1133,1140,1150,1156,1200,1203,1210,1223,1223,1223,1226,1230,1233,1240,1250,1256,1300,1303,1310,1313,1323,1326,1330,1333,1340,1350,1356,1400,1403,1410,1423,1423,1423,1426,1430,1433,1440,1440,1447,1450,1456,1500,1503,1510,1513,1513,1523,1523,1523,1526,1530,1533,1540,1540,1547,1547,1550,1556,1600,1603,1610,1613,1613,1620,1623,1626,1630,1633,1640,1640,1640,1647,1647,1650,1653,1656,1700,1703,1710,1713,1713,1720,1723,1726,1730,1733,1740,1740,1747,1750,1750,1753,1756,1800,1803,1810,1813,1813,1813,1820,1823,1826,1830,1833,1837,1840,1847,1850,1853,1856,1900,1903,1910,1913,1913,1920,1923,1926,1930,1930,1933,1937,1940,1947,1950,1953,1956,2000,2003,2010,2013,2020,2023,2026,2030,2040,2047,2050,2053,2056,2100,2110,2113,2120,2123,2130,2143,2200,2210,2247
品川,発,607,600,,613,,623,,627,627,634,637,640,,,651,654,657,,,704,707,710,,717,720,720,727,730,734,737,740,,747,754,757,804,807,810,817,820,820,827,830,834,837,840,847,847,854,857,900,904,907,910,917,920,927,930,934,937,940,947,954,957,1000,1004,1007,1010,1017,1020,1020,1027,1034,1037,1040,1047,1054,1057,1104,1107,1110,1117,1130,1130,1130,1134,1137,1140,1147,1157,1204,1207,1210,1217,1230,1230,1230,1234,1237,1240,1247,1257,1304,1307,1310,1317,1320,1330,1334,1337,1340,1347,1357,1404,1407,1410,1417,1430,1430,1430,1434,1437,1440,1447,1447,1454,1457,1504,1507,1510,1517,1520,1520,1530,1530,1530,1534,1537,1540,1547,1547,1554,1554,1557,1604,1607,1610,1617,1620,1620,1627,1630,1634,1637,1640,1647,1647,1647,1654,1654,1657,1700,1704,1707,1710,1717,1720,1720,1727,1730,1734,1737,1740,1747,1747,1754,1757,1757,1800,1804,1807,1810,1817,1820,1820,1820,1827,1830,1834,1837,1840,1844,1847,1854,1857,1900,1904,1907,1910,1917,1920,1920,1927,1930,1934,1937,1937,1940,1944,1947,1954,1957,2000,2004,2007,2010,2017,2020,2027,2030,2034,2037,2047,2054,2057,2100,2104,2107,2117,2121,2127,2130,2137,2151,2207,2218,2254
新横浜,着,617,610,,624,,633,,638,638,645,648,651,,,701,705,708,,,715,718,720,,728,731,731,738,741,744,748,751,,758,805,808,815,818,820,828,831,831,838,841,844,848,851,858,858,905,908,911,915,918,921,928,931,938,941,945,948,951,958,1005,1008,1011,1015,1018,1021,1028,1031,1031,1038,1045,1048,1051,1058,1105,1108,1115,1118,1121,1128,1141,1141,1141,1145,1148,1151,1158,1208,1215,1218,1221,1228,1241,1241,1241,1245,1248,1251,1258,1308,1315,1318,1321,1328,1331,1341,1345,1348,1351,1358,1408,1415,1418,1421,1428,1441,1441,1441,1445,1448,1451,1458,1458,1505,1508,1515,1518,1521,1528,1531,1531,1541,1541,1541,1545,1548,1551,1558,1558,1605,1605,1608,1615,1618,1621,1628,1631,1631,1638,1641,1645,1648,1651,1658,1658,1658,1705,1705,1708,1711,1715,1718,1721,1728,1731,1731,1738,1741,1744,1748,1751,1758,1758,1805,1808,1808,1811,1815,1818,1820,1828,1831,1831,1831,1838,1841,1844,1848,1851,1854,1858,1905,1908,1911,1915,1918,1920,1928,1931,1931,1938,1941,1944,1948,1948,1951,1954,1958,2005,2008,2011,2015,2018,2021,2028,2031,2038,2041,2045,2048,2058,2105,2108,2111,2115,2118,2128,2132,2137,2141,2148,2202,2217,2229,2305
新横浜,発,618,611,600,625,,634,,639,639,646,649,652,,,702,706,709,,,716,719,721,,729,732,732,739,742,745,749,752,,759,806,809,816,819,821,829,832,832,839,842,845,849,852,859,859,906,909,912,916,919,922,929,932,939,942,946,949,952,959,1006,1009,1012,1016,1019,1022,1029,1032,1032,1039,1046,1049,1052,1059,1106,1109,1116,1119,1122,1129,1142,1142,1142,1146,1149,1152,1159,1209,1216,1219,1222,1229,1242,1242,1242,1246,1249,1252,1259,1309,1316,1319,1322,1329,1332,1342,1346,1349,1352,1359,1409,1416,1419,1422,1429,1442,1442,1442,1446,1449,1452,1459,1459,1506,1509,1516,1519,1522,1529,1532,1532,1542,1542,1542,1546,1549,1552,1559,1559,1606,1606,1609,1616,1619,1622,1629,1632,1632,1639,1642,1646,1649,1652,1659,1659,1659,1706,1706,1709,1712,1716,1719,1722,1729,1732,1732,1739,1742,1745,1749,1752,1759,1759,1806,1809,1809,1812,1816,1819,1821,1829,1832,1832,1832,1839,1842,1845,1849,1852,1855,1859,1906,1909,1912,1916,1919,1921,1929,1932,1932,1939,1942,1945,1949,1949,1952,1955,1959,2006,2009,2012,2016,2019,2022,2029,2032,2039,2042,2046,2049,2059,2106,2109,2112,2116,2119,2129,2133,2138,2142,2149,2203,2218,2230,2306
小田原,発, ﾚ, ﾚ,615, ﾚ,, ﾚ,, ﾚ, ﾚ,704, ﾚ,708,,, ﾚ, ﾚ, ﾚ,,,735, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,803, ﾚ,808,, ﾚ, ﾚ, ﾚ,835, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,905, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,936, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1004, ﾚ,1008, ﾚ, ﾚ, ﾚ, ﾚ,1036, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1106, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1136, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1204, ﾚ,1208, ﾚ, ﾚ,1236, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1306, ﾚ, ﾚ, ﾚ, ﾚ,1336, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1404, ﾚ,1408, ﾚ, ﾚ,1436, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1506, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1536, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1604, ﾚ,1608, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1636, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1706, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1736, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1803, ﾚ,1808, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1835, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1905, ﾚ, ﾚ,1913, ﾚ, ﾚ, ﾚ, ﾚ,1935, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2005, ﾚ, ﾚ, ﾚ,2013, ﾚ, ﾚ, ﾚ, ﾚ,2036, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2106, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2134, ﾚ, ﾚ,2155, ﾚ, ﾚ, ﾚ,2221, ﾚ,2245,2322
熱海,発, ﾚ, ﾚ, ﾚ, ﾚ,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ,717,,, ﾚ, ﾚ, ﾚ,,,744, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,812, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ,844, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,914, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,945, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1012, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1045, ﾚ,1042, ﾚ, ﾚ, ﾚ, ﾚ,1115, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1145, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1212, ﾚ, ﾚ, ﾚ, ﾚ,1245, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1315, ﾚ, ﾚ, ﾚ, ﾚ,1345, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1412, ﾚ, ﾚ, ﾚ, ﾚ,1445, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1515, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1545, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1612, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1645, ﾚ,1642, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1715, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1745, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1812, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1844, ﾚ,1841, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1914, ﾚ, ﾚ,1921, ﾚ, ﾚ, ﾚ, ﾚ,1944, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2014, ﾚ, ﾚ, ﾚ,2021, ﾚ, ﾚ, ﾚ, ﾚ,2045, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2115, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,2143, ﾚ, ﾚ,2204, ﾚ, ﾚ, ﾚ,2230, ﾚ,2254,2332
