FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/30改正
下り

列車番号,,001051,034051,077051,051051,081051,009051,042051,089051,004051,091051,035051,057051,005061,032061,061061,079061,013061,034061,050061,065061,085061,055061,052061,093061,019061,030061,054061,087061,003071,038071,056071,069071,006071,058071,025071,008071,011071,071071,062071,001071,073071,064071,059071,060071,075071,067071,032071,053071,066081,043081,016081,077081,042081,083081,009081,035081,068081,072081,036081,081081,021081,070081,061081,020081,074081,029081,034081,057081,078081,033081,039091,076091,004091,002091,079091,022091,080091,050091,024091,007091,041091,052091,015091,038091,030091,051091,085091,046091,082091,093101,075101,069101,010101,058101,087101,062101,012101,071101,067101,063101,006101,032101,014101,008101,043101,018101,001101,083101,089111,060111,054101,072111,005111,053111,091111,021111,031111,042111,033111,019111,081111,026111,070111,052111,027121,022121,025121,078121,065121,076121,075121,059121,085121,056121,028121,064121,015121,083121,011131,058131,066131,087131,077131,062131,060131,020131,032131,009131,018131,017131,006131,026131,074141,053141,002141,091141,050141,089141,065141,007141,027141,080141,070141,068141,033141,064141,082151,059151,051151,076151,010151,022151,077151,067151,011151,054151,015151,014151,085151,017151,001161,020161,008161,062161,005161,058161,007161,021161,074161,072161,006161,081161,032161,070161,052171,053171,019171,089171,055171,078171,050171,035171,025171,012171,027171,024171,016171,068171,083171,033171,057171,031181,028181,029181,076181,087181,067181,004181,036181,056181,059181,034181,066181,077181,039181,060181,015181,014181,026181,085181,040191,009191,011191,030191,017191,091191,021191,041191,075191,020191,008191,002191,074191,072191,013191,007191,131191,032191,082191,055191,071191,003201,070201,037201,064201,035201,078201,080201,053201,019201,038201,135201,022201,025201,016201,051201,050201,132201,083201,001201,029201,033201,065211,068211,087211,062211,034211,133211,005211,039211,036211,006211,056211,014211,131211,058211,015211,059211,052211,085211,040211,054221,112211,030221,020221,089221,021221,012221,075221,111221,091221,057221,041221,055221,081221,132221,002221,038221,027221,013221,028231,032231,135223,037231,031231,003231,023231,131231,001231,004231,005231,019231,103231,018231,058231,016231,010231,054241,034241,106231,011241,029241,009241,027241,039241,109241,006241,015241,101241
列車種別,,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,各停,各停,急行,各停,各停,各停,各停,準急,各停,各停,各停,各停,準急,各停,各停,各停,準急,各停,各停,各停,準急,各停,各停,準急,各停,各停,各停,準急,各停,各停,各停,準急,各停,各停,準急,各停,各停,準急,各停,各停,準急,各停,各停,準急,各停,各停,準急,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,準急,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,準急,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,急行,各停,各停,急行,各停,各停,急行,各停,急行,各停,各停,急行,各停,各停,各停,急行,急行,各停,各停,急行,各停,急行,各停,急行,各停,各停,急行,各停,各停,急行,各停,急行,各停,急行,各停,各停,急行,各停,急行,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,急行,各停,各停,各停,急行,各停,急行,急行,各停,各停,急行,各停,各停,急行,急行,各停,各停,急行,各停,急行,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,急行,各停,各停,各停,各停,各停,各停
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渋谷,発,,,505,,524,,,538,546,553,,,600,,,608,,615,618,,625,630,635,642,,,650,659,703,,708,,715,721,,725,730,,734,737,,741,745,748,,752,755,758,802,806,809,811,814,818,820,823,826,829,832,836,838,841,843,846,848,850,853,855,857,859,902,904,906,911,913,915,920,922,924,930,932,934,939,941,943,948,951,956,959,1001,1006,1009,1011,1015,1020,1023,1025,1028,1031,1034,1039,1042,1045,1047,1051,1053,1056,1059,1102,1106,,1111,1115,1118,1121,1127,1131,1136,1140,1144,1148,1152,1156,1159,1203,1207,1214,1218,1222,1226,1229,1233,1237,1244,1248,1252,1256,1259,1303,1307,1314,1318,1322,1326,1329,1333,1337,1344,1348,1352,1356,1359,1403,1407,1414,1418,1422,1426,1429,1433,1437,1444,1448,1452,1456,1459,1503,1507,1514,1518,1522,1526,1529,1533,1537,1544,1548,1552,1556,1559,1603,1607,1614,1618,1622,1626,1629,1633,1637,1643,1647,1651,1656,1659,1703,1707,1712,1718,,1722,1726,1730,1733,,1738,1743,1745,1749,1753,1756,,1800,1803,1806,1809,1813,1815,1818,1822,1825,1828,1832,1834,1837,1841,1844,1847,1851,1853,1856,1900,1903,1906,1910,1912,1915,1919,1921,1925,1928,1930,1934,1938,1940,1944,1947,||,1950,1953,1957,1959,2003,2006,2009,2013,2016,2019,2023,2026,2029,,||,2033,2036,2039,2043,2046,||,2049,2053,2056,2059,2103,2106,2111,2115,2118,||,2122,2125,2128,2132,2136,2139,||,2143,2146,2149,2153,2157,2159,2204,||,2207,2210,2215,2218,2221,2225,||,2228,2232,2236,2239,2243,||,2246,2251,2254,2258,2303,2307,||,2311,2315,2319,2323,||,2328,2332,2335,2341,||,2345,2348,2354,2358,002,005,||,011,015,021,023,026,||,032,042,||
池尻大橋,発,,,507,,526,,,541,549,555,,,602,,,610,, ﾚ,620,,627,633, ﾚ,645,,,653,701, ﾚ,,711,,718,724,,728,733,,736,740,,744,748,751,,755,758,801,805,808,811,814,817,820,823,826,829,832,835,838,841,843,846,848,851,853,855,858,900,902,904,907,909,913, ﾚ,918,922, ﾚ,927,932, ﾚ,937,941, ﾚ,946,951, ﾚ,959,1001, ﾚ,1009,1012, ﾚ,1017,1023, ﾚ,1028,1031,1033, ﾚ,1042,1044, ﾚ,1050,1053,1056,1059, ﾚ,1105,1109,,1114, ﾚ,1121,1123,1130, ﾚ,1138,1142,1146, ﾚ,1155,1159,1202, ﾚ,1210,1216, ﾚ,1225,1229,1232, ﾚ,1240,1246, ﾚ,1255,1259,1302, ﾚ,1310,1316, ﾚ,1325,1329,1332, ﾚ,1340,1346, ﾚ,1355,1359,1402, ﾚ,1410,1416, ﾚ,1425,1429,1432, ﾚ,1440,1446, ﾚ,1455,1459,1502, ﾚ,1510,1516, ﾚ,1525,1529,1532, ﾚ,1540,1546, ﾚ,1555,1559,1602, ﾚ,1610,1616, ﾚ,1624,1628,1632, ﾚ,1640,1646, ﾚ,1654,1658,1702, ﾚ,1710,1715, ﾚ,,1725,1729, ﾚ,1736,,1741, ﾚ,1748,1752, ﾚ,1759,,1802, ﾚ,1808,1812, ﾚ,1818,1821, ﾚ,1827,1831, ﾚ,1837,1840, ﾚ,1846,1850, ﾚ,1856,1859, ﾚ,1905,1908, ﾚ,1915,1918, ﾚ,1924,1927, ﾚ,1933,1937, ﾚ,1943,1946, ﾚ,||,1953,1956, ﾚ,2002,2005, ﾚ,2012, ﾚ,2018,2022, ﾚ,2028,2032,,||, ﾚ,2038,2042, ﾚ,2048,||,2052, ﾚ,2058,2102, ﾚ,2109,2114, ﾚ,2120,||,2125, ﾚ,2131,2135, ﾚ,2141,||,2146, ﾚ,2152,2156, ﾚ,2202,2207,||, ﾚ,2213,2218, ﾚ,2224, ﾚ,||,2230,2235, ﾚ,2242, ﾚ,||,2249,2254, ﾚ,2301,2306, ﾚ,||,2314,2318, ﾚ,2326,||,2330, ﾚ,2338,2344,||, ﾚ,2351,2356, ﾚ,004,008,||, ﾚ,017, ﾚ,025,029,||,034,044,||
三軒茶屋,発,,,511,,528,,,543,551,557,,,605,,,613,,619,622,,630,636,639,647,,,655,703,707,,713,,720,726,,730,735,,739,742,,746,750,753,,757,800,803,807,810,814,816,819,822,825,828,831,834,837,840,843,846,848,851,853,855,858,900,902,904,906,909,911,916,918,921,925,927,930,935,937,939,944,946,949,953,956,1001,1004,1006,1011,1014,1016,1020,1025,1028,1030,1033,1036,1039,1044,1046,1049,1052,1056,1058,1101,1104,1107,1111,,1116,1120,1123,1126,1132,1136,1141,1145,1149,1152,1157,1201,1204,1207,1212,1219,1222,1227,1231,1234,1237,1242,1249,1252,1257,1301,1304,1307,1312,1319,1322,1327,1331,1334,1337,1342,1349,1352,1357,1401,1404,1407,1412,1419,1422,1427,1431,1434,1437,1442,1449,1452,1457,1501,1504,1507,1512,1519,1522,1527,1531,1534,1537,1542,1549,1552,1557,1601,1604,1607,1612,1619,1622,1626,1631,1634,1637,1642,1648,1651,1656,1700,1704,1708,1713,1718,1723,,1727,1731,1735,1739,,1744,1748,1750,1755,1759,1801,,1805,1808,1811,1814,1818,1820,1824,1827,1830,1833,1837,1839,1843,1846,1849,1852,1856,1858,1902,1905,1908,1911,1915,1917,1921,1924,1927,1930,1934,1935,1940,1943,1946,1949,1953,||,1955,1959,2002,2004,2008,2011,2015,2018,2021,2025,2028,2031,2035,,||,2038,2041,2045,2048,2051,||,2055,2058,2101,2105,2109,2111,2117,2120,2123,||,2127,2130,2133,2138,2141,2144,||,2148,2151,2154,2159,2202,2204,2209,||,2212,2215,2220,2223,2227,2230,||,2232,2238,2241,2245,2248,||,2252,2256,2259,2304,2308,2312,||,2316,2320,2324,2328,||,2333,2336,2340,2346,||,2349,2353,2359,002,006,010,||,016,019,025,027,031,||,037,046,||
駒沢大学,発,,,513,,530,,,545,554,559,,,607,,,615,, ﾚ,624,,632,638, ﾚ,649,,,657,705, ﾚ,,715,,722,728,,732,737,,741,744,,748,752,755,,759,802,805,809,812,816,818,821,825,827,830,833,836,839,843,845,848,850,853,856,858,900,902,904,906,908,911,913,918, ﾚ,923,927, ﾚ,932,937, ﾚ,941,946, ﾚ,951,955, ﾚ,1003,1006, ﾚ,1013,1016, ﾚ,1022,1027, ﾚ,1032,1035,1038, ﾚ,1046,1048, ﾚ,1054,1058,1100,1103, ﾚ,1109,1113,,1118, ﾚ,1125,1128,1134, ﾚ,1143,1147,1151, ﾚ,1159,1203,1206, ﾚ,1214,1221, ﾚ,1229,1233,1236, ﾚ,1244,1251, ﾚ,1259,1303,1306, ﾚ,1314,1321, ﾚ,1329,1333,1336, ﾚ,1344,1351, ﾚ,1359,1403,1406, ﾚ,1414,1421, ﾚ,1429,1433,1436, ﾚ,1444,1451, ﾚ,1459,1503,1506, ﾚ,1514,1521, ﾚ,1529,1533,1536, ﾚ,1544,1551, ﾚ,1559,1603,1606, ﾚ,1614,1621, ﾚ,1629,1633,1636, ﾚ,1644,1650, ﾚ,1658,1702,1706, ﾚ,1715,1721, ﾚ,,1729,1734, ﾚ,1741,,1746, ﾚ,1752,1757, ﾚ,1803,,1807, ﾚ,1813,1817, ﾚ,1822,1826, ﾚ,1832,1836, ﾚ,1841,1845, ﾚ,1851,1855, ﾚ,1900,1904, ﾚ,1910,1913, ﾚ,1919,1923, ﾚ,1929,1932, ﾚ,1937,1942, ﾚ,1948,1951, ﾚ,||,1957,2001, ﾚ,2006,2010, ﾚ,2017, ﾚ,2023,2027, ﾚ,2033,2037,,||, ﾚ,2043,2047, ﾚ,2053,||,2057, ﾚ,2103,2107, ﾚ,2113,2119, ﾚ,2125,||,2130, ﾚ,2135,2140, ﾚ,2146,||,2151, ﾚ,2156,2201, ﾚ,2206,2212,||, ﾚ,2217,2222, ﾚ,2229, ﾚ,||,2235,2240, ﾚ,2247, ﾚ,||,2254,2258, ﾚ,2306,2310, ﾚ,||,2319,2322, ﾚ,2330,||,2335, ﾚ,2342,2348,||, ﾚ,2355,001, ﾚ,008,012,||, ﾚ,021, ﾚ,029,033,||,039,049,||
桜新町,発,,,516,,533,,,548,556,602,,,610,,,617,, ﾚ,627,,634,643, ﾚ,652,,,700,711, ﾚ,,718,,725,731,,735,740,,744,747,,751,755,758,,802,805,808,812,815,819,821,824,827,830,833,836,839,842,845,848,851,853,856,858,900,903,905,907,909,911,914,916,923, ﾚ,926,933, ﾚ,935,942, ﾚ,944,951, ﾚ,954,1001, ﾚ,1006,1013, ﾚ,1016,1021, ﾚ,1025,1032, ﾚ,1035,1038,1043, ﾚ,1049,1054, ﾚ,1057,1101,1103,1108, ﾚ,1112,1116,,1124, ﾚ,1128,1131,1140, ﾚ,1145,1149,1156, ﾚ,1202,1206,1212, ﾚ,1218,1226, ﾚ,1232,1236,1242, ﾚ,1248,1256, ﾚ,1302,1306,1312, ﾚ,1318,1326, ﾚ,1332,1336,1342, ﾚ,1348,1356, ﾚ,1402,1406,1412, ﾚ,1418,1426, ﾚ,1432,1436,1442, ﾚ,1448,1456, ﾚ,1502,1506,1512, ﾚ,1518,1526, ﾚ,1532,1536,1542, ﾚ,1548,1556, ﾚ,1602,1606,1612, ﾚ,1618,1626, ﾚ,1631,1635,1642, ﾚ,1647,1655, ﾚ,1701,1705,1712, ﾚ,1718,1727, ﾚ,,1732,1740, ﾚ,1744,,1752, ﾚ,1755,1803, ﾚ,1806,,1813, ﾚ,1816,1822, ﾚ,1825,1832, ﾚ,1835,1841, ﾚ,1844,1851, ﾚ,1854,1900, ﾚ,1903,1910, ﾚ,1913,1919, ﾚ,1922,1929, ﾚ,1932,1938, ﾚ,1940,1948, ﾚ,1951,1957, ﾚ,||,2000,2006, ﾚ,2009,2016, ﾚ,2023, ﾚ,2026,2033, ﾚ,2036,2043,,||, ﾚ,2046,2053, ﾚ,2056,||,2103, ﾚ,2106,2113, ﾚ,2116,2125, ﾚ,2128,||,2135, ﾚ,2138,2145, ﾚ,2149,||,2156, ﾚ,2159,2206, ﾚ,2209,2217,||, ﾚ,2220,2228, ﾚ,2234, ﾚ,||,2237,2245, ﾚ,2252, ﾚ,||,2257,2303, ﾚ,2309,2317, ﾚ,||,2322,2329, ﾚ,2333,||,2340, ﾚ,2345,2354,||, ﾚ,2358,006, ﾚ,011,015,||, ﾚ,024, ﾚ,032,036,||,042,052,||
