FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/30改正
上り

列車番号,,103042,114052,115052,106052,108052,109052,112052,111052,101052,113052,132052,103062,104062,114062,131062,105062,115062,134062,106062,107062,108062,136062,109062,110062,112062,132062,116062,111072,101072,135072,102072,113072,131072,103072,104072,134072,114072,105072,133072,115072,106072,136072,107072,108072,132072,109072,110072,135082,112082,116082,131082,111082,101082,134082,102082,113082,133082,103082,104082,114082,136082,105082,115082,106082,135084,107082,108082,109092,131092,110092,116092,134092,111092,101092,102092,133092,103092,104092,105092,135092,106092,107102,131102,108102,109102,110102,134102,111102,101102,133102,102102,103102,104102,135102,105102,106102,131112,107112,108112,109112,134112,110112,111112,133112,101112,102112,103112,135112,104112,105112,131122,106122,107122,108122,134122,109122,110122,133122,111122,101122,102122,135122,103122,104122,131132,105132,106132,107132,134132,108132,109132,133132,110132,111132,101132,135132,102132,103132,131142,104142,105142,106142,134142,107142,108142,133142,109142,110142,111142,135142,101142,102142,131152,103152,104152,105152,134152,106152,107152,133152,108152,109152,110152,135152,111152,101152,131162,102162,103162,104162,134162,105162,106162,112162,133162,107162,108162,113162,135162,109162,110162,111172,131172,101172,102172,103172,134172,104172,114172,105172,133172,106172,112172,107172,108172,135172,113172,109172,110182,131182,111182,101182,102182,134182,103182,104182,114182,133182,105182,106182,112182,107182,135182,108182,113182,109192,131192,110192,111192,101192,134192,102192,103192,104192,133192,114192,105192,106192,135192,112192,107192,108202,132192,113202,109202,110202,134202,111202,101202,102202,133202,103202,104202,114202,105202,131202,106202,112212,108212,134212,109212,110212,111212,135212,101212,103212,104212,132212,114212,106222,108222,109222,135222,110222,101222,131222,103222,104222,114232,106232,108232,109232,110232,101232,104242,114242,108242
列車種別,,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溝の口,発,,506,518,527,528,540,545,546,557,600,603,608,609,614,617,622,625,626,632,634,638,640,644,649,652,655,658,701,704,707,710,713,716,719,722,724,727,731,733,736,739,742,745,748,751,754,757,800,803,806,809,812,815,817,820,824,826,830,833,836,839,843,846,849,852,856,859,902,904,908,912,917,920,923,928,934,936,941,947,953,955,1001,1006,1008,1013,1017,1023,1025,1030,1036,1038,1043,1047,1052,1055,1058,1105,1109,1112,1117,1122,1125,1128,1135,1139,1142,1147,1152,1155,1158,1205,1209,1212,1217,1222,1225,1228,1235,1239,1242,1247,1252,1255,1258,1305,1309,1312,1317,1322,1325,1328,1335,1339,1342,1347,1352,1355,1358,1405,1409,1412,1417,1422,1425,1428,1435,1439,1442,1447,1452,1455,1458,1505,1509,1512,1517,1522,1525,1528,1535,1539,1542,1547,1552,1555,1559,1605,1608,1613,1617,1622,1625,1629,1633,1635,1639,1643,1647,1649,1654,1658,1702,1704,1709,1713,1717,1719,1724,1728,1732,1734,1737,1741,1744,1748,1750,1754,1759,1803,1805,1809,1814,1817,1820,1824,1829,1833,1835,1838,1840,1845,1849,1851,1854,1859,1903,1905,1909,1914,1918,1920,1924,1930,1934,1936,1939,1943,1947,1950,1954,1958,2002,2004,2009,2013,2017,2019,2024,2028,2032,2034,2039,2044,2048,2052,2054,2059,2104,2109,2115,2119,2123,2129,2134,2137,2144,2150,2156,2158,2206,2215,2221,2227,2231,2240,2245,2249,2257,2305,2314,2323,2331,2340,2349,001,012,028
高津,発,,508,520, ﾚ,529, ﾚ, ﾚ,547, ﾚ, ﾚ, ﾚ, ﾚ,611, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1059, ﾚ, ﾚ,1113, ﾚ, ﾚ, ﾚ,1130, ﾚ, ﾚ,1143, ﾚ, ﾚ, ﾚ,1200, ﾚ, ﾚ,1214, ﾚ, ﾚ, ﾚ,1230, ﾚ, ﾚ,1244, ﾚ, ﾚ, ﾚ,1300, ﾚ, ﾚ,1314, ﾚ, ﾚ, ﾚ,1330, ﾚ, ﾚ,1344, ﾚ, ﾚ, ﾚ,1400, ﾚ, ﾚ,1414, ﾚ, ﾚ, ﾚ,1430, ﾚ, ﾚ,1444, ﾚ, ﾚ, ﾚ,1500, ﾚ, ﾚ,1514, ﾚ, ﾚ, ﾚ,1530, ﾚ, ﾚ,1544, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
二子新地,発,,509,521, ﾚ,531, ﾚ, ﾚ,549, ﾚ, ﾚ, ﾚ, ﾚ,612, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,1100, ﾚ, ﾚ,1115, ﾚ, ﾚ, ﾚ,1131, ﾚ, ﾚ,1145, ﾚ, ﾚ, ﾚ,1201, ﾚ, ﾚ,1215, ﾚ, ﾚ, ﾚ,1231, ﾚ, ﾚ,1245, ﾚ, ﾚ, ﾚ,1301, ﾚ, ﾚ,1315, ﾚ, ﾚ, ﾚ,1331, ﾚ, ﾚ,1345, ﾚ, ﾚ, ﾚ,1401, ﾚ, ﾚ,1415, ﾚ, ﾚ, ﾚ,1431, ﾚ, ﾚ,1445, ﾚ, ﾚ, ﾚ,1501, ﾚ, ﾚ,1515, ﾚ, ﾚ, ﾚ,1531, ﾚ, ﾚ,1545, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
二子玉川,発,458,511,523,530,534,543,549,554,601,603,606,611,615,618,620,625,628,630,636,638,641,643,647,652,655,658,701,704,707,710,713,716,719,722,725,727,731,734,736,740,743,745,748,752,754,757,800,803,806,809,812,815,818,820,824,827,829,833,836,839,842,846,850,853,854,859,902,905,907,912,915,920,923,927,932,937,939,944,950,956,958,1003,1009,1011,1015,1020,1026,1028,1033,1039,1041,1045,1050,1055,1058,1103,1108,1111,1117,1120,1125,1128,1133,1138,1141,1147,1150,1155,1158,1203,1208,1211,1217,1220,1225,1228,1233,1238,1241,1247,1250,1255,1258,1303,1308,1311,1317,1320,1325,1328,1333,1338,1341,1347,1350,1355,1358,1403,1408,1411,1417,1420,1425,1428,1433,1438,1441,1447,1450,1455,1458,1503,1508,1511,1517,1520,1525,1528,1533,1538,1541,1547,1550,1555,1558,1602,1608,1611,1616,1620,1625,1628,1632,1636,1638,1642,1646,1650,1652,1657,1701,1705,1707,1712,1716,1720,1722,1727,1731,1735,1737,1740,1744,1747,1751,1753,1757,1802,1806,1808,1812,1817,1821,1823,1827,1832,1836,1838,1841,1843,1848,1852,1854,1857,1902,1906,1908,1912,1918,1921,1923,1927,1933,1937,1938,1942,1946,1951,1953,1957,2001,2005,2007,2012,2016,2020,2022,2027,2031,2035,2037,2042,2047,2051,2055,2057,2102,2107,2112,2118,2122,2126,2132,2138,2140,2147,2153,2159,2201,2209,2218,2224,2230,2234,2243,2249,2252,2300,2308,2317,2326,2334,2343,2352,004,015,031
上野毛,発,500,513,525,532,537,545,551,556,603,609, ﾚ,613,617,623, ﾚ,628,633, ﾚ,638,640,646, ﾚ,650,654,700, ﾚ,704,707,713, ﾚ,716,722, ﾚ,724,730, ﾚ,733,739, ﾚ,742,748, ﾚ,751,757, ﾚ,800,806, ﾚ,809,815, ﾚ,817,823, ﾚ,826,832, ﾚ,835,839,845, ﾚ,849,852,857, ﾚ,901,905,910, ﾚ,914,918, ﾚ,925,929,934, ﾚ,941,946,952, ﾚ,1000,1006, ﾚ,1013,1018,1022, ﾚ,1030,1035, ﾚ,1043,1048,1053, ﾚ,1100,1105, ﾚ,1114,1119,1123, ﾚ,1130,1135, ﾚ,1144,1149,1153, ﾚ,1200,1205, ﾚ,1214,1219,1223, ﾚ,1230,1235, ﾚ,1244,1249,1253, ﾚ,1300,1305, ﾚ,1314,1319,1323, ﾚ,1330,1335, ﾚ,1344,1349,1353, ﾚ,1400,1405, ﾚ,1414,1419,1423, ﾚ,1430,1435, ﾚ,1444,1449,1453, ﾚ,1500,1505, ﾚ,1514,1519,1523, ﾚ,1530,1535, ﾚ,1544,1549,1553, ﾚ,1600,1605, ﾚ,1613,1618,1623, ﾚ,1630,1635,1641, ﾚ,1645,1649,1655, ﾚ,1659,1704,1710, ﾚ,1714,1719,1725, ﾚ,1730,1734,1740, ﾚ,1743,1746,1749,1756, ﾚ,1800,1804,1811, ﾚ,1815,1819,1826, ﾚ,1829,1835,1841, ﾚ,1843,1846,1851,1857, ﾚ,1900,1905,1911, ﾚ,1915,1920,1926, ﾚ,1930,1935,1941, ﾚ,1945,1949,1956, ﾚ,2000,2004,2010, ﾚ,2015,2019,2025, ﾚ,2030,2034,2040, ﾚ,2045,2050,2054,2100, ﾚ,2105,2110,2115, ﾚ,2125,2129,2135, ﾚ,2142,2149,2156, ﾚ,2204,2211,2220,2227, ﾚ,2237,2246, ﾚ,2254,2303,2310,2319,2328,2336,2345,2354,006,018,033
等々力,発,502,515,527,534,538,547,553,558,605,611, ﾚ,615,619,625, ﾚ,629,635, ﾚ,640,642,648, ﾚ,652,656,702, ﾚ,705,709,714, ﾚ,717,723, ﾚ,726,732, ﾚ,735,741, ﾚ,744,750, ﾚ,753,758, ﾚ,802,808, ﾚ,810,816, ﾚ,819,825, ﾚ,828,834, ﾚ,837,841,847, ﾚ,851,854,858, ﾚ,903,906,912, ﾚ,916,919, ﾚ,927,931,936, ﾚ,943,948,954, ﾚ,1002,1008, ﾚ,1015,1020,1024, ﾚ,1032,1037, ﾚ,1045,1050,1054, ﾚ,1102,1107, ﾚ,1116,1121,1124, ﾚ,1132,1137, ﾚ,1146,1151,1154, ﾚ,1202,1207, ﾚ,1216,1221,1224, ﾚ,1232,1237, ﾚ,1246,1251,1254, ﾚ,1302,1307, ﾚ,1316,1321,1324, ﾚ,1332,1337, ﾚ,1346,1351,1354, ﾚ,1402,1407, ﾚ,1416,1421,1424, ﾚ,1432,1437, ﾚ,1446,1451,1454, ﾚ,1502,1507, ﾚ,1516,1521,1524, ﾚ,1532,1537, ﾚ,1546,1551,1554, ﾚ,1602,1606, ﾚ,1615,1620,1624, ﾚ,1632,1636,1643, ﾚ,1646,1651,1657, ﾚ,1701,1705,1712, ﾚ,1716,1721,1727, ﾚ,1731,1735,1742, ﾚ,1744,1748,1751,1758, ﾚ,1801,1806,1813, ﾚ,1816,1821,1827, ﾚ,1831,1836,1842, ﾚ,1845,1848,1852,1859, ﾚ,1901,1906,1913, ﾚ,1916,1922,1928, ﾚ,1931,1937,1943, ﾚ,1946,1951,1957, ﾚ,2001,2006,2012, ﾚ,2016,2021,2027, ﾚ,2031,2036,2042, ﾚ,2046,2051,2056,2102, ﾚ,2107,2112,2117, ﾚ,2126,2131,2136, ﾚ,2144,2151,2157, ﾚ,2206,2213,2222,2228, ﾚ,2239,2247, ﾚ,2256,2304,2312,2321,2330,2338,2347,2356,008,019,035
