FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/30改正
下り

列車番号,,109041,112051,103051,114051,115051,106051,108061,109061,112061,111061,132061,101061,113061,103061,131061,104061,102061,114061,105061,134061,115071,106071,107071,136071,108071,109071,110071,132071,112071,116071,135071,111071,101071,131071,102071,113071,134071,103071,104071,133073,114081,105081,136081,115081,106081,132081,107081,108081,135081,109081,110081,131081,112081,116081,111081,134081,101081,102081,133081,113081,103091,104091,136091,114091,105091,115091,135091,106091,107091,131091,108091,109091,110091,134091,116091,111091,101091,133091,102101,103101,104101,135101,105101,106101,107101,131101,108101,109101,134101,110101,111101,101111,133111,102111,103111,135111,104111,105111,106111,131111,107111,108111,134111,109111,110111,111121,133121,101121,102121,135121,103121,104121,105121,131121,106121,107121,134121,108121,109121,110131,133131,111131,101131,135131,102131,103131,104131,131131,105131,106131,134131,107131,108131,109141,133141,110141,111141,135141,101141,102141,103141,131141,104141,105141,134141,106141,107141,108151,133151,109151,110151,135151,111151,101151,102151,131151,103151,104151,134151,105151,106151,107161,133161,108161,109161,135161,110161,111161,101161,131161,102161,103161,134161,104161,105161,133171,106171,112171,107171,135171,108171,113171,109171,131171,110171,111171,101171,134171,102171,103171,104171,133173,114181,105181,106181,112181,135181,107181,108181,113181,131181,109181,110181,111181,134181,101181,102181,103181,133181,104191,114191,105191,106191,135191,112191,107191,108191,131191,113191,109191,110191,134191,111191,101191,102191,133201,103201,104201,114201,135201,105201,106201,112201,132201,107201,108201,113201,134201,109201,110201,111201,101211,133211,102211,103211,104211,131211,114211,105211,106211,112211,134211,108211,109211,110211,135221,111221,101221,103221,104221,132221,114221,106221,108221,135223,109221,110231,131231,101231,103231,104231,114231,106231,108231,109241,110241,101241,104241
列車種別,,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大井町,発,459,513,525,538,552,557,604,612,618,621,625,631,636,641,644,647,,650,655,658,700,704,708,711,714,716,721,724,725,729,733,734,738,742,743,747,751,752,756,759,801,805,808,809,814,817,818,822,826,827,831,835,836,840,845,847,849,854,857,859,902,907,909,912,915,920,922,924,928,930,933,936,940,943,947,952,956,959,1003,1008,1013,1016,1020,1025,1031,1035,1037,1043,1048,1051,1056,1101,1106,1108,1114,1118,1122,1126,1131,1136,1138,1144,1148,1152,1156,1201,1206,1208,1214,1218,1222,1226,1231,1236,1238,1244,1248,1252,1256,1301,1306,1308,1314,1318,1322,1326,1331,1336,1338,1344,1348,1352,1356,1401,1406,1408,1414,1418,1422,1426,1431,1436,1438,1444,1448,1452,1456,1501,1506,1508,1514,1518,1522,1526,1531,1536,1538,1544,1548,1552,1556,1601,1606,1608,1614,1618,1622,1626,1630,1635,1637,1642,1647,1650,1655,1700,1701,1705,1709,1714,1716,1719,1724,1729,1730,1735,1739,1744,1745,1750,1754,1759,1800,1804,1807,1811,1815,1816,1820,1824,1829,1830,1834,1839,1844,1845,1849,1854,1859,1901,1905,1908,1912,1917,1919,1922,1926,1930,1933,1937,1941,1946,1948,1951,1955,2000,2001,2005,2010,2015,2017,2020,2025,2030,2031,2035,2040,2045,2046,2050,2055,2100,2105,2107,2111,2115,2120,2123,2126,2131,2135,2140,2142,2148,2155,2200,2203,2208,2216,2222,2227,2231,2238,2246,2251,2255,2305,2309,2314,2320,2328,2336,2345,2354,003,015,020,033
下神明,発,500,514,527,540,553,558,606,613,619,622, ﾚ,632,638,642, ﾚ,649,,652,656, ﾚ,701,705,709, ﾚ,715,718,722, ﾚ,727,731, ﾚ,736,740, ﾚ,744,749, ﾚ,753,757, ﾚ,802,806, ﾚ,811,815, ﾚ,820,824, ﾚ,829,833, ﾚ,837,842,846, ﾚ,851,855, ﾚ,900,904,908, ﾚ,914,917,921, ﾚ,925,929, ﾚ,935,938,942, ﾚ,949,953,958, ﾚ,1004,1009,1015, ﾚ,1021,1026,1032, ﾚ,1039,1045, ﾚ,1053,1057,1103, ﾚ,1110,1115, ﾚ,1123,1128,1133, ﾚ,1140,1145, ﾚ,1153,1158,1203, ﾚ,1210,1215, ﾚ,1223,1228,1233, ﾚ,1240,1245, ﾚ,1253,1258,1303, ﾚ,1310,1315, ﾚ,1323,1328,1333, ﾚ,1340,1345, ﾚ,1353,1358,1403, ﾚ,1410,1415, ﾚ,1423,1428,1433, ﾚ,1440,1445, ﾚ,1453,1458,1503, ﾚ,1510,1515, ﾚ,1523,1528,1533, ﾚ,1540,1545, ﾚ,1553,1558,1603, ﾚ,1610,1615, ﾚ,1623,1628,1632, ﾚ,1638,1644, ﾚ,1651,1657, ﾚ,1703,1706,1710, ﾚ,1717,1721,1726, ﾚ,1732,1736,1740, ﾚ,1746,1751,1756, ﾚ,1802,1805,1808,1812, ﾚ,1818,1821,1826, ﾚ,1832,1836,1841, ﾚ,1847,1851,1855, ﾚ,1902,1907,1910,1914, ﾚ,1921,1924,1928, ﾚ,1935,1938,1942, ﾚ,1950,1952,1957, ﾚ,2003,2007,2012, ﾚ,2018,2022,2027, ﾚ,2033,2037,2042, ﾚ,2048,2052,2056,2102, ﾚ,2109,2112,2117, ﾚ,2124,2128,2132,2137, ﾚ,2144,2150,2157, ﾚ,2204,2209,2217,2224, ﾚ,2233,2240,2248, ﾚ,2257,2306, ﾚ,2315,2321,2330,2338,2347,2356,004,016,021,034
戸越公園,発,502,515,528,541,555,600,607,615,621,624, ﾚ,634,639,644, ﾚ,650,,653,658, ﾚ,703,707,711, ﾚ,717,719,724, ﾚ,728,732, ﾚ,737,741, ﾚ,746,750, ﾚ,755,759, ﾚ,804,808, ﾚ,812,817, ﾚ,821,825, ﾚ,830,834, ﾚ,839,843,848, ﾚ,852,857, ﾚ,902,905,910, ﾚ,915,918,923, ﾚ,927,931, ﾚ,936,939,943, ﾚ,950,955,959, ﾚ,1006,1011,1016, ﾚ,1023,1028,1034, ﾚ,1040,1046, ﾚ,1054,1059,1104, ﾚ,1111,1117, ﾚ,1125,1129,1134, ﾚ,1141,1147, ﾚ,1155,1159,1204, ﾚ,1211,1217, ﾚ,1225,1229,1234, ﾚ,1241,1247, ﾚ,1255,1259,1304, ﾚ,1311,1317, ﾚ,1325,1329,1334, ﾚ,1341,1347, ﾚ,1355,1359,1404, ﾚ,1411,1417, ﾚ,1425,1429,1434, ﾚ,1441,1447, ﾚ,1455,1459,1504, ﾚ,1511,1517, ﾚ,1525,1529,1534, ﾚ,1541,1547, ﾚ,1555,1559,1604, ﾚ,1611,1617, ﾚ,1625,1629,1633, ﾚ,1640,1645, ﾚ,1653,1658, ﾚ,1704,1708,1712, ﾚ,1719,1722,1727, ﾚ,1733,1738,1742, ﾚ,1748,1753,1757, ﾚ,1803,1807,1810,1814, ﾚ,1819,1823,1827, ﾚ,1833,1837,1842, ﾚ,1848,1852,1857, ﾚ,1904,1908,1911,1915, ﾚ,1922,1925,1929, ﾚ,1936,1940,1944, ﾚ,1951,1954,1958, ﾚ,2004,2008,2013, ﾚ,2020,2023,2028, ﾚ,2034,2038,2043, ﾚ,2049,2053,2058,2103, ﾚ,2110,2114,2118, ﾚ,2126,2129,2134,2138, ﾚ,2145,2151,2158, ﾚ,2206,2211,2219,2225, ﾚ,2234,2241,2249, ﾚ,2258,2308, ﾚ,2317,2323,2331,2339,2348,2357,006,018,023,036
中延,発,503,517,529,543,556,601,609,616,622,625, ﾚ,635,641,645, ﾚ,652,,655,659, ﾚ,704,708,712, ﾚ,718,721,725, ﾚ,730,734, ﾚ,739,743, ﾚ,747,752, ﾚ,756,800, ﾚ,805,809, ﾚ,814,818, ﾚ,823,827, ﾚ,832,836, ﾚ,840,845,849, ﾚ,854,858, ﾚ,903,907,911, ﾚ,917,920,924, ﾚ,928,932, ﾚ,938,941,945, ﾚ,952,956,1001, ﾚ,1007,1012,1018, ﾚ,1024,1029,1035, ﾚ,1042,1048, ﾚ,1056,1100,1106, ﾚ,1113,1118, ﾚ,1126,1130,1136, ﾚ,1143,1148, ﾚ,1156,1200,1206, ﾚ,1213,1218, ﾚ,1226,1230,1236, ﾚ,1243,1248, ﾚ,1256,1300,1306, ﾚ,1313,1318, ﾚ,1326,1330,1336, ﾚ,1343,1348, ﾚ,1356,1400,1406, ﾚ,1413,1418, ﾚ,1426,1430,1436, ﾚ,1443,1448, ﾚ,1456,1500,1506, ﾚ,1513,1518, ﾚ,1526,1530,1536, ﾚ,1543,1548, ﾚ,1556,1600,1606, ﾚ,1613,1618, ﾚ,1626,1630,1635, ﾚ,1641,1647, ﾚ,1654,1700, ﾚ,1706,1709,1713, ﾚ,1720,1724,1729, ﾚ,1735,1739,1743, ﾚ,1749,1754,1759, ﾚ,1804,1808,1811,1815, ﾚ,1821,1824,1829, ﾚ,1835,1839,1844, ﾚ,1850,1854,1858, ﾚ,1905,1910,1913,1917, ﾚ,1924,1927,1931, ﾚ,1938,1941,1945, ﾚ,1953,1955,2000, ﾚ,2006,2010,2014, ﾚ,2021,2025,2030, ﾚ,2036,2040,2045, ﾚ,2051,2055,2059,2105, ﾚ,2112,2115,2120, ﾚ,2127,2131,2135,2140, ﾚ,2147,2153,2200, ﾚ,2207,2212,2220,2227, ﾚ,2236,2243,2251, ﾚ,2300,2309, ﾚ,2318,2324,2333,2341,2350,2359,007,019,024,037
荏原町,発,504,518,531,544,557,602,610,618,623,627, ﾚ,637,642,647, ﾚ,653,,656,700, ﾚ,705,710,714, ﾚ,720,722,726, ﾚ,731,735, ﾚ,740,744, ﾚ,749,753, ﾚ,758,802, ﾚ,806,811, ﾚ,815,819, ﾚ,824,828, ﾚ,833,837, ﾚ,842,846,851, ﾚ,855,859, ﾚ,904,908,912, ﾚ,918,921,925, ﾚ,930,934, ﾚ,939,942,946, ﾚ,953,958,1002, ﾚ,1009,1014,1019, ﾚ,1026,1031,1036, ﾚ,1043,1049, ﾚ,1057,1101,1107, ﾚ,1114,1119, ﾚ,1127,1132,1137, ﾚ,1144,1149, ﾚ,1157,1202,1207, ﾚ,1214,1219, ﾚ,1227,1232,1237, ﾚ,1244,1249, ﾚ,1257,1302,1307, ﾚ,1314,1319, ﾚ,1327,1332,1337, ﾚ,1344,1349, ﾚ,1357,1402,1407, ﾚ,1414,1419, ﾚ,1427,1432,1437, ﾚ,1444,1449, ﾚ,1457,1502,1507, ﾚ,1514,1519, ﾚ,1527,1532,1537, ﾚ,1544,1549, ﾚ,1557,1602,1607, ﾚ,1614,1619, ﾚ,1627,1632,1636, ﾚ,1643,1648, ﾚ,1655,1701, ﾚ,1707,1710,1715, ﾚ,1722,1725,1730, ﾚ,1736,1740,1745, ﾚ,1751,1755,1800, ﾚ,1806,1810,1812,1817, ﾚ,1822,1826,1830, ﾚ,1836,1840,1845, ﾚ,1851,1855,1900, ﾚ,1907,1911,1914,1918, ﾚ,1925,1928,1932, ﾚ,1939,1942,1947, ﾚ,1954,1956,2001, ﾚ,2007,2011,2016, ﾚ,2022,2026,2031, ﾚ,2037,2041,2046, ﾚ,2052,2056,2101,2106, ﾚ,2113,2117,2121, ﾚ,2128,2132,2136,2141, ﾚ,2148,2154,2201, ﾚ,2208,2214,2222,2228, ﾚ,2237,2244,2252, ﾚ,2301,2311, ﾚ,2320,2326,2334,2342,2351,000,009,021,026,039
旗の台,発,506,520,533,545,559,604,611,619,625,631,630,639,645,651,650,655,,658,705,703,707,712,718,716,722,725,731,729,734,739,738,743,748,747,751,757,756,800,806,805,809,815,813,818,824,822,826,832,831,836,841,840,845,848,855,853,858,904,902,906,910,917,915,920,923,929,928,931,937,936,941,944,950,949,955,1000,1006,1005,1011,1016,1023,1022,1028,1033,1041,1039,1045,1053,1052,1058,1103,1112,1110,1116,1124,1123,1129,1134,1142,1140,1146,1154,1153,1159,1204,1212,1210,1216,1224,1223,1229,1234,1242,1240,1246,1254,1253,1259,1304,1312,1310,1316,1324,1323,1329,1334,1342,1340,1346,1354,1353,1359,1404,1412,1410,1416,1424,1423,1429,1434,1442,1440,1446,1454,1453,1459,1504,1512,1510,1516,1524,1523,1529,1534,1542,1540,1546,1554,1553,1559,1604,1612,1610,1616,1624,1623,1629,1634,1640,1639,1645,1652,1651,1657,1706,1704,1709,1713,1719,1718,1723,1727,1734,1733,1738,1742,1749,1748,1753,1758,1805,1803,1808,1811,1814,1821,1820,1824,1827,1834,1833,1838,1842,1850,1849,1853,1857,1904,1903,1908,1913,1916,1923,1921,1927,1930,1937,1935,1941,1944,1951,1950,1956,1958,2006,2004,2009,2013,2020,2019,2024,2028,2036,2034,2039,2043,2051,2049,2054,2058,2103,2111,2109,2115,2118,2125,2124,2130,2134,2139,2146,2144,2150,2156,2206,2204,2210,2215,2224,2233,2231,2239,2247,2257,2255,2304,2315,2314,2321,2327,2336,2344,2353,002,010,022,028,040
