FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/30改正
下り

列車番号,,027051,024051,027053,021051,024053,027061,021061,029061,024061,027063,028063,021063,022063,029071,024071,027071,025071,028071,021071,022071,023071,029073,024073,020071,027073,025073,028073,021073,022073,023073,029081,024081,020081,027081,025081,028081,021081,022081,023081,029083,024083,020083,027083,025083,028083,021083,022083,023083,029091,024091,020091,025091,021091,022091,023091,024093,025093,021093,022093,023101,024101,025101,021101,022101,023103,024103,025103,021103,022103,023111,024111,025111,021111,022111,023113,024113,025113,021113,022113,023121,024121,025121,021121,022121,023123,024123,025123,021123,022123,023131,024131,025131,021131,022131,023133,024133,025133,021133,022133,023141,024141,025141,021141,022141,023143,024143,025143,021143,022143,023151,024151,025151,021151,022151,023153,024153,025153,021153,022153,023161,024161,025161,021161,022161,023163,024163,025163,021163,026163,022171,023171,024171,025171,021171,007171,026171,022173,023173,024173,025173,021173,007181,026181,022181,023181,024181,025181,021181,007183,026183,022183,023183,024183,025191,021191,007191,026191,022191,023191,024191,025193,021193,007193,026193,022193,023201,024201,025201,007201,026201,022201,023203,025203,007203,026203,022211,023211,025211,007211,026211,022213,023213,025213,007213,026213,022221,023221,025221,007221,026221,022223,023223,025223,026223,022231,023231,025231,026231,022233,023233,025233,026233,022241,023241,025241,022243,023243
列車種別,,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多摩川,発,503,519,534,547,558,606,616,625,634,639,645,650,655,700,705,709,714,718,721,725,728,731,734,738,741,744,747,751,753,757,800,803,806,810,813,816,819,822,825,829,832,836,840,843,846,849,853,857,901,906,910,914,920,927,931,937,943,949,955,1002,1008,1014,1020,1026,1032,1038,1044,1050,1056,1102,1108,1114,1120,1126,1132,1138,1144,1150,1156,1202,1208,1214,1220,1226,1232,1238,1244,1250,1256,1302,1308,1314,1320,1326,1332,1338,1344,1350,1356,1402,1408,1414,1420,1426,1432,1438,1444,1450,1456,1502,1508,1514,1520,1526,1532,1538,1544,1551,1557,1603,1609,1616,1622,1628,1635,1640,1646,1651,1657,1702,1708,1713,1718,1723,1728,1732,1738,1743,1748,1754,1759,1804,1809,1814,1819,1824,1829,1834,1839,1844,1849,1854,1859,1904,1909,1913,1918,1923,1928,1933,1938,1943,1948,1953,1958,2003,2009,2015,2021,2026,2030,2037,2043,2049,2056,2102,2108,2115,2121,2127,2133,2140,2146,2152,2158,2205,2211,2217,2223,2229,2236,2243,2251,2259,2306,2314,2322,2329,2337,2345,2351,2359,009,019,027,039,047
沼部,発,505,521,535,548,600,607,617,626,635,641,646,652,657,702,707,711,716,720,723,727,730,733,736,740,743,746,749,753,755,759,802,805,808,812,815,818,821,824,827,831,834,838,842,845,848,851,855,859,903,908,912,916,922,929,933,939,945,951,957,1004,1010,1016,1022,1028,1034,1040,1046,1052,1058,1104,1110,1116,1122,1128,1134,1140,1146,1152,1158,1204,1210,1216,1222,1228,1234,1240,1246,1252,1258,1304,1310,1316,1322,1328,1334,1340,1346,1352,1358,1404,1410,1416,1422,1428,1434,1440,1446,1452,1458,1504,1510,1516,1522,1528,1534,1540,1546,1553,1559,1605,1611,1618,1624,1630,1637,1642,1648,1653,1659,1704,1710,1715,1720,1725,1730,1734,1740,1745,1750,1756,1801,1806,1811,1816,1821,1826,1831,1836,1841,1846,1851,1856,1901,1906,1911,1915,1920,1925,1930,1935,1940,1945,1950,1955,2000,2005,2010,2016,2022,2027,2032,2038,2045,2051,2057,2104,2110,2116,2122,2129,2135,2141,2147,2154,2200,2206,2212,2219,2225,2231,2237,2244,2253,2300,2308,2316,2323,2331,2338,2347,2353,001,011,021,028,040,049
鵜の木,発,507,522,537,550,601,609,619,628,637,642,648,653,658,703,709,713,718,721,725,728,732,735,738,741,744,748,751,754,757,800,803,807,810,813,816,819,822,826,829,832,836,839,843,846,849,853,856,901,905,909,914,918,924,930,934,940,947,953,959,1005,1011,1017,1023,1029,1035,1041,1047,1053,1059,1105,1111,1117,1123,1129,1135,1141,1147,1153,1159,1205,1211,1217,1223,1229,1235,1241,1247,1253,1259,1305,1311,1317,1323,1329,1335,1341,1347,1353,1359,1405,1411,1417,1423,1429,1435,1441,1447,1453,1459,1505,1511,1517,1523,1529,1535,1542,1548,1554,1600,1607,1613,1619,1625,1632,1638,1644,1650,1654,1700,1705,1711,1717,1722,1726,1731,1736,1741,1746,1752,1757,1802,1807,1812,1817,1822,1827,1832,1837,1842,1847,1852,1857,1902,1907,1912,1917,1922,1927,1932,1937,1942,1947,1951,1956,2001,2007,2012,2018,2024,2029,2034,2040,2046,2052,2059,2105,2111,2118,2124,2130,2136,2143,2149,2155,2201,2208,2214,2220,2226,2232,2239,2246,2254,2302,2309,2317,2325,2332,2340,2348,2355,003,012,023,030,042,050
下丸子,発,508,524,538,551,603,610,620,629,638,644,649,655,700,705,710,715,719,723,726,730,733,736,739,743,746,749,752,756,758,802,805,808,811,815,818,821,824,827,830,834,837,841,845,848,851,854,858,902,906,911,915,919,926,932,936,942,948,954,1000,1007,1013,1019,1025,1031,1037,1043,1049,1055,1101,1107,1113,1119,1125,1131,1137,1143,1149,1155,1201,1207,1213,1219,1225,1231,1237,1243,1249,1255,1301,1307,1313,1319,1325,1331,1337,1343,1349,1355,1401,1407,1413,1419,1425,1431,1437,1443,1449,1455,1501,1507,1513,1519,1525,1531,1537,1543,1549,1556,1602,1608,1614,1621,1627,1633,1640,1645,1651,1656,1702,1707,1713,1718,1723,1728,1733,1737,1743,1748,1753,1759,1804,1809,1814,1819,1824,1829,1834,1839,1844,1849,1854,1859,1904,1909,1914,1918,1923,1928,1933,1938,1943,1948,1953,1958,2003,2008,2013,2019,2025,2030,2035,2041,2048,2054,2100,2107,2113,2119,2125,2132,2138,2144,2150,2157,2203,2209,2215,2222,2228,2234,2240,2247,2256,2303,2311,2319,2326,2334,2341,2350,2356,004,014,024,031,043,052
武蔵新田,発,509,525,540,553,604,612,622,631,640,645,651,656,701,707,712,716,721,725,728,732,735,738,741,745,748,751,754,758,800,804,807,810,813,817,820,823,826,829,832,836,839,843,847,850,853,856,859,904,908,912,917,921,927,933,937,943,950,956,1002,1008,1014,1020,1026,1032,1038,1044,1050,1056,1102,1108,1114,1120,1126,1132,1138,1144,1150,1156,1202,1208,1214,1220,1226,1232,1238,1244,1250,1256,1302,1308,1314,1320,1326,1332,1338,1344,1350,1356,1402,1408,1414,1420,1426,1432,1438,1444,1450,1456,1502,1508,1514,1520,1526,1532,1538,1545,1551,1557,1603,1610,1616,1622,1628,1635,1641,1647,1653,1657,1703,1708,1715,1720,1725,1730,1735,1739,1745,1750,1755,1801,1806,1811,1816,1821,1826,1831,1836,1841,1846,1851,1856,1901,1906,1910,1915,1920,1925,1930,1935,1940,1945,1950,1954,1959,2004,2010,2015,2021,2027,2032,2037,2043,2050,2056,2102,2109,2115,2121,2127,2134,2140,2146,2152,2159,2205,2211,2217,2223,2230,2236,2242,2249,2258,2305,2313,2321,2328,2336,2343,2351,2358,006,015,026,033,045,053
矢口渡,発,511,527,541,554,606,613,623,633,642,647,653,658,703,709,714,718,723,726,730,733,737,740,743,746,749,753,756,759,802,805,808,812,815,818,821,824,828,831,834,837,841,844,848,851,854,857,901,905,909,914,918,922,929,935,939,945,952,957,1003,1010,1016,1022,1028,1034,1040,1046,1052,1058,1104,1110,1116,1122,1128,1134,1140,1146,1152,1158,1204,1210,1216,1222,1228,1234,1240,1246,1252,1258,1304,1310,1316,1322,1328,1334,1340,1346,1352,1358,1404,1410,1416,1422,1428,1434,1440,1446,1452,1458,1504,1510,1516,1522,1528,1534,1540,1547,1553,1559,1605,1612,1618,1624,1630,1637,1643,1649,1655,1659,1705,1710,1717,1722,1727,1732,1737,1741,1747,1752,1757,1803,1808,1813,1818,1823,1828,1833,1838,1843,1848,1853,1858,1903,1908,1912,1917,1922,1927,1932,1937,1942,1947,1952,1956,2001,2006,2012,2017,2023,2029,2034,2039,2045,2051,2057,2104,2110,2116,2123,2129,2135,2141,2148,2154,2200,2206,2213,2219,2225,2231,2237,2244,2251,2259,2307,2314,2322,2330,2337,2345,2353,000,008,017,028,035,047,055
