FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/10改正
上り

列車番号,,019052,033052,010042,029052,023052,020052,021052,032052,051052,018052,001054,005052,022062,002054,031062,052062,793062,703062,703062,045062,003062,024062,704062,823062,009062,009062,004062,007062,016062,106062,025062,006062,011062,027062,819062,020062,035062,008062,030062,012072,102072,032072,705072,014072,821072,707072,019072,122072,034072,017072,795072,018072,009072,053072,701072,022072,789072,702072,010072,054072,013072,709072,126072,033072,029082,807082,711082,717082,058082,024082,704082,110082,007082,028082,056082,035082,023082,723082,016082,021082,811082,027082,005082,787082,012082,757082,025082,132092,713092,051092,001092,134092,002092,018092,057092,003092,136092,011092,022092,703092,725092,715092,026102,138092,008102,052102,704102,019102,007102,783102,014102,005102,006102,020102,055102,021102,010102,017102,729102,012102,028112,013102,702112,819112,001112,701112,004112,124112,025112,036112,711112,029112,821112,703112,015112,024112,765112,008112,027122,009112,016122,789122,007122,120122,713122,053122,020122,003122,018122,023122,813122,017122,022122,002122,132122,702122,005132,026122,011132,787132,004132,715132,019132,725132,029132,028132,006132,704132,051132,024132,010132,014132,054132,016132,036142,013132,021142,052142,713142,701142,012142,729142,023142,027142,711142,001142,055142,002142,015142,025142,124142,011142,003152,009142,703152,819152,019152,120152,008152,765152,704152,005152,018152,007152,821152,014152,022152,020152,053152,021152,028162,026152,017162,789162,012162,715162,702162,114162,001162,036162,056162,004162,809162,025162,813162,010162,719162,037162,024162,703162,725162,027172,018172,016172,008172,787172,013172,028172,817172,003172,054172,701172,711172,023172,020172,051172,713172,005172,002172,015172,729172,012182,017182,769182,009182,120182,702182,001182,052182,006182,112182,719182,703182,059182,019182,055182,018182,008182,026182,022182,056182,025192,028192,021192,014192,819192,711192,715192,809192,036192,106192,005192,015192,011192,705192,053192,003192,009192,735192,004192,745192,020202,006202,027202,016202,789202,703202,019202,024202,037202,813202,001202,022202,023202,010202,791202,028202,779202,701202,777202,008212,036212,017212,013212,817212,015212,705212,725212,715212,769212,002212,108212,012212,721212,006212,016212,702212,059212,009222,104222,719222,763222,022222,010222,025222,053222,019222,005222,711222,765222,036222,021222,817222,701232,108232,705232,735232,003232,715232,721232,020232,006232,024232,027232,723232,702232,703242,059242,007242,018242,053242,025242,817242,011242,028242
列車種別,,各停,各停,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,各停,急行,各停,急行,急行,各停,各停,特急,各停,各停,各停,急行,各停,各停,各停,各停,各停,通特,各停,急行,各停,各停,通特,各停,各停,急行,各停,各停,急行,各停,各停,各停,通特,各停,各停,急行,各停,各停,通特,各停,各停,急行,各停,各停,通特,各停,各停,急行,各停,各停,通特,各停,各停,急行,各停,各停,通特,各停,各停,急行,各停,各停,通特,各停,各停,急行,各停,各停,通特,各停,各停,急行,各停,通特,各停,急行,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,急行,各停,特急,各停,各停,急行,各停,特急,各停,特急,各停,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,各停,急行,各停,通特,各停,急行,各停,通特,各停,各停,各停,通特,各停,急行,各停,通特,各停,各停,各停,通特,各停,急行,各停,通特,各停,各停,通特,各停,急行,各停,通特,各停,各停,通特,各停,急行,各停,各停,通特,各停,各停,急行,各停,各停,急行,各停,急行,各停,各停
列車名,,,,,,,,,,,,,,,,,,,,,時差Ｂｉｚ特急,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,Ｆライナー,,,,,Ｆライナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜,発,,,505,519,534,,,,,547,559,,,606,608,,616,618,618,623,625,,632,,,,637,,,642,645,649,,651,656,658,,703,706,,710,712,715,,719,721,,725,727,730,734,736,,740,742,745,749,751,,755,757,800,804,806,,810,812,815,819,821,,825,827,830,834,836,,840,842,845,849,851,,855,859,904,907,912,914,919,923,927,929,,934,938,942,944,949,953,957,959,,1004,1008,1012,1014,1019,1023,1027,1029,,1034,1038,1042,1044,1049,1053,1057,1059,,1104,1108,1112,1114,1119,1123,1127,1129,,1134,1138,1142,1144,1149,1153,1157,1159,,1204,1208,1212,1214,1219,1223,1227,1229,,1234,1238,1242,1244,1249,1253,1257,1259,,1304,1308,1312,1314,1319,1323,1327,1329,,1334,1338,1342,1344,1349,1353,1357,1359,,1404,1408,1412,1414,1419,1423,1427,1429,,1434,1438,1442,1444,1449,1453,1457,1459,,1504,1508,1512,1514,1519,1523,1527,1529,,1534,1538,1542,1544,1549,1553,1557,1559,,1604,1608,1612,1614,1619,1623,1627,1629,,1634,1638,1643,1647,1651,1654,,,1659,1702,1707,1709,,1714,1717,1722,1724,,1729,1732,1737,1739,,1744,1747,1752,1754,,1759,1802,1807,1809,,1814,1817,1822,1824,,1829,1832,1837,1839,,1844,1847,1852,1854,,1859,1902,1907,1909,,1914,1917,1922,1924,,1929,1932,1937,1939,,1944,1947,1952,1954,,1959,2002,2007,2009,,2014,2017,2022,2024,,2029,2032,2037,2039,,2044,2047,2052,2054,2059,2102,2107,2109,,2114,2117,2122,2124,,2129,2132,2137,2139,2144,2147,2152,2155,,2202,2207,2209,2214,2217,2222,2225,,2232,2237,2239,2244,2247,2252,2255,2302,2307,2309,2314,2317,2322,2325,2332,2336,2339,2344,2351,2356,001,003,011,019,023,026,032,035,042,044,051
反町,発,,,506,520,536,,,,,548,600,,, ﾚ,609,, ﾚ,619,619, ﾚ,627,,633,,,,639,,, ﾚ,647, ﾚ,,652, ﾚ,700,, ﾚ,707,, ﾚ,714,717,, ﾚ,722,, ﾚ,729,732, ﾚ,737,, ﾚ,744,747, ﾚ,752,, ﾚ,759,802, ﾚ,807,, ﾚ,814,817, ﾚ,822,, ﾚ,829,832, ﾚ,837,, ﾚ,844,847, ﾚ,852,, ﾚ,901, ﾚ,908, ﾚ,915, ﾚ,925, ﾚ,930,, ﾚ,940, ﾚ,946, ﾚ,955, ﾚ,1000,, ﾚ,1010, ﾚ,1015, ﾚ,1025, ﾚ,1030,, ﾚ,1040, ﾚ,1045, ﾚ,1055, ﾚ,1100,, ﾚ,1110, ﾚ,1115, ﾚ,1125, ﾚ,1130,, ﾚ,1140, ﾚ,1145, ﾚ,1155, ﾚ,1200,, ﾚ,1210, ﾚ,1215, ﾚ,1225, ﾚ,1230,, ﾚ,1240, ﾚ,1245, ﾚ,1255, ﾚ,1300,, ﾚ,1310, ﾚ,1315, ﾚ,1325, ﾚ,1330,, ﾚ,1340, ﾚ,1345, ﾚ,1355, ﾚ,1400,, ﾚ,1410, ﾚ,1415, ﾚ,1425, ﾚ,1430,, ﾚ,1440, ﾚ,1445, ﾚ,1455, ﾚ,1500,, ﾚ,1510, ﾚ,1515, ﾚ,1525, ﾚ,1530,, ﾚ,1540, ﾚ,1545, ﾚ,1555, ﾚ,1600,, ﾚ,1610, ﾚ,1615, ﾚ,1625, ﾚ,1630,, ﾚ,1640, ﾚ,1648, ﾚ,1656,,, ﾚ,1704, ﾚ,1711,, ﾚ,1719, ﾚ,1726,, ﾚ,1734, ﾚ,1741,, ﾚ,1749, ﾚ,1756,, ﾚ,1804, ﾚ,1811,, ﾚ,1819, ﾚ,1826,, ﾚ,1834, ﾚ,1841,, ﾚ,1849, ﾚ,1856,, ﾚ,1904, ﾚ,1911,, ﾚ,1919, ﾚ,1926,, ﾚ,1934, ﾚ,1941,, ﾚ,1949, ﾚ,1956,, ﾚ,2004, ﾚ,2011,, ﾚ,2019, ﾚ,2026,, ﾚ,2034, ﾚ,2041,, ﾚ,2049, ﾚ,2056, ﾚ,2104, ﾚ,2111,, ﾚ,2119, ﾚ,2126,, ﾚ,2134, ﾚ,2141, ﾚ,2149, ﾚ,2156,,2204, ﾚ,2211, ﾚ,2219, ﾚ,2226,,2234, ﾚ,2241, ﾚ,2249, ﾚ,2256,2304, ﾚ,2311, ﾚ,2319, ﾚ,2327,2333, ﾚ,2341, ﾚ,2352,2358, ﾚ,004,013, ﾚ,024,028, ﾚ,036, ﾚ,046,053
東白楽,発,,,508,522,538,,,,,550,602,,, ﾚ,611,, ﾚ,621,621, ﾚ,628,,635,,,,641,,, ﾚ,649, ﾚ,,654, ﾚ,702,, ﾚ,709,, ﾚ,716,719,, ﾚ,724,, ﾚ,731,734, ﾚ,739,, ﾚ,746,749, ﾚ,754,, ﾚ,801,804, ﾚ,809,, ﾚ,816,819, ﾚ,824,, ﾚ,831,834, ﾚ,839,, ﾚ,846,849, ﾚ,854,, ﾚ,903, ﾚ,910, ﾚ,917, ﾚ,927, ﾚ,932,, ﾚ,942, ﾚ,948, ﾚ,957, ﾚ,1002,, ﾚ,1012, ﾚ,1017, ﾚ,1027, ﾚ,1032,, ﾚ,1042, ﾚ,1047, ﾚ,1057, ﾚ,1102,, ﾚ,1112, ﾚ,1117, ﾚ,1127, ﾚ,1132,, ﾚ,1142, ﾚ,1147, ﾚ,1157, ﾚ,1202,, ﾚ,1212, ﾚ,1217, ﾚ,1227, ﾚ,1232,, ﾚ,1242, ﾚ,1247, ﾚ,1257, ﾚ,1302,, ﾚ,1312, ﾚ,1317, ﾚ,1327, ﾚ,1332,, ﾚ,1342, ﾚ,1347, ﾚ,1357, ﾚ,1402,, ﾚ,1412, ﾚ,1417, ﾚ,1427, ﾚ,1432,, ﾚ,1442, ﾚ,1447, ﾚ,1457, ﾚ,1502,, ﾚ,1512, ﾚ,1517, ﾚ,1527, ﾚ,1532,, ﾚ,1542, ﾚ,1547, ﾚ,1557, ﾚ,1602,, ﾚ,1612, ﾚ,1617, ﾚ,1627, ﾚ,1632,, ﾚ,1642, ﾚ,1650, ﾚ,1658,,, ﾚ,1706, ﾚ,1713,, ﾚ,1721, ﾚ,1728,, ﾚ,1736, ﾚ,1743,, ﾚ,1751, ﾚ,1758,, ﾚ,1806, ﾚ,1813,, ﾚ,1821, ﾚ,1828,, ﾚ,1836, ﾚ,1843,, ﾚ,1851, ﾚ,1858,, ﾚ,1906, ﾚ,1913,, ﾚ,1921, ﾚ,1928,, ﾚ,1936, ﾚ,1943,, ﾚ,1951, ﾚ,1958,, ﾚ,2006, ﾚ,2013,, ﾚ,2021, ﾚ,2028,, ﾚ,2036, ﾚ,2043,, ﾚ,2051, ﾚ,2058, ﾚ,2106, ﾚ,2113,, ﾚ,2121, ﾚ,2128,, ﾚ,2136, ﾚ,2143, ﾚ,2151, ﾚ,2158,,2206, ﾚ,2213, ﾚ,2221, ﾚ,2228,,2236, ﾚ,2243, ﾚ,2251, ﾚ,2258,2306, ﾚ,2313, ﾚ,2321, ﾚ,2329,2335, ﾚ,2342, ﾚ,2354,2359, ﾚ,006,014, ﾚ,026,030, ﾚ,038, ﾚ,048,054
白楽,発,,,510,524,539,,,,,552,604,,, ﾚ,613,, ﾚ,623,623, ﾚ,630,,637,,,,643,,, ﾚ,650, ﾚ,,656, ﾚ,704,, ﾚ,711,, ﾚ,717,721,, ﾚ,726,, ﾚ,732,736, ﾚ,741,, ﾚ,747,751, ﾚ,756,, ﾚ,802,806, ﾚ,811,, ﾚ,817,821, ﾚ,826,, ﾚ,832,836, ﾚ,841,, ﾚ,847,851, ﾚ,856,, ﾚ,904, ﾚ,912, ﾚ,919, ﾚ,928, ﾚ,934,, ﾚ,943, ﾚ,949, ﾚ,958, ﾚ,1004,, ﾚ,1013, ﾚ,1019, ﾚ,1028, ﾚ,1034,, ﾚ,1043, ﾚ,1049, ﾚ,1058, ﾚ,1104,, ﾚ,1113, ﾚ,1119, ﾚ,1128, ﾚ,1134,, ﾚ,1143, ﾚ,1149, ﾚ,1158, ﾚ,1204,, ﾚ,1213, ﾚ,1219, ﾚ,1228, ﾚ,1234,, ﾚ,1243, ﾚ,1249, ﾚ,1258, ﾚ,1304,, ﾚ,1313, ﾚ,1319, ﾚ,1328, ﾚ,1334,, ﾚ,1343, ﾚ,1349, ﾚ,1358, ﾚ,1404,, ﾚ,1413, ﾚ,1419, ﾚ,1428, ﾚ,1434,, ﾚ,1443, ﾚ,1449, ﾚ,1458, ﾚ,1504,, ﾚ,1513, ﾚ,1519, ﾚ,1528, ﾚ,1534,, ﾚ,1543, ﾚ,1549, ﾚ,1558, ﾚ,1604,, ﾚ,1613, ﾚ,1619, ﾚ,1628, ﾚ,1634,, ﾚ,1643, ﾚ,1652, ﾚ,1659,,, ﾚ,1708, ﾚ,1714,, ﾚ,1723, ﾚ,1729,, ﾚ,1738, ﾚ,1744,, ﾚ,1753, ﾚ,1759,, ﾚ,1808, ﾚ,1814,, ﾚ,1823, ﾚ,1829,, ﾚ,1838, ﾚ,1844,, ﾚ,1853, ﾚ,1859,, ﾚ,1908, ﾚ,1914,, ﾚ,1923, ﾚ,1929,, ﾚ,1938, ﾚ,1944,, ﾚ,1953, ﾚ,1959,, ﾚ,2008, ﾚ,2014,, ﾚ,2023, ﾚ,2029,, ﾚ,2038, ﾚ,2044,, ﾚ,2053, ﾚ,2059, ﾚ,2108, ﾚ,2114,, ﾚ,2123, ﾚ,2129,, ﾚ,2138, ﾚ,2144, ﾚ,2153, ﾚ,2200,,2208, ﾚ,2214, ﾚ,2223, ﾚ,2230,,2238, ﾚ,2244, ﾚ,2253, ﾚ,2300,2308, ﾚ,2314, ﾚ,2323, ﾚ,2330,2337, ﾚ,2344, ﾚ,2356,001, ﾚ,008,016, ﾚ,028,031, ﾚ,040, ﾚ,049,056
妙蓮寺,発,,,512,526,541,,,,,554,606,,, ﾚ,615,, ﾚ,625,625, ﾚ,632,,639,,,,645,,, ﾚ,652, ﾚ,,658, ﾚ,706,, ﾚ,713,, ﾚ,719,723,, ﾚ,728,, ﾚ,734,738, ﾚ,743,, ﾚ,749,753, ﾚ,758,, ﾚ,804,808, ﾚ,813,, ﾚ,819,823, ﾚ,828,, ﾚ,834,838, ﾚ,843,, ﾚ,849,853, ﾚ,858,, ﾚ,906, ﾚ,914, ﾚ,921, ﾚ,930, ﾚ,936,, ﾚ,945, ﾚ,951, ﾚ,1000, ﾚ,1006,, ﾚ,1015, ﾚ,1021, ﾚ,1030, ﾚ,1036,, ﾚ,1045, ﾚ,1051, ﾚ,1100, ﾚ,1106,, ﾚ,1115, ﾚ,1121, ﾚ,1130, ﾚ,1136,, ﾚ,1145, ﾚ,1151, ﾚ,1200, ﾚ,1206,, ﾚ,1215, ﾚ,1221, ﾚ,1230, ﾚ,1236,, ﾚ,1245, ﾚ,1251, ﾚ,1300, ﾚ,1306,, ﾚ,1315, ﾚ,1321, ﾚ,1330, ﾚ,1336,, ﾚ,1345, ﾚ,1351, ﾚ,1400, ﾚ,1406,, ﾚ,1415, ﾚ,1421, ﾚ,1430, ﾚ,1436,, ﾚ,1445, ﾚ,1451, ﾚ,1500, ﾚ,1506,, ﾚ,1515, ﾚ,1521, ﾚ,1530, ﾚ,1536,, ﾚ,1545, ﾚ,1551, ﾚ,1600, ﾚ,1606,, ﾚ,1615, ﾚ,1621, ﾚ,1630, ﾚ,1636,, ﾚ,1645, ﾚ,1654, ﾚ,1701,,, ﾚ,1710, ﾚ,1716,, ﾚ,1725, ﾚ,1731,, ﾚ,1740, ﾚ,1746,, ﾚ,1755, ﾚ,1801,, ﾚ,1810, ﾚ,1816,, ﾚ,1825, ﾚ,1831,, ﾚ,1840, ﾚ,1846,, ﾚ,1855, ﾚ,1901,, ﾚ,1910, ﾚ,1916,, ﾚ,1925, ﾚ,1931,, ﾚ,1940, ﾚ,1946,, ﾚ,1955, ﾚ,2001,, ﾚ,2010, ﾚ,2016,, ﾚ,2025, ﾚ,2031,, ﾚ,2040, ﾚ,2046,, ﾚ,2055, ﾚ,2101, ﾚ,2110, ﾚ,2116,, ﾚ,2125, ﾚ,2131,, ﾚ,2140, ﾚ,2146, ﾚ,2155, ﾚ,2202,,2210, ﾚ,2216, ﾚ,2225, ﾚ,2232,,2240, ﾚ,2246, ﾚ,2255, ﾚ,2302,2310, ﾚ,2316, ﾚ,2325, ﾚ,2332,2339, ﾚ,2346, ﾚ,2358,003, ﾚ,010,018, ﾚ,030,033, ﾚ,042, ﾚ,051,058
