FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,1521E,1523E,2521Y,1529E,520M,528M,1525E,2523Y,1527E,624M,524M,522M,526M,1531E,534M,322M,1533E,2525Y,2529Y,626M,3521E,2527Y,532M,1545E,530M,3523E,1537E,2531Y,628M,1535E,1539E,324M,538M,1541E,1543E,630M,2533Y,1547E,326M,2535Y,632M,2537Y,1549E,634M,2539Y,1551E,328M,636M,540M,4521Y,638M,3527E,1082M,1553E,1555E,2541Y,640M,1557E,4523Y,642M,2543Y,542M,3529E,330M,1559E,1561E,644M,4525Y,2545Y,544M,3531E,1563E,646M,1084M,4527Y,1565E,648M,2547Y,546M,3533E,1567E,332M,650M,4529Y,1569E,2549Y,548M,3535E,1571E,652M,4531Y,334M,1573E,2551Y,654M,550M,3537E,1575E,656M,658M,4533Y,1579E,660M,2553Y,552M,1581E,1585E,662M,1583E,2555Y,3550M,3552M,1086M,1589E,664M,2557Y,1587E,1591E,666M,466M,1595E,668M,554M,1597E,2559Y,670M,1621E,1098M,2561Y,672M,1623E,3554M,2563Y,674M,2565Y,1625E,1629E,678M,342M,1627E,2567Y,680M,3556M,682M,1631E,1633E,2569Y,684M,1635E,556M,3558M,344M,1637E,2571Y,686M,688M,3560M,558M,562M,346M,560M,564M,690M,566M,2544M
列車種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,快速,特急,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,快速,普通,普通,特急,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,通快,通快,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,通快,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,通快,普通,普通,普通,普通,普通,普通,普通,通快,普通,普通,普通,普通,普通,通快,普通,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,アクティー,,,,,アクティー,,,,,,,,,,,,,,,,,,,,,,,,,,アクティー,スペーシアきぬがわ,,,,,,,,,,アクティー,,,,,,,,アクティー,,,きぬがわ,,,,,,アクティー,,,,,,,,アクティー,,,,,,,,,アクティー,,,,,,,,,,,,,,,,スペーシアきぬがわ,,,,,,,,,,,,,,,日光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黒磯,発,,,,,,527,,,,553,,,,,617,||,,,,633,,,,652,,,,,708,,,||,731,,,758,,,||,,816,,,848,,,||,918,,,941,,||,,,,1023,,,1049,,,,||,,,1129,,,,,,1212,||,,,1251,,,,,||,1325,,,,,,,1409,,||,,,1451,,,,1516,1533,,,1552,,,,,1612,,,,1639,||,,1650,,,,1710,,,1737,,,,1747,,||,,1808,,,,1849,,,,1913,||,,,1931,,1951,,,,2019,,,,||,,,2056,2109,,,,||,,,2153,,
那須塩原,発,,,,,,533,,,,558,,,,,623,||,,,,639,,,,658,,,,,714,,,||,737,,,804,,,||,,822,,,854,,,||,924,,,947,,||,,,,1029,,,1055,,,,||,,,1135,,,,,,1218,||,,,1259,,,,,||,1331,,,,,,,1415,,||,,,1457,,,,1522,1539,,,1558,,,,,1618,,,,1645,||,,1656,,,,1716,,,1743,,,,1753,,||,,1814,,,,1855,,,,1920,||,,,1937,,1957,,,,2025,,,,||,,,2102,2115,,,,||,,,2158,,
西那須野,発,,,,,,538,,,,604,,,,,628,||,,,,644,,,,703,,,,,720,,,||,742,,,809,,,||,,827,,,900,,,||,929,,,952,,||,,,,1034,,,1100,,,,||,,,1140,,,,,,1224,||,,,1304,,,,,||,1336,,,,,,,1420,,||,,,1502,,,,1527,1544,,,1603,,,,,1624,,,,1650,||,,1701,,,,1721,,,1748,,,,1758,,||,,1819,,,,1900,,,,1925,||,,,1942,,2002,,,,2031,,,,||,,,2107,2120,,,,||,,,2203,,
野崎,発,,,,,,543,,,,609,,,,,633,||,,,,649,,,,708,,,,,725,,,||,747,,,814,,,||,,832,,,905,,,||,934,,,957,,||,,,,1039,,,1105,,,,||,,,1145,,,,,,1228,||,,,1309,,,,,||,1341,,,,,,,1425,,||,,,1507,,,,1532,1549,,,1608,,,,,1629,,,,1655,||,,1706,,,,1726,,,1753,,,,1803,,||,,1824,,,,1905,,,,1930,||,,,1947,,2007,,,,2036,,,,||,,,2112,2125,,,,||,,,2208,,
矢板,発,,,,,,548,,,,614,,,,,638,||,,,,654,,,,713,,,,,730,,,||,751,,,819,,,||,,837,,,909,,,||,939,,,1002,,||,,,,1043,,,1110,,,,||,,,1150,,,,,,1233,||,,,1314,,,,,||,1345,,,,,,,1430,,||,,,1512,,,,1537,1600,,,1613,,,,,1634,,,,1700,||,,1711,,,,1731,,,1757,,,,1808,,||,,1829,,,,1910,,,,1935,||,,,1952,,2012,,,,2040,,,,||,,,2117,2130,,,,||,,,2212,,
片岡,発,,,,,,553,,,,619,,,,,643,||,,,,659,,,,718,,,,,736,,,||,757,,,824,,,||,,842,,,915,,,||,944,,,1008,,||,,,,1049,,,1116,,,,||,,,1155,,,,,,1239,||,,,1320,,,,,||,1351,,,,,,,1436,,||,,,1518,,,,1542,1606,,,1618,,,,,1639,,,,1705,||,,1716,,,,1736,,,1803,,,,1813,,||,,1835,,,,1915,,,,1940,||,,,1957,,2017,,,,2046,,,,||,,,2123,2136,,,,||,,,2217,,
蒲須坂,発,,,,,,557,,,,623,,,,,647,||,,,,704,,,,722,,,,,740,,,||,800,,,829,,,||,,846,,,919,,,||,948,,,1012,,||,,,,1053,,,1120,,,,||,,,1159,,,,,,1243,||,,,1324,,,,,||,1355,,,,,,,1440,,||,,,1522,,,,1546,1610,,,1622,,,,,1643,,,,1709,||,,1720,,,,1740,,,1807,,,,1817,,||,,1839,,,,1919,,,,1944,||,,,2001,,2021,,,,2050,,,,||,,,2127,2140,,,,||,,,2221,,
氏家,発,,,,521,,601,,,,628,,,,,651,||,,,,708,,,,726,,,,,744,,,||,805,,,833,,,||,,851,,,923,,,||,953,,,1016,,||,,,,1057,,,1124,,,,||,,,1203,,,,,,1247,||,,,1328,,,,,||,1359,,,,,,,1444,,||,,,1526,,,,1551,1614,,,1627,,,,,1647,,,,1713,||,,1724,,,,1745,,,1811,,,,1822,,||,,1843,,,,1923,,,,1948,||,,,2005,,2025,,,,2054,,,,||,,,2131,2144,,,,||,,,2226,,
宝積寺,着,,,,526,,605,,,,633,,,,,656,619,,,,713,,,,731,,,,,749,,,719,809,,,838,,,811,,855,,,928,,,908,958,,,1021,,||,,,,1102,,,1129,,,,1106,,,1208,,,,,,1252,||,,,1333,,,,,1310,1404,,,,,,,1449,,1441,,,1531,,,,1555,1619,,,1631,,,,,1652,,,,1718,||,,1729,,,,1749,,,1816,,,,1826,,||,,1848,,,,1928,,,,1953,1914,,,2010,,2030,,,,2059,,,,2028,,,2136,2149,,,,2135,,,2230,,
