FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,521M,623M,523M,627M,525M,625M,2823M,527M,323M,1520E,3620E,2521M,529M,629M,325M,1524E,631M,1526E,633M,635M,1528E,2520Y,3622E,1091M,327M,1534E,1538E,2522Y,637M,1542E,1546E,2524Y,1550E,639M,1556E,2526Y,1558E,2528Y,641M,1564E,4520Y,1566E,329M,1568E,2530Y,1572E,643M,2532Y,1574E,1576E,1083M,537M,4522Y,2534Y,645M,1578E,1580E,4524Y,3522E,647M,539M,2536Y,331M,1582E,649M,1584E,4526Y,3524E,541M,651M,2538Y,1586E,1085M,1588E,333M,4528Y,653M,3526E,543M,2540Y,655M,1590E,1592E,657M,4530Y,659M,3528E,661M,545M,2542Y,335M,1594E,1596E,4532Y,663M,3530E,547M,2544Y,665M,1598E,451M,1620E,667M,4534Y,669M,3532E,549M,671M,2546Y,551M,1622E,673M,1624E,4536Y,3534E,677M,675M,1626E,1087M,2548Y,1628E,3551M,1630E,679M,553M,2550Y,3536E,681M,555M,1632E,2552Y,3553M,3538E,683M,343M,1634E,2554Y,1636E,685M,557M,2556Y,1638E,687M,3555M,1640E,689M,1642E,345M,2558Y,1644E,691M,559M,2560Y,1646E,3557M,1648E,3540E,2562Y,561M,695M,3559M,1650E,1652E,2564Y,1654E,563M,2566Y,565M
列車種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,普通,快速,普通,普通,普通,普通,快速,快速,普通,普通,普通,普通,普通,普通,普通,快速,快速,普通,普通,普通,普通,特急,普通,普通,快速,普通,快速,普通,普通,普通,普通,普通,普通,快速,普通,快速,普通,普通,普通,普通,普通,普通,快速,普通,快速,普通,普通,普通,普通,普通,普通,普通,快速,普通,快速,普通,普通,普通,普通,普通,普通,普通,快速,快速,普通,普通,普通,特急,普通,普通,通快,普通,普通,普通,普通,快速,普通,普通,普通,普通,通快,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,通快,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,通快,普通,快速,普通,普通,普通,通快,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,ラビット,,,,,,,,,,,,ラビット,日光,,,,,,,,,,,,,,,,,,,,,,,,,,,スペーシアきぬがわ,,,,,,,,アクティー,,,,,,,,,アクティー,,,,,きぬがわ,,,,,アクティー,,,,,,,,,アクティー,,,,,,,,,アクティー,,,,,,,,,,アクティー,,,,,,,,,アクティー,,,,スペーシアきぬがわ,,,,,,,,アクティー,,,,,,アクティー,,,,,,,,,,,,,,,,,,,,,,,,アクティー,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上野,発,510,,535,,546,,,608,,636,648,,659,,,716,,737,,,748,||,757,||,,810,825,||,,839,848,||,855,,909,||,918,||,,937,||,952,,1006,||,1025,,||,1035,1055,||,1108,||,||,,1125,1135,||,1155,,1208,||,,1225,,1235,||,1255,1308,,||,1325,||,1335,,||,,1355,1408,||,,1425,1435,,||,,1455,,1508,||,,1525,1535,||,,1555,1608,||,,1625,||,1635,,||,,1655,1700,,||,1717,1725,,1735,||,1750,,,1757,||,||,1814,1819,1827,,1835,||,1848,,1856,1905,||,1917,1921,,,1937,||,1947,,1955,||,2011,,2019,2027,,2036,,||,2054,,2108,||,2115,2120,2136,2151,||,2204,,2220,2227,2246,||,2314,2327,||,2338
尾久,発,515,,541,,552,,,613,,641, ﾚ,,705,,,722,,743,,,753,||, ﾚ,||,,816,831,||,,845,854,||,901,,914,||,924,||,,942,||,958,,1012,||,1030,,||,1041,1101,||,1113,||,||,,1130,1140,||,1200,,1213,||,,1230,,1240,||,1301,1313,,||,1330,||,1340,,||,,1400,1413,||,,1431,1440,,||,,1500,,1513,||,,1530,1541,||,,1600,1614,||,,1630,||,1640,,||,,1700,1705,,||,1723,1731,,1742,||,1756,,,1803,||,||,1819,1825,1832,,1840,||,1853,,1901,1911,||,1923,1927,,,1942,||,1952,,2001,||,2017,,2024,2033,,2042,,||,2100,,2114,||,2120,2126,2141,2156,||,2210,,2225,2232,2251,||,2319,2334,||,2344
赤羽,発,520,,546,,557,,,618,,646,658,,710,,,727,,748,,,758,||,807,||,,821,836,||,,849,858,||,906,,919,||,929,||,,947,||,1003,,1016,||,1035,,||,1045,1106,||,1118,||,||,,1135,1145,||,1205,,1218,||,,1235,,1245,||,1305,1318,,||,1335,||,1345,,||,,1405,1418,||,,1435,1445,,||,,1505,,1518,||,,1535,1546,||,,1605,1618,||,,1635,||,1645,,||,,1705,1710,,||,1728,1736,,1747,||,1801,,,1808,||,||,1824,1830,1837,,1845,||,1858,,1906,1917,||,1929,1932,,,1947,||,1957,,2006,||,2021,,2029,2037,,2047,,||,2104,,2118,||,2125,2131,2146,2201,||,2214,,2230,2237,2256,||,2324,2339,||,2349
浦和,発,529,,554,,605,,,626,,654,706,,719,,,736,,757,,,806,||,816,||,,829,844,||,,858,907,||,914,,928,||,937,||,,956,||,1012,,1025,||,1043,,||,1054,1115,||,1126,||,||,,1143,1154,||,1213,,1226,||,,1244,,1254,||,1314,1326,,||,1343,||,1354,,||,,1413,1426,||,,1444,1454,,||,,1513,,1526,||,,1543,1554,||,,1613,1627,||,,1643,||,1654,,||,,1713,1719,,||,1737,1744,,1756,||,1810,,,1817,||,||,1833,1838,1846,,1854,||,1907,,1915,1925,||,1938,1941,,,1956,||,2006,,2015,||,2030,,2038,2046,,2056,,||,2113,,2127,||,2133,2139,2154,2209,||,2223,,2238,2246,2304,||,2332,2348,||,2358
さいたま新都心,発,533,,558,,609,,,631,,659, ﾚ,,723,,,740,,801,,,811,||, ﾚ,||,,834,848,||,,902,911,||,919,,932,||,941,||,,1000,||,1016,,1029,||,1048,,||,1058,1119,||,1131,||,||,,1148,1158,||,1218,,1231,||,,1248,,1258,||,1318,1331,,||,1348,||,1358,,||,,1418,1431,||,,1448,1458,,||,,1518,,1531,||,,1548,1558,||,,1617,1631,||,,1648,||,1658,,||,,1717,1723,,||,1742,1749,,1800,||,1815,,,1822,||,||,1838, ﾚ,1850,,1858,||,1912,,1919,1930,||, ﾚ,1946,,,2000,||,2011,,2020,||,2034,, ﾚ,2050,,2100,,||,2117,,2131,||,2138, ﾚ,2159,2213,||,2227,, ﾚ,2250,2309,||,2337,2352,||,002
大宮,着,535,,601,,612,,,633,,702,712,,726,,,742,,804,,,813,752,822,801,,836,851,829,,905,914,848,921,,934,908,944,927,,1002,939,1018,,1032,1010,1050,,1027,1102,1122,1101,1133,1107,1116,,1150,1200,1140,1220,,1233,1210,,1251,,1301,1240,1321,1333,,1310,1350,1329,1400,,1340,,1420,1433,1410,,1451,1500,,1440,,1520,,1533,1510,,1550,1601,1541,,1620,1634,1610,,1650,||,1700,,1640,,1720,1726,,1711,1744,1751,,1803,1741,1818,,,1825,1801,1810,1841,1844,1853,,1901,1836,1914,,1922,1932,1910,1944,1948,,,2003,1940,2014,,2022,2010,2036,,2043,2052,,2103,,2042,2120,,2134,2109,2140,2144,2201,2216,2156,2230,,2244,2253,2311,2248,2339,2355,2331,005
