FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,350G,452G,400G,402G,450G,504G,552G,506G,508G,500G,510G,512G,502G,614G,650G,616G,604G,618G,654G,652G,606G,620G,608G,656G,600G,622G,658G,610G,624G,612G,760G,602G,726G,714G,770G,750G,728G,716G,772G,704G,730G,718G,754G,752G,706G,720G,708G,756G,700G,722G,758G,710G,724G,712G,860G,802G,826G,814G,870G,850G,828G,816G,872G,804G,830G,818G,918G,854G,852G,806G,820G,808G,856G,800G,822G,858G,910G,924G,912G,960G,902G,926G,914G,970G,950G,928G,916G,972G,930G,954G,952G,906G,908G,956G,900G,1022G,1010G,1024G,1012G,1060G,1026G,1014G,1050G,1028G,1072G,1030G,1054G,1006G,1008G,1000G,1122G,1110G,1124G,1112G,1160G,1126G,1114G,1150G,1128G,1172G,1130G,1154G,1106G,1108G,1200G,1222G,1210G,1224G,1212G,1260G,1226G,1214G,1250G,1228G,1272G,1230G,1254G,1206G,1308G,1300G,1322G,1310G,1324G,1312G,1360G,1326G,1314G,1350G,1328G,1372G,1330G,1354G,1406G,1408G,1400G,1422G,1410G,1424G,1412G,1460G,1426G,1414G,1450G,1428G,1472G,1430G,1454G,1506G,1508G,1500G,1562G,1522G,1510G,1524G,1532G,1512G,1560G,1534G,1526G,1514G,1550G,1528G,1572G,1664G,1530G,1654G,1636G,1606G,1608G,1600G,1662G,1622G,1610G,1624G,1632G,1612G,1660G,1634G,1626G,1614G,1650G,1628G,1672G,1764G,1730G,1754G,1736G,1706G,1708G,1700G,1762G,1722G,1710G,1724G,1732G,1712G,1760G,1734G,1726G,1714G,1750G,1728G,1872G,1864G,1830G,1854G,1836G,1806G,1808G,1800G,1862G,1822G,1810G,1824G,1832G,1812G,1860G,1834G,1826G,1814G,1950G,1928G,1972G,1964G,1930G,1954G,1936G,1906G,1908G,1900G,1962G,1922G,1910G,1924G,1932G,1912G,1960G,1934G,1926G,2014G,2050G,2028G,2072G,2064G,2030G,2054G,2036G,2006G,2008G,2000G,2062G,2022G,2010G,2024G,2032G,2012G,2060G,2134G,2114G,2150G,2128G,2172G,2164G,2154G,2136G,2106G,2108G,2100G,2162G,2122G,2124G,2132G,2112G,2260G,2234G,2214G,2228G,2272G,2264G,2254G,2206G,2208G,2308G,2262G,2222G,2224G,2332G,2312G,2334G,2314G,2328G,2372G,2364G,2354G,2306G,2322G,2424G,2412G,2414G,2428G,2464G,2406G,112G
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[山]||■<大        崎>,着,,,,,458,,518,,,534,,,552,,602,,613,,,621,627,,633,,638,,,645,,652,,656,,702,,708,,714,,720,,725,728,731,734,736,739,742,744,747,750,753,756,758,801,804,807,809,812,815,818,820,823,826,829,831,937,834,837,839,842,845,847,850,853,856,859,901,904,907,909,912,915,918,921,923,926,929,934,940,942,945,950,953,956,959,1004,1007,1010,1013,1018,1021,1026,1029,1035,1039,1043,1049,1053,1059,1103,1107,1111,1116,1120,1124,1128,1132,1136,1140,1144,1149,1152,1157,1201,1206,1210,1214,1219,1223,1227,1231,1235,1239,1244,1248,1252,1256,1300,1305,1309,1313,1317,1321,1325,1330,1334,1338,1342,1346,1350,1355,1359,1403,1408,1412,1416,1420,1424,1428,1433,1437,1441,1445,1450,1453,1458,1502,1507,1511,,1515,1519,1523,,1528,1532,,1536,1540,1544,1548,1553,,1557,1601,,1606,1610,1614,1617,1620,1623,1626,1629,1632,1636,1639,1642,1645,1649,1652,1656,1659,1703,1706,1709,1712,1716,1719,1722,1725,1728,1732,1735,1738,1741,1745,1748,1751,1754,1757,1801,1804,1807,1811,1814,1817,1820,1824,1827,1830,1833,1837,1840,1843,1846,1850,1853,1856,1859,1902,1906,1909,1912,1916,1919,1922,1925,1929,1932,1935,1938,1941,1945,1948,1951,1954,1957,2001,2004,2007,2010,2014,2017,2020,2023,2027,2030,2033,2036,2040,2043,2046,2050,2053,2056,2100,2106,2109,2112,2116,2120,2125,2128,2132,2135,2138,2142,2145,2151,2154,2158,2202,2206,2210,2217,2222,2226,2230,2236,2240,2347,2247,2251,2256,2300,2304,2311,2316,2322,2326,2331,2336,2342,2356,001,010,022,027,036,048,115
[山]||■<大        崎>,発,,,430,447,458,511,518,523,531,536,542,550,554,600,605,611,615,620,,624,628,631,634,,638,642,,646,650,654,,657,700,703,,709,712,715,,721,723,726,729,732,734,737,740,742,745,748,751,754,757,759,802,805,808,810,813,816,819,822,824,827,830,832,938,835,838,840,843,846,848,851,854,857,900,902,905,908,911,913,916,919,921,924,928,931,935,940,943,947,951,954,957,1001,1005,1008,1012,1015,1019,1023,1027,1031,1036,1040,1045,1050,1055,1059,1104,1108,1112,1117,1121,1125,1129,1133,1137,1142,1146,1150,1154,1158,1203,1207,1211,1215,1219,1223,1228,1232,1236,1240,1244,1248,1253,1257,1301,1305,1310,1314,1318,1322,1326,1331,1335,1339,1343,1347,1351,1356,1400,1404,1409,1413,1417,1421,1425,1429,1433,1437,1442,1446,1450,1454,1459,1503,1508,1512,,1516,1520,1524,1527,1530,1533,1535,1539,1542,1546,1550,1554,,1558,1602,1604,1608,1611,1615,1618,1621,1624,1627,1631,1634,1637,1640,1643,1647,1650,1653,1657,1700,1703,1707,1710,1713,1716,1720,1723,1726,1729,1733,1736,1739,1742,1746,1749,1752,1755,1758,1802,1805,1808,1812,1815,1818,1821,1825,1828,1831,1834,1837,1841,1844,1847,1850,1853,1857,1900,1903,1906,1910,1913,1916,1919,1923,1926,1929,1932,1936,1939,1942,1946,1949,1952,1955,1958,2002,2005,2008,2011,2015,2018,2021,2024,2028,2031,2034,2037,2041,2044,2047,2050,2054,2058,2102,2106,2110,2113,2117,2121,2126,2129,2132,2136,2139,2143,2147,2152,2155,2159,2203,2207,2212,2218,2222,2227,2232,2237,2242,2350,2247,2252,2257,2302,2306,2312,2317,2323,2327,2332,2337,2343,2357,003,011,023,028,037,049,116
[山]||  品          川,発,,,433,450,502,514,521,527,534,539,546,553,557,603,608,614,619,624,,628,632,635,638,,642,646,,650,654,657,,700,704,706,,713,716,718,,724,727,730,732,735,738,740,743,746,748,751,754,757,800,803,805,808,811,814,816,819,822,825,828,830,833,836,941,838,841,844,846,849,852,854,857,900,903,906,908,911,914,916,919,922,925,928,931,934,938,943,947,950,954,957,1000,1004,1008,1011,1016,1019,1023,1027,1031,1035,1040,1044,1049,1053,1058,1102,1107,1111,1115,1120,1124,1128,1132,1136,1140,1145,1149,1153,1157,1201,1206,1210,1214,1218,1222,1226,1231,1235,1239,1243,1247,1251,1256,1300,1304,1308,1313,1317,1321,1325,1329,1334,1338,1342,1346,1350,1354,1359,1403,1407,1412,1416,1420,1424,1428,1432,1436,1440,1445,1449,1453,1457,1502,1506,1511,1515,,1519,1523,1527,1530,1533,1536,1539,1543,1545,1549,1553,1557,,1602,1605,1608,1611,1615,1618,1621,1624,1627,1630,1634,1637,1640,1643,1646,1650,1653,1656,1700,1703,1706,1710,1713,1716,1719,1723,1726,1729,1732,1736,1739,1742,1745,1749,1752,1755,1758,1801,1805,1808,1811,1815,1818,1821,1824,1828,1831,1834,1837,1840,1844,1847,1850,1853,1856,1900,1903,1906,1909,1913,1916,1919,1922,1926,1929,1932,1935,1939,1942,1945,1949,1952,1955,1958,2001,2005,2008,2011,2014,2018,2021,2024,2027,2031,2034,2037,2040,2044,2047,2050,2053,2057,2101,2105,2109,2113,2116,2120,2125,2129,2132,2135,2139,2142,2146,2150,2155,2158,2202,2206,2210,2215,2221,2225,2230,2235,2240,2246,2353,2250,2255,2300,2305,2309,2315,2321,2326,2330,2335,2340,2347,000,006,014,026,031,040,052,119
[山]||  田          町,発,,,436,453,505,517,524,530,537,541,548,556,600,606,610,617,622,627,,631,635,638,640,,645,649,,652,657,700,,703,707,709,713,716,718,721,724,727,730,732,735,738,740,743,746,748,751,754,757,800,803,805,808,811,814,816,819,822,825,828,830,833,836,838,944,841,844,846,849,852,854,857,900,903,906,908,911,914,917,919,922,925,928,931,934,937,941,946,949,953,957,1000,1002,1006,1011,1014,1018,1022,1026,1029,1034,1038,1043,1047,1052,1056,1101,1105,1110,1114,1118,1122,1126,1131,1135,1139,1143,1147,1151,1156,1200,1204,1208,1213,1217,1221,1225,1229,1234,1238,1242,1246,1250,1254,1259,1303,1307,1311,1316,1320,1324,1328,1332,1336,1340,1345,1349,1353,1357,1401,1405,1410,1415,1419,1423,1427,1431,1435,1439,1443,1448,1452,1456,1500,1504,1509,1514,1518,,1522,1526,1530,1533,1536,1539,1542,1545,1548,1552,1556,1600,,1604,1608,1611,1614,1617,1621,1624,1627,1630,1633,1636,1639,1643,1646,1649,1652,1656,1659,1703,1706,1709,1713,1716,1719,1722,1726,1729,1732,1735,1738,1742,1745,1748,1751,1754,1758,1801,1804,1807,1811,1814,1817,1820,1824,1827,1830,1833,1837,1840,1843,1847,1850,1853,1856,1859,1903,1906,1909,1912,1916,1919,1922,1925,1929,1932,1935,1938,1942,1945,1948,1951,1954,1958,2001,2004,2007,2011,2014,2017,2020,2024,2027,2030,2033,2037,2040,2043,2046,2050,2053,2056,2100,2104,2108,2112,2116,2119,2123,2128,2132,2135,2138,2142,2145,2148,2153,2158,2201,2205,2209,2213,2218,2224,2228,2233,2238,2243,2249,2356,2253,2258,2303,2308,2312,2318,2323,2329,2333,2338,2343,2350,003,,017,029,,,,
[山]||  浜    松    町,発,,,438,455,507,519,527,532,540,544,551,558,603,609,613,619,624,629,,633,637,640,643,,647,651,,655,659,702,,706,709,712,715,718,721,723,727,729,732,735,737,740,743,745,748,751,754,756,759,802,805,808,810,813,816,819,822,824,827,830,833,835,838,841,946,843,846,849,851,854,857,900,902,905,908,911,914,916,919,922,924,927,930,933,936,939,943,949,952,955,959,1002,1005,1009,1013,1017,1021,1024,1028,1032,1036,1041,1045,1050,1054,1058,1103,1108,1112,1116,1120,1125,1129,1133,1137,1141,1145,1150,1154,1158,1202,1206,1211,1215,1219,1223,1228,1232,1236,1240,1244,1248,1253,1257,1301,1305,1309,1314,1318,1322,1326,1330,1334,1339,1343,1347,1351,1355,1359,1404,1408,1413,1417,1421,1425,1429,1433,1437,1442,1446,1450,1454,1459,1502,1507,1511,1516,1520,,1524,1528,1532,1536,1538,1541,1544,1548,1551,1554,1558,1602,,1607,1610,1613,1616,1620,1623,1626,1629,1632,1635,1639,1642,1645,1648,1651,1655,1658,1702,1705,1708,1712,1715,1718,1721,1725,1728,1731,1734,1737,1741,1744,1747,1750,1754,1757,1800,1803,1806,1810,1813,1816,1820,1823,1826,1829,1833,1836,1839,1842,1846,1849,1852,1855,1859,1902,1905,1908,1911,1915,1918,1921,1925,1928,1931,1934,1938,1941,1944,1947,1950,1954,1957,2000,2003,2006,2010,2013,2016,2019,2023,2026,2029,2032,2036,2039,2042,2045,2049,2052,2055,2059,2102,2106,2111,2115,2118,2121,2125,2130,2134,2137,2141,2144,2147,2151,2155,2200,2203,2207,2211,2215,2220,2226,2231,2235,2240,2246,2251,2358,2256,2300,2305,2310,2314,2320,2326,2331,2335,2341,2345,2352,006,,019,031,,,,
[山]||  新          橋,発,,,440,457,509,522,529,534,542,546,553,600,605,611,615,621,626,631,,635,639,642,645,,649,653,,657,701,704,,708,711,714,717,720,723,725,729,732,734,737,740,742,745,748,750,753,756,759,801,804,807,810,813,815,818,821,824,827,829,832,835,838,840,843,948,846,848,851,854,856,859,902,905,907,910,913,916,918,921,924,926,930,932,935,938,942,945,951,954,957,1001,1004,1007,1011,1015,1019,1023,1026,1030,1034,1039,1043,1048,1052,1056,1100,1105,1110,1114,1119,1123,1127,1131,1135,1139,1144,1148,1152,1156,1200,1204,1209,1213,1218,1221,1225,1230,1234,1238,1242,1246,1250,1255,1259,1303,1307,1311,1316,1320,1324,1328,1333,1337,1341,1345,1349,1353,1358,1402,1406,1410,1415,1419,1423,1427,1431,1435,1439,1444,1448,1452,1456,1501,1504,1509,1513,1518,1522,,1527,1530,1534,1538,1540,1544,1546,1550,1553,1556,1600,1604,,1609,1612,1615,1619,1622,1625,1628,1631,1634,1638,1641,1644,1647,1651,1654,1657,1700,1704,1707,1710,1714,1717,1720,1723,1727,1730,1733,1736,1740,1743,1746,1749,1753,1756,1759,1802,1806,1809,1812,1815,1819,1822,1825,1828,1832,1835,1838,1841,1844,1848,1851,1854,1857,1901,1904,1907,1910,1913,1917,1920,1923,1927,1930,1933,1936,1940,1943,1946,1949,1953,1956,1959,2002,2006,2009,2012,2015,2018,2022,2025,2028,2032,2035,2038,2041,2045,2048,2051,2054,2057,2101,2104,2108,2113,2117,2120,2123,2127,2132,2136,2139,2143,2146,2149,2153,2158,2202,2206,2209,2213,2218,2223,2228,2233,2237,2243,2248,2253,000,2258,2302,2308,2312,2317,2322,2328,2333,2338,2343,2348,2354,008,,021,033,,,,
