FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,371G,451G,473G,401G,471G,551G,573G,575G,501G,503G,505G,571G,507G,609G,651G,611G,613G,673G,615G,675G,617G,601G,619G,603G,621G,605G,623G,671G,625G,707G,727G,709G,729G,751G,731G,711G,733G,713G,735G,773G,737G,715G,739G,775G,717G,701G,719G,703G,721G,705G,905G,723G,871G,825G,807G,827G,927G,809G,829G,851G,831G,811G,833G,813G,835G,873G,837G,815G,839G,875G,817G,801G,819G,803G,821G,923G,971G,925G,907G,909G,929G,951G,911G,933G,935G,973G,937G,915G,975G,917G,901G,1003G,1021G,1071G,1025G,1007G,1009G,1029G,1011G,1033G,1035G,1073G,1037G,1015G,1017G,1101G,1103G,1121G,1171G,1125G,1107G,1109G,1129G,1111G,1133G,1135G,1173G,1137G,1115G,1117G,1201G,1203G,1221G,1271G,1225G,1207G,1209G,1229G,1211G,1233G,1235G,1273G,1237G,1215G,1317G,1301G,1303G,1321G,1371G,1325G,1307G,1309G,1329G,1311G,1333G,1335G,1373G,1337G,1415G,1417G,1401G,1403G,1421G,1471G,1425G,1407G,1409G,1429G,1411G,1433G,1435G,1473G,1437G,1515G,1517G,1501G,1503G,1521G,1571G,1525G,1507G,1509G,1529G,1511G,1533G,1541G,1535G,1573G,1637G,1643G,1615G,1617G,1645G,1601G,1603G,1647G,1621G,1671G,1625G,1607G,1609G,1629G,1649G,1611G,1633G,1641G,1735G,1773G,1737G,1743G,1715G,1717G,1745G,1701G,1703G,1747G,1721G,1771G,1725G,1707G,1709G,1729G,1749G,1711G,1733G,1841G,1835G,1873G,1837G,1843G,1815G,1817G,1845G,1801G,1803G,1847G,1821G,1871G,1825G,1807G,1809G,1829G,1849G,1911G,1933G,1941G,1935G,1973G,1937G,1943G,1915G,1917G,1945G,1901G,1903G,1947G,1921G,1971G,1925G,1907G,1909G,1929G,2049G,2011G,2033G,2041G,2035G,2073G,2037G,2043G,2015G,2017G,2045G,2001G,2003G,2047G,2021G,2071G,2025G,2007G,2109G,2129G,2111G,2133G,2141G,2135G,2173G,2137G,2143G,2115G,2117G,2145G,2101G,2147G,2121G,2171G,2125G,2207G,2209G,2229G,2211G,2241G,2341G,2235G,2273G,2237G,2243G,2217G,2317G,2245G,2345G,2201G,2301G,2247G,2447G,2221G,2371G,2471G,2325G,2307G,2407G,2309G,2329G,2429G,2311G,2335G,2435G,2337G,2343G
列車種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[山]||■<大        崎>,着,,,,,445,503,518,,531,,,550,,,606,,,622,,631,,637,,642,,648,,654,,659,,705,,710,,715,,720,,726,,731,,736,740,742,745,748,751,754,900,757,759,802,805,808,913,810,813,816,819,821,824,827,829,832,835,837,840,843,845,848,851,854,857,902,905,908,910,916,919,922,927,930,935,938,941,943,948,951,954,1000,1003,1009,1013,1016,1020,1025,1030,1034,1038,1042,1045,1049,1055,1100,1104,1108,1112,1116,1121,1125,1129,1133,1137,1142,1146,1150,1154,1158,1202,1206,1211,1215,1219,1223,1228,1232,1236,1240,1244,1248,1253,1257,1301,1305,1309,1314,1318,1322,1326,1331,1335,1339,1343,1347,1351,1356,1400,1404,1408,1412,1416,1420,1425,1429,1434,1437,1442,1446,1450,1454,1458,1502,1507,1511,1515,1519,1524,1528,1532,1537,1540,1545,1549,,1553,1557,1601,,1606,1610,,1615,1619,,1624,1629,1633,1636,1640,1643,,1648,1652,1656,1659,1702,1706,1709,1712,1716,1719,1722,1725,1728,1732,1735,1738,1742,1745,1748,1752,1755,1758,1801,1804,1808,1811,1814,1817,1821,1824,1827,1830,1833,1837,1840,1843,1847,1850,1853,1856,1859,1903,1906,1909,1912,1916,1919,1922,1925,1928,1932,1935,1938,1941,1945,1948,1951,1955,1958,2001,2004,2008,2011,2014,2017,2021,2024,2027,2030,2033,2037,2040,2043,2046,2050,2053,2056,2059,2104,2109,2112,2116,2119,2122,2125,2128,2132,2135,2139,2142,2148,2151,2154,2158,2202,2206,2210,2215,2221,2327,2224,2227,2231,2234,2240,2346,2244,2351,2249,2356,2253,2359,2257,2301,005,2304,2307,012,2313,2317,023,2323,2331,041,2337,2341
[山]||■<大        崎>,発,,,,427,445,504,519,,532,539,546,551,557,602,608,612,618,624,628,632,635,638,640,644,646,649,652,655,657,701,703,706,708,711,714,717,719,722,724,727,730,733,735,738,741,743,746,749,752,755,901,758,800,803,806,809,914,811,814,817,820,823,825,828,831,833,836,839,841,844,847,849,852,855,858,904,906,909,912,917,920,924,928,932,936,939,942,946,949,953,957,1001,1005,1009,1014,1018,1022,1026,1031,1035,1039,1043,1047,1051,1056,1100,1104,1109,1113,1117,1121,1126,1130,1134,1138,1142,1146,1151,1155,1159,1203,1207,1212,1216,1220,1224,1229,1233,1237,1241,1245,1249,1254,1258,1302,1306,1310,1314,1318,1323,1327,1332,1335,1340,1344,1348,1352,1356,1400,1405,1409,1413,1417,1422,1426,1430,1435,1438,1443,1447,1451,1455,1459,1503,1507,1512,1516,1520,1525,1529,1533,1538,1541,1545,1549,1552,1555,1559,1602,1605,1608,1611,1614,1617,1620,1623,1626,1630,1634,1638,1641,1644,1647,1650,1653,1657,1700,1704,1707,1710,1713,1717,1720,1723,1726,1729,1733,1736,1739,1743,1746,1749,1752,1755,1759,1802,1805,1808,1812,1815,1818,1821,1824,1828,1831,1834,1837,1841,1844,1847,1851,1854,1857,1900,1904,1907,1910,1913,1917,1920,1923,1926,1929,1933,1936,1939,1942,1946,1949,1952,1955,1959,2002,2005,2008,2012,2015,2018,2021,2024,2028,2031,2034,2037,2041,2044,2047,2050,2054,2058,2102,2105,2110,2113,2117,2120,2123,2126,2129,2133,2136,2140,2144,2149,2152,2156,2159,2203,2208,2212,2217,2221,2328,2225,2229,2232,2236,2241,2347,2245,2352,2250,2356,2254,000,2258,2301,006,2305,2308,013,2314,2318,024,2324,2332,042,2338,2342
[山]||  五    反    田,発,,,,429,447,506,520,,533,541,548,553,559,604,609,614,620,625,630,633,637,640,642,645,648,651,654,657,659,702,705,707,710,713,716,718,721,724,726,729,732,734,737,740,742,745,748,751,754,756,902,759,802,805,808,810,916,813,816,819,822,824,827,830,832,835,838,840,843,846,848,851,854,857,900,905,908,910,913,919,922,925,929,933,937,940,944,947,951,954,958,1003,1007,1011,1015,1019,1024,1028,1033,1037,1041,1045,1049,1053,1058,1102,1106,1110,1114,1119,1123,1127,1131,1136,1140,1144,1148,1152,1156,1201,1205,1209,1213,1217,1222,1226,1230,1234,1239,1243,1247,1251,1255,1259,1303,1308,1312,1316,1320,1324,1329,1333,1337,1341,1345,1350,1354,1358,1402,1406,1411,1415,1419,1423,1428,1432,1436,1440,1444,1448,1453,1457,1501,1505,1509,1513,1517,1522,1526,1531,1535,1539,1543,1547,1551,1554,1557,1601,1604,1607,1610,1613,1616,1618,1622,1625,1628,1632,1636,1640,1643,1646,1649,1652,1655,1659,1702,1705,1709,1712,1715,1718,1721,1725,1728,1731,1734,1738,1741,1744,1748,1751,1754,1757,1801,1804,1807,1810,1814,1817,1820,1823,1826,1830,1833,1836,1839,1843,1846,1849,1852,1856,1859,1902,1905,1909,1912,1915,1918,1921,1925,1928,1931,1934,1938,1941,1944,1947,1951,1954,1957,2001,2004,2007,2010,2014,2017,2020,2023,2026,2030,2033,2036,2039,2043,2046,2049,2052,2056,2059,2103,2107,2112,2115,2118,2121,2125,2128,2131,2134,2138,2142,2146,2150,2154,2157,2201,2205,2209,2214,2218,2223,2330,2227,2230,2234,2238,2243,2349,2247,2354,2252,2358,2256,002,2300,2303,008,2307,2310,015,2315,2320,026,2326,2334,043,2340,2344
[山]||  目          黒,発,,,,432,449,508,523,,535,544,550,555,601,607,612,616,622,627,632,636,639,642,645,647,650,653,656,659,702,704,707,709,712,715,718,720,723,726,728,731,734,736,739,742,744,747,750,753,756,759,905,801,804,807,810,812,918,815,818,821,824,826,829,832,834,837,840,842,845,848,850,853,856,859,902,907,910,913,915,921,924,927,932,935,940,943,946,949,953,957,1000,1005,1009,1013,1018,1021,1026,1030,1035,1039,1043,1047,1051,1055,1100,1104,1108,1113,1117,1121,1125,1130,1134,1138,1142,1146,1150,1155,1159,1203,1207,1211,1215,1219,1224,1228,1232,1236,1241,1245,1249,1253,1257,1301,1306,1310,1314,1318,1322,1327,1331,1336,1339,1344,1348,1352,1356,1400,1404,1408,1413,1417,1421,1426,1430,1434,1438,1442,1446,1450,1455,1459,1503,1507,1511,1516,1520,1524,1528,1533,1537,1541,1545,1549,1553,1556,1559,1603,1606,1609,1612,1615,1618,1621,1624,1627,1630,1634,1638,1642,1645,1648,1651,1654,1657,1701,1704,1708,1711,1714,1717,1721,1724,1727,1730,1733,1737,1740,1743,1747,1750,1753,1756,1759,1803,1806,1809,1812,1816,1819,1822,1825,1828,1832,1835,1838,1841,1845,1848,1851,1855,1858,1901,1904,1908,1911,1914,1917,1921,1924,1927,1930,1933,1937,1940,1943,1946,1950,1953,1956,1959,2003,2006,2009,2012,2016,2019,2022,2025,2028,2032,2035,2038,2041,2045,2048,2051,2054,2058,2102,2106,2109,2114,2117,2121,2124,2127,2130,2133,2137,2140,2144,2148,2153,2156,2200,2203,2207,2212,2216,2221,2225,2332,2229,2233,2236,2240,2245,2351,2249,2356,2254,000,2258,004,2302,2305,010,2309,2312,017,2318,2322,028,2328,2336,046,2342,2346
[山]||  恵    比    寿,発,,,,434,452,511,525,,538,546,553,558,603,609,614,619,625,630,635,638,642,644,647,650,653,656,658,701,704,707,710,712,715,717,720,723,726,728,731,734,736,739,742,744,747,750,753,755,758,801,907,804,807,809,812,815,921,818,821,823,826,829,832,834,837,840,842,845,848,850,853,856,859,901,904,910,913,915,918,923,927,930,934,938,942,945,948,952,956,959,1003,1008,1011,1016,1020,1024,1028,1033,1038,1042,1046,1050,1054,1058,1103,1107,1111,1115,1119,1124,1128,1132,1136,1141,1145,1149,1153,1157,1201,1205,1210,1214,1218,1222,1226,1231,1235,1239,1243,1247,1252,1256,1300,1304,1308,1313,1317,1321,1325,1329,1334,1338,1342,1346,1350,1355,1359,1403,1407,1411,1415,1419,1424,1428,1433,1437,1441,1445,1449,1453,1457,1501,1506,1510,1514,1518,1522,1527,1531,1536,1540,1544,1548,1552,1556,1559,1602,1605,1609,1612,1615,1617,1620,1623,1627,1630,1633,1637,1641,1644,1648,1651,1654,1657,1700,1704,1707,1710,1714,1717,1720,1723,1726,1730,1733,1736,1739,1743,1746,1749,1752,1756,1759,1802,1805,1809,1812,1815,1818,1821,1825,1828,1831,1834,1838,1841,1844,1847,1851,1854,1857,1901,1904,1907,1910,1914,1917,1920,1923,1926,1930,1933,1936,1939,1943,1946,1949,1952,1956,1959,2002,2005,2009,2012,2015,2018,2021,2025,2028,2031,2034,2038,2041,2044,2047,2050,2054,2057,2100,2104,2108,2112,2117,2120,2123,2126,2130,2133,2136,2139,2143,2146,2151,2155,2159,2202,2206,2210,2214,2219,2223,2228,2335,2232,2235,2239,2243,2248,2353,2252,2358,2257,003,2301,007,2305,2308,013,2312,2315,020,2320,2325,030,2331,2339,048,2344,2349
[山]||  渋          谷,発,,,,437,454,513,528,,541,549,555,600,606,612,617,622,627,633,637,641,644,647,650,653,655,658,701,704,707,710,712,715,717,720,723,726,728,731,734,736,739,742,744,747,750,752,755,758,801,804,910,807,809,812,815,818,923,820,823,826,829,832,834,837,840,842,845,848,850,853,856,858,901,904,907,913,915,918,921,926,929,933,937,941,945,948,951,955,958,1002,1006,1010,1014,1018,1023,1027,1031,1035,1040,1044,1048,1052,1056,1100,1105,1109,1113,1118,1122,1126,1130,1135,1139,1143,1147,1151,1155,1200,1204,1208,1212,1216,1221,1225,1229,1233,1238,1242,1246,1250,1254,1258,1303,1307,1311,1315,1319,1323,1327,1332,1336,1341,1344,1349,1353,1357,1401,1405,1409,1414,1418,1422,1426,1431,1435,1439,1444,1447,1452,1456,1500,1504,1508,1512,1516,1521,1525,1529,1534,1538,1542,1547,1550,1554,1558,1602,1604,1608,1612,1615,1617,1620,1623,1626,1630,1632,1636,1640,1643,1647,1650,1654,1657,1700,1703,1707,1710,1713,1716,1719,1723,1726,1729,1732,1736,1739,1742,1745,1749,1752,1755,1759,1802,1805,1808,1812,1815,1818,1821,1824,1828,1831,1834,1837,1841,1844,1847,1850,1854,1857,1900,1903,1907,1910,1913,1916,1919,1923,1926,1929,1932,1936,1939,1942,1945,1948,1952,1955,1958,2002,2005,2008,2012,2015,2018,2021,2024,2028,2031,2034,2037,2041,2044,2047,2050,2053,2057,2100,2103,2107,2111,2115,2119,2123,2126,2129,2132,2136,2139,2142,2145,2150,2154,2158,2202,2205,2209,2213,2217,2222,2227,2231,2338,2235,2239,2242,2246,2250,2356,2255,001,2300,007,2304,010,2308,2311,016,2315,2318,023,2323,2328,033,2334,2342,052,2347,2351
