FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
上り

列車番号,,472S,446S,562S,564S,2201M,2001M,524S,590S,2203M,2003M,654S,610S,2205M,2005M,666S,632S,616S,600S,2207M,2007M,630S,636S,778S,712S,2009M,2524Y,734S,720S,702S,2526Y,738S,714S,3724M,772S,2528Y,858S,3726M,804S,2013M,852S,2211M,874S,828S,822S,3728M,3730M,850H,844S,836H,950S,2215M,2015M,970S,3732M,906S,966S,924S,940S,994S,2534Y,960S,942S,1036H,4524Y,2219M,2019M,1086S,2217M,1080S,1042H,1016S,1082S,4526Y,1174H,2223M,2023M,1142H,2221M,1112S,2538Y,1190S,1120S,1188S,2225M,2025M,4528Y,1274H,2227M,2027M,1254S,1242H,2540Y,1208S,1258S,1236S,4530Y,1374H,2231M,2031M,1350S,2229M,1342H,2542Y,1314S,1324S,1372S,2233M,2033M,4532Y,1474H,2235M,2035M,1404S,1442H,2544Y,1422S,1480S,1470S,2237M,2037M,4534Y,1574H,2239M,2039M,1542S,1512S,2546Y,1594S,1542H,2241M,2041M,4536Y,1602S,1668S,1660S,2243M,2043M,1676S,1652S,2548Y,1608S,1608S,1634S,2245M,2045M,2550Y,1742H,1782S,1790S,1764S,2552Y,1746S,1788S,1788S,1710S,2247M,1732S,2249M,2049M,1850S,2554Y,2251M,2051M,1820S,1830S,1854S,2556Y,1816S,1804S,1936S,2558Y,2253M,2053M,1958S,1972S,1928S,2560Y,1944S,1938S,1914S,2024S,2562Y,2002S,2062S,2048S,2076S,2184S,2132S,2564Y,2180S,2190S,2194S,2168S,2106S,2212S,2234S,3832M,2220S,2352S
列車種別,,普通,普通,普通,普通,特急,特急,普通,普通,特急,特急,普通,普通,特急,特急,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,普通,ﾗｲﾅｰ,普通,普通,普通,ﾗｲﾅｰ,普通,特急,普通,特急,普通,普通,普通,ﾗｲﾅｰ,ﾗｲﾅｰ,普通,普通,普通,普通,特急,特急,普通,ﾗｲﾅｰ,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,特急,特急,普通,特急,普通,普通,普通,普通,快速,普通,特急,特急,普通,特急,普通,普通,普通,普通,普通,特急,特急,快速,普通,特急,特急,普通,普通,普通,普通,普通,普通,快速,普通,特急,特急,普通,特急,普通,普通,普通,普通,普通,特急,特急,快速,普通,特急,特急,普通,普通,普通,普通,普通,普通,特急,特急,快速,普通,特急,特急,普通,普通,普通,普通,普通,特急,特急,快速,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,普通,特急,特急,普通,普通,特急,特急,普通,普通,普通,普通,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,成田エクスプレス,成田エクスプレス,,,成田エクスプレス,成田エクスプレス,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,,,,,,,,湘南ライナー,,,,湘南ライナー,,成田エクスプレス,,成田エクスプレス,,,,湘南ライナー,湘南ライナー,,,,,成田エクスプレス,成田エクスプレス,,湘南ライナー,,,,,,,,,,,成田エクスプレス,成田エクスプレス,,成田エクスプレス,,,,,,,成田エクスプレス,成田エクスプレス,,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,成田エクスプレス,成田エクスプレス,,,,,,,,,成田エクスプレス,成田エクスプレス,,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,成田エクスプレス,成田エクスプレス,,,,,,,成田エクスプレス,成田エクスプレス,,,成田エクスプレス,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,,,成田エクスプレス,成田エクスプレス,,,,,,,,,,,成田エクスプレス,,成田エクスプレス,成田エクスプレス,,,成田エクスプレス,成田エクスプレス,,,,,,,,,成田エクスプレス,成田エクスプレス,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,1,1,,,3,3,,,5,5,,,,,7,7,,,,,9,,,,,,,,4,,,,6,,13,,11,,,,8,10,,,,,15,15,,12,,,,,,,,,,,19,19,,17,,,,,,,23,23,,21,,,,,,25,25,,,27,27,,,,,,,,,31,31,,29,,,,,,33,33,,,35,35,,,,,,,37,37,,,39,39,,,,,,41,41,,,,,43,43,,,,,,,45,45,,,,,,,,,,,47,,49,49,,,51,51,,,,,,,,,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,号,号,,,号,号,,,号,号,,,,,号,号,,,,,号,,,,,,,,号,,,,号,,号,,号,,,,号,号,,,,,号,号,,号,,,,,,,,,,,号,号,,号,,,,,,,号,号,,号,,,,,,号,号,,,号,号,,,,,,,,,号,号,,号,,,,,,号,号,,,号,号,,,,,,,号,号,,,号,号,,,,,,号,号,,,,,号,号,,,,,,,号,号,,,,,,,,,,,号,,号,号,,,号,号,,,,,,,,,号,号,,,,,,,,,,,,,,,,,,,,,,,,,,
久里浜,発,431,447,507,523,||,,537,551,||,,608,,||,,623,,636,,||,,650,,703,,,,717,,,,733,,||,748,,802,||,,,815,||,,,828,||,||,845,,858,,||,,,||,916,,,,932,,946,,1001,,||,,1014,||,,1026,1045,,,1104,||,,1124,||,,,,1144,,||,,,1204,||,,,1224,,,1244,,,1304,||,,,||,1324,,,1344,,||,,,1404,||,,,1424,,,1444,,||,,,1505,||,,,1525,,,1545,||,,,1607,,,||,,,1632,,1645,1645,,||,,,1701,1714,,1727,,,,,1744,||,,||,,1800,,||,,1814,,1831,,,1845,1900,,||,,1914,,1926,,1945,,1959,2014,,2028,,,2043,2101,,,2114,2131,,,2152,2212,2239,,2255,2311
衣笠,発,437,452,512,528,||,,542,557,||,,614,,||,,629,,641,,||,,656,,709,,,,723,,,,739,,||,753,,808,||,,,821,||,,,834,||,||,851,,903,,||,,,||,922,,,,938,,952,,1007,,||,,1019,||,,1032,1051,,,1109,||,,1130,||,,,,1150,,||,,,1209,||,,,1229,,,1250,,,1309,||,,,||,1329,,,1350,,||,,,1409,||,,,1429,,,1450,,||,,,1510,||,,,1531,,,1551,||,,,1613,,,||,,,1638,,1651,1651,,||,,,1707,1720,,1733,,,,,1750,||,,||,,1805,,||,,1819,,1837,,,1850,1905,,||,,1919,,1932,,1951,,2004,2020,,2033,,,2049,2106,,,2119,2136,,,2158,2218,2244,,2301,2316
横須賀,発,441,457,517,533,||,,547,601,||,,618,,||,,635,628,646,,||,,701,653,713,707,,,728,719,,,744,735,||,758,,812,||,,,826,||,,,838,||,||,855,,908,,||,,,||,927,,,,943,,956,,1012,,||,,1024,||,,1037,1056,,,1114,||,,1134,||,,,,1155,,||,,,1214,||,,,1234,,,1255,,,1314,||,,,||,1334,,,1355,,||,,,1414,||,,,1434,,,1454,,||,,,1515,||,,,1535,,,1556,||,,,1618,,1610,||,,,1643,,1655,1655,,||,,,1712,1724,,1738,,,,,1755,||,,||,,1810,,||,,1824,,1841,,1833,1855,1910,,||,,1924,,1937,,1956,1948,2010,2024,,2038,2031,,2053,2111,2102,,2124,2141,2132,2149,2202,2223,2249,,2305,2321
田浦,発,444,500,520,536,||,,550,604,||,,622,,||,,638,631,649,,||,,704,656,717,711,,,731,723,,,747,739,||,801,,816,||,,,829,||,,,841,||,||,858,,911,,||,,,||,930,,,,946,,959,,1015,,||,,1027,||,,1040,1059,,,1117,||,,1137,||,,,,1158,,||,,,1217,||,,,1237,,,1258,,,1317,||,,,||,1337,,,1358,,||,,,1417,||,,,1437,,,1457,,||,,,1518,||,,,1538,,,1559,||,,,1621,,1613,||,,,1646,,1658,1658,,||,,,1715,1727,,1741,,,,,1758,||,,||,,1813,,||,,1827,,1844,,1836,1858,1913,,||,,1927,,1940,,1959,1951,2013,2027,,2041,2034,,2056,2114,2105,,2127,2144,2135,2152,2205,2226,2252,,2308,2324
東逗子,発,448,504,524,540,||,,554,608,||,,626,,||,,642,635,653,,||,,708,700,721,715,,,735,727,,,751,743,||,805,,820,||,,,833,||,,,845,||,||,902,,915,,||,,,||,934,,,,950,,1003,,1019,,||,,1031,||,,1044,1102,,,1121,||,,1141,||,,,,1202,,||,,,1221,||,,,1241,,,1302,,,1321,||,,,||,1341,,,1402,,||,,,1421,||,,,1441,,,1501,,||,,,1522,||,,,1542,,,1602,||,,,1625,,1616,||,,,1650,,1702,1702,,||,,,1719,1731,,1744,,,,,1801,||,,||,,1817,,||,,1831,,1848,,1840,1902,1917,,||,,1931,,1944,,2003,1955,2016,2031,,2045,2038,,2100,2118,2109,,2131,2148,2139,2156,2209,2229,2256,,2312,2328
逗子,着,452,507,527,543,||,,557,612,||,,629,,||,,645,639,657,,||,,712,703,724,718,,,739,730,,,755,746,||,809,,823,||,,,836,||,,,849,||,||,906,,918,,||,,,||,937,,,,953,,1007,,1022,,||,,1034,||,,1047,1106,,,1124,||,,1145,||,,,,1205,,||,,,1224,||,,,1244,,,1305,,,1324,||,,,||,1344,,,1405,,||,,,1424,||,,,1444,,,1505,,||,,,1525,||,,,1546,,,1606,||,,,1628,,1620,||,,,1653,,1706,1706,,||,,,1722,1735,,1748,,,,,1805,||,,||,,1820,,||,,1834,,1852,,1843,1905,1920,,||,,1934,,1947,,2006,1959,2020,2035,,2048,2042,,2104,2121,2113,,2134,2151,2143,2159,2213,2233,2259,,2316,2331
