FileType,OuDia.JikokuhyouCsv.1
[平日]2018.3/17改正
下り

列車番号,,455S,417S,437S,513S,579S,673S,611S,515S,635S,553S,621S,623S,505S,675S,759S,607S,3835M,651S,695S,701S,771S,645S,661S,851H,729S,725S,641S,837H,719S,687S,811S,743S,877S,769S,781S,867S,2002M,2202M,817S,2527Y,937H,831S,2004M,2204M,747S,883S,2531Y,903S,943H,2006M,2206M,913S,921S,2008M,2208M,891S,1075H,989S,2535Y,2010M,2210M,1055S,1043H,2537Y,1059S,2212M,909S,1175H,937S,2539Y,2014M,2214M,1151S,1143H,4521Y,1125S,2016M,2216M,1015S,1275H,2541Y,1073S,2218M,1205S,1243H,4523Y,1281S,2020M,2220M,1123S,1375H,2543Y,1171S,2222M,1313S,1343H,4525Y,1243S,2024M,2224M,1295S,1475H,1261S,2545Y,2026M,2226M,1453S,4527Y,1409S,1543H,2228M,1503S,1383S,2547Y,1435S,2030M,2230M,1569S,1565S,1491S,4529Y,1551S,2032M,2232M,1489S,1643H,1421S,2549Y,1655S,1611S,2234M,1605S,1617S,4531Y,1537S,2036M,2236M,1559S,1729S,2551Y,1733S,2038M,2238M,1645S,1673S,1615S,4533Y,1739S,2040M,2240M,1625S,1757S,2553Y,3721M,1803S,2042M,1877S,1863S,2555Y,1885S,2044M,2244M,1949S,1781S,1833S,2557Y,1991S,2046M,2246M,1807S,1895S,2048M,1813S,1969S,1923S,2031S,2561Y,2050M,2250M,1935S,2021S,1953S,2009S,2137S,2052M,2252M,2061S,2089S,2089S,2567Y,2129S,2165S,2054M,2254M,2569Y,2245S,2171S,2263S,2277S,2333S
列車種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,特急,特急,普通,普通,特急,特急,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,特急,普通,普通,普通,普通,特急,特急,普通,普通,快速,普通,特急,特急,普通,普通,普通,普通,特急,普通,普通,快速,普通,特急,特急,普通,普通,普通,普通,特急,普通,普通,快速,普通,特急,特急,普通,普通,普通,普通,特急,特急,普通,快速,普通,普通,特急,普通,普通,普通,普通,特急,特急,普通,普通,普通,快速,普通,特急,特急,普通,普通,普通,普通,普通,普通,特急,普通,普通,快速,普通,特急,特急,普通,普通,普通,普通,特急,特急,普通,普通,普通,快速,普通,特急,特急,普通,普通,普通,ﾗｲﾅｰ,普通,特急,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,特急,特急,普通,普通,特急,普通,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,普通,特急,特急,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,,,,,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,,湘南ライナー,,成田エクスプレス,,,,,成田エクスプレス,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,,,,成田エクスプレス,成田エクスプレス,,,,,,,成田エクスプレス,成田エクスプレス,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,4,4,,,,,,6,6,,,8,8,,,,,10,10,,,,,12,,,,,14,14,,,,,16,16,,,,,18,,,,,20,20,,,,,22,,,,,24,24,,,,,26,26,,,,,28,,,,,30,30,,,,,,32,32,,,,,,,34,,,,,36,36,,,,,38,38,,,,,,40,40,,,,1,,42,,,,,44,44,,,,,,46,46,,,48,,,,,,50,50,,,,,,52,52,,,,,,,54,54,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,号,号,,,,,号,号,,,,,,号,号,,,号,号,,,,,号,号,,,,,号,,,,,号,号,,,,,号,号,,,,,号,,,,,号,号,,,,,号,,,,,号,号,,,,,号,号,,,,,号,,,,,号,号,,,,,,号,号,,,,,,,号,,,,,号,号,,,,,号,号,,,,,,号,号,,,,号,,号,,,,,号,号,,,,,,号,号,,,号,,,,,,号,号,,,,,,号,号,,,,,,,号,号,,,,,,
東京,発,,455,524,545,,601,,615,,633,,644,657,711,,725,,735,741,746,750,755,803,,809,812,817,,823,827,833,837,843,851,856,901,905,908,913,||,,924,929,932,936,943,||,950,,955,958,1004,1010,1019,1021,1025,,1037,||,1046,1048,1052,,||,1108,1118,1124,,1137,||,1146,1148,1153,,||,1208,1216,1218,1224,,||,1238,1247,1253,,||,1308,1316,1318,1324,,||,1338,1348,1353,,||,1408,1416,1418,1424,,1436,||,1446,1448,1452,||,1508,,1518,,1524,||,1538,1545,1547,,1552,1602,||,1610,1616,1618,1623,,1634,||,1641,,1648,1653,1703,||,1713,1719,1723,1726,1737,||,1741,1746,1749,1753,1803,1808,||,1815,1820,1823,1826,1838,||,||,1843,1850,1858,1904,||,1914,1919,1922,1925,1929,1937,||,1948,1951,1953,1957,2006,2015,2018,2028,2038,2048,||,2053,2055,2100,2112,2124,2135,2140,2145,2148,2156,2208,2208,||,2220,2230,2239,2241,||,2247,2304,2322,2335,2350
新橋,発,,458,527,548,,604,,618,,636,,647,700,715,,728,,738,744,749,753,758,806,,812,815,820,,826,830,836,840,846,854,859,904, ﾚ, ﾚ,916,||,,927, ﾚ, ﾚ,939,946,||,953,, ﾚ, ﾚ,1007,1013, ﾚ, ﾚ,1028,,1040,||, ﾚ, ﾚ,1056,,||,1111, ﾚ,1127,,1140,||, ﾚ, ﾚ,1156,,||,1211, ﾚ, ﾚ,1227,,||,1241, ﾚ,1256,,||,1311, ﾚ, ﾚ,1327,,||,1341, ﾚ,1356,,||,1411, ﾚ, ﾚ,1427,,1439,||, ﾚ, ﾚ,1455,||,1511,, ﾚ,,1527,||,1541, ﾚ, ﾚ,,1555,1605,||,1613, ﾚ, ﾚ,1626,,1637,||,1644,, ﾚ,1656,1706,||,1716, ﾚ, ﾚ,1729,1740,||,1744, ﾚ, ﾚ,1756,1806,1811,||,1818, ﾚ, ﾚ,1829,1841,||,||,1846, ﾚ,1901,1907,||,1917, ﾚ, ﾚ,1928,1932,1940,||,1951, ﾚ, ﾚ,2000,2009, ﾚ,2021,2031,2041,2051,||, ﾚ, ﾚ,2103,2115,2127,2138,2143, ﾚ, ﾚ,2159,2211,2211,||,2223,2233, ﾚ, ﾚ,||,2250,2307,2325,2338,2353
品川,発,430,504,533,554,,609,,623,,642,,653,705,720,,734,,743,750,754,800,804,812,,817,820,827,,832,835,842,848,854,859,907,909,913, ﾚ,921,||,,932,937, ﾚ,947,952,||,958,,1003, ﾚ,1013,1019,1027, ﾚ,1034,,1046,||,1054, ﾚ,1101,,||,1117,1124,1133,,1146,||,1153, ﾚ,1201,,||,1216,1223, ﾚ,1232,,||,1246,1253,1301,,||,1316,1323, ﾚ,1333,,||,1346,1354,1402,,||,1416,1423, ﾚ,1432,,1446,||,1453, ﾚ,1501,||,1517,,1525,,1532,||,1546,1552, ﾚ,,1600,1611,||,1619,1623, ﾚ,1632,,1642,||,1651,,1655,1701,1713,||,1723,1727, ﾚ,1735,1747,||,1749,1753, ﾚ,1802,1814,1819,||,1824,1828, ﾚ,1835,1847,||,1839,1852,1857,1907,1912,||,1923,1927, ﾚ,1933,1939,1946,||,1956,1959, ﾚ,2006,2015,2023,2026,2037,2046,2056,||,2100, ﾚ,2108,2121,2133,2143,2149,2152, ﾚ,2204,2217,2217,||,2228,2238,2246, ﾚ,||,2256,2312,2331,2343,2359
西大井,発,435,508,537,558,,614,,627,,646,,657,710,724,,738,,748,755,758,805,808,817,,,825,831,,837,840,847,853,859,903,912,, ﾚ,||,926,||,,937, ﾚ,||,952,956,||,1003,, ﾚ,||,1017,1024, ﾚ,||,1038,,1051,||, ﾚ,||,1105,,||,1122,||,1137,,1150,||, ﾚ,||,1205,,||,1221, ﾚ,||,1236,,||,1250,||,1305,,||,1320, ﾚ,||,1338,,||,1350,||,1406,,||,1420, ﾚ,||,1436,,1450,||, ﾚ,||,1505,||,1521,,||,,1537,||,1550, ﾚ,||,,1605,1616,||,1624, ﾚ,||,1636,,1647,||,1656,,||,1706,1718,||,1728, ﾚ,||,1740,1752,||,, ﾚ,||,1807,1819,1824,||,1829, ﾚ,||,1840,1852,||, ﾚ,1857, ﾚ,1912,1917,||,1927, ﾚ,||,1937,1943,1950,||,2001, ﾚ,||,2010,2019, ﾚ,2031,2042,2051,2101,||, ﾚ,||,2113,2125,2137,2148,2153, ﾚ,||,2209,2221,2221,||,2233,2243, ﾚ,||,||,2300,2317,2335,2348,003
武蔵小杉,発,440,514,543,604,,619,,633,,652,,703,715,730,,744,,753,800,804,810,814,822,,,830,837,,843,845,852,858,904,909,917,,923,||,931,||,,942,948,||,957,1002,||,1008,,1015,||,1023,1029,1039,||,1044,,1056,||,1103,||,1111,,||,1127,||,1143,,1156,||,1203,||,1211,,||,1226,1233,||,1242,,||,1256,||,1311,,||,1326,1333,||,1343,,||,1356,||,1412,,||,1426,1433,||,1442,,1456,||,1503,||,1511,||,1527,,||,,1542,||,1556,1603,||,,1610,1621,||,1629,1633,||,1642,,1652,||,1701,,||,1712,1723,||,1733,1739,||,1745,1757,||,,1803,||,1812,1824,1829,||,1834,1838,||,1845,1857,||, ﾚ,1902,1907,1917,1922,||,1933,1937,||,1943,1949,1956,||,2006,2010,||,2016,2025,2033,2036,2047,2056,2106,||,2110,||,2118,2131,2143,2153,2159,2203,||,2214,2227,2227,||,2238,2248,2256,||,||,2306,2322,2341,2353,009
新川崎,発,443,517,546,607,,622,,636,,655,,706,718,733,,747,,756,803,807,813,817,825,,,833,840,,846,848,855,901,907,912,920,, ﾚ,||,934,||,,945, ﾚ,||,1000,1005,||,1011,, ﾚ,||,1026,1032, ﾚ,||,1047,,1059,||, ﾚ,||,1114,,||,1130,||,1146,,1159,||, ﾚ,||,1214,,||,1229, ﾚ,||,1245,,||,1259,||,1314,,||,1329, ﾚ,||,1346,,||,1359,||,1415,,||,1429, ﾚ,||,1445,,1459,||, ﾚ,||,1514,||,1530,,||,,1545,||,1559, ﾚ,||,,1613,1624,||,1632, ﾚ,||,1645,,1655,||,1704,,||,1715,1726,||,1736, ﾚ,||,1748,1800,||,, ﾚ,||,1815,1827,1832,||,1837, ﾚ,||,1848,1900,||,||,1905, ﾚ,1920,1925,||,1936, ﾚ,||,1946,1952,1959,||,2009, ﾚ,||,2019,2028, ﾚ,2039,2050,2059,2109,||, ﾚ,||,2121,2134,2146,2156,2202, ﾚ,||,2217,2230,2230,||,2241,2251, ﾚ,||,||,2309,2325,2344,2356,012
